Store Number,Power Outage Risk Evaluation,Project Status,Generator Qualification,Projected Install Completion Date,Actual Install Completion Date
1187,,,No,,
1188,,,No,,
1189,,,No,,
1190,,,No,,
1191,,,Yes,,
1192,,,No,,
1193,,,Yes,,
1194,,,No,,
1195,,Scheduled,Already Approved,8/16/2023,
1196,,Complete,Already Approved,12/6/2022,12/6/2022
1197,,Complete,Already Approved,7/1/2013,7/1/2013
1198,,,No,,
1199,,,No,,
1200,,,No,,
1201,,,No,,
1202,,,Yes,,
1203,,,No,,
1204,,Pending,Already Approved,,
1205,,Complete,Already Approved,5/25/2017,5/25/2017
1206,,Scheduled,Already Approved,4/18/2024,
1207,,,No,,
1209,,Complete,Already Approved,5/18/2011,5/18/2011
1210,,,Yes,,
1211,,,Yes,,
1212,,,Yes,,
1213,,Complete,Already Approved,1/1/2015,1/1/2015
1214,,,No,,
1215,,,No,,
1216,,,No,,
1217,,,No,,
1218,,,No,,
1219,,Scheduled,Already Approved,2/6/2024,
1220,,,No,,
1221,,,No,,
1222,,Scheduled,Already Approved,9/29/2023,
1223,,Scheduled,Already Approved,4/11/2024,
1224,,Scheduled,Already Approved,9/29/2023,
1225,,Complete,Already Approved,5/4/2012,5/4/2012
1226,,,Yes,,
1227,,,No,,
1228,,,No,,
1229,,,No,,
1230,,,Yes,,
1231,,Complete,Already Approved,6/1/2011,6/1/2011
1232,,Complete,Already Approved,9/30/2020,9/30/2020
1233,,,Yes,,
1234,,,Yes,,
1235,,,No,,
1236,,,No,,
1237,,,No,,
1238,,Complete,Already Approved,3/23/2023,3/23/2023
1239,,,Yes,,
1240,,,No,,
1241,,,No,,
1242,,,No,,
1243,,,Yes,,
1244,,,Yes,,
1245,,Scheduled,Already Approved,4/16/2024,
1247,,,Yes,,
1248,,,No,,
1249,,Complete,Already Approved,1/28/2021,1/28/2021
1252,,,No,,
1253,,,Yes,,
1254,,,No,,
1255,,Complete,Already Approved,3/1/2011,3/1/2011
1256,,,Yes,,
1257,,,Yes,,
1259,,,No,,
1260,,,Yes,,
1261,,,No,,
1263,,,No,,
1264,,,Yes,,
1265,,,No,,
1266,,Complete,Already Approved,2/21/2023,2/21/2023
1267,,,No,,
1268,,,No,,
1270,,,No,,
1271,,,Yes,,
1272,,Complete,Already Approved,4/1/2021,4/1/2021
1273,,,No,,
1274,,,No,,
1275,,,Yes,,
1276,,,No,,
1277,,,No,,
1279,,Complete,Already Approved,11/30/2022,11/30/2022
1280,,Scheduled,Already Approved,9/29/2023,
1281,,,Yes,,
1282,,,No,,
1283,,Complete,Already Approved,6/28/2017,6/28/2017
1284,,,No,,
1285,,,No,,
1286,,,No,,
1287,,,No,,
1288,,,Yes,,
1289,,,No,,
1290,,,No,,
1291,,,No,,
1292,,,No,,
1293,,,No,,
1294,,,No,,
1295,,Complete,Already Approved,12/14/2022,12/14/2022
1296,,Delayed,Already Approved,,
1297,,,No,,
1298,,Scheduled,Already Approved,9/29/2023,
1299,,,No,,
1300,,,Yes,,
1301,,,No,,
1302,,,No,,
1303,,,Yes,,
1304,,,Yes,,
1305,,,No,,
1306,,,No,,
1307,,,No,,
1308,,,No,,
1309,,,No,,
1310,,,Yes,,
1311,,,Yes,,
1312,,Scheduled,Already Approved,11/30/2023,
1313,,,Yes,,
1314,,,No,,
1315,,,No,,
1316,,,No,,
1317,,,Yes,,
1318,,,No,,
1319,,,No,,
1320,,,Yes,,
1321,,Complete,Already Approved,9/1/2011,9/1/2011
1322,,Complete,Already Approved,7/1/2012,7/1/2012
1323,,,No,,
1324,,,Yes,,
1325,,,No,,
1326,,,No,,
1327,,,No,,
1328,,,No,,
1329,,,No,,
1330,,,No,,
1331,,,No,,
1332,,,No,,
1333,,,Yes,,
1334,,,No,,
1335,,,No,,
1336,,,No,,
1337,,,No,,
1338,,,Yes,,
1339,,,No,,
1340,,,Yes,,
1341,,,No,,
1342,,Scheduled,Already Approved,11/5/2024,
1344,,Scheduled,Already Approved,3/1/2024,
1345,,,No,,
1346,,Complete,Already Approved,3/23/2023,3/23/2023
1347,,,Yes,,
1348,,,Yes,,
1349,,Scheduled,Already Approved,11/20/2023,
1350,,,No,,
1351,,,No,,
1352,,,No,,
1353,,Scheduled,Already Approved,9/10/2024,
1354,,Complete,Already Approved,3/1/2011,3/1/2011
1355,,Complete,Already Approved,9/28/2022,9/28/2022
1356,,,No,,
1357,,,No,,
1358,,,No,,
1359,,,No,,
1360,,,Yes,,
1361,,,No,,
1362,,Scheduled,Already Approved,11/17/2023,
1363,,,No,,
1364,,,Yes,,
1365,,,No,,
1366,,,No,,
1367,,,No,,
1368,,,Yes,,
1369,,,No,,
1370,,,Yes,,
1371,,,No,,
1372,,,No,,
1373,,,No,,
1374,,,No,,
1375,,,No,,
1376,,,Yes,,
1377,,,No,,
1378,,,No,,
1379,,Complete,Already Approved,9/22/2016,9/22/2016
1380,,,Yes,,
1381,,,No,,
1382,,,No,,
1383,,Scheduled,Already Approved,2/8/2024,
1384,,,No,,
1385,,,No,,
1386,,,No,,
1387,,Complete,Already Approved,7/12/2018,7/12/2018
1388,,,No,,
1389,,,Yes,,
1390,,Complete,Already Approved,5/1/2018,5/1/2018
1391,,Complete,Already Approved,6/26/2017,6/26/2017
1392,,,Yes,,
1393,,,No,,
1394,,,No,,
1395,,,Yes,,
1396,,,No,,
1397,,,No,,
1398,,Complete,Already Approved,6/8/2021,6/8/2021
1399,,,Yes,,
1400,,,No,,
1401,,,No,,
1403,,,Yes,,
1404,,,No,,
1405,,Scheduled,Already Approved,7/18/2023,
1406,,,No,,
1407,,,No,,
1408,,,No,,
1409,,,No,,
1410,,,No,,
1411,,,Yes,,
1412,,,Yes,,
1413,,,No,,
1414,,,No,,
1415,,,No,,
1416,,,No,,
1417,,,No,,
1418,,,No,,
1419,,,Yes,,
1420,,,Yes,,
1421,,,No,,
1422,,,No,,
1423,,,Yes,,
1424,,,Yes,,
1425,,,No,,
1426,,,No,,
1427,,,No,,
1428,,,No,,
1429,,,No,,
1430,,,No,,
1431,,,Yes,,
1432,,,No,,
1433,,,Yes,,
1434,,,No,,
1435,,,No,,
1436,,Complete,Already Approved,3/5/2020,3/5/2020
1437,,Complete,Already Approved,7/30/2022,7/30/2022
1438,,,No,,
1439,,,No,,
1440,,,No,,
1441,,,No,,
1442,,,No,,
1443,,,No,,
1444,,,Yes,,
1445,,,No,,
1446,,Pending,Already Approved,,
1447,,,No,,
1448,,,Yes,,
1449,,,No,,
1450,,,Yes,,
1451,,,No,,
1452,,,No,,
1453,,,Yes,,
1454,,,No,,
1455,,Complete,Already Approved,9/21/2021,9/21/2021
1456,,,Yes,,
1457,,,No,,
1458,,,Yes,,
1459,,,No,,
1460,,,No,,
1461,,,No,,
1462,,,No,,
1463,,,Yes,,
1464,,,Yes,,
1465,,,Yes,,
1466,,,No,,
1467,,,Yes,,
1468,,,No,,
1469,,,Yes,,
1470,,,No,,
1471,,,No,,
1472,,,Yes,,
1473,,,No,,
1474,,,No,,
1475,,,Yes,,
1476,,,Yes,,
1477,,,No,,
1478,,,Yes,,
1479,,,Yes,,
1480,,,No,,
1481,,,Yes,,
1482,,,No,,
1483,,,No,,
1485,,,No,,
1486,,,Yes,,
1487,,,No,,
1488,,,Yes,,
1489,,,No,,
1490,,,No,,
1491,,,No,,
1492,,,No,,
1493,,Scheduled,Already Approved,8/10/2023,
1494,,Complete,Already Approved,5/20/2022,5/20/2022
1495,,,No,,
1496,,,No,,
1497,,,No,,
1498,,,Yes,,
1499,,Pending,Already Approved,,
1500,,,No,,
1501,,,No,,
1502,,,Yes,,
1503,,,No,,
1504,,,No,,
1505,,,No,,
1506,,,No,,
1507,,,No,,
1508,,,No,,
1509,,,No,,
1510,,,Yes,,
1511,,Scheduled,Already Approved,11/17/2023,
1512,,,No,,
1513,,Complete,Already Approved,7/31/2018,7/31/2018
1514,,,Yes,,
1515,,,No,,
1516,,Complete,Already Approved,10/30/2022,10/30/2022
1517,,Delayed,Already Approved,,
1518,,,No,,
1519,,,No,,
1520,,,No,,
1521,,,No,,
1522,,,No,,
1523,,Scheduled,Already Approved,3/8/2024,
1524,,Scheduled,Already Approved,2/16/2024,
1525,,,No,,
1526,,,No,,
1527,,,No,,
1528,,,Yes,,
1529,,,No,,
1530,,,No,,
1531,,,No,,
1532,,,No,,
1533,,,Yes,,
1534,,,No,,
1535,,,No,,
1536,,Complete,Already Approved,5/3/2018,5/3/2018
1537,,,No,,
1538,,,Yes,,
1539,,,Yes,,
1540,,Scheduled,Already Approved,9/12/2023,
1541,,Complete,Already Approved,4/9/2018,4/9/2018
1542,,,Yes,,
1543,,,No,,
1544,,,Yes,,
1545,,,No,,
1546,,,No,,
1547,,,No,,
1548,,,No,,
1549,,,No,,
1550,,,No,,
1551,,,No,,
1552,,,Yes,,
1553,,,Yes,,
1554,,,Yes,,
1555,,,No,,
1556,,,No,,
1557,,,No,,
1558,,,No,,
1559,,,No,,
1560,,,Yes,,
1561,,,Yes,,
1562,,Complete,Already Approved,1/1/2014,1/1/2014
1563,,,No,,
1564,,,No,,
1565,,,Yes,,
1566,,,Yes,,
1567,,,No,,
1568,,,No,,
1569,,,No,,
1570,,,No,,
1571,,,No,,
1572,,,No,,
1573,,,No,,
1574,,,No,,
1575,,,Yes,,
1576,,,No,,
1577,,Complete,Already Approved,1/1/2014,1/1/2014
1578,,,Yes,,
1579,,,Yes,,
1580,,,No,,
1581,,,No,,
1583,,,No,,
1584,,,Yes,,
1585,,,No,,
1586,,,No,,
1587,,,No,,
1588,,,Yes,,
1589,,Complete,Already Approved,6/13/2018,6/13/2018
1590,,Complete,Already Approved,7/10/2018,7/10/2018
1591,,,No,,
1592,,,No,,
1593,,,No,,
1594,,,Yes,,
1595,,,Yes,,
1596,,,No,,
1597,,,No,,
1598,,,No,,
1599,,,No,,
1600,,,No,,
1601,,,No,,
1602,,,No,,
1603,,,No,,
1604,,,No,,
1605,,Scheduled,Already Approved,9/29/2023,
1606,,,No,,
1607,,,Yes,,
1608,,,Yes,,
1609,,,No,,
1610,,,No,,
1611,,,Yes,,
1612,,,No,,
1613,,,No,,
1614,,,No,,
1615,,,No,,
1616,,,Yes,,
1617,,,No,,
1618,,,Yes,,
1619,,,Yes,,
1620,,Scheduled,Already Approved,8/24/2023,
1621,,,Yes,,
1622,,,No,,
1623,,,No,,
1624,,,Yes,,
1625,,,No,,
1626,,,No,,
1627,,,Yes,,
1628,,,No,,
1629,,,No,,
1630,,,No,,
1631,,Scheduled,Already Approved,2/2/2024,
1632,,,No,,
1633,,,No,,
1634,,,No,,
1635,,,Yes,,
1636,,,No,,
1637,,,No,,
1638,,,No,,
1639,,,No,,
1640,,,No,,
1641,,,Yes,,
1642,,,Yes,,
1643,,,Yes,,
1644,,,No,,
1645,,,No,,
1646,,,No,,
1647,,,No,,
1648,,,No,,
1649,,,Yes,,
1650,,,Yes,,
1651,,,Yes,,
1652,,,Yes,,
1653,,,Yes,,
1654,,,No,,
1655,,,No,,
1656,,,Yes,,
1657,,,No,,
1658,,,No,,
1659,,,No,,
1660,,,No,,
1661,,Scheduled,Already Approved,8/21/2023,
1662,,,Yes,,
1663,,,Yes,,
1664,,Complete,Already Approved,3/1/2011,3/1/2011
1665,,,No,,
1666,,,No,,
1667,,,Yes,,
1668,,,No,,
1669,,,No,,
1670,,,No,,
1671,,,No,,
1672,,,No,,
1673,,,No,,
1674,,,No,,
1675,,,Yes,,
1676,,,No,,
1677,,,No,,
1678,,,Yes,,
1679,,,No,,
1680,,Scheduled,Already Approved,11/24/2023,
1681,,,No,,
1682,,,No,,
1683,,,Yes,,
1684,,,No,,
1685,,,No,,
1686,,,Yes,,
1687,,Scheduled,Already Approved,11/17/2023,
1688,,,No,,
1689,,,No,,
1690,,,No,,
1691,,,No,,
1692,,Pending,Already Approved,,
1693,,,No,,
1694,,,Yes,,
1695,,,Yes,,
1696,,Complete,Already Approved,1/1/2014,1/1/2014
1697,,,No,,
1698,,,No,,
1699,,,No,,
1700,,,No,,
1701,,,No,,
1702,,Complete,Already Approved,3/29/2018,3/29/2018
1703,,,No,,
1704,,,No,,
1705,,,Yes,,
1707,,,No,,
1708,,,No,,
1709,,,Yes,,
1710,,,No,,
1711,,,No,,
1712,,Complete,Already Approved,7/12/2018,7/12/2018
1713,,,No,,
1714,,,No,,
1715,,,No,,
1716,,,No,,
1717,,,No,,
1718,,,No,,
1719,,,No,,
1720,,,No,,
1721,,,Yes,,
1722,,,No,,
1723,,,No,,
1724,,,Yes,,
1726,,,No,,
1727,,,Yes,,
1728,,,No,,
1729,,,No,,
1730,,,No,,
1731,,,No,,
1732,,,No,,
1733,,,No,,
1734,,,No,,
1735,,,No,,
1736,,,No,,
1737,,,No,,
1738,,,No,,
1739,,,Yes,,
1740,,,No,,
1741,,,Yes,,
1742,,,No,,
1743,,,No,,
1744,,,No,,
1745,,,No,,
1746,,,No,,
1747,,,No,,
1748,,Scheduled,Already Approved,11/28/2023,
1749,,,Yes,,
1750,,,No,,
1751,,,No,,
1752,,,No,,
1753,,,No,,
1754,,,No,,
1755,,,No,,
1756,,,No,,
1757,,,No,,
1758,,,No,,
1759,,,No,,
1760,,,No,,
1761,,,Yes,,
1762,,,No,,
1763,,,No,,
1764,,,No,,
1765,,,No,,
1766,,,No,,
1767,,Scheduled,Already Approved,11/7/2023,
1768,,,No,,
1769,,,No,,
1770,,,No,,
1771,,,No,,
1772,,,No,,
1773,,Scheduled,Already Approved,2/9/2024,
1774,,,No,,
1775,,,No,,
1776,,,No,,
1777,,,No,,
1778,,,Yes,,
1779,,,No,,
1780,,Scheduled,Already Approved,11/30/2023,
1781,,,No,,
1782,,,Yes,,
1783,,,Yes,,
1784,,,Yes,,
1785,,,No,,
1786,,Complete,Already Approved,1/1/2014,1/1/2014
1787,,,No,,
1788,,,Yes,,
1789,,,No,,
1790,,,Yes,,
1791,,,Yes,,
1792,,,Yes,,
1793,,,Yes,,
1794,,,Yes,,
1795,,,No,,
1796,,,No,,
1797,,,No,,
1798,,,Yes,,
1799,,,No,,
1800,,,Yes,,
1801,,Scheduled,Already Approved,10/17/2024,
1802,,,No,,
1803,,Complete,Already Approved,12/30/2022,12/30/2022
1804,,,Yes,,
1805,,,No,,
1806,,,Yes,,
1807,,,No,,
1808,,,No,,
1809,,,Yes,,
1810,,,Yes,,
1811,,,No,,
1812,,,No,,
1813,,,Yes,,
1814,,,No,,
1815,,,Yes,,
1816,,,No,,
1817,,,No,,
1819,,,No,,
1820,,,No,,
1821,,,No,,
1822,,Complete,Already Approved,1/1/2015,1/1/2015
1823,,,Yes,,
1825,,Scheduled,Already Approved,3/6/2024,
1826,,,No,,
1827,,,No,,
1828,,,No,,
1829,,Complete,Already Approved,10/1/2014,10/1/2014
1830,,,Yes,,
1831,,,No,,
1832,,,No,,
1833,,,No,,
1834,,,Yes,,
1835,,,Yes,,
1836,,,Yes,,
1837,,Complete,Already Approved,11/30/2022,11/30/2022
1838,,,No,,
1839,,,No,,
1840,,,Yes,,
1841,,,No,,
1842,,,No,,
1843,,,No,,
1844,,,No,,
1845,,Complete,Already Approved,3/2/2021,3/2/2021
1846,,,Yes,,
1847,,,No,,
1848,,,No,,
1849,,Complete,Already Approved,5/31/2023,5/31/2023
1850,,,Yes,,
1851,,Complete,Already Approved,8/18/2020,8/18/2020
1852,,Scheduled,Already Approved,4/2/2024,
1853,,,No,,
1854,,Complete,Already Approved,1/1/2015,1/1/2015
1855,,,No,,
1856,,,Yes,,
1857,,,No,,
1858,,,No,,
1859,,,No,,
1860,,,Yes,,
1861,,,No,,
1862,,,No,,
1863,,,Yes,,
1864,,,No,,
1865,,,No,,
1866,,,Yes,,
1867,,,No,,
1868,,,Yes,,
1869,,,No,,
1870,,,No,,
1871,,,No,,
1872,,,Yes,,
1873,,,No,,
1874,,Complete,Already Approved,11/7/2017,11/7/2017
1875,,,No,,
1876,,,No,,
1877,,,No,,
1878,,,Yes,,
1879,,,Yes,,
1880,,,Yes,,
1881,,,Yes,,
1882,,,Yes,,
1883,,,Yes,,
1884,,,No,,
1885,,,Yes,,
1886,,,No,,
1887,,,No,,
1888,,,Yes,,
1889,,,No,,
1890,,,No,,
1891,,,No,,
1892,,,Yes,,
1893,,,Yes,,
1894,,,No,,
1895,,,No,,
1896,,,No,,
1897,,,No,,
1898,,,No,,
1899,,,No,,
1900,,,No,,
1901,,,No,,
1902,,,Yes,,
1903,,,No,,
1904,,Scheduled,Already Approved,2/16/2024,
1905,,,No,,
1906,,,No,,
1907,,,Yes,,
1908,,,No,,
1909,,,No,,
1910,,,Yes,,
1911,,,Yes,,
1912,,,No,,
1913,,,No,,
1914,,,No,,
1915,,,No,,
1916,,Complete,Already Approved,6/26/2019,6/26/2019
1917,,,No,,
1918,,,No,,
1919,,,No,,
1920,,,No,,
1921,,,No,,
1922,,,No,,
1923,,,No,,
1924,,,Yes,,
1925,,,Yes,,
1926,,,Yes,,
1927,,,No,,
1928,,,No,,
1929,,,No,,
1930,,,No,,
1931,,,No,,
1932,,,No,,
1933,,,No,,
1934,,,No,,
1935,,,No,,
1936,,,No,,
1937,,,Yes,,
1938,,Scheduled,Already Approved,12/13/2024,
1939,,,No,,
1940,,,No,,
1941,,,No,,
1942,,,No,,
1943,,,No,,
1945,,,No,,
1946,,,No,,
1947,,Pending,Already Approved,,
1948,,,Yes,,
1949,,,No,,
1950,,Complete,Already Approved,11/4/2022,11/4/2022
1951,,Pending,Already Approved,,
1952,,,No,,
1953,,,Yes,,
1954,,,Yes,,
1955,,,Yes,,
1956,,,No,,
1957,,Complete,Already Approved,6/15/2021,6/15/2021
1958,,Scheduled,Already Approved,11/21/2024,
1959,,,No,,
1960,,Complete,Already Approved,9/30/2021,9/30/2021
1961,,,Yes,,
1962,,,No,,
1963,,,No,,
1964,,,Yes,,
1965,,,No,,
1966,,,Yes,,
1967,,,No,,
1968,,,No,,
1969,,,No,,
1970,,,No,,
1971,,,No,,
1972,,,No,,
1973,,,No,,
1974,,,Yes,,
1975,,,No,,
1976,,,Yes,,
1977,,,Yes,,
1978,,,No,,
1979,,,No,,
1980,,,Yes,,
1981,,,No,,
1982,,,Yes,,
1983,,,Yes,,
1984,,,Yes,,
1985,,,Yes,,
1986,,,Yes,,
1987,,,No,,
1988,,,No,,
1989,,,Yes,,
1990,,,No,,
1991,,,Yes,,
1992,,,No,,
1993,,,Yes,,
1994,,,No,,
1995,,,Yes,,
1996,,Complete,Already Approved,2/26/2021,2/26/2021
1997,,,Yes,,
1998,,,No,,
1999,,Complete,Already Approved,1/22/2016,1/22/2016
2000,,,No,,
2001,,,Yes,,
2002,,,No,,
2003,,,Yes,,
2004,,,No,,
2005,,Complete,Already Approved,6/10/2022,6/10/2022
2006,,,No,,
2007,,,Yes,,
2008,,,No,,
2009,,,No,,
2010,,,No,,
2012,,,No,,
2013,,,Yes,,
2014,,,Yes,,
2015,,,No,,
2016,,,Yes,,
2019,,,No,,
2020,,,No,,
2021,,,Yes,,
2022,,,No,,
2023,,,Yes,,
2024,,,Yes,,
2025,,,Yes,,
2026,,Complete,Already Approved,1/1/2015,1/1/2015
2027,,,Yes,,
2028,,,No,,
2030,,Pending,Already Approved,,
2031,,,No,,
2032,,,No,,
2033,,,No,,
2035,,,No,,
2036,,,Yes,,
2037,,,No,,
2038,,,No,,
2039,,,No,,
2040,,,No,,
2041,,,No,,
2043,,,No,,
2044,,,No,,
2045,,,No,,
2046,,,No,,
2047,,,Yes,,
2048,,,No,,
2049,,,No,,
2050,,,Yes,,
2051,,,No,,
2052,,,No,,
2053,,,No,,
2054,,,No,,
2055,,,No,,
2056,,,Yes,,
2057,,,Yes,,
2058,,,Yes,,
2059,,,No,,
2061,,,No,,
2062,,,No,,
2063,,,Yes,,
2064,,Scheduled,Already Approved,10/28/2024,
2065,,,No,,
2066,,Pending,Already Approved,,
2067,,Complete,Already Approved,1/1/2015,1/1/2015
2068,,,No,,
2069,,,No,,
2070,,,No,,
2071,,,No,,
2072,,Complete,Already Approved,1/1/2015,1/1/2015
2073,,,Yes,,
2074,,,Yes,,
2075,,,Yes,,
2077,,,No,,
2078,,,Yes,,
2079,,,No,,
2080,,,No,,
2081,,Complete,Already Approved,5/3/2018,5/3/2018
2082,,,No,,
2083,,,Yes,,
2084,,,No,,
2085,,Complete,Already Approved,1/1/2015,1/1/2015
2086,,,Yes,,
2087,,,No,,
2088,,,No,,
2089,,,No,,
2090,,,No,,
2091,,Complete,Already Approved,10/1/2019,10/1/2019
2092,,,No,,
2093,,,No,,
2094,,,No,,
2095,,,No,,
2096,,,No,,
2097,,,No,,
2098,,,Yes,,
2099,,,No,,
2100,,,No,,
2101,,,No,,
2102,,,Yes,,
2103,,,No,,
2104,,,Yes,,
2105,,Scheduled,Already Approved,8/6/2024,
2106,,,Yes,,
2107,,,No,,
2108,,Scheduled,Already Approved,10/14/2024,
2109,,,No,,
2110,,,No,,
2111,,,No,,
2112,,,No,,
2113,,,No,,
2114,,Scheduled,Already Approved,9/29/2023,
2115,,,No,,
2116,,,No,,
2117,,,Yes,,
2118,,,No,,
2119,,,No,,
2120,,,Yes,,
2121,,,No,,
2122,,,Yes,,
2123,,,No,,
2124,,,No,,
2125,,,No,,
2126,,,No,,
2127,,,No,,
2128,,,Yes,,
2129,,,Yes,,
2130,,,No,,
2131,,,Yes,,
2132,,Complete,Already Approved,3/29/2023,3/29/2023
2133,,,Yes,,
2134,,,No,,
2135,,,Yes,,
2136,,Scheduled,Already Approved,11/30/2023,
2137,,,No,,
2138,,,No,,
2139,,,No,,
2140,,,No,,
2141,,,No,,
2142,,,Yes,,
2143,,,No,,
2144,,,No,,
2145,,,Yes,,
2146,,,Yes,,
2147,,,No,,
2149,,,Yes,,
2150,,,No,,
2151,,Scheduled,Already Approved,8/31/2023,
2152,,,No,,
2153,,,Yes,,
2154,,,No,,
2155,,,Yes,,
2156,,,No,,
2157,,,No,,
2158,,,No,,
2159,,,No,,
2160,,,No,,
2161,,,No,,
2163,,,No,,
2164,,,Yes,,
2166,,,No,,
2167,,,No,,
2169,,,No,,
2170,,,No,,
2174,,,No,,
2175,,,Yes,,
2176,,Scheduled,Already Approved,8/31/2023,
2177,,,Yes,,
2178,,,Yes,,
2180,,,No,,
2181,,,No,,
2183,,,No,,
2184,,,No,,
2185,,,Yes,,
2187,,,No,,
2188,,Pending,Already Approved,,
2189,,,No,,
2190,,,No,,
2191,,,No,,
2192,,,No,,
2193,,,No,,
2194,,,No,,
2195,,,Yes,,
2196,,,No,,
2197,,,Yes,,
2198,,,No,,
2199,,,No,,
2200,,,No,,
2201,,,No,,
2202,,,No,,
2204,,,Yes,,
2205,,,No,,
2206,,,No,,
2207,,,No,,
2208,,,No,,
2209,,,Yes,,
2210,,,Yes,,
2211,,,Yes,,
2213,,Scheduled,Already Approved,10/5/2023,
2214,,,No,,
2215,,,No,,
2218,,,Yes,,
2221,,,No,,
2222,,,Yes,,
2223,,,No,,
2224,,,No,,
2225,,,Yes,,
2226,,,Yes,,
2227,,,Yes,,
2228,,,No,,
2230,,,No,,
2231,,,No,,
2232,,,Yes,,
2233,,,No,,
2234,,,No,,
2236,,,No,,
2237,,Scheduled,Already Approved,4/18/2024,
2238,,,No,,
2239,,,Yes,,
2240,,Complete,Already Approved,1/1/2015,1/1/2015
2241,,,Yes,,
2242,,,No,,
2243,,,No,,
2244,,,Yes,,
2245,,,No,,
2247,,,Yes,,
2248,,,No,,
2249,,,No,,
2250,,,No,,
2251,,,Yes,,
2252,,,No,,
2253,,,No,,
2254,,,No,,
2255,,,No,,
2256,,,Yes,,
2257,,Complete,Already Approved,3/30/2022,3/30/2022
2258,,,No,,
2259,,,No,,
2261,,,No,,
2262,,,No,,
2263,,,No,,
2264,,,No,,
2265,,,No,,
2266,,,No,,
2267,,,No,,
2269,,,Yes,,
2270,,,Yes,,
2271,,,No,,
2272,,,Yes,,
2273,,,Yes,,
2274,,,No,,
2275,,,Yes,,
2276,,,No,,
2277,,,No,,
2278,,,No,,
2279,,,No,,
2280,,,No,,
2281,,,No,,
2282,,,Yes,,
2283,,,Yes,,
2284,,,Yes,,
2285,,,Yes,,
2286,,,No,,
2287,,,Yes,,
2288,,,No,,
2289,,,Yes,,
2291,,,No,,
2292,,,Yes,,
2293,,,No,,
2294,,Scheduled,Already Approved,9/30/2024,
2295,,,No,,
2297,,,No,,
2299,,,No,,
2300,,,No,,
2302,,Complete,Already Approved,1/1/2015,1/1/2015
2306,,,No,,
2307,,,No,,
2308,,,No,,
2309,,,No,,
2310,,,Yes,,
2311,,,Yes,,
2312,,,Yes,,
2313,,,No,,
2314,,,No,,
2315,,,No,,
2316,,,Yes,,
2317,,,No,,
2318,,,Yes,,
2319,,,Yes,,
2320,,,Yes,,
2321,,,No,,
2322,,,Yes,,
2323,,,Yes,,
2325,,,Yes,,
2326,,,No,,
2328,,,Yes,,
2329,,,Yes,,
2330,,,Yes,,
2331,,,Yes,,
2332,,,No,,
2333,,,No,,
2334,,,Yes,,
2335,,,No,,
2336,,,Yes,,
2337,,,No,,
2338,,,No,,
2339,,,No,,
2340,,,No,,
2341,,,No,,
2346,,Complete,Already Approved,1/1/2015,1/1/2015
2348,,Scheduled,Already Approved,11/30/2023,
2350,,,Yes,,
2351,,,No,,
2352,,Complete,Already Approved,1/1/2014,1/1/2014
2354,,,No,,
2355,,,No,,
2357,,,No,,
2358,,,Yes,,
2359,,,Yes,,
2360,,,No,,
2361,,,No,,
2362,,,No,,
2365,,,Yes,,
2366,,,No,,
2367,,Complete,Already Approved,1/1/2014,1/1/2014
2368,,,Yes,,
2369,,,No,,
2370,,,No,,
2371,,,No,,
2373,,,No,,
2385,,,No,,
2386,,,Yes,,
2387,,,No,,
2388,,,No,,
2391,,Scheduled,Already Approved,12/12/2023,
2392,,Complete,Already Approved,10/15/2019,10/15/2019
2393,,,No,,
2394,,,No,,
2395,,,No,,
2396,,Complete,Already Approved,8/20/2020,8/20/2020
2397,,,No,,
2398,,,No,,
2399,,,No,,
2400,,,No,,
2401,,,No,,
2402,,,No,,
2403,,,No,,
2404,,,No,,
2405,,,Yes,,
2406,,Complete,Already Approved,10/22/2018,10/22/2018
2412,,,Yes,,
2414,,,No,,
2417,,,No,,
2418,,,No,,
2419,,,No,,
2420,,,Yes,,
2421,,,No,,
2422,,,No,,
2423,,Complete,Already Approved,1/1/2015,1/1/2015
2424,,,Yes,,
2425,,,Yes,,
2426,,,No,,
2427,,,No,,
2428,,,No,,
2429,,,Yes,,
2431,,Complete,Already Approved,7/24/2019,7/24/2019
2432,,,No,,
2433,,,Yes,,
2434,,,No,,
2435,,,Yes,,
2436,,,No,,
2437,,Scheduled,Already Approved,3/8/2024,
2438,,,No,,
2439,,Complete,Already Approved,10/26/2021,10/26/2021
2440,,,Yes,,
2441,,,No,,
2442,,,No,,
2443,,,No,,
2444,,,No,,
2445,,,No,,
2446,,,No,,
2447,,,No,,
2448,,,No,,
2449,,Complete,Already Approved,1/1/2015,1/1/2015
2450,,,No,,
2451,,,Yes,,
2452,,,No,,
2453,,,No,,
2455,,,No,,
2457,,,Yes,,
2458,,,No,,
2459,,Complete,Already Approved,12/9/2020,12/9/2020
2460,,,No,,
2463,,Scheduled,Already Approved,8/31/2023,
2464,,,Yes,,
2465,,,No,,
2468,,,No,,
2469,,,No,,
2471,,,No,,
2472,,,Yes,,
2473,,,No,,
2474,,,Yes,,
2475,,,Yes,,
2476,,,No,,
2477,,,Yes,,
2479,,,No,,
2480,,,No,,
2481,,,Yes,,
2482,,,No,,
2483,,,No,,
2484,,Complete,Already Approved,10/13/2022,10/13/2022
2485,,Pending,Already Approved,,
2486,,,Yes,,
2487,,,No,,
2488,,,No,,
2490,,,No,,
2491,,,Yes,,
2492,,,No,,
2493,,,No,,
