Store,Offsite Storage Pickup Date,Service  Hours,Storage Vendor,Offsite Storage Box  Count
992,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
993,4/21/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
994,8/22/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
995,9/15/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
996,7/26/2023,7 am - 6 pm,Vital Records Control (VRC),30
997,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
998,3/17/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
999,6/5/2023,7 am - 6 pm,Vital Records Control (VRC),74
1000,9/20/2023,7 am - 6 pm,Vital Records Control (VRC),198 (missing the box data for 2 of the 200 boxes the store reported)
1001,6/6/2023,7 am - 6 pm,Vital Records Control (VRC),12
1002,6/1/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1003,7/4/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1004,4/26/2023,7 am - 6 pm,Vital Records Control (VRC),79
1005,6/27/2023,7 am - 6 pm,Vital Records Control (VRC),6
1006,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1007,5/22/2023,7 am - 6 pm,Vital Records Control (VRC),43
1008,5/31/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1009,8/25/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
1010,7/14/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1011,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1012,9/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1013,8/3/2023,7 am - 6 pm,Vital Records Control (VRC),20
1014,8/21/2023,7 am - 6 pm,Vital Records Control (VRC),31
1015,3/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1016,9/6/2023,7 am - 6 pm,Vital Records Control (VRC),139
1017,3/27/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1018,3/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1019,6/8/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1020,4/4/2023,7 am - 6 pm,Vital Records Control (VRC),40
1021,9/15/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
1022,9/6/2023,7 am - 6 pm,Vital Records Control (VRC),50
1023,3/17/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1024,4/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1025,4/13/2023,7 am - 6 pm,Vital Records Control (VRC),Offsite Storage Box Count 2023 survey not complete
1026,4/17/2023,7 am - 6 pm,Vital Records Control (VRC),17
1027,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1028,4/19/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1029,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1030,4/28/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1032,7/11/2023,7 am - 6 pm,Vital Records Control (VRC),159
1033,6/26/2023,7 am - 6 pm,Vital Records Control (VRC),83
1034,8/11/2023,7 am - 6 pm,Vital Records Control (VRC),184
1035,4/4/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1036,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1037,3/17/2023,7 am - 6 pm,Vital Records Control (VRC),17
1038,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1039,3/16/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1040,5/5/2023,7 am - 6 pm,Vital Records Control (VRC),130
1041,7/25/2023,7 am - 6 pm,Vital Records Control (VRC),91
1042,4/4/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1043,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1044,6/12/2023,7 am - 6 pm,Vital Records Control (VRC),422 (missing box data for 9 of the 431 boxes the store reported)
1045,7/12/2023,7 am - 6 pm,Vital Records Control (VRC),25
1046,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1047,8/10/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1048,5/24/2023,7 am - 6 pm,Vital Records Control (VRC),28
1051,6/2/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1052,7/31/2023,7 am - 6 pm,Vital Records Control (VRC),46
1053,6/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1054,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1055,6/14/2023,7 am - 6 pm,Vital Records Control (VRC),39
1056,8/29/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
1057,8/7/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
1058,3/22/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1059,8/23/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
1060,4/24/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1061,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1062,7/11/2023,7 am - 6 pm,Vital Records Control (VRC),3
1063,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1064,7/10/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1065,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1066,6/30/2023,7 am - 6 pm,Vital Records Control (VRC),20
1067,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1068,6/1/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1069,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1070,5/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1071,8/24/2023,7 am - 6 pm,Vital Records Control (VRC),158
1072,8/28/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1073,8/9/2023,7 am - 6 pm,Vital Records Control (VRC),40
1074,5/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1075,8/30/2023,7 am - 6 pm,Vital Records Control (VRC),107
1076,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1077,4/25/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1078,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1079,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1080,6/20/2023,7 am - 6 pm,Vital Records Control (VRC),47
1081,4/4/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1082,7/17/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
1083,3/27/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1084,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1085,3/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1086,3/17/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1087,3/22/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1088,4/24/2023,7 am - 6 pm,Vital Records Control (VRC),3
1089,3/24/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1090,3/27/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1091,9/26/2023,7 am - 6 pm,Vital Records Control (VRC),30
1093,6/16/2023,7 am - 6 pm,Vital Records Control (VRC),49
1094,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1095,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1096,4/21/2023,7 am - 6 pm,Vital Records Control (VRC),60
1097,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1098,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1099,4/24/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1100,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1101,9/11/2023,7 am - 6 pm,Vital Records Control (VRC),140
1102,4/3/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1103,9/9/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1104,8/10/2023,7 am - 6 pm,Vital Records Control (VRC),143
1105,3/23/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1106,4/17/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1107,6/15/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1108,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1109,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1110,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1111,6/16/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1112,6/9/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1113,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1114,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1115,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1116,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1117,6/7/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1118,4/6/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1119,4/20/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
1120,3/23/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1121,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1122,8/31/2023,7 am - 6 pm,Vital Records Control (VRC),235 (missing box data for 2 of the 237 boxes the store reported)
1123,6/20/2023,7 am - 6 pm,Vital Records Control (VRC),51
1124,6/7/2023,7 am - 6 pm,Vital Records Control (VRC),32
1125,9/4/2023,7 am - 6 pm,Vital Records Control (VRC),71
1126,7/20/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1128,4/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1129,8/4/2023,7 am - 6 pm,Vital Records Control (VRC),155
1130,6/27/2023,7 am - 6 pm,Vital Records Control (VRC),68
1131,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1132,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1133,7/14/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1134,6/1/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
1135,6/22/2023,7 am - 6 pm,Vital Records Control (VRC),31
1136,6/8/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1137,5/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1138,9/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1139,8/21/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1140,3/22/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1141,9/18/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
1142,6/23/2023,7 am - 6 pm,Vital Records Control (VRC),149
1143,6/23/2023,7 am - 6 pm,Vital Records Control (VRC),35
1144,8/23/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
1146,3/21/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1147,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1148,7/11/2023,7 am - 6 pm,Vital Records Control (VRC),9
1149,7/24/2023,7 am - 6 pm,Vital Records Control (VRC),Offsite Storage Box Count 2023 survey not complete
1150,5/31/2023,7 am - 6 pm,Vital Records Control (VRC),41
1151,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1152,8/2/2023,7 am - 6 pm,Vital Records Control (VRC),49
1153,8/30/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
1154,7/28/2023,7 am - 6 pm,Vital Records Control (VRC),Offsite Storage Box Count 2023 survey not complete
1155,5/16/2023,7 am - 6 pm,Vital Records Control (VRC),39
1156,8/9/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1157,6/15/2023,7 am - 6 pm,Vital Records Control (VRC),80
1158,3/17/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1159,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1160,4/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1161,8/28/2023,7 am - 6 pm,Vital Records Control (VRC),118 (missing box data for 21 of the 139 boxes the store reported)
1162,7/3/2023,7 am - 6 pm,Vital Records Control (VRC),Offsite Storage Box Count 2023 survey not complete
1163,3/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1164,3/16/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1165,6/2/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1166,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1167,9/12/2023,7 am - 6 pm,Vital Records Control (VRC),85
1168,6/21/2023,7 am - 6 pm,Vital Records Control (VRC),27 (missing box data for 15 of the 42 boxes the store reported)
1169,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1170,6/1/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1171,6/21/2023,7 am - 6 pm,Vital Records Control (VRC),109
1172,4/18/2023,7 am - 6 pm,Vital Records Control (VRC),98
1173,4/18/2023,7 am - 6 pm,Vital Records Control (VRC),113
1174,6/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1175,5/8/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
1176,9/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1177,3/20/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1178,9/5/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1179,9/29/2023,7 am - 6 pm,Vital Records Control (VRC),Offsite Storage Box Count 2023 survey not complete
1180,5/16/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1181,7/10/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1182,7/20/2023,7 am - 6 pm,Vital Records Control (VRC),66
1183,3/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1184,3/24/2023,7 am - 6 pm,Vital Records Control (VRC),156
1185,7/5/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1186,9/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1187,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1188,3/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1189,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1190,8/24/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1191,4/10/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1192,4/14/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1193,5/22/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1194,4/21/2023,7 am - 6 pm,Vital Records Control (VRC),86
1195,5/8/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1196,6/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1197,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1198,6/14/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1199,7/17/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1200,6/5/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
1201,8/25/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1202,5/24/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1203,4/18/2023,7 am - 6 pm,Vital Records Control (VRC),53
1204,6/29/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
1205,9/19/2023,7 am - 6 pm,Vital Records Control (VRC),98
1206,8/21/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1207,7/11/2023,7 am - 6 pm,Vital Records Control (VRC),102 ( missing box data for 2 of the 104 boxes the store reported)
1209,4/24/2023,7 am - 6 pm,Vital Records Control (VRC),22
1210,3/16/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1211,4/21/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
1212,6/22/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1213,4/21/2023,7 am - 6 pm,Vital Records Control (VRC),30
1214,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1215,3/31/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1216,5/24/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
1217,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1218,8/2/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1219,3/27/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1220,8/11/2023,7 am - 6 pm,Vital Records Control (VRC),85 (Missing box data for 15 of the 100 boxes the store reported)
1221,5/31/2023,7 am - 6 pm,Vital Records Control (VRC),22
1222,4/19/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1223,9/26/2023,7 am - 6 pm,Vital Records Control (VRC),66
1224,4/19/2023,7 am - 6 pm,Vital Records Control (VRC),50
1225,7/3/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1226,8/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1227,4/3/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1228,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1229,9/1/2023,7 am - 6 pm,Vital Records Control (VRC),16 ( missing box data for 123 of the 139 boxes the store reported)
1230,5/15/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1231,7/6/2023,7 am - 6 pm,Vital Records Control (VRC),270
1232,8/22/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1233,8/31/2023,7 am - 6 pm,Vital Records Control (VRC),69
1234,6/6/2023,7 am - 6 pm,Vital Records Control (VRC),52
1235,9/18/2023,7 am - 6 pm,Vital Records Control (VRC),Offsite Storage Box Count 2023 survey not complete
1236,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1237,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1238,6/14/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1239,4/28/2023,7 am - 6 pm,Vital Records Control (VRC),93
1240,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1241,8/22/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1242,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1243,7/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1244,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1245,6/23/2023,7 am - 6 pm,Vital Records Control (VRC),38
1247,4/18/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1248,3/27/2023,7 am - 6 pm,Vital Records Control (VRC),Offsite Storage Box Count 2023 survey not complete
1249,5/4/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1252,8/3/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1253,7/14/2023,7 am - 6 pm,Vital Records Control (VRC),11
1254,7/17/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1255,5/18/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1256,8/22/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1257,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1259,6/6/2023,7 am - 6 pm,Vital Records Control (VRC),44
1260,9/20/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1261,6/22/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1263,5/25/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1264,3/31/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1265,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1266,8/21/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1267,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1268,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1270,3/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1271,6/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1272,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1273,6/6/2023,7 am - 6 pm,Vital Records Control (VRC),146
1274,8/31/2023,7 am - 6 pm,Vital Records Control (VRC),6
1275,5/31/2023,7 am - 6 pm,Vital Records Control (VRC),51
1276,4/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1277,5/17/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1279,8/9/2023,7 am - 6 pm,Vital Records Control (VRC),134
1280,3/14/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1281,9/12/2023,7 am - 6 pm,Vital Records Control (VRC),48
1282,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1283,4/4/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1284,4/24/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1285,8/7/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1286,3/15/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1287,6/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1288,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1289,7/17/2023,7 am - 6 pm,Vital Records Control (VRC),33
1290,3/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1291,5/5/2023,7 am - 6 pm,Vital Records Control (VRC),93
1292,5/1/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1293,8/31/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1294,8/21/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
1295,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1296,9/20/2023,7 am - 6 pm,Vital Records Control (VRC),78 ( Missing box data for 4 of the 82 boxes the store reported )
1297,7/31/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1298,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1299,4/27/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1300,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1301,4/4/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1302,6/23/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
1303,7/7/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1304,4/14/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1305,6/19/2023,7 am - 6 pm,Vital Records Control (VRC),25
1306,7/21/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
1307,7/21/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1308,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1309,4/4/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1310,5/12/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
1311,4/26/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1312,5/4/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
1313,6/16/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1314,4/20/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1315,4/6/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1316,8/3/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1317,8/18/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1318,8/23/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1319,8/21/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1320,7/21/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1321,4/24/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1322,5/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1323,8/21/2023,7 am - 6 pm,Vital Records Control (VRC),45
1324,7/24/2023,7 am - 6 pm,Vital Records Control (VRC),68
1325,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1326,4/28/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1327,6/2/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1328,5/10/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1329,8/29/2023,7 am - 6 pm,Vital Records Control (VRC),62
1330,7/17/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1331,4/17/2023,7 am - 6 pm,Vital Records Control (VRC),27
1332,7/12/2023,7 am - 6 pm,Vital Records Control (VRC),75 (missing box data for 9 of the 84 boxes the store reported)
1333,5/10/2023,7 am - 6 pm,Vital Records Control (VRC),27
1334,8/9/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1335,5/4/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1336,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1337,3/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1338,6/30/2023,7 am - 6 pm,Vital Records Control (VRC),33
1339,5/31/2023,7 am - 6 pm,Vital Records Control (VRC),30
1340,8/8/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1341,5/26/2023,7 am - 6 pm,Vital Records Control (VRC),300
1342,3/31/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1344,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1345,9/7/2023,7 am - 6 pm,Vital Records Control (VRC),12
1346,8/16/2023,7 am - 6 pm,Vital Records Control (VRC),47
1347,4/10/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1348,4/17/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
1349,4/10/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1350,7/11/2023,7 am - 6 pm,Vital Records Control (VRC),5
1351,9/12/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
1352,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1353,4/4/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1354,8/23/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1355,8/29/2023,7 am - 6 pm,Vital Records Control (VRC),59
1356,6/6/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1357,6/22/2023,7 am - 6 pm,Vital Records Control (VRC),156
1358,8/25/2023,7 am - 6 pm,Vital Records Control (VRC),121
1359,3/14/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1360,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1361,8/2/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1362,5/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1363,5/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1364,5/26/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1365,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1366,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1367,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1368,7/6/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
1369,5/15/2023,7 am - 6 pm,Vital Records Control (VRC),66
1370,5/26/2023,7 am - 6 pm,Vital Records Control (VRC),37
1371,4/27/2023,7 am - 6 pm,Vital Records Control (VRC),6 (missing box data for 8 of the 14 boxes the store reported)
1372,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1373,3/28/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1374,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
1375,7/25/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1376,3/27/2023,7 am - 6 pm,Vital Records Control (VRC),108
1377,9/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1378,7/18/2023,7 am - 6 pm,Vital Records Control (VRC),72 (missing box data for 4 of the 76 boxes the store reported)
1379,6/2/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1380,7/26/2023,7 am - 6 pm,Vital Records Control (VRC),55
1381,4/20/2023,7 am - 6 pm,Vital Records Control (VRC),22 (missing box data for 98 of the 120 boxes the store reported)
1382,6/23/2023,7 am - 6 pm,Vital Records Control (VRC),62
1383,3/28/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1384,7/17/2023,7 am - 6 pm,Vital Records Control (VRC),17
1385,8/4/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
1386,5/3/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
