Primary,Control ID ,Criticality,Control Description ,Control Type ,Frequency ,Responsible Role ,Document ,Document Status,Risk,Policy Text ,Control Example/Used Case,,,
English,DUS-19,Important,Collaboration Platform Users must report any suspected misclassifications of data they handle to the Technical Data Stewards and Business Data Stewards responsible for such data.,Detective,As needed,Collaboration Platform Users,Global Data Usage Classification Standard,Published,Failure to report misclassifications may lead to security incidents.,"""Report any suspected misclassifications of data they handle to the Technical Data Stewards and Business Data Stewards responsible for such data.""",Example: A user detects that financial data is improperly labeled as non-sensitive and escalates the issue.,,,
English,DUS-20,Important,Collaboration Platform Users must ensure compliance with the Global Data Sharing Policy.,Compliance,Ongoing,Collaboration Platform Users,Global Data Usage Classification Standard,Published,Unauthorized data sharing could result in data breaches and regulatory fines.,"""Ensure compliance with the Global Data Sharing Policy.""",Example: Users only share approved data with external partners through designated channels.,,,
English,DUS-21,Important,Collaboration Platform Users must immediately notify the applicable market-specific reporting channel or the Emergency Operations Center if they become aware of a data incident.,Corrective,As needed,Collaboration Platform Users,Global Data Usage Classification Standard,Published,Delay in reporting incidents may worsen data breaches and increase regulatory penalties.,"""Immediately notify the applicable market-specific reporting channel or the Emergency Operations Center if they become aware of a data incident (actual or suspected unauthorized access，use，disclosure，compromise，or loss of Sensitive and Highly Sensitive Data).""",Example: A user detects unauthorized access to a highly sensitive dataset and reports it immediately.,,,
English,DUS-22,Important,Access to Restricted View Only data must be limited to specific roles or necessary functions as per Walmart policy. Users can only view data，not change，print，or copy it.,Preventive,Ongoing,Business Data Steward，Business Data Owner,Global Data Usage Classification Standard,Published,Unauthorized users may alter，copy，or print confidential reports，leading to compliance violations.,"""Access to data classified as Restricted View Only must be restricted to specific roles or necessary functions as determined by Walmart policy or the Business Data Stewards under the guidance of Business Data Owners responsible for such data.""",Example: Confidential business reports shared with external auditors under NDA，preventing changes.,,,
English,DUS-23,Important,Access to Restricted Internal and External Sharing data must be limited to authorized associates，vendors，and third parties under strict controls. Data cannot be downloaded，printed，or shared without explicit permission.,Preventive,Ongoing,Business Data Steward，InfoSec，Digital Citizenship,Global Data Usage Classification Standard,Published,Unauthorized sharing or printing could expose financial data，leading to regulatory non-compliance.,"""Access to data classified as Restricted Internal and External Sharing must be restricted to Walmart associates and vendors with a Walmart ID，third parties under non-disclosure agreements (NDAs)，and must have restricted，role-based access through user IDs.""",Example: Draft financial reports shared with external consultants，requiring explicit permission to share.,,,
English,DUS-24,Important,Access to Internal and External Sharing data must be controlled based on specific external entities where a contract exists，governed by Walmart policies or compliance requirements.,Preventive,Ongoing,Business Data Steward，Legal，Digital Citizenship,Global Data Usage Classification Standard,Published,Unauthorized access could lead to contract violations or data misuse，affecting Walmart’s business operations.,"""Access to data classified as Internal and External Sharing must be controlled based on specific external entities where a contract exists，governed by Walmart policies or compliance requirements.""",Example: Marketing materials shared with third-party advertising agencies through contractual agreements.,,,
English,DUS-25,Important,Access to Internal Use Only data must be restricted to Walmart associates or vendors based on roles or necessary functions.,Preventive,Ongoing,Business Data Steward，Business Data Owner,Global Data Usage Classification Standard,Published,Unauthorized internal access could lead to misuse of proprietary company knowledge.,"""Access to data classified as Internal Use Only must be restricted to Walmart associates or vendors (as defined in the Walmart Tech and Data Glossary of Terms) with gated access through specific roles or functions.""",Example: Internal company-wide announcements and procedural documents accessible only to Walmart employees.,,,
English,DUS-26,Moderate,Access to Unrestricted data must be publicly accessible with full permissions.,Preventive,Ongoing,Business Data Owner，InfoSec，Business Data Steward,Global Data Usage Classification Standard,Published,Incorrect classification may result in sensitive data being inadvertently exposed as unrestricted.,"""Access to data classified as Unrestricted must be publicly accessible with full permission.""",Example: Public press releases and marketing brochures are freely available on Walmart’s website.,,,
English,DSP-01,Important,Business Data Owners must determine whether the data in their Business Domain is appropriate for the intended purpose and consistent with the strategy of the Business Domain before it is shared.,Preventive,As needed,Business Data Owner,Global Data Sharing Policy,Published,Misaligned data-sharing decisions can result in regulatory violations and strategic misalignment.,"""Business Data Owners must determine whether the data in their Business Domain is appropriate for the intended purpose and consistent with the strategy of the Business Domain before it is shared.""",Example: A BDO verifies that supplier transaction data is consistent with the company's data-sharing strategy before allowing access.,,,
English,DSP-02,Moderate,Business Data Owners must define the initial business case，data in scope，data usage，and revenue opportunity for data shared from their Business Domain.,Compliance,As needed,Business Data Owner,Global Data Sharing Policy,Published,Lack of documentation can lead to improper or unauthorized data-sharing practices.,"""Business Data Owners must define the initial business case，data in scope，data usage，and revenue opportunity for data shared from their Business Domain.""",Example: A BDO prepares a business case for monetizing store foot traffic data for external partners.,,,
English,DSP-03,Important,Business Data Owners must obtain all necessary approvals before sharing data for which they are responsible.,Compliance,As needed,Business Data Owner,Global Data Sharing Policy,Published,Unauthorized data sharing can result in regulatory penalties and reputational damage.,"""Business Data Owners must obtain all necessary approvals prior to sharing data for which they are responsible.""",Example: A BDO submits a request for external data-sharing approval to the compliance team.,,,
English,DSP-04,Important,Business Data Owners must ensure that all third-party data contracts include a description of the data，its usage，legal approvals，and compliance with Walmart policies.,Compliance,Ongoing,Business Data Owner，Legal，Compliance,Global Data Sharing Policy,Published,Contracts missing compliance clauses could expose Walmart to regulatory risks.,"""Business Data Owners must ensure that all third-party data contracts: a. Include a description of the data and how it will be used. b. Are reviewed and approved by the appropriate legal teams，as well as the Business Data Owners for the Business Domain where the data originated prior to being executed. c. Comply with relevant Walmart policies and standards.""",Example: A BDO ensures that a third-party contract includes a clause specifying data retention and protection obligations.,,,
English,DSP-05,Important,Business Data Owners must fulfill all internal reporting policies required by their Business Domain.,Compliance,Periodic,Business Data Owner,Global Data Sharing Policy,Published,Failure to report data-sharing activities may lead to gaps in oversight and compliance violations.,"""Business Data Owners must fulfill all internal reporting policies required by their Business Domain.""",Example: A BDO submits a quarterly report on data-sharing activities within their domain.,,,
English,DSP-06,Moderate,Business Data Owners must implement processes to track third-party compliance with requirements for data within their Business Domain.,Preventive,Ongoing,Business Data Owner,Global Data Sharing Policy,Published,Lack of oversight could lead to third parties misusing Walmart data.,"""Business Data Owners must implement processes to track third-party compliance with requirements for data within their Business Domain.""",Example: A BDO audits a vendor’s use of shared customer data to ensure it aligns with contract terms.,,,
English,DSP-07,Moderate,Business Data Owners must maintain records of all instances of data sharing involving data for which they are responsible.,Compliance,Ongoing,Business Data Owner,Global Data Sharing Policy,Published,Lack of records can lead to compliance failures during audits.,"""Business Data Owners must keep and maintain records of all instances of Data Sharing involving data for which they are responsible.""",Example: A BDO maintains a digital repository of all data-sharing agreements and approvals.,,,
English,DSP-08,Important,Business Data Stewards must work with compliance teams to ensure Walmart policies and standards are met when sharing data for their Business Domain.,Preventive,Ongoing,Business Data Steward,Global Data Sharing Policy,Published,Data-sharing decisions without compliance review could violate Walmart’s governance policies.,"""Business Data Stewards must work with compliance teams to ensure Walmart policies and standards when sharing data for their Business Domain.""",Example: A BDS consults with legal teams before approving a supplier's data-sharing request.,,,
English,DSP-09,Important,Business Data Stewards must obtain approval from all Data Stewards and Walmart legal teams responsible for the data before scheduling data sharing.,Compliance,As needed,Business Data Steward，Legal,Global Data Sharing Policy,Published,Unapproved data sharing could lead to legal and regulatory penalties.,"""Business Data Stewards must obtain approval from all Data Stewards and Walmart legal teams with responsibility for data before scheduling data sharing.""",Example: A BDS submits a request to legal teams before executing a data-sharing agreement.,,,
English,DSP-10,Moderate,When applicable，Business Data Stewards must perform additional assessments to evaluate risks，countermeasures，and ensure appropriate approval is obtained.,Risk Assessment,As needed,Business Data Steward，Risk & Compliance,Global Data Sharing Policy,Published,Lack of risk assessments could expose Walmart to data breaches or compliance failures.,"""When applicable，Business Data Stewards must perform additional assessments to evaluate risks，countermeasures，and/or ensure appropriate approval is obtained.""",Example: A BDS flags a high-risk data-sharing request for additional review by risk and compliance teams.,,,
English,DSP-11,Important,An Intracompany Data Transfer Agreement must be completed prior to sharing Walmart Data among Walmart entities within the same market.,Compliance,As needed,Business Data Owner，Legal，Compliance,Global Data Sharing Policy,Published,Unauthorized data sharing could lead to compliance violations or regulatory scrutiny.,"""An Intracompany Data Transfer Agreement must be completed prior to sharing Walmart Data among Walmart entities within the same market.""",Example: Before Walmart US shares operational data with Walmart Canada，an intracompany data transfer agreement is finalized.,,,
English,DSP-12,Important,When Walmart Data is shared across national borders，each entity involved must sign a Walmart intra-group Data Transfer Agreement or an alternative agreement approved by Digital Citizenship legal team.,Compliance,As needed,Business Data Owner， Digital Citizenship， Market Legal，Compliance,Global Data Sharing Policy,Published,Failure to comply could result in international regulatory fines and legal penalties.,"""When Walmart Data is shared across national borders each entity that is part of the share must sign: 1. A Walmart intra-group Data Transfer Agreement，or 2. Other agreements approved by the Digital Citizenship legal team.""",Example: Before customer transaction data is shared between Walmart US and Walmart Mexico，a cross-border agreement is established.,,,
English,DSP-13,Important,A fully executed contract，including an Information Security Addendum (ISA) or approved alternate provisions，is required before sharing PI，Sensitive Walmart Data，Highly Sensitive Walmart Data，or access to Walmart Solutions with an external third party.,Preventive,As needed,Business Data Owner，Legal，Compliance，Third-party Risk Management,Global Data Sharing Policy,Published,Sharing data without a security agreement could expose Walmart to security risks and regulatory action.,"""A current，fully executed contract，including an Information Security Addendum (ISA) or alternate provisions approved by Walmart Legal，is required prior to sharing PI，Sensitive Walmart Data，Highly Sensitive Walmart Data，or access to Walmart Solutions with an external third party.""",Example: Walmart partners with a third-party logistics provider and ensures an ISA is in place before sharing customer shipping data.,,,
English,DSP-14,Moderate,The Information Security Addendum (ISA) or alternate provisions must include security specifications required and approved by legal counsel for Digital Citizenship.,Preventive,As needed,Legal，Digital Citizenship,Global Data Sharing Policy,Published,Weak security provisions could lead to third-party data breaches.,"""The ISA or alternate provisions must include the information security specifications required and approved by legal counsel for Digital Citizenship.""",Example: Walmart signs an ISA with a third-party analytics provider，ensuring they adhere to security controls.,,,
English,DSP-15,Moderate,An Enterprise Privacy Risk Assessment (EPRA) or other market-specific privacy compliance assessment must be completed before sharing PI.,Risk Assessment,As needed,Business Data Owner，Privacy Compliance,Global Data Sharing Policy,Published,Unauthorized PI sharing can lead to GDPR，CCPA，or HIPAA violations.,"""An Enterprise Privacy Risk Assessment (EPRA) or other assessment that includes market-specific privacy compliance requirements，must be in place: 1. If required pursuant to the Risk Assessments，Solution Security Plans，and Vulnerability Management (GTPC-P-17-06). 2. Prior to sharing PI.""",Example: Before Walmart shares loyalty program data with a financial institution，an EPRA is conducted to assess privacy risks.,,,
English,DSP-16,Critical,A Know Your Data (KYD) form must be completed before sharing Walmart Data.,Compliance,As needed,Business Data Owner，Data Steward,Global Data Sharing Policy,Published,Lack of KYD form completion could lead to uncontrolled data sharing.,"""A Know Your Data form must be completed prior to sharing Walmart Data.""",Example: A Business Data Owner completes a KYD form before sharing supplier inventory data with a retailer.,,,
English,DSP-17,Important,Updates to an approved data share that would change the classification level or category of data being shared must be submitted for an updated approval.,Compliance,As needed,Business Data Owner，Legal，Privacy Compliance,Global Data Sharing Policy,Published,Unauthorized classification changes could lead to data mishandling and compliance violations.,"""Updates to an approved data share that would change the classification level or category of data being shared must be submitted for an updated approval.""",Example: A data-sharing agreement initially covering non-sensitive transaction data is updated to include customer PI，requiring new approvals.,,,
English,CDRS-01,Important,Associates must use an approved Customer data repository when defining，creating，managing，receiving，consuming，transferring，and storing Customer data.,Preventive,Ongoing,All Associates,Customer Data Repository Standard,Published,Data may be stored in unauthorized repositories，increasing data security risks and compliance violations.,"""Within respective market，associates must use an approved Customer data repository when defining，creating，managing，receiving，consuming，transferring，and storing Customer data.""",Example: Customer service teams must store all customer interactions in the approved CRM system，not in local spreadsheets.,,,
English,CDRS-02,Important,Associates must not create a new Customer data repository unless they provide a justification and receive approval.,Preventive,As Needed,All Associates,Customer Data Repository Standard,Published,Uncontrolled repository creation leads to data duplication，lack of governance，and increased compliance risks.,"""Associates must not create a new Customer data repository unless the associate provides a justification for the new repository.""",Example: A finance team requests a new database for customer transactions; they must justify why an existing repository does not meet requirements.,,,
English,CDRS-03,Moderate,If a new repository is created，it must service a direct Customer-interactive process (e.g.，POS systems) or obtain a written exception.,Preventive,As Needed,All Associates，Business Data Stewardship Team,Customer Data Repository Standard,Published,Unauthorized new repositories may bypass governance controls，leading to data fragmentation.,"""The new repository is intended to service a direct Customer-interactive process，such as a point-of-sale system; or a written exception is obtained.""",Example: A new POS system is implemented that requires a separate repository for processing real-time customer transactions.,,,
English,CDRS-04,Moderate,Associates requesting a Customer data repository exception must submit a written request with detailed justifications.,Detective,As Needed,All Associates，Customer Data Stewardship Team，Digital Citizenship,Customer Data Repository Standard,Published,Unapproved repositories may store customer data improperly，exposing Walmart to regulatory violations.,"""Customer data repository exception requests must be submitted in writing to the Customer Data Stewardship Team and Digital Citizenship with the following information: a. Use case descriptions，including the scope of Customer data required to provision the new Customer data repository; and b. A detailed explanation as to why there is not an existing approved Customer data repository that can fulfill business needs.""",Example: A Walmart market requests an exception to create a localized data repository due to regulatory constraints in that region.,,,
English,CDRS-05,Important,All exceptions must be approved in writing by the Customer Data Stewardship Team and Digital Citizenship.,Preventive,Ongoing,Customer Data Stewardship Team，Digital Citizenship,Customer Data Repository Standard,Published,Unauthorized exceptions may lead to data security risks and lack of auditability.,"""All exceptions must be approved in writing by the Customer Data Stewardship Team and Digital Citizenship.""",Example: A regional subsidiary requests an exception to maintain a separate customer data repository due to unique legal requirements.,,,
English,CDRS-06,Important,The Customer Data Stewardship Team is responsible for tracking and managing exceptions.,Detective,Ongoing,Customer Data Stewardship Team,Customer Data Repository Standard,Published,Lack of tracking may result in unmonitored repositories，leading to compliance failures.,"""The Customer Data Stewardship Team is responsible for tracking and managing exceptions.""",Example: A compliance officer reviews all exceptions quarterly to ensure they remain justified and up to date.,,,
English,CDRS-07,Moderate,Risk assessments must be performed for exceptions where appropriate，evaluating risks，countermeasures，and impact.,Detective,As Needed,Customer Data Stewardship Team，Digital Citizenship,Customer Data Repository Standard,Published,Lack of risk evaluation could expose Walmart to breaches of regulatory requirements and customer trust issues.,"""Where appropriate，a risk assessment must be performed to evaluate risks，countermeasures，and extenuating circumstances associated with the exception，and the impact of the exception on Walmart.""",Example: A risk team evaluates the impact of creating a temporary customer repository for a marketing campaign.,,,
English,CDRS-08,Important,If an exception is granted，the new Customer data repository must be treated as an approved Customer data repository.,Preventive,Ongoing,Customer Data Stewardship Team,Customer Data Repository Standard,Published,Misclassified repositories may bypass controls，leading to data misuse or policy violations.,"""If an exception is granted，the Customer data repository must be treated as an approved Customer data repository.""",Example: A temporary repository approved for a pilot project must adhere to standard governance controls.,,,
English,CDRS-09,Moderate,Each new approved Customer data repository must be separately approved for integrating into downstream systems.,Preventive,As Needed,Customer Data Stewardship Team，Digital Citizenship,Customer Data Repository Standard,Published,Unauthorized integration could expose sensitive customer data to unapproved external systems.,"""Each new approved Customer data repository must be separately approved for integrating into downstream systems.""",Example: A new customer loyalty program repository must be reviewed and approved before syncing with customer analytics systems.,,,
English,CDRS-10,Moderate,Business Data Stewards must provide details of the business processes supported by the Customer data repository.,Preventive,As Needed,Business Data Steward,Customer Data Repository Standard,Published,Lack of documentation may lead to misuse of data or compliance violations.,"""Provide details of the business processes supported by the Customer data repository.""",Example: A customer loyalty system must document how it collects and processes customer interactions.,,,
English,CDRS-11,Important,Identify and consolidate duplicate Customer data with Customer Data Stewardship team，designating repositories as Approved or Not Approved.,Preventive,Ongoing,Business Data Steward，Customer Data Stewardship Team,Customer Data Repository Standard,Published,Data duplication increases risk of inconsistency and compliance failure.,"""Initiate a discussion with the Customer Data Stewardship team when potential duplicate customer data is identified in a repository，aiming to consolidate the data into the approved Customer data repository.""",Example: Identifying multiple databases storing the same customer transaction data and consolidating them into a single source.,,,
English,CDRS-12,Moderate,Ensure no new access requests are granted for Not Approved repositories.,Preventive,Ongoing,Business Data Steward,Customer Data Repository Standard,Published,Unauthorized use of deprecated repositories may result in security risks.,"""Ensure that in case a Customer data repository is flagged as Not Approved，no new access request for usage is granted against the repository.""",Example: A legacy CRM system is marked Not Approved，preventing users from requesting new access.,,,
English,CDRS-13,Moderate,Require Business Data Steward approval for integrating new types of Customer data，with manual verification protocols.,Preventive,Ongoing,Business Data Steward,Customer Data Repository Standard,Published,Unauthorized data integration may lead to regulatory violations.,"""System configuration mandates Business Data Steward approval for the integration of new types of Customer data，complemented by manual verification protocols.""",Example: A new customer engagement API requires Business Data Steward approval before data integration.,,,
English,CDRS-14,Moderate,Ensure detailed analytics derived from Customer data is stored in an approved repository.,Preventive,Ongoing,Business Data Steward,Customer Data Repository Standard,Published,Sensitive data leakage if analytics are stored in unauthorized locations.,"""Ensure that detailed analytics produced using Customer data is stored in one of the approved Customer data repositories as derived Customer data.""",Example: A customer spending analysis report must be stored in an approved analytics repository.,,,
English,CDRS-15,Moderate,Identify Customer data elements that enable customer identification.,Detective,Ongoing,Business Data Steward,Customer Data Repository Standard,Published,Failure to tag PII correctly may lead to privacy violations.,"""Identify data elements that enable the identification of a Customer.""",Example: Names，phone numbers，and email addresses must be tagged as identifiable data.,,,
English,CDRS-16,Important,Ensure Customer data repositories comply with data governance policies and maintain compliance evidence.,Preventive,Ongoing,Business Data Steward,Customer Data Repository Standard,Published,Non-compliant repositories may lead to regulatory penalties.,"""Business Data Stewards are accountable for ensuring their Customer data repositories comply with data governance policies and maintain evidence of compliance.""",Example: Annual compliance certification for all active repositories.,,,
English,CDRS-17,Important,Designate repositories as Trusted Sources based on audit results and compliance standards.,Preventive,Annual,Business Data Steward,Customer Data Repository Standard,Published,Untrusted repositories may lead to inaccurate reporting and non-compliance.,"""Customer data repositories shall be designated as Trusted Sources based on comprehensive compliance with governance policies and successful audit results.""",Example: A customer complaints database is reviewed and certified as a Trusted Source.,,,
English,CDRS-18,Moderate,Conduct an annual certification process for Trusted Sources.,Preventive,Annual,Business Data Steward,Customer Data Repository Standard,Published,Failure to certify repositories could result in data integrity risks.,"""Customer data repositories must undergo an annual certification process to be recognized as trusted sources，meeting all predefined data governance standards.""",Example: Certified repositories undergo automated security assessments annually.,,,
English,CDRS-19,Important,Define critical data elements and develop business rules for them.,Preventive,Ongoing,Business Data Steward,Customer Data Repository Standard,Published,Improperly classified data could lead to governance gaps.,"""Business Data Stewards are required to identify critical data elements and develop associated business rules，documenting the processes and validations.""",Example: Customer order history marked as a critical data element with strict retention rules.,,,
English,CDRS-20,Moderate,Monitor data quality alerts and collaborate with Technical Data Stewards to resolve issues.,Detective,Ongoing,Business Data Steward，Technical Data Steward,Customer Data Repository Standard,Published,Undetected data errors may impact analytics and business decisions.,"""Business Data Stewards will monitor data quality alerts and work with Technical Data Stewards to fix data issues.""",Example: A data quality alert is raised for inconsistent customer address formats.,,,
English,CDRS-21,Important,Authorize access to Customer data repositories per the Global Data Access Standard.,Preventive,Ongoing,Business Data Steward,Customer Data Repository Standard,Published,Unauthorized access increases data breach risks.,"""Authorize access to Customer data repositories as per the Global Data Access Standard.""",Example: Only finance teams can access payment transaction history.,,,
English,CDRS-22,Important,Conduct periodic access reviews as per Global Data Access Standard.,Detective,Semi-Annual,Business Data Steward,Customer Data Repository Standard,Published,Inactive or unauthorized users may retain access to sensitive data.,"""Conduct periodic access reviews as per Global Data Access Standard.""",Example: Reviewing who has access to customer PII every 6 months.,,,
English,CDRS-23,Moderate,Ensure alignment of data management practices with privacy policies and external regulations.,Preventive,Ongoing,Business Data Steward,Customer Data Repository Standard,Published,Regulatory fines and loss of customer trust if privacy policies are violated.,"""Data management practices must be aligned with privacy policies and external regulations，with alignment documented and regularly reviewed for compliance.""",Example: Ensuring customer consent records are maintained for data use.,,,
English,CDRS-24,Important,Review and align deletion and purge activities with the Walmart Global Records and Information Management Policy.,Preventive,Ongoing,Business Data Steward,Customer Data Repository Standard,Published,Retaining expired data increases regulatory risks.,"""Business Data Stewards are responsible for reviewing and aligning deletion and purge activities with business processes，ensuring compliance with the Walmart Global Records and Information Management Policy (DC-DG-09).""",Example: Customer purchase history is purged after the retention period expires.,,,
English,CDRS-25,Moderate,Business Data Stewards must identify and verify new sources for onboarding Customer data into the designated approved Customer data repository，as business needs require.,Preventive,Ongoing,Business Data Steward,Customer Data Repository Standard,Published,Failure to integrate new data sources may result in data silos，incomplete insights，and non-compliance.,"""Identify and verify new sources for onboarding Customer data into the designated approved Customer data repository，as business needs require.""",Example: A new customer support platform collects feedback and needs to be onboarded into the approved central customer repository.,,,
English,CDRS-26,Critical,Document existing Customer data repositories，identifying upstream data sources，frequency of ingestion，labels differentiating original，transformed，and downstream data.,Preventive,Annually,Technical Data Steward,Customer Data Repository Standard,Published,Lack of visibility into data flow can lead to data duplication，compliance risks，and inefficiencies.,"""Document existing Customer data repositories to identify upstream data sources，frequency of ingestion，labels to differentiate between original data，transformed data，and downstream data consumers.""",Maintain a repository inventory with metadata such as ingestion frequency and data transformations.,,,
English,CDRS-27,Important,Mark Customer data repositories flagged as Not Approved as candidates for consolidation，publish a timeline for decommission，and submit an exception request if decommission is not feasible.,Corrective,As Needed,Technical Data Steward,Customer Data Repository Standard,Published,Continued use of unapproved repositories increases security，compliance，and inefficiency risks.,"""In case a Customer data repository is flagged as Not Approved，mark it as a candidate for consolidation and publish a timeline for consolidation and decommission.""",Create a migration plan for merging duplicate repositories.,,,
English,CDRS-28,Moderate,Ensure transition of capabilities when decommissioning Customer data repositories to avoid business service interruptions.,Preventive,As Needed,Technical Data Steward,Customer Data Repository Standard,Published,Loss of business-critical data services causing disruptions to operations and analytics.,"""Ensure that the capabilities are transitioned appropriately to avoid interruption of business services when a Customer data repository is decommissioned.""",Ensure downstream systems are rerouted to the new repository before decommissioning.,,,
English,CDRS-29,Important,Complete APM/SSP assessments before integrating data into an approved Customer data repository，ensuring EPRA and PIA approvals where applicable.,Preventive,As Needed,Technical Data Steward,Customer Data Repository Standard,Published,Failure to assess risks could result in legal and regulatory violations.,"""Data integration into an approved Customer data repository necessitates completion of APM/SSP assessments，inclusive of EPRA approvals and secondary PIA compliance as applicable per jurisdictional requirements.""",Ensure data security and privacy compliance for all new data integrations.,,,
English,CDRS-30,Moderate,Validate APM and SSP numbers before including a dataset in a Customer data repository.,Preventive,As Needed,Technical Data Steward,Customer Data Repository Standard,Published,Unverified data integrations can introduce compliance and security risks.,"""Prior to inclusion into a Customer data repository，the system must validate the associated APM and SSP numbers to ensure compliance.""",Reject non-compliant datasets at onboarding.,,,
English,CDRS-31,Important,Enforce Customer data segregation based on compliance criteria and periodically monitor adherence.,Preventive,Quarterly,Technical Data Steward,Customer Data Repository Standard,Published,Non-compliance with data segregation rules can lead to legal violations.,"""The Customer data repository must enforce Customer data segregation based on compliance criteria，with periodic monitoring to ensure adherence to these standards.""",Ensure health and wellness data is segregated from marketing datasets.,,,
English,CDRS-32,Important,Ensure compliance with health data protection regulations for Health and Wellness Customer data，with quarterly compliance reviews.,Preventive,Quarterly,Technical Data Steward,Customer Data Repository Standard,Published,Regulatory penalties and breaches of customer trust.,"""Ensure the segregation of Health and Wellness Customer data is in strict adherence to Health Data Protection regulations，with quarterly compliance reviews.""",Ensure HIPAA/PHI compliance for health data.,,,
English,CDRS-33,Important,Ensure downstream systems preserve Customer identity from the approved Customer repository and maintain compliance through system checks.,Preventive,Ongoing,Technical Data Steward,Customer Data Repository Standard,Published,Data inconsistency issues impacting customer experiences and regulatory compliance.,"""Ensure that downstream systems preserve Customer identity information established by the approved Customer repository，while ensuring compliance and data integrity through system checks.""",Ensure consistency of customer records across platforms.,,,
English,CDRS-34,Moderate,Implement system controls to segregate Customer identities by entity type—individual，household，and organization—with audit capabilities.,Preventive,Ongoing,Technical Data Steward,Customer Data Repository Standard,Published,Risk of privacy violations and incorrect data handling.,"""Implement system controls to segregate Customer identities by entity type—individual，household，and organization—with audit capabilities to ensure effective separation.""",Ensure different customer identities are not merged improperly.,,,
English,CDRS-35,Moderate,Implement technical access controls for Customer data repositories，including classification-based restrictions.,Preventive,Ongoing,Technical Data Steward,Customer Data Repository Standard,Published,Unauthorized data access leading to security risks.,"""Ensure technical access controls for Customer data repositories are in place，including restrictions based on data classification and usage.""",Restrict highly sensitive data access to authorized roles only.,,,
English,CDRS-36,Important,Ensure compliance with privacy policies and external regulatory requirements by enforcing system and workflow configurations.,Preventive,Ongoing,Technical Data Steward,Customer Data Repository Standard,Published,Regulatory violations and potential fines.,"""System and workflow configurations must enforce privacy considerations，ensuring all technical processes are compliant with privacy policy requirements.""",Ensure all data-sharing workflows meet regulatory compliance.,,,
English,CDRS-37,Important,Ensure timely purging of Customer data post-retention period per Walmart Global Records and Information Management Policy (DC-DG-09).,Corrective,As Needed,Technical Data Steward,Customer Data Repository Standard,Published,Data retention beyond allowed period poses legal risks.,"""Technical Data Stewards must establish procedures to enforce the Walmart Global Records and Information Management Policy (DC-DG-09)，ensuring timely purging of data post-retention period.""",Auto-delete expired customer records per retention policy.,,,
English,CDRS-38,Important,Ensure continuous monitoring for data access，usage，and orphaned repositories.,Preventive,Ongoing,Technical Data Steward,Customer Data Repository Standard,Published,Unauthorized access or orphaned data repositories create security risks.,"""Enable regular User Access Reviews for accessing and using Customer data repositories and data element verification.""",Detect anomalies in data usage to prevent misuse.,,,
English,CDRS-39,Important,Ensure source data for approved Customer data repositories is kept current and updated data is applied to transformed datasets.,Preventive,Ongoing,Technical Data Steward,Customer Data Repository Standard,Published,Use of outdated customer data leading to inaccurate insights.,"""Ensure that source data for approved Customer data repositories is kept current. Updated data must be applied to any transformed data maintained in the Customer data repository.""",Ensure analytics datasets remain aligned with current customer data.,,,
English,CDRS-40,Moderate,Enable regular User Access Reviews for accessing and using Customer data repositories to ensure only authorized users have access.,Preventive,Quarterly,Technical Data Steward,Customer Data Repository Standard,Published,Unauthorized access leading to security and privacy risks.,"""Enable regular User Access Reviews for accessing and using Customer data repositories and data element verification.""",Monitor inactive users with access to Customer data repositories.,,,
English,CDRS-41,Moderate,Establish a process to review inactive Customer data repositories and purge them after a specified period of inactivity.,Preventive,Bi-Annually,Technical Data Steward,Customer Data Repository Standard,Published,Retaining inactive repositories increases security and compliance risks.,"""Establish a process to review Inactive Customer data repositories and purge them after a specified period of inactivity，ensuring compliance with data governance and data retention policies.""",Identify unused repositories and decommission redundant data stores.,,,
English,CDRS-42,Important,Ensure orphaned data repositories undergo a formal retention and legal hold review before purging.,Corrective,As Needed,Technical Data Steward,Customer Data Repository Standard,Published,Orphaned data creates compliance gaps and storage inefficiencies.,"""Customer data repositories that are no longer required must undergo a formal retention and legal hold review process prior to any data purging activities.""",Identify and properly archive or delete orphaned data.,,,
English,CRS-01,Critical,Establish and maintain a centralized list of all known US Customer data repositories. This registry will serve as the definitive reference to ensure that only approved customer data respositories can feed the downstream systems.,Technical,Ongoing ,Global Tech ,Customer Data Repository Control and Exception requirements ,Published,Risk of incomplete oversight of customer data leading to non-compliance with privacy laws and potential data leakage. ,A centralized list of all known US Customer data repositories must be maintained (if one doesn't exist，then it should be created) and leveraged as the authoritative list to drive compliance with this standard. ,Keep a centralized and regularly updated data repository list; success graded by the list's comprehensiveness and usage in compliance activities.,,,
English,CRS-02,Important,Validate if the centralized list is up to date. ,Administrative,As needed ,Technical Data Steward ,Customer Data Repository Control and Exception requirements ,Published,Risk of using outdated information for decision-making and compliance.  ,Assessment must be done to confirm if the customer data repository list is being updated with correct and up to date information. ,Regular validation checks; success evaluated by the currency and relevance of the centralized list.  ,,,
English,CRS-03,Important,Enable flagging of Approved customer data repositories and those that can feed downstream systems. ,Technical,Ongoing ,Global Tech，Customer Data Stewardship Team ,Customer Data Repository Control and Exception requirements ,Published,Risk of data integration errors and unauthorized data usage.  ,Global tech must enable Customer Data Stewardship team to flag Approved customer data repositories from the centralized list. ,Implement a flagging system; success measured by the effectiveness in managing data repository integrations.  ,,,
