DC Number,Type,Date,Application,Summary,Status,Cell,CRQ
6096,Enhancement,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Planned,Cell012,CHG3353974
6096,Enhancement,7/23/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Planned,Cell012,CHG3339095
6096,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,Cell012,CHG3348394
6097,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358524
6097,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358494
6097,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
6097,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell010, Cell011",CHG3358475
6097,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Planned,Cell010,CHG3356163
6099,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358524
6099,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358494
6099,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
6099,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Planned,Cell010,CHG3356163
6099,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell010, Cell011",CHG3358475
6858,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Planned,Cell010,CHG3356163
6858,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358524
6858,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358494
6858,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell010, Cell011",CHG3358475
6858,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
7010,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell000, Cell001, Cell002",CHG3358491
7010,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358514
7010,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358542
7010,Enhancement,7/25/2025,ICQA,"ICQA Web UI Pallet Rounding Fix Rollout to ,",Planned,"Cell000, Cell002",CHG3362580
7012,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,Cell012,CHG3348394
7012,Enhancement,7/23/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Planned,Cell012,CHG3339095
7012,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
7012,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,Cell012,CHG3348394
7012,Enhancement,7/22/2025,ICQA,ICQA (Slotting & Profiling) UI Pilot : Pallet Rounding Fix,Planned,Cell012,CHG3338786
7012,Enhancement,7/24/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Planned,Cell012,CHG3339095
7012,Enhancement,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Planned,Cell012,CHG3348423
7012,Enhancement,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Planned,Cell012,CHG3353974
7013,Enhancement,7/22/2025,Order Processing/ Order Filling,UI Site planned for conversion is Witron 8852,Planned,Cell002,CHG3345788
7013,Enhancement,7/21/2025,Shore,GDC Enhancement and Bug fix Rollout,Planned,Cell002,CHG3348889
7013,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336076
7013,Enhancement,7/22/2025,Receiving,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336204
7013,Enhancement,7/24/2025,Atlas Moves,Rollout Performance screen and Take a break bug fixes,Planned,"Cell000, Cell001, Cell002",CHG3353476
7013,Enhancement,7/22/2025,Atlas Moves,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336527
7013,Enhancement,7/22/2025,Receiving,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336204
7013,Enhancement,7/22/2025,Receiving,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3334216
7013,Enhancement,7/22/2025,Atlas Moves,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336527
7013,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358514
7013,Enhancement,7/24/2025,Order Processing/ Order Filling,OP deployments Enable Billing of POS Jump Water Trailers Rollout ,Planned,"Cell000, Cell001, Cell002",CHG3356181
7013,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3334216
7013,Enhancement,7/25/2025,ICQA,"ICQA Web UI Pallet Rounding Fix Rollout to ,",Planned,"Cell000, Cell002",CHG3362580
7013,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358542
7013,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell000, Cell001, Cell002",CHG3358491
7013,Enhancement,7/22/2025,DC Fin,DC US8852 Inventory 2.0 Migration: DCFIN CCM Changes,Planned,,CHG3352870
7013,Enhancement,7/22/2025,WTD / LMS,"LMS, GDC, , Witron 8852, toggle off Witron MQ toggle on Witron Kafka",Planned,Cell002,CHG3356245
7014,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Planned,Cell010,CHG3356163
7014,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell010, Cell011",CHG3358475
7014,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
7014,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358524
7014,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358494
7015,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358514
7015,Enhancement,7/25/2025,ICQA,"ICQA Web UI Pallet Rounding Fix Rollout to ,",Planned,"Cell000, Cell002",CHG3362580
7015,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358542
7015,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell000, Cell001, Cell002",CHG3358491
7016,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
7016,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358494
7016,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358524
7016,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell010, Cell011",CHG3358475
7016,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Planned,Cell010,CHG3356163
7017,Enhancement,7/22/2025,ICQA,ICQA (Slotting & Profiling) UI Pilot : Pallet Rounding Fix,Planned,Cell012,CHG3338786
7017,Enhancement,7/24/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Planned,Cell012,CHG3339095
7017,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,Cell012,CHG3348394
7017,Enhancement,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Planned,Cell012,CHG3353974
7017,Enhancement,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Planned,Cell012,CHG3348423
7017,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
7017,Enhancement,7/23/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Planned,Cell012,CHG3339095
7017,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,Cell012,CHG3348394
7018,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358514
7018,Enhancement,7/25/2025,ICQA,"ICQA Web UI Pallet Rounding Fix Rollout to ,",Planned,"Cell000, Cell002",CHG3362580
7018,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358542
7018,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell000, Cell001, Cell002",CHG3358491
7019,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Planned,Cell010,CHG3356163
7019,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358524
7019,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358494
7019,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell010, Cell011",CHG3358475
7019,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
7021,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3334216
7021,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell000, Cell001, Cell002",CHG3358491
7021,Enhancement,7/24/2025,Atlas Moves,Rollout Performance screen and Take a break bug fixes,Planned,"Cell000, Cell001, Cell002",CHG3353476
7021,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336204
7021,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3334216
7021,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358514
7021,Enhancement,7/22/2025,WTD / LMS,"LMS, GDC, , Witron 8852, toggle off Witron MQ toggle on Witron Kafka",Planned,Cell002,CHG3356245
7021,Enhancement,7/21/2025,Inventory,Create Topic for 8852 Migration and Deployment of Shafter E2E defect fixes,Planned,,CHG3349203
7021,Enhancement,7/25/2025,ICQA,"ICQA Web UI Pallet Rounding Fix Rollout to ,",Planned,"Cell000, Cell002",CHG3362580
7021,Enhancement,7/24/2025,Order Processing/ Order Filling,OP deployments Enable Billing of POS Jump Water Trailers Rollout ,Planned,"Cell000, Cell001, Cell002",CHG3356181
7021,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336076
7021,Enhancement,7/22/2025,Order Processing/ Order Filling,UI Site planned for conversion is Witron 8852,Planned,Cell002,CHG3345788
7021,Enhancement,7/21/2025,Shore,GDC Enhancement and Bug fix Rollout,Planned,Cell002,CHG3348889
7021,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358542
7021,Enhancement,7/22/2025,DC Fin,DC US8852 Inventory 2.0 Migration: DCFIN CCM Changes,Planned,,CHG3352870
7021,Enhancement,7/22/2025,Atlas Moves,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336527
7021,Enhancement,7/22/2025,Order Processing/ Order Filling,UI Site planned for conversion is Witron 8852,Planned,Cell002,CHG3345788
7021,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336204
7021,Enhancement,7/22/2025,Atlas Moves,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336527
7023,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,Cell012,CHG3348394
7023,Enhancement,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Planned,Cell012,CHG3348423
7023,Enhancement,7/24/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Planned,Cell012,CHG3339095
7023,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
7023,Enhancement,7/23/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Planned,Cell012,CHG3339095
7023,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,Cell012,CHG3348394
7023,Enhancement,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Planned,Cell012,CHG3353974
7023,Enhancement,7/22/2025,ICQA,ICQA (Slotting & Profiling) UI Pilot : Pallet Rounding Fix,Planned,Cell012,CHG3338786
7024,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell000, Cell001, Cell002",CHG3358491
7024,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358514
7024,Enhancement,7/25/2025,ICQA,"ICQA Web UI Pallet Rounding Fix Rollout to ,",Planned,"Cell000, Cell002",CHG3362580
7024,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358542
7030,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358524
7030,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Planned,Cell010,CHG3356163
7030,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell010, Cell011",CHG3358475
7030,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
7030,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358494
7047,Enhancement,7/22/2025,Atlas Moves,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336527
7047,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358514
7047,Enhancement,7/25/2025,ICQA,"ICQA Web UI Pallet Rounding Fix Rollout to ,",Planned,"Cell000, Cell002",CHG3362580
7047,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell000, Cell001, Cell002",CHG3358491
7047,Enhancement,7/21/2025,Inventory,Create Topic for 8852 Migration and Deployment of Shafter E2E defect fixes,Planned,,CHG3349203
7047,Enhancement,7/21/2025,Shore,GDC Enhancement and Bug fix Rollout,Planned,Cell002,CHG3348889
7047,Enhancement,7/22/2025,Atlas Moves,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336527
7047,Enhancement,7/22/2025,Order Processing/ Order Filling,UI Site planned for conversion is Witron 8852,Planned,Cell002,CHG3345788
7047,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336204
7047,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336076
7047,Enhancement,7/22/2025,Order Processing/ Order Filling,UI Site planned for conversion is Witron 8852,Planned,Cell002,CHG3345788
7047,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336204
7047,Enhancement,7/24/2025,Atlas Moves,Rollout Performance screen and Take a break bug fixes,Planned,"Cell000, Cell001, Cell002",CHG3353476
7047,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358542
7047,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3334216
7047,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3334216
7047,Enhancement,7/24/2025,Order Processing/ Order Filling,OP deployments Enable Billing of POS Jump Water Trailers Rollout ,Planned,"Cell000, Cell001, Cell002",CHG3356181
7047,Enhancement,7/22/2025,WTD / LMS,"LMS, GDC, , Witron 8852, toggle off Witron MQ toggle on Witron Kafka",Planned,Cell002,CHG3356245
7047,Enhancement,7/22/2025,DC Fin,DC US8852 Inventory 2.0 Migration: DCFIN CCM Changes,Planned,,CHG3352870
7048,Enhancement,7/22/2025,Order Processing/ Order Filling,UI Site planned for conversion is Witron 8852,Planned,Cell002,CHG3345788
7048,Enhancement,7/22/2025,DC Fin,DC US8852 Inventory 2.0 Migration: DCFIN CCM Changes,Planned,,CHG3352870
7048,Enhancement,7/22/2025,Atlas Moves,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336527
7048,Enhancement,7/22/2025,WTD / LMS,"LMS, GDC, , Witron 8852, toggle off Witron MQ toggle on Witron Kafka",Planned,Cell002,CHG3356245
7048,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358542
7048,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell000, Cell001, Cell002",CHG3358491
7048,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3334216
7048,Enhancement,7/22/2025,Atlas Moves,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336527
7048,Enhancement,7/21/2025,Inventory,Create Topic for 8852 Migration and Deployment of Shafter E2E defect fixes,Planned,,CHG3349203
7048,Enhancement,7/24/2025,Order Processing/ Order Filling,OP deployments Enable Billing of POS Jump Water Trailers Rollout ,Planned,"Cell000, Cell001, Cell002",CHG3356181
7048,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336204
7048,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358514
7048,Enhancement,7/21/2025,Shore,GDC Enhancement and Bug fix Rollout,Planned,Cell002,CHG3348889
7048,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336204
7048,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336076
7048,Enhancement,7/22/2025,Order Processing/ Order Filling,UI Site planned for conversion is Witron 8852,Planned,Cell002,CHG3345788
7048,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3334216
7048,Enhancement,7/24/2025,Atlas Moves,Rollout Performance screen and Take a break bug fixes,Planned,"Cell000, Cell001, Cell002",CHG3353476
7048,Enhancement,7/25/2025,ICQA,"ICQA Web UI Pallet Rounding Fix Rollout to ,",Planned,"Cell000, Cell002",CHG3362580
7055,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
7055,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358524
7055,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358494
7055,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell010, Cell011",CHG3358475
7055,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Planned,Cell010,CHG3356163
7077,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336076
7077,Enhancement,7/22/2025,DC Fin,DC US8852 Inventory 2.0 Migration: DCFIN CCM Changes,Planned,,CHG3352870
7077,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336204
7077,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell000, Cell001, Cell002",CHG3358491
7077,Enhancement,7/22/2025,Order Processing/ Order Filling,UI Site planned for conversion is Witron 8852,Planned,Cell002,CHG3345788
7077,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358542
7077,Enhancement,7/25/2025,ICQA,"ICQA Web UI Pallet Rounding Fix Rollout to ,",Planned,"Cell000, Cell002",CHG3362580
7077,Enhancement,7/22/2025,WTD / LMS,"LMS, GDC, , Witron 8852, toggle off Witron MQ toggle on Witron Kafka",Planned,Cell002,CHG3356245
7077,Enhancement,7/22/2025,Order Processing/ Order Filling,UI Site planned for conversion is Witron 8852,Planned,Cell002,CHG3345788
7077,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3334216
7077,Enhancement,7/22/2025,Atlas Moves,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336527
7077,Enhancement,7/21/2025,Shore,GDC Enhancement and Bug fix Rollout,Planned,Cell002,CHG3348889
7077,Enhancement,7/24/2025,Order Processing/ Order Filling,OP deployments Enable Billing of POS Jump Water Trailers Rollout ,Planned,"Cell000, Cell001, Cell002",CHG3356181
7077,Enhancement,7/22/2025,Atlas Moves,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336527
7077,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3334216
7077,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358514
7077,Enhancement,7/21/2025,Inventory,Create Topic for 8852 Migration and Deployment of Shafter E2E defect fixes,Planned,,CHG3349203
7077,Enhancement,7/24/2025,Atlas Moves,Rollout Performance screen and Take a break bug fixes,Planned,"Cell000, Cell001, Cell002",CHG3353476
7077,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336204
7079,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358514
7079,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358542
7079,Enhancement,7/25/2025,ICQA,"ICQA Web UI Pallet Rounding Fix Rollout to ,",Planned,"Cell000, Cell002",CHG3362580
7079,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell000, Cell001, Cell002",CHG3358491
7084,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3334216
7084,Enhancement,7/22/2025,Atlas Moves,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336527
7084,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358542
7084,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336076
7084,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell000, Cell001, Cell002",CHG3358491
7084,Enhancement,7/22/2025,DC Fin,DC US8852 Inventory 2.0 Migration: DCFIN CCM Changes,Planned,,CHG3352870
7084,Enhancement,7/22/2025,Order Processing/ Order Filling,UI Site planned for conversion is Witron 8852,Planned,Cell002,CHG3345788
7084,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3334216
7084,Enhancement,7/22/2025,Order Processing/ Order Filling,UI Site planned for conversion is Witron 8852,Planned,Cell002,CHG3345788
7084,Enhancement,7/21/2025,Shore,GDC Enhancement and Bug fix Rollout,Planned,Cell002,CHG3348889
7084,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336204
7084,Enhancement,7/22/2025,WTD / LMS,"LMS, GDC, , Witron 8852, toggle off Witron MQ toggle on Witron Kafka",Planned,Cell002,CHG3356245
7084,Enhancement,7/25/2025,ICQA,"ICQA Web UI Pallet Rounding Fix Rollout to ,",Planned,"Cell000, Cell002",CHG3362580
7084,Enhancement,7/21/2025,Inventory,Create Topic for 8852 Migration and Deployment of Shafter E2E defect fixes,Planned,,CHG3349203
7084,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336204
7084,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358514
7084,Enhancement,7/22/2025,Atlas Moves,8852 Modernization Atlas Loading CCM changes,Planned,Cell002,CHG3336527
7084,Enhancement,7/24/2025,Atlas Moves,Rollout Performance screen and Take a break bug fixes,Planned,"Cell000, Cell001, Cell002",CHG3353476
7084,Enhancement,7/24/2025,Order Processing/ Order Filling,OP deployments Enable Billing of POS Jump Water Trailers Rollout ,Planned,"Cell000, Cell001, Cell002",CHG3356181
8348,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358514
8348,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Planned,,CHG3349545
8348,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Planned,Cell001,CHG3315513
8348,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell000, Cell001, Cell002",CHG3358491
8348,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358542
