Primary,Business Domain,Data Group (Sub Domain),Data Sub Group (Business Process),Description,Example,Harm to Walmart,Harm to the Individual,Internal Remark,Data Classification,Data Category,Scope
English,Finance,Proprietary Institutional Information,Policy,A course or priciple of action adopted or proposed by a government / party / business / individual.,Policy,,,,Sensitive,Business Information,Global
English,Health and Wellness,Proprietary Institutional Information,Pregnancy status ,The state of being pregnant.,Currently pregnant / Not pregnant / Unknown,,,,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Proprietary Institutional Information,Pregnancy status ,The state of being pregnant.,Currently pregnant / Not pregnant / Unknown,,,,Sensitive,Personal Information,South Africa
English,Information Security,Proprietary Institutional Information,Presentations containing company or department metrics   ,Presentations containing company or department metrics.,Presentation showing marketing metrics / etc.,,,,Highly Sensitive,Business Information,Global
English,Merchandising,Proprietary Institutional Information,Pricing calculations/conditions/ strategies / future pricing / price gaps / price performance / all pricing KPIs,Pricing is a crucial element in marketing.,Directly impacts consumer behavior / revenue / and profitability.,,,,Highly Sensitive,Business Information,Global
English,Information Security,Proprietary Institutional Information,Private Keys (e.g. RSA‚ DSA‚ ECC‚ EdDSA‚ AES‚ SSH‚ PGP/GPG),An extra layer of security by requiring users to possess the physical key in addition to their password to access sensitive systems or accounts.,RSA / DSA / ECC / EdDSA / AES / SSH / PGP / GPG,,,,Highly Sensitive,Business Information,Global
English,Information Security,Proprietary Institutional Information,Private Keys (With Cloud Credentials),A secret cryptographic key used to authenticate and access cloud services.,Service account key,,,,Highly Sensitive,Business Information,Global
English,Information Security,Proprietary Institutional Information,Private Keys (Without Cloud Credentials),A secure way to authenticate and access sensitive data without directly sharing passwords,Private key without cloud credentials,,,,Highly Sensitive,Business Information,Global
English,Health and Wellness,Proprietary Institutional Information,Protected Health Information (PHI),Individually identifiable health information that is in posession of or transmitted by a covered entity or it's business associates.,PHI shared manually by email,HIPAA breach,Medical privacy harm,Regulated data + manual email = critical vulnerability,Highly Sensitive-Restricted,Personal Information,Global
English,Information Security,Proprietary Institutional Information,Prvate Keys,Cryptographic key used to decrypt data.,Found in code or config files,Unauthorized Access,N/A,Breaks containment and enables system-level intrusion,Highly Sensitive-Restricted,Business Information,Global
English,Information Security,Proprietary Institutional Information,Public Keys,Mathematical keys used in public key cryptography to encrypt and verify digital information.,A secure Sockets Layer certificate.,None,None,,Non-Sensitive,Business Information,Global
English,Merchandising,Proprietary Institutional Information,Public or published Item/Catalog,Products or services offered by a business that is made available for customers to view.,Physical printed catalogs or digital format that is acccessible online.,None,None,,Non-Sensitive,Business Information,Global
English,Merchandising,Proprietary Institutional Information,Public product catalog,Published product catalog,Data published on walmart.com,None,None,Publicly disclosed product info,Non-Sensitive,Business Information,Global
English,Finance,Proprietary Institutional Information,Public Released Earnings,A company's official statement of its profits and losses for a specific period‚ usually a quarter or year‚ that is released to the public.  ,""" [City‚ State] - [Date] - [Company Name] (NYSE: [Ticker]) today announced its financial results for the second quarter ended [Date]‚ reporting revenue of $[Amount] million‚ representing a [Percentage] increase from the prior year quarter. ",None,None,,Non-Sensitive,Business Information,Global
English,Information Security,Proprietary Institutional Information,Publicly available facility maps,Publicly available facility maps,Publicly available facility maps,None,None,,Non-Sensitive,Business Information,Global
English,Finance,Proprietary Institutional Information,Publicly disclosed Legal Entity Organization charts ,Publicly available visual representation of the relationships between legal entities within a business,Limited Liability Company / sole proprietorship / corporation,None,None,,Non-Sensitive,Business Information,Global
English,Finance,Proprietary Institutional Information,Published Global Chart of Accounts,A  standardized list of financial accounts used by a multinational company across all its subsidiaries‚ providing a consistent framework for recording and reporting financial transactions globally‚ enabling easy comparison and consolidation of financial data from different regions and legal entities. ,Typically includes asset accounts / liability accounts / equity accounts / cost of goods sold / expense accounts,,,,Sensitive,Business Information,Global
English,Finance,Proprietary Institutional Information,Published Tax Obligation (e.g. Federal Tax‚ International Tax‚ etc.),Obligations that are formally announced and made available to the public through official IRS publications.,Internal Revenue Bulletin (IRB),None,None,,Non-Sensitive,Business Information,Global
English,Health and Wellness,Proprietary Institutional Information,Quality Control,System implimented to maintain a high level of quality across all healthcare practices to minimize errors and risks.,Patient satisfaction surveys / Incident reporting / Regular equipment calibration / etc.,,,,Highly Sensitive,Personal Information,Global
English,Merchandising,Proprietary Institutional Information,Quantities‚ amounts (other than cost),The physical count of unsold merchandise a business currentlly posesses.,Example: Units,,,,Sensitive,Business Information,Global
English,Finance,Proprietary Institutional Information,Quarterly Reporting,Financial statements that summarize a company's performance over a three month period.,balance sheets / income statements / cash flow statements,,,,Highly Sensitive,Business Information,Global
English,Health and Wellness,Proprietary Institutional Information,Radiology Imaging,Imaging that can help diagnose and monitor health conditions.,X-rays / Ultrasound / CT scan / etc.,,,,Highly Sensitive,Personal Information,Global
English,Information Security,Proprietary Institutional Information,RBAC: business PI data related,Role based access control,Spedific roles granted and controlled for a specific Role within Walmart to acceses PI related data.,,,,Highly Sensitive,Business Information,Global
English,Finance,Proprietary Institutional Information,Reconciliations,An accounting process that compares two sets of financial data to ensure accuracy. This cannot include HIPPA or PII data.,Vendor reconciliation / Accounts receivable reconciliation / etc.,,,,Sensitive,Business Information,Global
English,Health and Wellness,Proprietary Institutional Information,Records for certain populations - vulnerable populations,Data collected specifically on groups considered particularly susceptible to social / economic / or health disadvantages.,Elderly / children / disabled people / etc.,,,,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Proprietary Institutional Information,Reportable Events/Diseases,Conditions that are reported to health authorities because they are a public health concern.,Foodborne illnesses / etc.,,,,Highly Sensitive,Personal Information,Global
English,Information Security,Proprietary Institutional Information,Restricted Facility Maps‚ Plans‚ or Assets,Restricted Facility Maps‚ Plans‚ or Assets,Restricted Facility Maps‚ Plans‚ or Assets,,,,Highly Sensitive,Business Information,Global
English,Finance,Proprietary Institutional Information,Returns,Profits on an investments.,When you buy stock at $10k and sell it at $12k your retujrn is $2k.,,,,Highly Sensitive,Business Information,Global
English,Walmart Connect,Proprietary Institutional Information,Review of Media Planning‚ Creatives‚ Campaigns‚ Advertiser Items‚ Audience Ids‚ Targeting tactics‚ metrics and models,A comprehensive evaluation of various aspects of digital advertising.,Media Planning‚ Campaigns‚ etc. ,,,,Highly Sensitive,Business Information,US
English,Information Security,Proprietary Institutional Information,Risk-related metrics (e.g.‚ Risk Rating ‚ Issue Name‚ Isse Description‚ Severity etc.),The way to put a numerical value on the likelihood and severity of a risk.,Risk Rating / Issue Name / Isse Description / Severity / etc.,,,,Highly Sensitive,Business Information,Global
English,Information Security,Proprietary Institutional Information,Role Based Access Control (RBAC)and Rule Based Access Control (RuBAC) details,RBAC is a security method that manages user access to systems‚ data‚ and applications by assigning permissions based on their predefined roles within an organization. RuBAC is a security model that uses rules to manage access to resources.,Building access only allowed during certain times.,,,,Highly Sensitive,Business Information,Global
English,Finance,Proprietary Institutional Information,Routing Number,A 9-digit code that identifies a financial institution. ,Routing number used for an associate's direct deposit set up for their pay check.,,,,Highly Sensitive,Personal information,Global
English,Health and Wellness,Proprietary Institutional Information,Rx/Prescription number or information ,A unique number that's assigned to each prescription that is filled at a pharmacy.,RX number / Pharmacy information / Name / Fill date / Prescriber's name / etc.,,,,Highly Sensitive,Personal Information,Global
English,Finance,Proprietary Institutional Information,Sales and Use Tax Refunds,A return that is used to report on the sales an duse taxes collected and remitted by your business to the government.,Result of a company overpaying their sales and use tax.,,,,Sensitive,Business Information,Global
English,Finance,Proprietary Institutional Information,Sales Tax - Planning and Store Ops,A transactional tax. Calculated as a percentage of the sales price of taxable goods and certain taxable services.,Product taxability determination,,,,Sensitive,Business Information,Global
English,Finance,Proprietary Institutional Information,Sales Tax Audit Defense,Protects a company from overpayment of taxes‚ penalties‚ and interest by ensuring compliance with tax laws and challenging incorrect assessments.,Validation of exemption certificates / etc.,,,,Highly Sensitive,Business Information,Global
English,Finance,Proprietary Institutional Information,Sales Tax Compliance,Preparing and filing sales and use tax returns.,Timely filing of taxes / Expenses / etc.,,,,Highly Sensitive,Business Information,Global
English,Information Security,Proprietary Institutional Information,Salesforce Access Token,A key that allows an application to access protected data on Salesforce. ,API call to interact with Salesforce data.,,,,Highly Sensitive,Business Information,Global
English,Information Security,Proprietary Institutional Information,Sauce Token,A governance token for the SaucerSwap platform. ,Could be used to allow access to an individual to view a result of an automated test run without grating access to the full account.,,,,Highly Sensitive,Business Information,Global
English,Supply Chain,Proprietary Institutional Information,Secure Application Catalog Executive Score Card Data,High level information formally presented in a way that enables executive decisions to be made by executives.,Scorecard that provides KPIs and metrics that are relevant to the executives.,,,,Sensitive,Business Information,Global
English,Supply Chain,Proprietary Institutional Information,Secure Enterprise Consumption Data,The practice of protecting and managing an organization's dta across all systems and platforms.,Data protection / Access control / etc.,,,,Sensitive,Business Information,Global
English,Supply Chain,Proprietary Institutional Information,Secure Non-Catalog/Raw Laminar Data (by source system),Type of data managed and protected by security solutions.,Unstructured internal document,,,,Sensitive,Business Information,Global
English,Information Security,Proprietary Institutional Information,Secure tokens,A layer of security that verifies user's identity and authorizes access.,Residual in system logs,Unauthorized Access,N/A,Tokens must not be stored in accessible channels,Highly Sensitive-Restricted,Business Information,Global
English,Finance,Proprietary Institutional Information,Sensitive financial data that has not been publicly released and cannot be aggregated to show total company performance prior to an earnings report,Sensitive data that is not publicly released and cannot be aggregated to show total company performance prior to an earnings report.,Individual sales data from a specific department,,,,Sensitive,Business Information,Global
English,Health and Wellness,Proprietary Institutional Information,Sexual and Reproductive Health,A state of complete physical / mental / social well being related to one's reproductive system.,Contraception / Fertility and intertility care / etc. ,,,,Highly Sensitive,Personal Information,Global
English,Information Security,Proprietary Institutional Information,Slack Webhook,Unique URL that enables external applications to send messages and data to a Slack channel. , Setting up a system where whenever a new customer order is placed on an online store. An automated message is sent to a designated Slack channel with details about the order like the customer's name / product details / and total amount that effectively notifies the sales team in real-time about new orders. ,,,,Highly Sensitive,Business Information,Global
English,Health and Wellness,Proprietary Institutional Information,Sleep data,Information collected about a person's sleep patterns.,Sleep stages / REM sleep / Body movements / Breathing rate and oxygen levels / etc.,,,,Highly Sensitive,Personal Information,Global
English,Information Security,Proprietary Institutional Information,SOC specific data,Information gathered during a Service Organization Controls that essentially details how well a company protects customer data and adheres to security best practices.,A service account key on Google Cloud Platform.,,,,Highly Sensitive,Personal Information,Global
English,Information Security,Proprietary Institutional Information,SonarQube Token,A unique identifier that allows users to access the SonarQube server.,Used when interacting with SonarQube API.,,,,Highly Sensitive,Business Information,Global
English,Finance,Proprietary Institutional Information,State Income Tax Compliance,A fixed or graduated rate on taxable income.,Individuals / corporations / and certain estates and trusts are taxable.,,,,Sensitive,Business Information,Global
English,Information Security,Proprietary Institutional Information,Structured/Unstructured Non-PI data collected from multiple data sources for use in litigation‚ investigations‚ and claims.,Data that cannot be traced to identify a person.,Partially or fully masked IP addresses / Device type / Browser type / etc.,,,,Highly Sensitive,Business Information,Global
English,Information Security,Proprietary Institutional Information,Structured/Unstructured PI data collected from multiple data sources for use in litigation‚ investigations‚ and claims.,Structured data is information formatted in predefined and organized ways for analysis and retrieval. Unstructured data is collected from various sources an dbuilds a fuller picture in ediscovery.,Structured example: Databases / Spreadsheets / Transactional systems / etc.  Unstructured example: Text documents / images / social media‚ etc.,,,,Highly Sensitive,Personal Information,Global
English,Supply Chain,Proprietary Institutional Information,Supply Chain Tracker Data,The information collected througout the movement of goods within a supply chain that allows businesses to monitor and manage their logistics efficiently.,Includes details like locations / shipment status/ inventory levels / etc.,,,,Sensitive,Business Information,Global
English,Supply Chain,Proprietary Institutional Information,Supply Chain Tracker Secure Data,The sensitive information related to the movement of goods throughout a suppl chain that is protected with high security measures. ,Location information / Condition / Movement of goods / etc.,,,,Sensitive,Business Information,Global
English,Merchandising,Proprietary Institutional Information,System generated unique identifiers/codes‚ warehouse/ channels/departments information,Identify and track entities in various systems and ensure accurate data management and traceability.,UUIDs or GUIDs,,,,Sensitive,Business Information,Global
English,Finance,Proprietary Institutional Information,Tax Policy,Guidelines and principles established by a government for the imposition and collection of taxes.,Earned Income Tax Credit,,,,Sensitive,Business Information,Global
English,Health and Wellness,Proprietary Institutional Information,Telehealth data,Information collected through telehealth platforms .,Medical history / Vital signs / Symptoms / Lifestyle factors / etc.,,,,Highly Sensitive,Personal Information,Global
English,Finance,Proprietary Institutional Information,Tender and Payments (Cash‚ credit cards‚ WIC‚ etc.),Offer and acceptance of payments. ,Cash‚ credit cards‚ WIC‚ etc.,,,,Highly Sensitive,Business Information,Global
English,Finance,Proprietary Institutional Information,Trading Partners,Individual or organization that facilitates the buying and selling of goods and services between two other parties.,Technology partners‚ suppliers‚ and delivery services. ,,,,Sensitive,Business Information,Global
English,Information Security,Proprietary Institutional Information,Training materials or internal technical documents ,A resources used to educate employees within a company on specific processes / systems / or skills needed for their job.  ,SOPs / Procedural Documents / Manuals / etc.,Internal leakage risk,None,Internal facing; may affect store process integrity,Sensitive,Business Information,Global
English,Finance,Proprietary Institutional Information,Treasury,The management of an organization's money and financial risks.,Investment Management - Overseeing investments and managing the risk associated with them.,,,,Sensitive,Business Information,Global
English,Finance,Proprietary Institutional Information,Treasury Operations,The management of a company's financial assets and liabilities.,Cash flow forecasting‚ cash management‚ risk management‚ liquidity management‚ and investing. ,,,,Highly Sensitive,Business Information,Global
English,Health and Wellness,Proprietary Institutional Information,Treatment Mental Health ,Interventions and strategies aimed to improve mental well being and address mental health disorders.,Psychotherapy / Medication / Support groups / etc.,,,,Highly Sensitive,Personal Information,Global
English,Finance,Proprietary Institutional Information,Unpublished financial forecast,Financial information prior to release,KPI dashboards pre-release,SEC/MNPI risk,N/A,Legally protected performance data,Highly Sensitive,Business Information,Global
English,Merchandising,Proprietary Institutional Information,Unpublished financials‚ financial plans,Financial data or news about a company that is not yet publically available that could potentially significantly impact its stock price if revealed.,Divident announcements / Financial results / etc.,,,,Highly Sensitive,Business Information,Global
English,Finance,Proprietary Institutional Information,Unpublished Tax Obligation (e.g. Federal Tax‚ International Tax‚ etc.),Obligations are those that are not formally published and are not made available to the public. ,Unpublished court opinions / IRS Procedures or guidance that are not published in the IRB,,,,Highly Sensitive,Business Information,Global
English,Health and Wellness,Proprietary Institutional Information,Vision Center,Any personally identifiable information collected within the pharmacy is considered in scope for HIPAA.,F/L name / Rx details / Billing information / etc. ,,,,Highly Sensitive,Personal Information,Global
English,Information Security,Proprietary Institutional Information,Vulnerability report/scoring for any OSI layer (application‚ presentation‚ session‚ transport‚ network)  e.g. Port specific details (source and target information)‚ Exploitability metrics‚ CVSS‚ Description of exploits‚ Priority etc., Assesses the severity of vulnerabilities across different OSI layers that help organizations prioritize remediation efforts. ,Exploitability metrics / CVSS / Description of exploits / etc.,,,,Highly Sensitive,Business Information,Global
English,Walmart Connect,Proprietary Institutional Information,Walmart app and website User interactions on Walmart digital properties (i.e. type of activities from Walmart digital properties – Search‚ Browse‚ Page View session and event logs),Actions or behaviors that users perform when accessing Walmart's digital platforms.,Type of activities from Walmart digital properties – Search‚ Browse‚ Page View session and event logs,,,,Sensitive,Business Information,US
English,Health and Wellness,Proprietary Institutional Information,Walmart Health Research Institute ,Any personally identifiable information collected within the pharmacy is considered in scope for HIPAA.,F/L name / Rx details / Billing information / etc. ,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Public Information,Business Phone,A business phone number that is readily available to the public.,A phone number listed in an online directory.,None,None,,Non-Sensitive,Business Information,Global
English,All Domains,Public Information,Company Name ,The official legally registered name under which a business operates.,Used in legal documents / contracts / tax filings / etc.,None,None,,Non-Sensitive,Business Information,Global
English,All Domains,Public Information,Executive Officers,A high leveled person who manages and leads an organization.,President / SVP / CFO / etc.,None,None,,Non-Sensitive,Business Information,Global
English,All Domains,Public Information,Other Public Information,Other Public Information,Other Public Information,None,None,,Non-Sensitive,Business Information,Global
English,All Domains,Public Information,Published Annual Reports,Documents that publicly traded companies publish each year to share information about their performance and financial health. ,Published Walmart Annual Report,None,None,,Non-Sensitive,Business Information,Global
English,All Domains,Public Information,Published Business Address ,A business address that is publicly listed and accessible.,Address listed in online listings or printed directories,None,None,,Non-Sensitive,Business Information,Global
English,All Domains,Public Information,Published Corporate Contact Information ,Publicly available corporate contact information.,"Company's website ""Contact Us"" section",None,None,,Non-Sensitive,Business Information,Global
English,All Domains,Public Information,Published Distribution Centers,Logistic facilities that store and move goods to and from retailers / wholesalers / and customers.,Retail distribution centers,None,None,,Non-Sensitive,Business Information,Global
English,All Domains,Public Information,Published Marketing Materials ,Marketing materials that have been officially released and made accessable to the public by a company to promote their products or services.,Brochurs / Website content / Socail media posts / etc.,None,None,,Non-Sensitive,Business Information,Global
English,All Domains,Public Information,Published Number of Stores and Retail Square Feet Publicly available ,Public store-related details.,Number of stores / Retail square footage ,None,None,,Non-Sensitive,Business Information,Global
English,All Domains,Public Information,Published Owned Brands ,A company or brand that create and distribute their own content through it's own platforms.,Great Value,None,None,,Non-Sensitive,Business Information,Global
English,All Domains,Public Information,Published Press Released Information ,The details of a news announcement that a company or organization has officially shared with the media through a press release. ,Newspapers / Websites / News / Broadcasts / etc.,None,None,,Non-Sensitive,Business Information,Global
English,All Domains,Purchase History Information,Business Customer order/purchase history (goods and services),Record of transactions a purchaser has had with a company.,Purchase history between Walmart and a software company for a specific department.,,,,Highly Sensitive,Business Information,Global
English,All Domains,Purchase History Information,Individual Customer order/purchase history (goods and services),A list of all the orders you've received from customers in the past with specific item and order details.,Order details for purchases made apparel.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Purchase History Information,Order/purchase history (goods and services bought),A record of all the transactions associated with a purchase order.,Purchase order issued showing items ordered‚ the quantities received‚ and the amounts billed. ,,,,Sensitive,Business Information,Global
English,All Domains,Purchase History Information,Velocity + device + purchase behavior,Combination of purchase related behavior information.,Used in fraud scoring model,Model bias‚ risk scoring audit failure,Behavior exclusion‚ false flags,Sensitive features in automated decisioning require Highly Sensitive-Restricted designation,Highly Sensitive-Restricted,Business Information,Global
English,All Domains,Real Estate,Growth Strategy,A plan that outlines how a business or investor aims to expand their activities. ,New properties / Expanding into new markets / Improving existing operations / etc.,,,,Highly Sensitive,Business Information,Global
English,All Domains,Real Estate,Information provided by property owners and developers ,Detailed descriptions of properties provided by owners. ,Property descriptions / Legal descriptions / Details about leases / Tenants / Property records / etc.,,,,Sensitive,Business Information,Global
English,All Domains,Real Estate,Opening plans or projects,Initial announcement and sales launch of a new development or property.,Project launch / Pre-Launch / Marketing and Sales / etc.,,,,Highly Sensitive,Business Information,Global
English,All Domains,Real Estate,Performance results (including projected results‚ post Audit reviews and OKRs related with sales during the year after the opening),Financial metrics that provide a comprehensive view of performance.,Projected results / Post audit reviews / OKRs / etc.),,,,Highly Sensitive,Business Information,Global
English,All Domains,Real Estate,Real Estate Business Plan,A roadmap to guide the business's development and decision making process.,Goals / Strategies / Tactics a real estate agent or company will use to operate in the market / Financial projections / etc.,,,,Highly Sensitive,Business Information,Global
English,All Domains,Real Estate,Real estate proprietary records ,Legal documents containing information about a specific piece of real estate.,Ownership / Encumbrances / Transactions ,,,,Highly Sensitive,Business Information,South Africa
English,All Domains,Real Estate,Recommendations or assessments executed by Audit and Compliance,Process of identifying problems and risks resulting in recommendations.,Compliance audits / Improve processes,,,,Highly Sensitive,Business Information,Global
English,All Domains,Risk Management ,Other Risk Data i.e. audit score‚ iso score,Information used to manage risk and other business processes.,Audit score / ISO score / etc.,,,,Highly Sensitive,Business Information,Global
English,All Domains,Risk Management ,Vendor compliance scorecards,Scorecard specific to vendor compliance.,Supplier selection scoring,Legal or contractual dispute,None,Disclosure could affect negotiations. ,Highly Sensitive,Business Information,Global
English,All Domains,Shipment Tracker,Real time GPS coordinates,Real-time updated location of a device or object using the GPS network.,Monitoring asset locations during transport / etc.,,,,Sensitive,Business Information,Global
English,All Domains,Software Development,DB credentials,Authentication information ,Found in source code repositories or logs,Infastructure breach,N/A,Hardcoded secrets pose major technical risk,Highly Sensitive-Restricted,Business Information,Global
English,All Domains,Software Development,Source Code,A group of instructions that a programmer writes using computer programming languages.,Can be implimented in a website / application / etc.,,,,Sensitive,Business Information,Global
English,All Domains,Special Personal Information Attributes,Citizenship,The position or status of being a citizen of a particular country.,Citizenship details of a specific individual,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Special Personal Information Attributes,Citizenship Status,A person's legal designation as a citizen of a particular country that indicates whether they have full rights nad privileges associated with being a citizen of that nation.,Citizen / non-citizen / naturalized ,,,,Highly Sensitive,Personal Information,South Africa
English,All Domains,Special Personal Information Attributes,Country of Birth,A country where someone was born.,Born in US / Canada / Mexico / etc.,,,,Sensitive,Personal Information,Global
English,All Domains,Special Personal Information Attributes,Country of Residency,A country where someone lives and has a permanent address.,US / Canada / Mexico / etc.,,,,Sensitive,Personal Information,Global
English,All Domains,Special Personal Information Attributes,Disability-related information,Information related to a physical or mental impairment that substantially limits one or more major life activities.,Cognitive disability / Physical disability / Sensory disability / etc.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Special Personal Information Attributes,Ethnicity,A group of people who identify with eachother.,Cultural identity / History / Ancestry,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Special Personal Information Attributes,Ethnicity + religion in ML model,Combination of information related to religion and ethnicity in ML model.,Model feature for personalization,Legal/media fallout,Discrimination risk,Protected class in automation = maximum restriction,Highly Sensitive-Restricted,Personal Information,Global
English,All Domains,Special Personal Information Attributes,Gender,A person's self-identified sex or how they socially present.,Male / female / non-binary,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Special Personal Information Attributes,Gender,A person's self-identified sex or how they socially present.,Male / female / non-binary,,,,Sensitive,Personal Information,South Africa
English,All Domains,Special Personal Information Attributes,Gender code (reference-only),Lookup metadata‚ not linked to people.,0=Not known‚ 1=Male‚ etc.,None,None,Metadata not linked to identity,Non-Sensitive,Personal Information,Global
English,All Domains,Special Personal Information Attributes,Information relating to a child under 13,Information relating to a child under 13,Information relating to a child under 13,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Special Personal Information Attributes,Information relating to a child under 14,Information relating to a child under 14,Information relating to a child under 14,,,,Highly Sensitive,Personal Information,China
English,All Domains,Special Personal Information Attributes,Information relating to a child under 18,Information relating to a child under 18,Information relating to a child under 18,,,,Highly Sensitive,Personal Information,Central America
English,All Domains,Special Personal Information Attributes,Information relating to a child under 18,Information relating to a child under 18,Information relating to a child under 18,,,,Highly Sensitive,Personal Information,South Africa
English,All Domains,Special Personal Information Attributes,Marital Status,Describes a person's relationship to a signifigant other.,Married / single / divorced / separated / etc.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Special Personal Information Attributes,Marital Status or History,Marital status is a person's current legal state of marriage and marital history refers to their history of marriage.,Married / Single / Divorced / etc.,,,,Sensitive,Personal Information,South Africa
English,All Domains,Special Personal Information Attributes,Nationality,Legal status of belonging to a particular nation.,An individual born in the United States has American nationality.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Special Personal Information Attributes,Political Affiliation,Belonging or identifying with a particular political party.,Democratic / Republican  ,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Special Personal Information Attributes,Political Affiliation,Belonging or identifying with a particular political party.,Democratic / Republican  ,,,,Sensitive,Personal Information,US
English,All Domains,Special Personal Information Attributes,Political or Club Affiliations,Belonging to or identifying with a particular political party or club.,Political party affiliation information,,,,Sensitive,Personal Information,South Africa
English,All Domains,Special Personal Information Attributes,Religious or other beliefs,Sets of values  / practices / teachings that are based on faith.,Christianity / Hinduism / etc. ,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Special Personal Information Attributes,Sexual orientation,A person's identity in relation to the gender or genders to which they are sexually attracted to. ,Heterosexual / homosexual / etc.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Special Personal Information Attributes,SSN‚ health ID‚ immigration status,Combination personal information,Stored in HR/payroll systems,Regulatory fines‚ mishandling risk,Identity theft‚ discrimination,Frequently handled manually‚ emailed or copied across systems; sensitive + risky pathway,Highly Sensitive-Restricted,Personal Information,Global
English,All Domains,Special Personal Information Attributes,Trade union membership,When a worker joins a group of employees who work together to improve their employment conditions.,Education  / Healthcare / Transportation / Construction / Retail / etc. ,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Transaction Information,Customer Returns ,Data that is collected/analyzed on customer returns.,Return reason / Product details / etc. ,,,,Sensitive,Personal Information,Global
English,All Domains,Transaction Information,Name + refund + reason,Combination of customer service record,In customer service chat logs,Trust/reputation impact,Behavior profiling,Context-rich PI with emotional content,Highly Sensitive,Personal Information,Global
English,All Domains,Transaction Information,Refund amounts by associate ID,Linking of refunds to associate's IDs for awareness of refund rates.,Used to flag high refund rates,Ethics/performance investigation risk,Employee targeting‚ profiling,Operational use; sensitive when linked to performance management,Sensitive,Business Information,Global
English,All Domains,Transaction Information,Return reason + loyalty ID,A return reason that is linked to a customer's profile.,Linked to customer profile,Customer perception‚ misuse,Bias‚ profiling,Behavioral metadata + identity linkage,Highly Sensitive,Personal Information,Global
Spanish,Todos los Dominios,Todos los Subdominios,Diligencias debidas o resultados de evaluación de riesgos (AML/AC/otra área de cumplimiento),Identificar y evaluar los riesgos potenciales asociados con proyectos‚ transacciones específicas‚ relaciones comerciales‚ etc.,Prevención de lavado de dinero (Anti-Money Laundering‚ AML)‚ Plan de seguridad del sistema (System Security Plan‚ SSP)‚ Evaluación de riesgos de privacidad empresarial (Enterprise Privacy Risk Assessment‚ EPRA)‚ etc.,,,,Altamente confidenciales,Información Comercial,Global
Spanish,Finanzas,Todos los Subdominios,Datos Maestros de Finanzas,La única fuente de datos comerciales críticos utilizados en las funciones de contabilidad e informes.,Datos maestros de clientes‚ datos maestros de proveedores‚ gráfico de cuentas‚ etc.,,,,Confidenciales,Información Comercial,Global
Spanish,Todos los Dominios,Información de antecedentes e información penal,Condenas y Delitos Penales,La condena penal es una sentencia formal que establece que una persona es culpable de un delito.,Delitos graves‚ delitos menores‚ cargos pendientes.,,,,Altamente confidenciales,Información Personal,Sudáfrica
Spanish,Todos los Dominios,Información de antecedentes e información penal,Condenas y Delitos Penales,La condena penal es una sentencia formal que establece que una persona es culpable de un delito.,Delitos graves‚ delitos menores‚ cargos pendientes.,,,,Confidenciales,Información Personal,Global
Spanish,Todos los Dominios,Información biométrica,Identificadores biométricos ,Los datos biométricos utilizados para fines de identificación.,Huellas dactilares‚ reconocimiento facial‚ reconocimiento de voz‚ etc.,,,,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información biométrica,Presión Arterial,La medición de la presión arterial puede identificar la salud cardíaca e identificar enfermedades subyacentes. ,Un ejemplo de una lectura de PA es 120/80.,,,,Altamente sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información biométrica,Temperatura Corporal,El uso de cámaras térmicas y otras tecnologías para medir la temperatura corporal., Identificar a las personas que pueden tener fiebre.,,,,Altamente sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información biométrica,CCTV y otros registros de vigilancia por video (Procesados),Imágenes grabadas capturadas por cámaras de televisión de circuito cerrado (Closed-Circuit Television‚ CCTV) que han sido manipuladas o analizadas digitalmente.,Una persona en video donde se utilizó software de reconocimiento facial para identificar a una persona conocida y su nombre dentro de la grabación. ,,,,Altamente sensibles,Información Personal,EE. UU.
Spanish,Todos los Dominios,Información biométrica,CCTV y otros registros de vigilancia por video (Sin procesar o procesados),Imágenes capturadas sin procesar o procesadas por cámaras de CCTV y otros sistemas de vigilancia.,Seguridad‚ prevención de fraude‚ transacciones de verificación‚ etc.  ,,,,Altamente confidenciales,Información Personal,Global
Spanish,Todos los Dominios,Información biométrica,CCTV y otros registros de vigilancia por video (Sin procesar),Videos sin procesar y sin editar capturados por cámaras CCTV y otros sistemas de vigilancia. ,Imágenes sin procesar de compradores en una tienda grabadas por cámaras de seguridad.,,,,Confidenciales,Información Personal,EE. UU.
