Store Number,City,State,Tracking Number,Delivery Date,Signed for by:
5466,GROVE CITY,OH,5.79E+11,6/29/2022,MWHITE
5477,JEFFERSON CITY,MO,5.79E+11,6/29/2022,BRQ
1161,SAINT CHARLES,MO,5.79E+11,6/29/2022,PMADOR
1633,SARTELL,MN,5.79E+11,6/28/2022,BMELODY
1744,WEBSTER,NY,5.79E+11,6/29/2022,MMICHELLE
1747,PERRIS,CA,5.79E+11,7/1/2022,MHUDSON
1932,ELLSWORTH,ME,5.79E+11,6/30/2022,DDORSHE
2195,HOWELL,NJ,5.79E+11,6/30/2022,DDIANA
5404,HOMEWOOD,IL,5.45E+11,6/30/2022,DFURTEK
1586,AUSTELL,GA,5.79E+11,6/30/2022,TTRACY
4615,GLENPOOL,OK,5.45E+11,6/30/2022,KCROWL
5247,ROANOKE,TX,5.45E+11,6/30/2022,JGONZALEZ
5363,LOVEJOY,GA,5.45E+11,6/30/2022,TWASHINGTON
6395,BLUFFTON,SC,5.45E+11,6/30/2022,Signature on File
