Store #,Format,City,State,Fuel Frequency,July Fuel,August Fuel,September Fuel,Service Provider,Phone Number,,,,
3350,SUP,LAS VEGAS,NV,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3351,SUP,LAS VEGAS,NV,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3354,NHM,HENDERSON,NV,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3355,NHM,LAS VEGAS,NV,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3356,NHM,LAS VEGAS,NV,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3357,NHM,TUCSON,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3360,SUP,CHANDLER,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3366,SUP,CENTERVILLE,UT,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3377,NHM,TUCSON,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3379,SUP,ORO VALLEY,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3407,SUP,BUCKEYE,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3408,SUP,CARSON CITY,NV,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3435,SUP,GREENWOOD,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3436,SUP,SOUTH BEND,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3453,SUP,Wyoming,MI,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3454,SUP,PERRY,UT,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3458,SUP,Whitehall,MI,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3465,SUP,GLENDALE,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3472,SUP,POST FALLS,ID,180,,,,CLEAN EARTH,877-406-5295,,,,
3473,SUP,LAS VEGAS,NV,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3476,SUP,Canton,MI,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3487,SUP,SHELBY TOWNSHIP,MI,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3511,SUP,HAYDEN,ID,60,,8,,CLEAN EARTH,877-406-5295,,,,
3529,SUP,INDIANAPOLIS,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3568,SUP,WEST VALLEY CITY,UT,60,,1,26,CLEAN EARTH,877-406-5295,,,,
3589,SUP,SALT LAKE CITY,UT,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3604,NHM,GOODYEAR,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3619,NHM,Chattanooga,TN,90,,,12,CLEAN EARTH,877-406-5295,,,,
3620,SUP,RIVERTON,UT,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3632,SUP,Sandusky,MI,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3655,NHM,LAS VEGAS,NV,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3726,SUP,Grand Blanc,MI,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3728,SUP,NORTH LAS VEGAS,NV,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3729,SUP,SPARKS,NV,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3730,SUP,PRESCOTT VALLEY,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3739,SUP,NAMPA,ID,90,,,12,CLEAN EARTH,877-406-5295,,,,
3747,SUP,MUNCIE,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3751,SUP,QUEEN CREEK,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3771,SUP,PHOENIX,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3781,SUP,INDIANAPOLIS,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3788,NHM,LAS VEGAS,NV,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3789,SUP,OGDEN,UT,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3791,SUP,Three Rivers,MI,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3799,SUP,MESA,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3807,SUP,BENSON,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3833,SUP,MESA,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3837,SUP,Roscoe,IL,120,,22,,CLEAN EARTH,877-406-5295,,,,
3844,NHM,GLENDALE,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3845,NHM,GLENDALE,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3846,NHM,MESA,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3847,SUP,MESQUITE,NV,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3848,SUP,SYRACUSE,UT,60,,8,,CLEAN EARTH,877-406-5295,,,,
3851,SUP,LAFAYETTE,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3861,SUP,GILBERT,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3876,SUP,Roosevelt Park,MI,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3884,SUP,TUCSON,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3896,SUP,PEORIA,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
3897,SUP,TWIN FALLS,ID,60,,29,,CLEAN EARTH,877-406-5295,,,,
3959,NHM,Knoxville,TN,180,,,,CLEAN EARTH,877-406-5295,,,,
3988,WNM,SPANISH FORK,UT,90,,,12,CLEAN EARTH,877-406-5295,,,,
4053,WNM,INDIANAPOLIS,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4054,WNM,INDIANAPOLIS,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4068,SUP,SPANISH FORK,UT,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4100,WNM,PROVO,UT,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4118,SUP,Shepherdsville,KY,90,,,12,CLEAN EARTH,877-406-5295,,,,
4176,SUP,SHERWOOD,OR,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4178,WNM,SPRINGFIELD,OR,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4180,WNM,NAMPA,ID,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4203,SUP,FORT MOHAVE,AZ,60,,22,,CLEAN EARTH,877-406-5295,,,,
4208,SUP,SALT LAKE CITY,UT,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4216,SUP,COLUMBUS,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4218,NHM,SURPRISE,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4221,SUP,CORNELIUS,OR,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4230,SUP,FORT WAYNE,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4231,SUP,FORT WAYNE,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4232,SUP,PHOENIX,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4233,NHM,PHOENIX,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4235,SUP,TERRE HAUTE,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4239,SUP,STEAD,NV,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4243,SUP,Clio,MI,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4249,SUP,SMELTERVILLE,ID,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4252,SUP,FLAGSTAFF,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4264,NHM,ORO VALLEY,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4272,SUP,LOGAN,UT,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4275,WNM,PEORIA,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4293,NHM,PHOENIX,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4324,WNM,CHANDLER,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4325,SUP,YUMA,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4336,SUP,EL MIRAGE,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4337,SUP,SAN LUIS,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4339,NHM,NORTH LAS VEGAS,NV,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4355,WNM,TAYLOR ,AZ ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4356,SUP,LAS VEGAS,NV,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4370,SUP,FERNLEY,NV,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4383,SUP,Dearborn,MI,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4395,SUP,POST FALLS,ID,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4399,SUP,ELKHART,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4417,SUP,CAMBY,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4424,SUP,Warren,MI,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4430,SUP,MARICOPA,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4438,SUP,SARATOGA SPRINGS,UT,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4439,SUP,Paw Paw,MI,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4451,SUP,QUEEN CREEK,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4469,NHM,Clarksville,TN,90,,,26,CLEAN EARTH,877-406-5295,,,,
4470,NHM,JOPLIN,MO,90,,,19,CLEAN EARTH,877-406-5295,,,,
4473,NHM,TUCSON,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4490,WNM,TUCSON,AZ,180,,,,CLEAN EARTH,877-406-5295,,,,
4494,WNM,Caldwell,ID,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4540,SUP,Fowlerville,MI,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4543,SUP,PARKER,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4557,SUP,LAS VEGAS,NV,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4589,NHM,Clarksville,TN,180,,,,CLEAN EARTH,877-406-5295,,,,
4591,NHM,Clarksville,TN,90,,,26,CLEAN EARTH,877-406-5295,,,,
4603,NHM,TUCSON,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4625,NHM,Garden City,KS,180,,,,CLEAN EARTH,877-406-5295,,,,
4626,NHM,Junction City,KS,90,,,5,CLEAN EARTH,877-406-5295,,,,
4631,SUP,HAMMOND,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4660,SUP,Clinton Township,MI,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4678,SUP,HURRICANE,UT,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4689,SUP,CEDAR HILLS,UT,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4692,NHM,Chattanooga,TN,90,,,12,CLEAN EARTH,877-406-5295,,,,
4695,SUP,Godfrey,IL,180,,,,CLEAN EARTH,877-406-5295,,,,
4696,SUP,HEBER CITY,UT,60,25,,19,CLEAN EARTH,877-406-5295,,,,
4700,WNM,PLEASANT GROVE,UT,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4706,WNM,MAGNA,UT,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4707,SAMS,Overland Park,KS,90,,,5,CLEAN EARTH,877-406-5295,,,,
4718,SAM,SOUTH JORDAN,UT,90,,,19,CLEAN EARTH,877-406-5295,,,,
4728,SAMS,Nicholasville,KY,90,,,5,CLEAN EARTH,877-406-5295,,,,
4730,SAM,WEST JORDAN,UT,120,,,,CLEAN EARTH,877-406-5295,,,,
4732,SAM,GLENDALE,AZ,180,,,,CLEAN EARTH,877-406-5295,,,,
4741,SAMS,Saint Louis,MO,90,,,5,CLEAN EARTH,877-406-5295,,,,
4750,SAMS,Cuyahoga Falls,OH,90,,,26,CLEAN EARTH,877-406-5295,,,,
4768,SAM,RENO,NV,180,,,,CLEAN EARTH,877-406-5295,,,,
4778,SAM,Auburn Hills,MI,90,,,12,CLEAN EARTH,877-406-5295,,,,
4781,SAM,Lansing,MI,90,,,26,CLEAN EARTH,877-406-5295,,,,
4786,SAM,LOGAN,UT,180,,,,CLEAN EARTH,877-406-5295,,,,
4791,SAMS,Garden City,KS,120,,15,,CLEAN EARTH,877-406-5295,,,,
4805,SAMS,Billings,MT,90,,,12,CLEAN EARTH,877-406-5295,,,,
4815,SAMS,Normal,IL,180,,,,CLEAN EARTH,877-406-5295,,,,
4829,SAM,GILBERT,AZ,180,,,,CLEAN EARTH,877-406-5295,,,,
4830,SAM,AVONDALE,AZ,60,18,,12,CLEAN EARTH,877-406-5295,,,,
4846,SAMS,Mentor,OH,90,,,12,CLEAN EARTH,877-406-5295,,,,
4851,SAM,CLARKSVILLE,IN,90,,,12,CLEAN EARTH,877-406-5295,,,,
4860,SAMS,Beckley,WV,90,,,26,CLEAN EARTH,877-406-5295,,,,
4870,SAMS,Kansas City,KS,90,,,5,CLEAN EARTH,877-406-5295,,,,
4875,SAMS,Wentzville,MO,90,,,12,CLEAN EARTH,877-406-5295,,,,
4876,SAMS,Bowling Green,KY,180,,,,CLEAN EARTH,877-406-5295,,,,
4878,SAMS,Glen Carbon,IL,60,,8,,CLEAN EARTH,877-406-5295,,,,
4908,SAMS,Owensboro,KY,90,,,5,CLEAN EARTH,877-406-5295,,,,
4915,SAM,BULLHEAD CITY,AZ,90,,,5,CLEAN EARTH,877-406-5295,,,,
4920,SAMS,Saint Joseph,MO,90,,,12,CLEAN EARTH,877-406-5295,,,,
4926,SAM,COLUMBUS,IN,90,,,12,CLEAN EARTH,877-406-5295,,,,
4930,SAMS,Cookeville,TN,90,,,12,CLEAN EARTH,877-406-5295,,,,
4933,SAMS,Bismarck,ND,90,,,12,CLEAN EARTH,877-406-5295,,,,
4936,SAMS,Morgantown,WV,90,,,5,CLEAN EARTH,877-406-5295,,,,
4942,SAMS,Elgin,IL,90,,,12,CLEAN EARTH,877-406-5295,,,,
4944,SAM,Grand Blanc,MI,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
4947,SAMS,Zanesville,OH,90,,,19,CLEAN EARTH,877-406-5295,,,,
4955,SAM,SURPRISE,AZ,30,18,15,12,CLEAN EARTH,877-406-5295,,,,
4956,SAM,TEMPE,AZ,60,,,12,,877-406-5295,,,,
4962,SAMS,Sandusky,OH,90,,,12,CLEAN EARTH,877-406-5295,,,,
4963,SAMS,Chillicothe,OH,90,,,19,CLEAN EARTH,877-406-5295,,,,
4974,SAM,N. LAS VEGAS,NV,180,,,,Clean Earth,877-406-5295,,,,
4982,SAM,Mt. Pleasant,MI,No Fuel,,,,Clean Earth,877-406-5295,,,,
4983,SAM,LAS VEGAS,NV,90,,,19,Clean Earth,877-406-5295,,,,
4985,SAMS,Springfield,MO,60,,8,,CLEAN EARTH,877-406-5295,,,,
4992,SAMS,Elizabethtown,KY,90,,,19,CLEAN EARTH,877-406-5295,,,,
4999,SAMS,Quincy,IL,90,,,19,CLEAN EARTH,877-406-5295,,,,
5025,SUP,FORT WAYNE,IN,No Fuel,,,,Clean Earth,877-406-5295,,,,
5031,SUP,TUCSON,AZ,No Fuel,,,,Clean Earth,877-406-5295,,,,
5048,SUP,NEW HUDSON,MI,No Fuel,,,,Clean Earth,877-406-5295,,,,
5059,NHM,Hopkinsville,KY,90,,,5,CLEAN EARTH,877-406-5295,,,,
5064,SUP,Kalamazoo,MI,No Fuel,,,,Clean Earth,877-406-5295,,,,
5065,SUP,Kalamazoo,MI,No Fuel,,,,Clean Earth,877-406-5295,,,,
5070,SUP,LAS VEGAS,NV,No Fuel,,,,Clean Earth,877-406-5295,,,,
5097,SUP,Saginaw,MI,No Fuel,,,,Clean Earth,877-406-5295,,,,
5101,SUP,PAHRUMP,NV,No Fuel,,,,Clean Earth,877-406-5295,,,,
5109,NHM,SALT LAKE CITY,UT,90,,,19,Clean Earth,877-406-5295,,,,
5110,NHM,DRAPER,UT,No Fuel,,,,Clean Earth,877-406-5295,,,,
5124,SUP,GLENDALE,AZ,No Fuel,,,,Clean Earth,877-406-5295,,,,
5135,NHM,Radcliff,KY,90,,,19,CLEAN EARTH,877-406-5295,,,,
5143,NHM,Chattanooga,TN,90,,,12,CLEAN EARTH,877-406-5295,,,,
5148,NHM,Murfreesboro,TN,90,,,12,CLEAN EARTH,877-406-5295,,,,
5159,SUP,West Branch,MI,No Fuel,,,,Clean Earth,877-406-5295,,,,
5160,SUP,JACKSON (W),MI,No Fuel,,,,Clean Earth,877-406-5295,,,,
5167,SUP,PAYSON,UT,60,,22,,Clean Earth,877-406-5295,,,,
5168,SUP,RICHFIELD,UT,No Fuel,,,,Clean Earth,877-406-5295,,,,
5182,NHM,Murfreesboro,TN,90,,,12,CLEAN EARTH,877-406-5295,,,,
5186,SUP,GILBERT,AZ,No Fuel,,,,Clean Earth,877-406-5295,,,,
5188,NHM,Hixson,TN,90,,,19,CLEAN EARTH,877-406-5295,,,,
5189,SUP,PHOENIX,AZ,No Fuel,,,,Clean Earth,877-406-5295,,,,
5190,SUP,PHOENIX,AZ,No Fuel,,,,Clean Earth,877-406-5295,,,,
5205,NHM,LAYTON,UT,No Fuel,,,,Clean Earth,877-406-5295,,,,
5206,NHM,SOUTH OGDEN,UT,90,,,5,Clean Earth,877-406-5295,,,,
5233,SUP,SALT LAKE CITY,UT,30,25,22,19,Clean Earth,877-406-5295,,,,
5234,SUP,CLINTON,UT,No Fuel,,,,Clean Earth,877-406-5295,,,,
5235,SUP,SANDY,UT,No Fuel,,,,Clean Earth,877-406-5295,,,,
5257,NHM,MESA,AZ,No Fuel,,,,Clean Earth,877-406-5295,,,,
5258,NHM,LAS VEGAS,NV,No Fuel,,,,Clean Earth,877-406-5295,,,,
5259,NHM,LAS VEGAS,NV,No Fuel,,,,Clean Earth,877-406-5295,,,,
5261,SUP,Pineville,MO,60,,8,,CLEAN EARTH,877-406-5295,,,,
5269,NHM,LAS VEGAS,NV,No Fuel,,,,Clean Earth,877-406-5295,,,,
5270,SUP,LINDON,UT,60,,22,,Clean Earth,877-406-5295,,,,
5280,SUP,Portage,MI,90,,22,,Clean Earth,877-406-5295,,,,
5303,SUP,PRESCOTT,AZ,No Fuel,,,,Clean Earth,877-406-5295,,,,
5304,NHM,MESA,AZ,No Fuel,,,,Clean Earth,877-406-5295,,,,
5306,NHM,NORTH LAS VEGAS,NV,No Fuel,,,,Clean Earth,877-406-5295,,,,
5329,SUP,ANTHEM,AZ,No Fuel,,,,Clean Earth,877-406-5295,,,,
5330,SUP,PHOENIX,AZ,No Fuel,,,,Clean Earth,877-406-5295,,,,
5331,SUP,PHOENIX,AZ,No Fuel,,,,Clean Earth,877-406-5295,,,,
5332,NHM,MESA,AZ,No Fuel,,,,Clean Earth,877-406-5295,,,,
5342,SUP,YUMA,AZ,No Fuel,,,,Clean Earth,877-406-5295,,,,
5349,NHM,MESA,AZ,No Fuel,,,,Clean Earth,877-406-5295,,,,
5350,SUP,SALT LAKE CITY,UT,No Fuel,,,,Clean Earth,877-406-5295,,,,
5352,WM,Batavia,IL,60,,8,,CLEAN EARTH,877-406-5295,,,,
5368,SUP,SALEM,OR,No Fuel,,,,Clean Earth,877-406-5295,,,,
5369,SUP,GOODYEAR,AZ,No Fuel,,,,Clean Earth,877-406-5295,,,,
5372,NHM,EVANSVILLE,IN,No Fuel,,,,Clean Earth,877-406-5295,,,,
5376,SUP,Tawas City,MI,No Fuel,,,,Clean Earth,877-406-5295,,,,
5386,SUP,Grand Haven,MI,No Fuel,,,,Clean Earth,877-406-5295,,,,
5396,SUP,ALBANY,OR,No Fuel,,,,Clean Earth,877-406-5295,,,,
5408,NHM,INDIANAPOLIS,IN,No Fuel,,,,Clean Earth,877-406-5295,,,,
5411,SUP,Ionia,MI,No Fuel,,,,Clean Earth,877-406-5295,,,,
5423,NHM,LAS VEGAS,NV,No Fuel,,,,Clean Earth,877-406-5295,,,,
5424,SUP,EAGLE POINT,OR,No Fuel,,,,Clean Earth,877-406-5295,,,,
5427,NHM,St. Peters,MO,180,,,,CLEAN EARTH,877-406-5295,,,,
5428,SUP,MESA,AZ,No Fuel,,,,Clean Earth,877-406-5295,,,,
5429,SUP,SURPRISE,AZ,No Fuel,,,,Clean Earth,877-406-5295,,,,
5440,WMT,HAPPY VALLEY,OR,No Fuel,,,,Clean Earth,877-406-5295,,,,
5443,SUP,INDIANAPOLIS,IN,No Fuel,,,,Clean Earth,877-406-5295,,,,
5444,SUP,Ironwood,MI,No Fuel,,,,Clean Earth,877-406-5295,,,,
5452,WNM,EVANSVILLE,IN,180,,,,Clean Earth,877-406-5295,,,,
5472,SUP,Saline,MI,No Fuel,,,,Clean Earth,877-406-5295,,,,
5483,SUP,GREENWOOD,IN,No Fuel,,,,Clean Earth,877-406-5295,,,,
5494,SUP,IDAHO FALLS,ID,90,,8,,Clean Earth,877-406-5295,,,,
5626,SUP,TUCSON,AZ,No Fuel,,,,Clean Earth,877-406-5295,,,,
5627,NHM,GRESHAM,OR,No Fuel,,,,Clean Earth,877-406-5295,,,,
5725,NHM,Tucson,AZ,No Fuel,,,,Clean Earth,877-406-5295,,,,
5728,SUP,NEWBURGH,IN,No Fuel,,,,Clean Earth,877-406-5295,,,,
5734,NHM,Kingsport,TN,90,,,5,CLEAN EARTH,877-406-5295,,,,
5761,SUP,Canton,MI,No Fuel,,,,Clean Earth,877-406-5295,,,,
5763,SUP,SOUTH JORDAN,UT,No Fuel,,,,Clean Earth,877-406-5295,,,,
5767,NHM,FISHERS,IN,No Fuel,,,,Clean Earth,877-406-5295,,,,
5768,SUP,TEMPE,AZ,No Fuel,,,,Clean Earth,877-406-5295,,,,
5791,NHM,Pittsburg,KS,90,,,26,CLEAN EARTH,877-406-5295,,,,
5799,SUP,Tucson (Golf Links),AZ,No Fuel,,,,Clean Earth,877-406-5295,,,,
5804,WNM,INDIANAPOLIS,IN,No Fuel,,,,Clean Earth,877-406-5295,,,,
5835,SUP,CAVE CREEK,AZ,No Fuel,,,,Clean Earth,877-406-5295,,,,
5839,SUP,MEDFORD,OR,No Fuel,,,,Clean Earth,877-406-5295,,,,
5841,SUP,MERIDIAN,ID,No Fuel,,,,Clean Earth,877-406-5295,,,,
5842,SUP,Southgate,MI,No Fuel,,,,Clean Earth,877-406-5295,,,,
5844,SUP,Livonia,MI,No Fuel,,,,Clean Earth,877-406-5295,,,,
5858,SUP,TUCSON,AZ,No Fuel,,,,Clean Earth,877-406-5295,,,,
5861,SUP,WARRENTON,OR,No Fuel,,,,Clean Earth,877-406-5295,,,,
5864,SUP,GARDNERVILLE,NV,No Fuel,,,,Clean Earth,877-406-5295,,,,
5869,WMT,MOSCOW,ID,No Fuel,,,,Clean Earth,877-406-5295,,,,
5893,SUP,Novi,MI,No Fuel,,,,Clean Earth,877-406-5295,,,,
5908,NHM,Sevierville,TN,180,,,,CLEAN EARTH,877-406-5295,,,,
5935,SUP,TIGARD,OR,No Fuel,,,,Clean Earth,877-406-5295,,,,
5993,NHM,BEAVERTON,OR,No Fuel,,,,Clean Earth,877-406-5295,,,,
5994,NHM,WEST LINN,OR,No Fuel,,,,Clean Earth,877-406-5295,,,,
6205,SAM,YUMA,AZ,90,,,19,Clean Earth,877-406-5295,,,,
6213,SAM,CHANDLER,AZ,180,,,,Clean Earth,877-406-5295,,,,
6228,SAMS,Vernon Hills,IL,60,,8,,CLEAN EARTH,877-406-5295,,,,
6242,SAMS,Dublin,OH,90,,,19,CLEAN EARTH,877-406-5295,,,,
6247,SAMS,Kansas City,MO,90,,,5,CLEAN EARTH,877-406-5295,,,,
6249,SAMS,Franklin,TN,90,,,12,CLEAN EARTH,877-406-5295,,,,
6256,SAMS,Memphis,TN,180,,,,CLEAN EARTH,877-406-5295,,,,
6257,SAM,LAS VEGAS(C),NV,90,,,5,Clean Earth,877-406-5295,,,,
6260,SAMS,Bartlett,TN,90,,,5,CLEAN EARTH,877-406-5295,,,,
6261,SAM,LAS VEGAS(S),NV,180,,,,Clean Earth,877-406-5295,,,,
6275,SAMS,Wichita,KS,180,,,,CLEAN EARTH,877-406-5295,,,,
6302,SAMS,Oakwood Village,OH,90,,,26,CLEAN EARTH,877-406-5295,,,,
6304,SAM,INDIANAPOLIS,IN,No Fuel,,,,Clean Earth,877-406-5295,,,,
6305,SAMS,Cleveland,OH,90,,,12,CLEAN EARTH,877-406-5295,,,,
6308,SAMS,Columbus,OH,180,,,,CLEAN EARTH,877-406-5295,,,,
6313,SAM,FT. WAYNE,IN,90,,,19,Clean Earth,877-406-5295,,,,
6314,SAMS,Sheffield Village,OH,90,,,26,CLEAN EARTH,877-406-5295,,,,
6315,SAM,MISHAWAKA,IN,No Fuel,,,,Clean Earth,877-406-5295,,,,
6317,SAMS,Canton,OH,90,,,5,CLEAN EARTH,877-406-5295,,,,
6319,SAM,Kentwood,MI,90,,,5,Clean Earth,877-406-5295,,,,
6322,SAMS,Boardman,OH,90,,,12,CLEAN EARTH,877-406-5295,,,,
6325,SAM,GREENWOOD,IN,90,,,26,Clean Earth,877-406-5295,,,,
6326,SAMS,Reynoldsburg,OH,90,,,19,CLEAN EARTH,877-406-5295,,,,
6327,SAMS,Warren,OH,90,,,12,CLEAN EARTH,877-406-5295,,,,
6328,SAMS,Cicero,IL,90,,,5,CLEAN EARTH,877-406-5295,,,,
6334,SAMS,Decatur,IL,90,,,19,CLEAN EARTH,877-406-5295,,,,
6339,SAMS,Crystal Lake,IL,120,,22,,CLEAN EARTH,877-406-5295,,,,
6345,SAM,IDAHO FALLS,ID,90,,,12,Clean Earth,877-406-5295,,,,
6358,SAMS,Northlake,IL,90,,,5,CLEAN EARTH,877-406-5295,,,,
6359,SAM,Comstock Park,MI,90,,,5,Clean Earth,877-406-5295,,,,
6373,SAMS,Vienna,WV,90,,,12,CLEAN EARTH,877-406-5295,,,,
6375,SAMS,Lima,OH,180,,,,CLEAN EARTH,877-406-5295,,,,
6379,SAMS,Great Falls,MT,180,,,,CLEAN EARTH,877-406-5295,,,,
6380,SAMS,Dayton,OH,90,,,5,CLEAN EARTH,877-406-5295,,,,
6382,SAM,LAS VEGAS(W),NV,90,,,5,Clean Earth,877-406-5295,,,,
6384,SAMS,Hodgkins,IL,90,,,5,CLEAN EARTH,877-406-5295,,,,
6385,SAMS,Grand Forks,ND,90,,,19,CLEAN EARTH,877-406-5295,,,,
6388,SAMS,Montgomery,IL,90,,,12,CLEAN EARTH,877-406-5295,,,,
6390,WNM,INDIANAPOLIS,IN,No Fuel,,,,Clean Earth,877-406-5295,,,,
6407,SAMS,Mansfield,OH,180,,,,CLEAN EARTH,877-406-5295,,,,
6410,SAMS,Pearl City,HI,90,,,26,CLEAN EARTH,877-406-5295,,,,
6412,SAM,Southgate,MI,90,,,26,Clean Earth,877-406-5295,,,,
6415,SAMS,Joplin,MO,90,,,5,CLEAN EARTH,877-406-5295,,,,
6417,SAM,Holland,MI,90,,,5,Clean Earth,877-406-5295,,,,
6418,SAMS,Wichita,KS,90,,,12,CLEAN EARTH,877-406-5295,,,,
6419,SAM,Traverse City,MI,90,,,5,Clean Earth,877-406-5295,,,,
