Location Number,ORG_NAME,MEMBER PHONE
1370,St. Mary's Food Bank,602-242-3663
1371,"Gleaners Food Bank of Indiana, Inc.",3179273190
1372,Inter-Faith Food Shuttle,919-250-0043
1372,Food Bank of Central & Eastern North Carolina,919-875-0707
1373,Atlanta Community Food Bank,404-892-9822
1374,Second Harvest Food Bank of Central Florida,407-295-1066
1375,"Second Harvest of the Big Bend, Inc.",850-562-3033
1376,Second Harvest Food Bank of Middle Tennessee,615-329-3491
1377,Northern Illinois Food Bank,630-443-6910
1378,Food Bank of Northern Indiana,574-232-9986
1379,Food Bank of Central & Eastern North Carolina,919-875-0707
1380,Roadrunner Food Bank,505-247-2052
1381,United Food Bank,480-926-4897
1382,Second Harvest Food Bank of Metrolina,704-376-1785
1383,Lowcountry Food Bank,843-747-8146
1384,Care and Share Food Bank,719-528-1247
1385,Second Harvest Food Bank of Metrolina,704-376-1785
1386,Eastern Illinois Foodbank,217-328-3663
1387,Feeding South Florida,954-518-1818
1388,"Community Harvest Food Bank of Northeast Indiana, Inc.",260-447-3696
1389,Food Bank of Iowa,515-564-0330
1390,Feeding Tampa Bay,813-254-1190
1391,Second Harvest Food Bank of Central Florida,407-295-1066
1392,Food Bank of Central & Eastern North Carolina,919-875-0707
1393,Food Bank of Iowa,515-564-0330
1394,Feeding America Eastern Wisconsin,414-931-7400
1395,Central Illinois Foodbank,217-522-4022
1396,Second Harvest Foodbank of Southern Wisconsin,608-223-9121
1397,Roadrunner Food Bank,505-247-2052
1398,Feeding South Florida,954-518-1818
1399,Feeding America Southwest Virginia,540-342-3011
1399,Blue Ridge Area Food Bank,540-248-3663
1400,Food Bank of Northeast Georgia,706-354-8191
1401,Northern Illinois Food Bank,630-443-6910
1403,Food Bank of Northeast Georgia,706-354-8191
1404,Northern Illinois Food Bank,630-443-6910
1405,Food Bank of the Golden Crescent,361-578-0591
1406,Blue Ridge Area Food Bank,540-248-3663
1407,Shared Harvest Foodbank,513-874-0114
1408,"Second Harvest of the Big Bend, Inc.",850-562-3033
1409,Houston Food Bank,713-223-3700
1410,Shared Harvest Foodbank,513-874-0114
1411,Community Food Bank of Southern Arizona,520-622-0525
1412,Food Bank of the Rockies,303-371-9250
1413,Northern Illinois Food Bank,630-443-6910
1414,Roadrunner Food Bank,505-247-2052
1415,Food Bank of Iowa,515-564-0330
1416,Toledo Northwestern Ohio Food Bank,419-242-5000
1417,St. Mary's Food Bank,602-242-3663
1418,St. Louis Area Foodbank,314-292-6262
1419,"Community Harvest Food Bank of Northeast Indiana, Inc.",260-447-3696
1420,Greater Chicago Food Depository,773-247-3663
1421,Eastern Illinois Foodbank,217-328-3663
1422,Greater Lansing Food Bank,517-853-7800
1423,Greater Lansing Food Bank,517-853-7800
1424,Feed More,804-521-2500
1425,"Community Harvest Food Bank of Northeast Indiana, Inc.",260-447-3696
1426,Facing Hunger Foodbank,304-523-6029
1427,Mid-Ohio FoodBank,614-274-7770
1428,Greater Lansing Food Bank,517-853-7800
1429,Toledo Northwestern Ohio Food Bank,419-242-5000
1430,Feeding America Eastern Wisconsin,414-931-7400
1431,Food Bank of Iowa,515-564-0330
1432,Feeding America West Michigan,616-784-3250
1433,West Ohio Food Bank,419-222-7946
1434,Care and Share Food Bank,719-528-1247
1435,Food Bank of Iowa,515-564-0330
1436,Feeding South Florida,954-518-1818
1437,Regional Food Bank of Oklahoma,405-972-1111
1438,Utah Food Bank,801-908-8660
1439,Utah Food Bank,801-908-8660
1440,Utah Food Bank,801-908-8660
1441,Shared Harvest Foodbank,513-874-0114
1442,St. Mary's Food Bank,602-242-3663
1443,Freestore Foodbank,513-482-4500
1444,Feeding Northeast Florida,904-513-1333
1445,Toledo Northwestern Ohio Food Bank,419-242-5000
1446,Second Harvest Heartland,651-484-5117
1447,Second Harvest Northland,218-727-5653
1448,"Greater Cleveland Foodbank, Inc.",216-738-2265
1449,Feeding America Eastern Wisconsin,414-931-7400
1450,Mountaineer Food Bank,304-364-5518
1451,Central Illinois Foodbank,217-522-4022
1452,Second Harvest Food Bank of Metrolina,704-376-1785
1453,Feeding America Eastern Wisconsin,414-931-7400
1454,Central Illinois Foodbank,217-522-4022
1455,Tarrant Area Food Bank,817-857-7100
1456,Food Bank of the Rockies,303-371-9250
1457,Food Bank of the Rockies,303-371-9250
1458,Chattanooga Area Food Bank,423-622-1800
1459,"Gleaners Food Bank of Indiana, Inc.",3179273190
1460,Food Bank for the Heartland,402-331-1213
1461,Food Bank of the Rockies,303-371-9250
1462,Heart of Alabama Food Bank,334-263-3784
1463,"The Foodbank, Inc.",937-461-0265
1464,Second Harvest Food Bank of Metrolina,704-376-1785
1465,Feeding America Southwest Virginia,540-342-3011
1466,Second Harvest Food Bank of East Tennessee,865-521-0000
1467,Second Harvest Food Bank of East Tennessee,865-521-0000
1468,Mid-South Food Bank,901-527-0841
1469,Chattanooga Area Food Bank,423-622-1800
1470,Second Harvest Heartland,651-484-5117
1471,Feeding America Eastern Wisconsin,414-931-7400
1472,Second Harvest Heartland,651-484-5117
1473,Second Harvest Heartland,651-484-5117
1474,Yuma Community Food Bank,928-343-1243
1475,HACAP Food Reservoir,319-393-7811
1476,Dare to Care Food Bank,502-966-3821
1477,Mountaineer Food Bank,304-364-5518
1478,Facing Hunger Foodbank,304-523-6029
1479,Food Bank of Northwest Indiana,219-980-1777
1480,Second Harvest Food Bank of East Central Indiana,765-287-8698
1481,Community Food Bank of Central Alabama,205-942-8911
1482,Feeding Tampa Bay,813-254-1190
1483,Feeding South Dakota,605-335-0364
1485,Food Bank of the Rockies,303-371-9250
1486,Feed More,804-521-2500
1487,Food Bank of Northern Indiana,574-232-9986
1488,Atlanta Community Food Bank,404-892-9822
1489,Northern Illinois Food Bank,630-443-6910
1490,Northern Illinois Food Bank,630-443-6910
1491,Food Bank of Iowa,515-564-0330
1492,Food Bank of the Rockies,303-371-9250
1493,Feeding the Gulf Coast,251-653-1617
1494,Coastal Bend Food Bank,361-887-6291
1495,"The Foodbank, Inc.",937-461-0265
1496,Northeast Iowa Food Bank,319-235-0507
1497,Greater Chicago Food Depository,773-247-3663
1498,Second Harvest Food Bank of Northwest North Carolina,336-784-5770
1499,Mountaineer Food Bank,304-364-5518
1500,Feeding South Dakota,605-335-0364
1501,Feeding Tampa Bay,813-254-1190
1502,Food Bank of Central & Eastern North Carolina,919-875-0707
1503,"The Foodbank, Inc.",937-461-0265
1504,"The Foodbank, Inc.",937-461-0265
1505,"God's Pantry Food Bank, Inc.",859-255-6592
1506,Northeast Iowa Food Bank,319-235-0507
1507,Kansas Food Bank,316-265-3663
1508,Food Bank of the Rockies,303-371-9250
1509,River Bend Food Bank,563-345-6490
1510,Freestore Foodbank,513-482-4500
1511,Feeding South Florida,954-518-1818
1512,United Food Bank,480-926-4897
1513,Feeding Tampa Bay,813-254-1190
1514,St. Louis Area Foodbank,314-292-6262
1515,Feeding America Eastern Wisconsin,414-931-7400
1516,High Plains Food Bank,806-374-8562
1517,Feeding South Florida,954-518-1818
1518,"Gleaners Food Bank of Indiana, Inc.",3179273190
1519,Southeastern Ohio Foodbank,740-385-6813
1520,Feeding South Dakota,605-335-0364
1521,Freestore Foodbank,513-482-4500
1522,Mountaineer Food Bank,304-364-5518
1523,Feed More,804-521-2500
1524,Feed More,804-521-2500
1525,Feed More,804-521-2500
1526,Food Bank of Iowa,515-564-0330
1527,Food Bank of the Albemarle,252-335-4035
1528,HACAP Food Reservoir,319-393-7811
1529,Central Pennsylvania Food Bank,717-564-1700
1530,Mississippi Food Network,601-973-7080
1531,Northern Illinois Food Bank,630-443-6910
1532,St. Mary's Food Bank,602-242-3663
1533,St. Mary's Food Bank,602-242-3663
1534,Great Plains Food Bank,701-232-6219
1535,Feeding South Dakota,605-335-0364
1536,Feeding Tampa Bay,813-254-1190
1537,Central Pennsylvania Food Bank,717-564-1700
1538,Feeding South Dakota,605-335-0364
1539,"Greater Cleveland Foodbank, Inc.",216-738-2265
1540,Feeding America West Michigan,616-784-3250
1541,Feeding South Florida,954-518-1818
1542,Food Bank of Eastern Michigan,810-239-4441
1543,Feeding South Dakota,605-335-0364
1544,Mountaineer Food Bank,304-364-5518
1545,Great Plains Food Bank,701-232-6219
1546,Food Bank of Iowa,515-564-0330
1547,Food Finders Food Bank,765-471-0062
1548,Eastern Illinois Foodbank,217-328-3663
1549,St. Mary's Food Bank,602-242-3663
1550,Care and Share Food Bank,719-528-1247
1551,Feeding America Eastern Wisconsin,414-931-7400
1552,Second Harvest Food Bank of Metrolina,704-376-1785
1553,Northern Illinois Food Bank,630-443-6910
1554,Second Harvest of the Greater Valley,209-239-2091
1555,FIND Food Bank,760-775-3663
1556,Greater Chicago Food Depository,773-247-3663
1557,"Gleaners Food Bank of Indiana, Inc.",3179273190
1558,Second Harvest Food Bank of Northwest North Carolina,336-784-5770
1559,Three Square Food Bank,702-644-3663
1560,Three Square Food Bank,702-644-3663
1561,Mid-South Food Bank,901-527-0841
1562,Second Harvest Heartland,651-484-5117
1563,Los Angeles Regional Food Bank,323-234-3030
1564,Freestore Foodbank,513-482-4500
1565,Great Plains Food Bank,701-232-6219
1566,Food Bank of Northern Indiana,574-232-9986
1567,Great Plains Food Bank,701-232-6219
1568,Community Food Warehouse of Mercer County,724-981-0353
1569,Freestore Foodbank,513-482-4500
1570,"Community Harvest Food Bank of Northeast Indiana, Inc.",260-447-3696
1571,Feeding America Eastern Wisconsin,414-931-7400
1572,Utah Food Bank,801-908-8660
1573,Utah Food Bank,801-908-8660
1574,Central California Food Bank,559-237-2527
1575,Food Bank of Contra Costa and Solano,925-676-7543
1576,Food Bank of Northwest Indiana,219-980-1777
1577,Second Harvest Heartland,651-484-5117
1578,Atlanta Community Food Bank,404-892-9822
1579,Food Bank of Central & Eastern North Carolina,919-875-0707
1580,"Gleaners Food Bank of Indiana, Inc.",3179273190
1581,Great Plains Food Bank,701-232-6219
1583,Central California Food Bank,559-237-2527
1584,Three Square Food Bank,702-644-3663
1585,Food Bank for the Heartland,402-331-1213
1586,Atlanta Community Food Bank,404-892-9822
1587,Second Harvest of the Greater Valley,209-239-2091
1588,Feeding America Riverside |San Bernardino Counties,951-359-4757
1589,Feeding South Florida,954-518-1818
1590,Feeding South Florida,954-518-1818
1591,Central Pennsylvania Food Bank,717-564-1700
1592,Food Bank of Eastern Michigan,810-239-4441
1593,South Michigan Food Bank,269-964-3663
1594,Mid-Ohio FoodBank,614-274-7770
1595,Mid-Ohio FoodBank,614-274-7770
1596,Northern Illinois Food Bank,630-443-6910
1597,Community Food Bank of Eastern Oklahoma,918-585-2800
1598,St. Mary's Food Bank,602-242-3663
1599,Harvesters - The Community Food Network,816-929-3000
1600,Central California Food Bank,559-237-2527
1601,"Gleaners Food Bank of Indiana, Inc.",3179273190
1602,Central Illinois Foodbank,217-522-4022
1603,Harvest Hope Food Bank,803-254-4432
1604,Feeding South Dakota,605-335-0364
1605,Feeding the Gulf Coast,251-653-1617
1606,Chattanooga Area Food Bank,423-622-1800
1607,Central Pennsylvania Food Bank,717-564-1700
1608,Food Bank of Contra Costa and Solano,925-676-7543
1609,Second Harvest Northland,218-727-5653
1610,"Foodlink, Inc.",585-328-3380
1611,Food Bank of Eastern Michigan,810-239-4441
1612,Community Food Bank of Southern Arizona,520-622-0525
1613,Second Harvest Food Bank of Northwest North Carolina,336-784-5770
1614,Inter-Faith Food Shuttle,919-250-0043
1614,Food Bank of Central & Eastern North Carolina,919-875-0707
1615,Food Bank of Contra Costa and Solano,925-676-7543
1616,Food Bank of Contra Costa and Solano,925-676-7543
1617,Food Bank of the Rockies,303-371-9250
1618,Food Bank of Northwest Indiana,219-980-1777
1619,"Foodlink, Inc.",585-328-3380
1620,Feeding the Gulf Coast,251-653-1617
1621,Food Bank of Iowa,515-564-0330
1622,West Ohio Food Bank,419-222-7946
1623,H & J Weinberg Northeast Pennsylvania Regional Food Bank,5709082222
1624,Central California Food Bank,559-237-2527
1625,Food Bank for the Heartland,402-331-1213
1626,Regional Food Bank of Oklahoma,405-972-1111
1627,Great Plains Food Bank,701-232-6219
1628,Second Harvest Food Bank of North Central Ohio,440-960-2265
1629,Terre Haute Catholic Charities Foodbank,812-232-1447
1630,Food Bank of Contra Costa and Solano,925-676-7543
1631,Virginia Peninsula Foodbank,757-596-7188
1632,"North Country Food Bank, Inc.",218-399-7356
1633,Second Harvest Heartland,651-484-5117
1634,Second Harvest Heartland,651-484-5117
1635,Feeding America Eastern Wisconsin,414-931-7400
1636,Great Plains Food Bank,701-232-6219
1637,Food Bank for the Heartland,402-331-1213
1638,Heart of Alabama Food Bank,334-263-3784
1639,Food Finders Food Bank,765-471-0062
1640,Central Pennsylvania Food Bank,717-564-1700
1641,Food Bank of the Albemarle,252-335-4035
1642,Greater Lansing Food Bank,517-853-7800
1643,Feeding America Eastern Wisconsin,414-931-7400
1644,Central Pennsylvania Food Bank,717-564-1700
1645,Central California Food Bank,559-237-2527
1646,United Food Bank,480-926-4897
1647,"Community Harvest Food Bank of Northeast Indiana, Inc.",260-447-3696
1648,Food Bank of Northern Nevada,775-331-3663
1649,Great Plains Food Bank,701-232-6219
1650,Feeding America Eastern Wisconsin,414-931-7400
1651,Food Bank of Contra Costa and Solano,925-676-7543
1652,Feeding America Southwest Virginia,540-342-3011
1653,Mountaineer Food Bank,304-364-5518
1654,Second Harvest Northland,218-727-5653
1655,Food Finders Food Bank,765-471-0062
1656,Second Harvest Food Bank of Northwest Pennsylvania,814-459-3663
1657,Channel One Regional Food Bank,507-424-1700
1658,Golden Harvest Food Bank,706-736-1199
1659,Food Bank of the Rockies,303-371-9250
1660,Los Angeles Regional Food Bank,323-234-3030
1661,Food Bank of Central & Eastern North Carolina,919-875-0707
1662,Second Harvest Food Bank of Northwest North Carolina,336-784-5770
1663,MANNA FoodBank,828-299-3663
1664,Food Bank of Central & Eastern North Carolina,919-875-0707
1665,Second Harvest Food Bank of East Central Indiana,765-287-8698
1666,Second Harvest Food Bank of Metrolina,704-376-1785
1667,Second Harvest Food Bank of East Central Indiana,765-287-8698
1668,Northern Illinois Food Bank,630-443-6910
1669,Second Harvest Heartland,651-484-5117
1670,Helping Harvest,610-926-5802
1671,Food Bank for the Heartland,402-331-1213
1672,Second Harvest Northland,218-727-5653
1673,"Foodlink, Inc.",585-328-3380
1674,Maryland Food Bank,410-737-8282
1675,"Feeding America, Kentucky's Heartland",270-769-6997
1676,"Tri-State Food Bank, Inc.",812-425-0775
1677,Food Bank of Central New York,315-437-1899
1678,Feeding America Eastern Wisconsin,414-931-7400
1679,Channel One Regional Food Bank,507-424-1700
1680,Feeding South Florida,954-518-1818
1681,Greater Chicago Food Depository,773-247-3663
1682,Foodbank of Southeastern Virginia and the Eastern Shore,757-627-6599
1683,Food Bank for the Heartland,402-331-1213
1684,Central Pennsylvania Food Bank,717-564-1700
1685,Feeding South Dakota,605-335-0364
1686,Utah Food Bank,801-908-8660
1687,Foodbank of Southeastern Virginia and the Eastern Shore,757-627-6599
1688,Foodbank of Southeastern Virginia and the Eastern Shore,757-627-6599
1689,Food Bank of the Rockies,303-371-9250
1690,Central Illinois Foodbank,217-522-4022
1691,Harvesters - The Community Food Network,816-929-3000
1692,Feeding America Riverside |San Bernardino Counties,951-359-4757
1693,Feeding America Riverside |San Bernardino Counties,951-359-4757
1694,MANNA FoodBank,828-299-3663
1695,Great Plains Food Bank,701-232-6219
1696,"North Country Food Bank, Inc.",218-399-7356
1697,Food Bank of Contra Costa and Solano,925-676-7543
1698,New Hampshire Food Bank,603-669-9725
1699,Utah Food Bank,801-908-8660
1700,Feeding San Diego,858-452-3663
1701,Golden Harvest Food Bank,706-736-1199
1702,Second Harvest Food Bank of Central Florida,407-295-1066
1703,Mountaineer Food Bank,304-364-5518
1704,Food Bank of Contra Costa and Solano,925-676-7543
1705,"Foodlink, Inc.",585-328-3380
1707,Second Harvest Food Bank of the Mahoning Valley,330-792-5522
1708,Utah Food Bank,801-908-8660
1709,"Community Harvest Food Bank of Northeast Indiana, Inc.",260-447-3696
1710,Mississippi Food Network,601-973-7080
1711,Community Food Bank of Central Alabama,205-942-8911
1712,Feeding Tampa Bay,813-254-1190
1713,River Bend Food Bank,563-345-6490
1714,Mountaineer Food Bank,304-364-5518
1715,Maryland Food Bank,410-737-8282
1716,Maryland Food Bank,410-737-8282
1717,Maryland Food Bank,410-737-8282
1718,West Ohio Food Bank,419-222-7946
1719,Feeding America West Michigan,616-784-3250
1720,Atlanta Community Food Bank,404-892-9822
1721,HACAP Food Reservoir,319-393-7811
1722,Second Harvest Heartland,651-484-5117
1723,Food Bank of Iowa,515-564-0330
1724,Akron-Canton Regional Foodbank,330-535-6900
1726,Blue Ridge Area Food Bank,540-248-3663
1727,Feeding America Eastern Wisconsin,414-931-7400
1728,Second Harvest Food Bank of East Central Indiana,765-287-8698
1729,"Gleaners Food Bank of Indiana, Inc.",3179273190
1730,Feed More,804-521-2500
1731,"Foodlink, Inc.",585-328-3380
1732,Food Bank for the Heartland,402-331-1213
1733,Greater Lansing Food Bank,517-853-7800
1734,Eastern Illinois Foodbank,217-328-3663
1735,Greater Chicago Food Depository,773-247-3663
1736,Food Bank of Delaware,302-292-1305
1737,Northern Illinois Food Bank,630-443-6910
1738,Second Harvest Heartland,651-484-5117
1739,Greater Pittsburgh Community Food Bank,412-460-3663
1740,Northern Illinois Food Bank,630-443-6910
1741,Food Bank of Delaware,302-292-1305
1742,Food Bank of South Jersey,856-662-4884
1742,Philabundance,215-339-0900
1743,"God's Pantry Food Bank, Inc.",859-255-6592
1744,"Foodlink, Inc.",585-328-3380
1745,"Gleaners Food Bank of Indiana, Inc.",3179273190
1746,United Food Bank,480-926-4897
1747,Feeding America Riverside |San Bernardino Counties,951-359-4757
1748,Lowcountry Food Bank,843-747-8146
1749,New Hampshire Food Bank,603-669-9725
1750,Mid-Ohio FoodBank,614-274-7770
1751,Inter-Faith Food Shuttle,919-250-0043
1751,Food Bank of Central & Eastern North Carolina,919-875-0707
1752,Food Bank of Eastern Michigan,810-239-4441
1753,New Hampshire Food Bank,603-669-9725
1754,Gleaners Community Food Bank of Southeastern Michigan,313-923-3535
1755,Redwood Empire Food Bank,707-523-7900
1756,Feeding America Riverside |San Bernardino Counties,951-359-4757
1757,Second Harvest Northland,218-727-5653
1758,Second Harvest Food Bank of East Central Indiana,765-287-8698
1759,Virginia Peninsula Foodbank,757-596-7188
1760,Food Bank of Contra Costa and Solano,925-676-7543
1761,St. Louis Area Foodbank,314-292-6262
1762,New Hampshire Food Bank,603-669-9725
1763,Feeding America Southwest Virginia,540-342-3011
1764,Food Bank of Iowa,515-564-0330
1765,Greater Pittsburgh Community Food Bank,412-460-3663
1766,Atlanta Community Food Bank,404-892-9822
1767,Food Bank of Central & Eastern North Carolina,919-875-0707
1768,Utah Food Bank,801-908-8660
1769,Second Harvest Food Bank of Northwest Pennsylvania,814-459-3663
1770,Greater Pittsburgh Community Food Bank,412-460-3663
1771,South Michigan Food Bank,269-964-3663
1772,Oregon Food Bank,503-282-0555
1773,Virginia Peninsula Foodbank,757-596-7188
1774,Food Bank of Central & Eastern North Carolina,919-875-0707
1775,Oregon Food Bank,503-282-0555
1776,Feeding America Eastern Wisconsin,414-931-7400
1777,Helping Harvest,610-926-5802
1778,Food Bank of the Rockies,303-371-9250
1779,Greater Chicago Food Depository,773-247-3663
1780,Blue Ridge Area Food Bank,540-248-3663
1781,Food Bank of Central New York,315-437-1899
1782,Mountaineer Food Bank,304-364-5518
1783,"Tri-State Food Bank, Inc.",812-425-0775
1784,Oregon Food Bank,503-282-0555
1785,New Hampshire Food Bank,603-669-9725
1786,Second Harvest Heartland,651-484-5117
1787,Food Bank of Iowa,515-564-0330
1788,Good Shepherd Food Bank,(207) 782-3554
1789,Second Harvest of the Greater Valley,209-239-2091
1790,Gleaners Community Food Bank of Southeastern Michigan,313-923-3535
1791,Feeding America West Michigan,616-784-3250
1792,Second Harvest Food Bank of Northwest Pennsylvania,814-459-3663
1793,Oregon Food Bank,503-282-0555
1794,Central Pennsylvania Food Bank,717-564-1700
1795,MANNA FoodBank,828-299-3663
1796,New Hampshire Food Bank,603-669-9725
1797,Good Shepherd Food Bank,(207) 782-3554
1798,Food Bank of Eastern Michigan,810-239-4441
1799,Second Harvest Foodbank of Southern Wisconsin,608-223-9121
1800,North Texas Food Bank,214-330-1396
1801,Tarrant Area Food Bank,817-857-7100
1802,Harvesters - The Community Food Network,816-929-3000
1803,San Antonio Food Bank,210-337-3663
1804,"Community Harvest Food Bank of Northeast Indiana, Inc.",260-447-3696
1805,FIND Food Bank,760-775-3663
1806,Regional Food Bank of Northeastern New York,518-786-3691
1807,Food Bank of South Jersey,856-662-4884
1807,Philabundance,215-339-0900
1808,Food Bank of the Rockies,303-371-9250
1809,South Michigan Food Bank,269-964-3663
1810,Regional Food Bank of Northeastern New York,518-786-3691
1811,Foodbank of Southeastern Virginia and the Eastern Shore,757-627-6599
1812,Akron-Canton Regional Foodbank,330-535-6900
1813,"Foodlink, Inc.",585-328-3380
1814,Northern Illinois Food Bank,630-443-6910
1815,Central California Food Bank,559-237-2527
1816,Inter-Faith Food Shuttle,919-250-0043
1816,Food Bank of Central & Eastern North Carolina,919-875-0707
1817,Oregon Food Bank,503-282-0555
1819,Second Harvest Heartland,651-484-5117
1820,Greater Pittsburgh Community Food Bank,412-460-3663
1821,Second Harvest Food Bank of Metrolina,704-376-1785
1823,Central Pennsylvania Food Bank,717-564-1700
1825,Capital Area Food Bank,202-526-5344
1826,Central California Food Bank,559-237-2527
1827,Utah Food Bank,801-908-8660
1828,Feeding America Eastern Wisconsin,414-931-7400
1829,Harvest Hope Food Bank,803-254-4432
1830,Food Bank of Central New York,315-437-1899
1831,Food Bank of Central New York,315-437-1899
1832,FIND Food Bank,760-775-3663
1833,Fredericksburg Regional Food Bank,540-371-7666
1834,Oregon Food Bank,503-282-0555
1835,Food Bank of the Southern Tier,607-796-6061
1836,South Michigan Food Bank,269-964-3663
1837,Houston Food Bank,713-223-3700
1838,Three Square Food Bank,702-644-3663
1839,Second Harvest Food Bank of North Central Ohio,440-960-2265
1840,Second Harvest of the Greater Valley,209-239-2091
1841,Foodbank of Southeastern Virginia and the Eastern Shore,757-627-6599
1842,Second Harvest Food Bank of Northwest North Carolina,336-784-5770
1843,Oregon Food Bank,503-282-0555
1844,Fulfill,732-918-2600
1845,Feeding South Florida,954-518-1818
1846,Community Food Bank of Southern Arizona,520-622-0525
1847,Second Harvest Food Bank of Central Florida,407-295-1066
1848,Northern Illinois Food Bank,630-443-6910
1849,Second Harvest Food Bank of Northwest North Carolina,336-784-5770
1850,Central Pennsylvania Food Bank,717-564-1700
1851,Feeding South Florida,954-518-1818
1852,Capital Area Food Bank,202-526-5344
1853,Feeding America Riverside |San Bernardino Counties,951-359-4757
1855,Second Harvest Heartland,651-484-5117
1856,Good Shepherd Food Bank,(207) 782-3554
1857,"Greater Cleveland Foodbank, Inc.",216-738-2265
1858,Second Harvest Heartland,651-484-5117
1859,FIND Food Bank,760-775-3663
1860,Maryland Food Bank,410-737-8282
1861,Second Harvest Heartland,651-484-5117
1862,Feeding America Riverside |San Bernardino Counties,951-359-4757
1863,"Greater Cleveland Foodbank, Inc.",216-738-2265
1864,Second Harvest Heartland,651-484-5117
1865,Second Harvest Heartland,651-484-5117
1866,Good Shepherd Food Bank,(207) 782-3554
1867,Maryland Food Bank,410-737-8282
1868,Good Shepherd Food Bank,(207) 782-3554
1869,Food Bank of South Jersey,856-662-4884
1869,Philabundance,215-339-0900
1870,Second Harvest Inland Northwest,509-534-6678
1871,Food Bank of Central New York,315-437-1899
1872,Montana Food Bank Network,406-721-3825
1873,Rhode Island Community Food Bank,401-942-6325
1874,Harry Chapin Food Bank of Southwest Florida,239-334-7007
1875,Maryland Food Bank,410-737-8282
1876,Oregon Food Bank,503-282-0555
1877,Central California Food Bank,559-237-2527
1878,The Idaho Foodbank,208-336-9643
1879,Feeding America Riverside |San Bernardino Counties,951-359-4757
1880,Oregon Food Bank,503-282-0555
1881,Food Bank of Contra Costa and Solano,925-676-7543
1882,Central California Food Bank,559-237-2527
1883,Greater Pittsburgh Community Food Bank,412-460-3663
1884,H & J Weinberg Northeast Pennsylvania Regional Food Bank,5709082222
1885,Greater Pittsburgh Community Food Bank,412-460-3663
1886,Central Pennsylvania Food Bank,717-564-1700
1887,Central Pennsylvania Food Bank,717-564-1700
1888,Utah Food Bank,801-908-8660
1889,Oregon Food Bank,503-282-0555
1890,Maryland Food Bank,410-737-8282
1891,Connecticut Foodshare,203-469-5000
1892,Greater Chicago Food Depository,773-247-3663
1893,Capital Area Food Bank,202-526-5344
1894,Akron-Canton Regional Foodbank,330-535-6900
1895,Akron-Canton Regional Foodbank,330-535-6900
1896,Care and Share Food Bank,719-528-1247
1897,Greater Chicago Food Depository,773-247-3663
1898,Northern Illinois Food Bank,630-443-6910
1899,Feeding America Riverside |San Bernardino Counties,951-359-4757
1900,The Idaho Foodbank,208-336-9643
1901,Montana Food Bank Network,406-721-3825
1902,The Idaho Foodbank,208-336-9643
1903,Food Bank of Contra Costa and Solano,925-676-7543
1904,Blue Ridge Area Food Bank,540-248-3663
1905,The Idaho Foodbank,208-336-9643
1906,The Greater Boston Food Bank,617-427-5200
1907,New Hampshire Food Bank,603-669-9725
1908,Feeding America Eastern Wisconsin,414-931-7400
1909,FeedMore WNY,716-852-1305
1910,Redwood Empire Food Bank,707-523-7900
1911,Akron-Canton Regional Foodbank,330-535-6900
1912,Feeding America Riverside |San Bernardino Counties,951-359-4757
1913,Toledo Northwestern Ohio Food Bank,419-242-5000
1914,Feeding America Riverside |San Bernardino Counties,951-359-4757
1915,FIND Food Bank,760-775-3663
1916,Feeding South Florida,954-518-1818
1917,Feeding San Diego,858-452-3663
1918,The Greater Boston Food Bank,617-427-5200
1919,Good Shepherd Food Bank,(207) 782-3554
1920,Oregon Food Bank,503-282-0555
1921,Fulfill,732-918-2600
1922,Feeding America Riverside |San Bernardino Counties,951-359-4757
1923,Feeding America West Michigan,616-784-3250
1924,Good Shepherd Food Bank,(207) 782-3554
1925,Oregon Food Bank,503-282-0555
1926,Food Bank of Central New York,315-437-1899
1927,Akron-Canton Regional Foodbank,330-535-6900
1928,Food Bank of Eastern Michigan,810-239-4441
1929,Second Harvest Northland,218-727-5653
1930,New Hampshire Food Bank,603-669-9725
1931,Feeding America Eastern Wisconsin,414-931-7400
1932,Good Shepherd Food Bank,(207) 782-3554
1933,Greater Chicago Food Depository,773-247-3663
1934,Feed More,804-521-2500
1935,Greater Pittsburgh Community Food Bank,412-460-3663
1936,Feeding America West Michigan,616-784-3250
1937,Mid-Ohio FoodBank,614-274-7770
1938,Greater Chicago Food Depository,773-247-3663
1939,Good Shepherd Food Bank,(207) 782-3554
1940,Regional Food Bank of Northeastern New York,518-786-3691
1941,Los Angeles Regional Food Bank,323-234-3030
1942,Feeding America West Michigan,616-784-3250
1943,Food Bank of Lincoln,402-466-8170
1945,Central Pennsylvania Food Bank,717-564-1700
1946,Food Bank of Central New York,315-437-1899
1947,Second Harvest Inland Northwest,509-534-6678
1948,Mountaineer Food Bank,304-364-5518
1949,FeedMore WNY,716-852-1305
1950,Food Bank of the Albemarle,252-335-4035
1951,Oregon Food Bank,503-282-0555
1952,Second Harvest Heartland,651-484-5117
1953,Food Bank of Central & Eastern North Carolina,919-875-0707
1954,Good Shepherd Food Bank,(207) 782-3554
1955,Northern Illinois Food Bank,630-443-6910
1956,Montana Food Bank Network,406-721-3825
1957,Harry Chapin Food Bank of Southwest Florida,239-334-7007
1958,South Texas Food Bank,956-726-3120
1959,Regional Food Bank of Northeastern New York,518-786-3691
1960,Feeding Tampa Bay,813-254-1190
1961,Freestore Foodbank,513-482-4500
