Club #,Training Date,Go Live Date,Link to Toolkit
6368,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6369,1/18/2024,1/29/2024,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
6371,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6372,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6373,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6375,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6376,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6377,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6378,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6379,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6380,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6381,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6382,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6383,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6384,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6385,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6386,Completed,10/1/2023,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
6387,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6388,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6401,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6402,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6403,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6404,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6405,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6406,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6407,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6408,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6409,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6410,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6412,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6413,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6414,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6415,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6417,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6418,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6419,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6420,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6421,2/12/2024,2/26/2024,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
6422,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6423,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6424,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6425,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6426,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6427,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6428,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6429,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6430,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6431,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6432,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6433,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6434,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6435,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6436,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6437,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6439,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6440,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6441,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6443,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6444,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6445,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6448,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6449,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6450,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6452,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6453,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6454,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6455,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6456,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6457,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6458,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6460,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6461,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6462,Completed,6/1/2022,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
6463,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6464,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6471,2/12/2024,2/26/2024,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
6472,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6474,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6479,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6482,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6485,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6487,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6489,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6501,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6502,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6503,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6505,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6506,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6507,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6509,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6510,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6512,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6514,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6517,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6518,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6520,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6521,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6522,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6524,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6527,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6528,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6533,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6535,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6536,1/18/2024,1/29/2024,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
6539,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6540,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6543,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6547,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6549,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6556,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6562,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6565,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6567,1/18/2024,1/29/2024,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
6568,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6569,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6570,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6571,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6572,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6573,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6575,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6581,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6582,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6604,Completed,11/5/2023,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program-az.html
6605,Completed,11/5/2023,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program-az.html
6606,Completed,11/5/2023,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program-az.html
6608,Completed,11/5/2023,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program-az.html
6609,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6610,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6612,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6613,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6614,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6615,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6616,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6617,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6619,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6620,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6621,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6622,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6624,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6626,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6628,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6630,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6631,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6632,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6633,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6634,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6635,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6636,Completed,10/30/2022,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
6637,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6643,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6644,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6646,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6650,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6651,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6652,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6653,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6655,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6657,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6658,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6659,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6660,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6661,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6662,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6663,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6664,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6666,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6667,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6670,1/18/2024,1/29/2024,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
6671,1/18/2024,1/29/2024,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
6672,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6673,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6674,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6675,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6676,1/18/2024,1/29/2024,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
6677,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6678,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6679,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6680,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6682,Completed,8/1/2022,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
6683,Completed,8/1/2022,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
6684,Completed,8/1/2022,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
6685,Completed,8/1/2022,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
6686,Completed,8/1/2022,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
6689,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6690,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6692,Completed,11/5/2023,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program-az.html
6693,1/18/2024,1/29/2024,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
6779,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6781,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6867,12/4/2023,12/11/2023,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
6976,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6979,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
7189,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
7191,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
7658,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
7676,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8102,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8104,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8106,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8107,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8111,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8112,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8114,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8115,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8116,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8117,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8119,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8120,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8123,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8125,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8126,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8128,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8129,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8130,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8132,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8133,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8134,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8135,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8136,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8138,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8139,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8141,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8142,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8144,1/18/2024,1/29/2024,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
8145,1/18/2024,1/29/2024,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
8146,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8147,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8149,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8150,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8151,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8152,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8153,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8155,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8156,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8157,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8158,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8160,1/18/2024,1/29/2024,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
8161,3/12/2024,3/18/2024,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
8162,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8163,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8164,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8165,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8166,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8167,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8168,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8169,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8172,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8173,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8174,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
8175,3/13/2024,3/18/2024,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
