Last Modified By,Last Modified,Name,Parent Path,Page Link
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/al/clinical-services-by-state/biometric_screening/LGHIB_Physician_Referral_Form.pdf/subassets/page1.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/al/clinical-services-by-state/biometric_screening/SEIB.LGHIB_Pharmacy_Screening_Form.pdf/subassets/page1.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/al/clinical-services-by-state/biometric_screening/LGHIB_Wellness_Poster.pdf/subassets/page1.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/al/clinical-services-by-state/biometric_screening/SEIB_Wellness_Poster.pdf/subassets/page1.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/al/clinical-services-by-state/biometric_screening/LGHIB_Privacy_Notice.pdf/subassets/page1.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/al/clinical-services-by-state/biometric_screening/AL-Biometric_process_guide.pdf/subassets/page4.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/al/clinical-services-by-state/biometric_screening/AL-Biometric_process_guide.pdf/subassets/page5.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/al/clinical-services-by-state/biometric_screening/AL-Biometric_process_guide.pdf/subassets/page1.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/al/clinical-services-by-state/biometric_screening/AL-Biometric_process_guide.pdf/subassets/page2.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/al/clinical-services-by-state/biometric_screening/AL-Biometric_process_guide.pdf/subassets/page3.pdf"">Page Link</a>"
b1keith,6/11/2019,div10_bs_ssg_tx.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/tx/clinical-services-by-state,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/div10_bs_ssg_tx.pdf"">Page Link</a>"
h0d00g0,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/ga_updated-state-board-mailing-address.pdf"">Page Link</a>"
h0d00g0,3/26/2019,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/WA_Tamper-Resistant-Requirements2.pdf"">Page Link</a>"
nlmix,4/3/2019,OH_Pharmacy-Technician-Registration2018.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/oh/notices,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/OH_Pharmacy-Technician-Registration2018.pdf"">Page Link</a>"
h0d00g0,3/27/2019,CO-Medicaid-Signature-Form.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/co/billing,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/CO-Medicaid-Signature-Form.pdf"">Page Link</a>"
h0d00g0,3/26/2019,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/WA_Patient-Safety-Cap-Waiver.pdf"">Page Link</a>"
h0d00g0,3/27/2019,tx-medicaid-mosquito-repellent.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/tx/billing,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/tx-medicaid-mosquito-repellent.pdf"">Page Link</a>"
h0d00g0,3/22/2019,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/NJ_Syringe-and-Needle-Sales.pdf"">Page Link</a>"
h0d00g0,3/22/2019,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/NJ_Notice-Regarding-Drug-Take-Back-Program2.pdf"">Page Link</a>"
nlmix,5/8/2019,FL_BOP-Declares-Bagging-as-a-Technician-Function.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/fl/notices,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/FL_BOP-Declares-Bagging-as-a-Technician-Function.pdf"">Page Link</a>"
h0d00g0,3/18/2019,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/AL_CIII-Schedule-Change.pdf"">Page Link</a>"
nlmix,6/4/2019,div10_pic_nj_v3.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/all-states-shared/PIC,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/div10_pic_nj_v3.pdf"">Page Link</a>"
h0d00g0,3/26/2019,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/WA_BOP-Pharmacy-Responsibilities-Code"">Page Link</a>"
h0d00g0,3/26/2019,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/WA_OD-Prescriptive-Authority.pdf"">Page Link</a>"
srountr,11/21/2019,ma_smoking_cessation_ssg.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/ma/clinical-services-by-state/nrt,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/ma_smoking_cessation_ssg.pdf"">Page Link</a>"
h0d00g0,3/22/2019,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/OH_-Pharmacy-Technician-Registration-2017.pdf"">Page Link</a>"
h0d00g0,3/27/2019,OR-Medicaid-Other-Coverage-Codes.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/or/billing,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/OR-Medicaid-Other-Coverage-Codes.pdf"">Page Link</a>"
b0s00tz,3/30/2020,div10_paid_order_ga_10.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/ga/supporting/ga-so-for-review,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/ga-so-for-review/div10_paid_order_ga_10.pdf"">Page Link</a>"
szuluet,5/29/2019,div10_paid_order_ga_6.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/ga/supporting/ga-so-for-review,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/ga-so-for-review/div10_paid_order_ga_6.pdf"">Page Link</a>"
szuluet,5/29/2019,div10_paid_order_ga_9_1.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/ga/supporting/ga-so-for-review,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/ga-so-for-review/div10_paid_order_ga_9_1.pdf"">Page Link</a>"
szuluet,5/29/2019,div10_paid_order_ga_8_1.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/ga/supporting/ga-so-for-review,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/ga-so-for-review/div10_paid_order_ga_8_1.pdf"">Page Link</a>"
b1keith,4/10/2019,div10_paid_order_ga_3_4.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/ga/supporting/ga-so-for-review,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/ga-so-for-review/div10_paid_order_ga_3_4.pdf"">Page Link</a>"
szuluet,4/22/2019,Standing Order HD 3.3.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/ga/supporting/ga-so-for-review,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/ga-so-for-review/Standing Order HD 3.3.pdf"">Page Link</a>"
szuluet,4/15/2019,Standing-Order-HD-5.1.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/ga/supporting/ga-so-for-review,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/ga-so-for-review/Standing-Order-HD-5.1.pdf"">Page Link</a>"
b0s00tz,3/30/2020,Standing-Order-HD-1.2.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/ga/supporting/ga-so-for-review,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/ga-so-for-review/Standing-Order-HD-1.2.pdf"">Page Link</a>"
b0s00tz,3/30/2020,div10_paid_order_ga_1_1.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/ga/supporting/ga-so-for-review,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/ga-so-for-review/div10_paid_order_ga_1_1.pdf"">Page Link</a>"
szuluet,5/29/2019,Standing-Order-HD-9.2.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/ga/supporting/ga-so-for-review,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/ga-so-for-review/Standing-Order-HD-9.2.pdf"">Page Link</a>"
b1keith,4/10/2019,div10_paid_order_ga_3_2.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/ga/supporting/ga-so-for-review,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/ga-so-for-review/div10_paid_order_ga_3_2.pdf"">Page Link</a>"
szuluet,5/29/2019,Standing-Order-HD-4.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/ga/supporting/ga-so-for-review,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/ga-so-for-review/Standing-Order-HD-4.pdf"">Page Link</a>"
szuluet,4/15/2019,Standing-Order-HD-3.1.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/ga/supporting/ga-so-for-review,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/ga-so-for-review/Standing-Order-HD-3.1.pdf"">Page Link</a>"
b1keith,4/10/2019,div10_paid_order_ga_3_5.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/ga/supporting/ga-so-for-review,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/ga-so-for-review/div10_paid_order_ga_3_5.pdf"">Page Link</a>"
szuluet,5/27/2019,div10_paid_order_ga_2.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/ga/supporting/ga-so-for-review,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/ga-so-for-review/div10_paid_order_ga_2.pdf"">Page Link</a>"
szuluet,5/27/2019,div10_paid_order_ga_5_2.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/ga/supporting/ga-so-for-review,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/ga-so-for-review/div10_paid_order_ga_5_2.pdf"">Page Link</a>"
b0s00tz,3/30/2020,div10_paid_order_ga_8_2.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/ga/supporting/ga-so-for-review,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/ga-so-for-review/div10_paid_order_ga_8_2.pdf"">Page Link</a>"
szuluet,5/29/2019,div10_paid_order_ga_7.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/ga/supporting/ga-so-for-review,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/ga-so-for-review/div10_paid_order_ga_7.pdf"">Page Link</a>"
nlmix,5/8/2019,FL_National-Certification-(CPhT)-Requirements-for-Pharmacy-Technicians.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/fl/notices,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/FL_National-Certification-(CPhT)-Requirements-for-Pharmacy-Technicians.pdf"">Page Link</a>"
nlmix,4/3/2019,OH-Technician-Registration.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/oh/procedures-by-state,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/OH-Technician-Registration.pdf"">Page Link</a>"
nlmix,5/8/2019,FL_Florida-–-Refusal-to-Fill-RX-Standards.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/fl/notices,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/FL_Florida-–-Refusal-to-Fill-RX-Standards.pdf"">Page Link</a>"
h0d00g0,3/22/2019,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/OR_Self-Inspection-Reference.pdf"">Page Link</a>"
h0d00g0,3/22/2019,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/NJ_CII-Liquids-Dispensing-limits-.pdf"">Page Link</a>"
nlmix,5/8/2019,FL_--Pharmacy-Technician-to-Pharmacist-Ratio-(61).pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/fl/notices,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/FL_--Pharmacy-Technician-to-Pharmacist-Ratio-(61).pdf"">Page Link</a>"
srountr,12/17/2020,Pharmacy_Curbside_Pickup_SOP2.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/all-states-shared/covid19,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/Pharmacy_Curbside_Pickup_SOP2.pdf"">Page Link</a>"
h0d00g0,3/22/2019,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/expired/NJ_-Pharmacy-Alarm-Back-Up-Guidelines.pdf"">Page Link</a>"
nlmix,9/11/2019,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/wv/clinical-services-by-state/div10_naloxone_wv_so_v1.pdf/div10_naloxone_wv_so_v1.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page29.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page53.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page39.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page25.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page34.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page45.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page6.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page44.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page61.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page10.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page35.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page30.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page41.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page38.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page49.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page17.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page20.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page48.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page33.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page14.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page4.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page24.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page55.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page54.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page42.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page37.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page18.pdf"">Page Link</a>"
workflow-process-service,11/22/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/state-rules-&-regulations/mo/clinical-services-by-state/div10_paid_order_mo_statewide_v4.pdf/subassets/page5.pdf"">Page Link</a>"
