Store Number,Invoice Number,Date of Invoice ,   Total Amount   ,Out of Scope,Area of Machine,Memo,Comment
618,INV168084-06245,7/22/2024, 757.04 ,Non Device Related Issues,OTHER,MISC: MISC:  Issue was due to incorrect site input.,6/18/2024
4805,INV168084-06245,7/22/2024, 913.42 ,Non Device Related Issues,OTHER,MISC: MISC:  Issue was due to incorrect site input.,6/18/2024
6353,INV168084-06245,7/22/2024, 797.16 ,Non Device Related Issues,OTHER,MISC: MISC:  Issue was due to incorrect site input.,6/18/2024
6680,INV168084-06245,7/22/2024, 334.50 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/18/2024
6502,INV168084-06245,7/22/2024, 934.96 ,Non Device Related Issues,OTHER,MISC: MISC:  Issue was due to incorrect site input.,6/17/2024
143,INV168084-06245,7/22/2024, 326.25 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/18/2024
583,INV168084-06245,7/22/2024, 934.96 ,Non Device Related Issues,OTHER,MISC: MISC:  Issue was due to incorrect site input.,6/17/2024
875,INV168084-06245,7/22/2024, 321.00 ,Non Device Related Issues,OTHER,THIRD PARTY EQUIPMENT: Machine has lost communication due to failure of network administered by third party,6/18/2024
708,INV168084-06245,7/22/2024, 321.00 ,Non Device Related Issues,OTHER,COIN AUDIT: Coin Audit,6/17/2024
6203,INV168084-06245,7/22/2024, 321.00 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/17/2024
378,INV168084-06245,7/22/2024, 318.75 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/19/2024
320,INV168084-06245,7/22/2024, 324.75 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/18/2024
378,INV168084-06245,7/22/2024," 1,022.26 ",Non Device Related Issues,OTHER,COIN AUDIT: Coin Audit,6/18/2024
347,INV168084-06245,7/22/2024, 328.43 ,Non Device Related Issues,OTHER,THIRD PARTY EQUIPMENT: Machine has lost communication due to failure of network administered by third party,6/17/2024
8104,INV168084-06245,7/22/2024, 455.82 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/17/2024
8156,INV168084-06245,7/22/2024," 1,270.21 ",Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/17/2024
4805,INV168084-06245,7/22/2024, 300.00 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/18/2024
8116,INV168084-06245,7/22/2024, 321.00 ,Non Device Related Issues,OTHER,COIN AUDIT: Coin Audit,6/17/2024
72,INV168084-06245,7/22/2024, 327.00 ,Non Device Related Issues,OTHER,COIN AUDIT: Coin Audit,6/17/2024
6353,INV168084-06245,7/22/2024, 321.75 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/18/2024
409,INV168084-06245,7/22/2024, 312.00 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/19/2024
713,INV168084-06245,7/22/2024, 326.25 ,Customer Failed to Cancel Call,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,6/17/2024
713,INV168084-06245,7/22/2024, 454.75 ,Non Device Related Issues,OTHER,COIN AUDIT: Coin Audit,6/17/2024
6353,INV168084-06245,7/22/2024, 327.00 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/17/2024
8,INV168084-06245,7/22/2024, 322.50 ,Non Device Related Issues,OTHER,COIN AUDIT: Coin Audit,6/17/2024
811,INV168084-06245,7/22/2024, 322.50 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/18/2024
6245,INV168084-06245,7/22/2024, 321.00 ,Customer Failed to Cancel Call,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,6/17/2024
6267,INV168084-06245,7/22/2024, 316.80 ,Non Device Related Issues,OTHER,COIN AUDIT: Coin Audit,6/17/2024
144,INV168084-06245,7/22/2024, 324.75 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/17/2024
969,INV168084-06245,7/22/2024, 324.75 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/17/2024
954,INV168084-06245,7/22/2024, 321.00 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/17/2024
130,INV168084-06245,7/22/2024, 300.00 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/18/2024
6322,INV168084-06245,7/22/2024, 315.00 ,Customer Failed to Cancel Call,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,6/17/2024
68,INV168084-06245,7/22/2024, 454.75 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/16/2024
579,INV168084-06245,7/22/2024, 465.38 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/16/2024
492,INV168084-06245,7/22/2024, 321.00 ,Non Device Related Issues,OTHER,COIN AUDIT: Coin Audit,6/17/2024
979,INV168084-06245,7/22/2024, 448.38 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/16/2024
4816,INV168084-06245,7/22/2024, 696.48 ,Customer Failed to Cancel Call,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,6/24/2024
6612,INV168084-06245,7/22/2024, 321.00 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/20/2024
4874,INV168084-06245,7/22/2024, 321.75 ,Non Device Related Issues,OTHER,COIN AUDIT: Coin Audit,6/20/2024
866,INV168084-06245,7/22/2024, 321.00 ,Non Device Related Issues,OTHER,COIN AUDIT: Coin Audit,6/20/2024
237,INV168084-06245,7/22/2024, 469.82 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/20/2024
583,INV168084-06245,7/22/2024, 327.75 ,Site Declined Troubleshooting,OTHER,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,6/20/2024
127,INV168084-06245,7/22/2024, 300.00 ,Customer Failed to Cancel Call,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,6/20/2024
4985,INV168084-06245,7/22/2024, 318.00 ,Customer Failed to Cancel Call,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,6/20/2024
120,INV168084-06245,7/22/2024, 328.50 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/20/2024
9,INV168084-06245,7/22/2024, 475.95 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/20/2024
511,INV168084-06245,7/22/2024, 810.03 ,Non Device Related Issues,OTHER,MISC: MISC:  Issue was due to incorrect site input.,6/20/2024
899,INV168084-06245,7/22/2024, 329.25 ,Improper Handling,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,6/20/2024
450,INV168084-06245,7/22/2024, 327.15 ,Customer Failed to Cancel Call,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,6/20/2024
7658,INV168084-06245,7/22/2024, 470.69 ,Site Declined Troubleshooting,OTHER,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,6/19/2024
4764,INV168084-06245,7/22/2024, 690.70 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/19/2024
126,INV168084-06245,7/22/2024, 927.71 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/19/2024
777,INV168084-06245,7/22/2024, 685.46 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/19/2024
900,INV168084-06245,7/22/2024, 784.23 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/20/2024
4777,INV168084-06245,7/22/2024, 326.10 ,Non Device Related Issues,OTHER,COIN AUDIT: Coin Audit,6/20/2024
503,INV168084-06245,7/22/2024, 321.00 ,Site Declined Troubleshooting,OTHER,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,6/20/2024
746,INV168084-06245,7/22/2024, 324.75 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/19/2024
966,INV168084-06245,7/22/2024, 323.25 ,Site Declined Troubleshooting,OTHER,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,6/19/2024
518,INV168084-06245,7/22/2024, 326.25 ,Non Device Related Issues,OTHER,MISC: MISC:  Issue was due to incorrect site input.,6/19/2024
436,INV168084-06245,7/22/2024, 460.59 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/19/2024
6353,INV168084-06245,7/22/2024, 300.00 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/19/2024
39,INV168084-06245,7/22/2024, 324.00 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/19/2024
909,INV168084-06245,7/22/2024, 425.00 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/19/2024
1552,INV168084-06245,7/22/2024, 321.00 ,Non Device Related Issues,OTHER,COIN AUDIT: Coin Audit,6/19/2024
4206,INV168084-06245,7/22/2024, 300.00 ,Site Declined Troubleshooting,OTHER,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,6/19/2024
3463,INV168084-06245,7/22/2024, 322.50 ,Non Device Related Issues,OTHER,MISC: MISC:  Issue was due to incorrect site input.,6/19/2024
1497,INV168084-06245,7/22/2024, 318.75 ,Customer Failed to Cancel Call,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,6/19/2024
1968,INV168084-06245,7/22/2024, 802.47 ,Non Device Related Issues,OTHER,MISC: MISC:  Issue was due to incorrect site input.,6/19/2024
1466,INV168084-06245,7/22/2024, 679.80 ,Improper Handling,OTHER,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,6/19/2024
3245,INV168084-06245,7/22/2024, 798.68 ,Non Device Related Issues,OTHER,MISC: MISC:  Issue was due to incorrect site input.,6/18/2024
378,INV168084-06245,7/22/2024, 325.95 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/17/2024
1590,INV168084-06245,7/22/2024, 617.62 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/17/2024
1279,INV168084-06245,7/22/2024," 1,104.92 ",Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/17/2024
3745,INV168084-06245,7/22/2024, 790.73 ,Non Device Related Issues,OTHER,MISC: MISC:  Issue was due to incorrect site input.,6/17/2024
4961,INV168084-06245,7/22/2024, 816.82 ,Non Device Related Issues,OTHER,MISC: MISC:  Issue was due to incorrect site input.,6/17/2024
2517,INV168084-06245,7/22/2024, 963.64 ,Non Device Related Issues,OTHER,MISC: MISC:  Issue was due to incorrect site input.,6/16/2024
4183,INV168084-06245,7/22/2024, 558.16 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/17/2024
810,INV168084-06245,7/22/2024, 934.96 ,Non Device Related Issues,OTHER,MISC: MISC:  Issue was due to incorrect site input.,6/16/2024
1160,INV168084-06245,7/22/2024, 943.78 ,Non Device Related Issues,OTHER,MISC: MISC:  Issue was due to incorrect site input.,6/16/2024
1313,INV168084-06245,7/22/2024, 324.75 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/17/2024
787,INV168084-06245,7/22/2024, 425.00 ,Improper Handling,BNR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/16/2024
3213,INV168084-06245,7/22/2024, 460.06 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/16/2024
236,INV168084-06245,7/22/2024, 460.06 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/16/2024
788,INV168084-06245,7/22/2024, 463.26 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/16/2024
7251,INV168084-06245,7/22/2024, 460.06 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/16/2024
2145,INV168084-06245,7/22/2024, 450.50 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/16/2024
4533,INV168084-06245,7/22/2024, 329.25 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/17/2024
3372,INV168084-06245,7/22/2024, 454.75 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/16/2024
300,INV168084-06245,7/22/2024, 442.00 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/15/2024
2068,INV168084-06245,7/22/2024, 450.50 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/15/2024
954,INV168084-06245,7/22/2024, 454.75 ,Customer Failed to Cancel Call,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,6/16/2024
1954,INV168084-06245,7/22/2024, 675.85 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/15/2024
1921,INV168084-06245,7/22/2024, 453.16 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/15/2024
1698,INV168084-06245,7/22/2024, 425.00 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/15/2024
1066,INV168084-06245,7/22/2024," 1,172.52 ",Improper Handling,BNR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/18/2024
1795,INV168084-06245,7/22/2024, 453.69 ,Customer Failed to Cancel Call,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,6/15/2024
2359,INV168084-06245,7/22/2024, 453.69 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/15/2024
1174,INV168084-06245,7/22/2024, 442.00 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/16/2024
555,INV168084-06245,7/22/2024, 425.00 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/15/2024
3146,INV168084-06245,7/22/2024, 425.00 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/15/2024
2006,INV168084-06245,7/22/2024, 325.20 ,Improper Handling,OTHER,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,6/14/2024
1234,INV168084-06245,7/22/2024, 318.00 ,Non Device Related Issues,OTHER,COIN AUDIT: Coin Audit,6/14/2024
923,INV168084-06245,7/22/2024, 321.00 ,Site Declined Troubleshooting,OTHER,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/14/2024
5419,INV168084-06245,7/22/2024, 508.75 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/15/2024
6245,INV168084-06245,7/22/2024, 324.75 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/14/2024
5057,INV168084-06245,7/22/2024, 565.88 ,Non Device Related Issues,OTHER,COIN AUDIT: Coin Audit,6/17/2024
6878,INV168084-06245,7/22/2024, 313.50 ,Improper Handling,OTHER,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,6/14/2024
328,INV168084-06245,7/22/2024, 547.84 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/14/2024
697,INV168084-06245,7/22/2024, 321.00 ,Customer Failed to Cancel Call,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,6/14/2024
1898,INV168084-06245,7/22/2024, 318.75 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/14/2024
1018,INV168084-06245,7/22/2024, 300.00 ,Customer Failed to Cancel Call,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,6/14/2024
1527,INV168084-06245,7/22/2024," 1,289.65 ",Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/14/2024
1026,INV168084-06245,7/22/2024, 321.00 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/14/2024
127,INV168084-06245,7/22/2024, 939.04 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/16/2024
3475,INV168084-06245,7/22/2024, 318.00 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/14/2024
3301,INV168084-06245,7/22/2024, 454.75 ,Customer Failed to Cancel Call,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,6/15/2024
4317,INV168084-06245,7/22/2024, 324.75 ,Non Device Related Issues,OTHER,COIN AUDIT: Coin Audit,6/14/2024
2804,INV168084-06245,7/22/2024, 958.12 ,Non Device Related Issues,OTHER,MISC: MISC:  Issue was due to incorrect site input.,6/15/2024
8,INV168084-06245,7/22/2024, 327.75 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/14/2024
5107,INV168084-06245,7/22/2024, 827.06 ,Non Device Related Issues,OTHER,MISC: MISC:  Issue was due to incorrect site input.,6/14/2024
6166,INV168084-06245,7/22/2024, 468.81 ,Customer Failed to Cancel Call,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,6/14/2024
1329,INV168084-06245,7/22/2024, 321.00 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/14/2024
6405,INV168084-06245,7/22/2024, 321.75 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/13/2024
2720,INV168084-06245,7/22/2024, 605.11 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/14/2024
1772,INV168084-06245,7/22/2024, 425.00 ,Improper Handling,BCR,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,6/16/2024
4672,INV168084-06245,7/22/2024, 467.51 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/13/2024
2595,INV168084-06245,7/22/2024, 825.93 ,Non Device Related Issues,OTHER,MISC: MISC:  Issue was due to incorrect site input.,6/13/2024
3751,INV168084-06245,7/22/2024, 320.10 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/14/2024
5327,INV168084-06245,7/22/2024, 329.85 ,Customer Failed to Cancel Call,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,6/14/2024
2912,INV168084-06245,7/22/2024, 566.38 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/13/2024
1734,INV168084-06245,7/22/2024, 318.75 ,Non Device Related Issues,OTHER,COIN AUDIT: Coin Audit,6/14/2024
1264,INV168084-06245,7/22/2024, 321.75 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/13/2024
543,INV168084-06245,7/22/2024, 330.60 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/13/2024
591,INV168084-06245,7/22/2024, 545.96 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/13/2024
1452,INV168084-06245,7/22/2024, 321.75 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/14/2024
4848,INV168084-06245,7/22/2024, 583.25 ,Improper Handling,OTHER,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/15/2024
6267,INV168084-06245,7/22/2024, 385.81 ,Customer Failed to Cancel Call,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,6/14/2024
6354,INV168084-06245,7/22/2024, 318.00 ,Improper Handling,BNR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/13/2024
144,INV168084-06245,7/22/2024, 815.71 ,Non Device Related Issues,OTHER,MISC: MISC:  Issue was due to incorrect site input.,6/13/2024
3612,INV168084-06245,7/22/2024, 320.25 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/13/2024
2773,INV168084-06245,7/22/2024, 425.00 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/9/2024
6339,INV168084-06245,7/22/2024, 804.36 ,Non Device Related Issues,OTHER,MISC: MISC:  Issue was due to incorrect site input.,6/13/2024
2877,INV168084-06245,7/22/2024," 1,416.63 ",Non Device Related Issues,OTHER,MISC: MISC:  Issue was due to incorrect site input.,6/13/2024
1021,INV168084-06245,7/22/2024, 451.46 ,Non Device Related Issues,OTHER,THIRD PARTY EQUIPMENT: Machine has lost communication due to failure of network administered by third party,6/12/2024
8275,INV168084-06245,7/22/2024, 460.06 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/12/2024
6322,INV168084-06245,7/22/2024, 456.88 ,Non Device Related Issues,OTHER,COIN AUDIT: Coin Audit,6/12/2024
1827,INV168084-06245,7/22/2024," 1,096.75 ",Improper Handling,BNR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/13/2024
3481,INV168084-06245,7/22/2024, 450.50 ,Non Device Related Issues,OTHER,COIN AUDIT: Coin Audit,6/12/2024
3123,INV168084-06245,7/22/2024, 327.38 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/12/2024
1493,INV168084-06245,7/22/2024, 312.00 ,Non Device Related Issues,OTHER,COIN AUDIT: Coin Audit,6/17/2024
579,INV168084-06245,7/22/2024, 549.13 ,Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/12/2024
4283,INV168084-06245,7/22/2024, 300.00 ,Improper Handling,BNR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/13/2024
1054,INV168084-06245,7/22/2024," 1,243.11 ",Improper Handling,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,6/12/2024
3212,INV168084-06245,7/22/2024, 319.88 ,Site Declined Troubleshooting,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,6/12/2024
5087,INV168084-06245,7/22/2024, 324.00 ,Customer Failed to Cancel Call,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,6/12/2024
5411,INV168084-06245,7/22/2024, 934.96 ,Non Device Related Issues,OTHER,MISC: MISC:  Issue was due to incorrect site input.,6/11/2024
4637,INV168084-06245,7/22/2024, 328.05 ,Non Device Related Issues,OTHER,COIN AUDIT: Coin Audit,6/12/2024
644,INV168084-06245,7/22/2024, 321.00 ,Non Device Related Issues,OTHER,COIN AUDIT: Coin Audit,6/12/2024
5871,INV168084-06245,7/22/2024, 319.50 ,Non Device Related Issues,OTHER,COIN AUDIT: Coin Audit,6/12/2024
