Store #,Format,City,State,Rx Freq,October Rx,November Rx,December Rx,Service Provider,Phone Number,,,
3213,SUP,THE WOODLANDS,TX,90,11,,,CLEAN EARTH,877-406-5295,,,
3215,SUP,Granville,WV,180,,,6,CLEAN EARTH,877-406-5295,,,
3220,SUP,ST GEORGE,UT,90,,,13,CLEAN EARTH,877-406-5295,,,
3224,SUP,GARLAND,TX,90,4,,,CLEAN EARTH,877-406-5295,,,
3225,SUP,ROWLETT,TX,90,,29,,CLEAN EARTH,877-406-5295,,,
3226,SUP,KATY,TX,90,11,,,CLEAN EARTH,877-406-5295,,,
3229,SUP,VERNON,TX,180,4,,,CLEAN EARTH,877-406-5295,,,
3232,SUP,WEST JORDAN,UT,90,,,6,CLEAN EARTH,877-406-5295,,,
3234,SUP,Rogersville,TN,90,,,20,CLEAN EARTH,877-406-5295,,,
3237,SUP,SIOUX FALLS,SD,90,11,,,CLEAN EARTH,877-406-5295,,,
3238,WNM,SPRINGFIELD (E. SUNSHINE),MO,90,,,13,CLEAN EARTH,877-406-5295,,,
3239,SUP,SPRINGFIELD,OR,90,,22,,CLEAN EARTH,877-406-5295,,,
3241,SUP,GLENDALE,AZ,90,,22,,CLEAN EARTH,877-406-5295,,,
3250,SUP,Aurora,OH,60,,15,,CLEAN EARTH,877-406-5295,,,
3251,SUP,Washington Court House,OH,60,18,,6,CLEAN EARTH,877-406-5295,,,
3254,SUP,RENO,NV,90,,,20,CLEAN EARTH,877-406-5295,,,
3255,SUP,SAVOY,IL,90,,22,,CLEAN EARTH,877-406-5295,,,
3258,SUP,EUGENE,OR,90,,22,,CLEAN EARTH,877-406-5295,,,
3259,SUP,MISSOULA,MT,90,,8,,CLEAN EARTH,877-406-5295,,,
3262,SUP,Cambridge,OH,60,,22,,CLEAN EARTH,877-406-5295,,,
3273,SUP,OVERLAND PARK,KS,90,,29,,CLEAN EARTH,877-406-5295,,,
3274,SUP,NORTH RICHLAND HILL,TX,90,,,13,CLEAN EARTH,877-406-5295,,,
3275,NHM,OKLAHOMA CITY (N),OK,90,,,13,CLEAN EARTH,877-406-5295,,,
3277,SUP,RENO,NV,90,,,6,CLEAN EARTH,877-406-5295,,,
3279,SUP,SAN ANTONIO,TX,90,4,,,CLEAN EARTH,877-406-5295,,,
3282,SUP,Logan,OH,60,18,,13,CLEAN EARTH,877-406-5295,,,
3283,SUP,WICHITA,KS,90,,8,,CLEAN EARTH,877-406-5295,,,
3284,SUP,ARLINGTON,TX,180,,,6,CLEAN EARTH,877-406-5295,,,
3285,SUP,CEDAR HILL,TX,90,,22,,CLEAN EARTH,877-406-5295,,,
3286,SUP,HICKORY CREEK,TX,90,,29,,CLEAN EARTH,877-406-5295,,,
3287,NHM,LEWISVILLE,TX,180,11,,,CLEAN EARTH,877-406-5295,,,
3288,SUP,Baton Rouge,LA,180,18,,,CLEAN EARTH,877-406-5295,,,
3290,WMT,KAHULUI,HI,90,18,,,CLEAN EARTH,877-406-5295,,,
3293,SUP,Chardon,OH,60,11,,13,CLEAN EARTH,877-406-5295,,,
3294,SUP,LOUISVILLE,KY,90,,15,,CLEAN EARTH,877-406-5295,,,
3295,SUP,BROKEN ARROW,OK,90,,29,,CLEAN EARTH,877-406-5295,,,
3296,SUP,HOUSTON,TX,90,,15,,CLEAN EARTH,877-406-5295,,,
3297,SUP,HOUSTON,TX,90,,15,,CLEAN EARTH,877-406-5295,,,
3298,SUP,KEMAH,TX,90,,29,,CLEAN EARTH,877-406-5295,,,
3300,SUP,Wapakoneta,OH,60,4,,6,CLEAN EARTH,877-406-5295,,,
3302,SUP,HOUSTON,TX,90,4,,,CLEAN EARTH,877-406-5295,,,
3314,NHM,GLENDALE,AZ,90,,,6,CLEAN EARTH,877-406-5295,,,
3315,NHM,GLENDALE,AZ,90,,,20,CLEAN EARTH,877-406-5295,,,
3319,SUP,HARKER HEIGHTS,TX,90,25,,,CLEAN EARTH,877-406-5295,,,
3320,SUP,PALMHURST,TX,90,25,,,CLEAN EARTH,877-406-5295,,,
3327,WNM,OKLAHOMA CITY ,OK,90,,,13,CLEAN EARTH,877-406-5295,,,
3328,SUP,Greenville,MI,90,,,6,CLEAN EARTH,877-406-5295,,,
3336,SUP,Woodhaven,MI,90,,29,,CLEAN EARTH,877-406-5295,,,
3340,NHM,Tulsa,OK,90,,,13,CLEAN EARTH,877-406-5295,,,
3341,NHM,DALLAS,TX,180,25,,,CLEAN EARTH,877-406-5295,,,
3342,SUP,Amelia,OH,60,11,,13,CLEAN EARTH,877-406-5295,,,
3350,SUP,LAS VEGAS,NV,90,,22,,CLEAN EARTH,877-406-5295,,,
3351,SUP,LAS VEGAS,NV,90,,22,,CLEAN EARTH,877-406-5295,,,
3354,NHM,HENDERSON,NV,90,,,6,CLEAN EARTH,877-406-5295,,,
3355,NHM,LAS VEGAS,NV,180,,,6,CLEAN EARTH,877-406-5295,,,
3356,NHM,LAS VEGAS,NV,90,,,20,CLEAN EARTH,877-406-5295,,,
3357,NHM,TUCSON,AZ,90,,,6,CLEAN EARTH,877-406-5295,,,
3360,SUP,CHANDLER,AZ,180,,,6,CLEAN EARTH,877-406-5295,,,
3362,SUP,Oak Grove,KY,180,4,,,CLEAN EARTH,877-406-5295,,,
3363,SUP,Owensboro,KY,90,,,6,CLEAN EARTH,877-406-5295,,,
3366,SUP,CENTERVILLE,UT,90,,,6,CLEAN EARTH,877-406-5295,,,
3377,NHM,TUCSON,AZ,90,,,6,CLEAN EARTH,877-406-5295,,,
3379,SUP,ORO VALLEY,AZ,90,,22,,CLEAN EARTH,877-406-5295,,,
3381,SUP,SWEETWATER,TX,90,,22,,CLEAN EARTH,877-406-5295,,,
3383,SUP,AMARILLO,TX,180,,,13,CLEAN EARTH,877-406-5295,,,
3384,SUP,HEREFORD,TX,180,,,13,CLEAN EARTH,877-406-5295,,,
3390,SUP,SPRING,TX,180,11,,,CLEAN EARTH,877-406-5295,,,
3391,SUP,SCHERTZ,TX,90,,22,,CLEAN EARTH,877-406-5295,,,
3392,NHM,BEDFORD,TX,90,,,6,CLEAN EARTH,877-406-5295,,,
3400,SUP,OSWEGO,IL,90,,8,,CLEAN EARTH,877-406-5295,,,
3406,SUP,DALLAS,TX,90,,15,,CLEAN EARTH,877-406-5295,,,
3407,SUP,BUCKEYE,AZ,90,,29,,CLEAN EARTH,877-406-5295,,,
3408,SUP,CARSON CITY,NV,180,,,6,CLEAN EARTH,877-406-5295,,,
3419,NHM,FORT WORTH,TX,90,,22,,CLEAN EARTH,877-406-5295,,,
3425,SUP,HOUSTON,TX,90,4,,,CLEAN EARTH,877-406-5295,,,
3430,SUP,MIDWEST CITY,OK,90,,22,,CLEAN EARTH,877-406-5295,,,
3431,SUP,HUDSON OAKS,TX,180,4,,,CLEAN EARTH,877-406-5295,,,
3432,SUP,DESOTO,TX,90,4,,,CLEAN EARTH,877-406-5295,,,
3433,SUP,RED OAK,TX,90,4,,,CLEAN EARTH,877-406-5295,,,
3434,SUP,WOODSTOCK,IL,180,,,13,CLEAN EARTH,877-406-5295,,,
3435,SUP,GREENWOOD,IN,60,25,,13,CLEAN EARTH,877-406-5295,,,
3436,SUP,SOUTH BEND,IN,90,,22,,CLEAN EARTH,877-406-5295,,,
3445,SUP,Holland,OH,60,4,,6,CLEAN EARTH,877-406-5295,,,
3447,SUP,Whitehall,OH,60,18,,6,CLEAN EARTH,877-406-5295,,,
3449,WNM,KILLEEN,TX,90,,,20,CLEAN EARTH,877-406-5295,,,
3450,WNM,Killeen,TX,90,,,20,CLEAN EARTH,877-406-5295,,,
3452,NHM,HOUSTON,TX,90,,,20,CLEAN EARTH,877-406-5295,,,
3453,SUP,Wyoming,MI,90,,8,,CLEAN EARTH,877-406-5295,,,
3454,SUP,PERRY,UT,180,,,13,CLEAN EARTH,877-406-5295,,,
3457,NHM,Tulsa,OK,90,,,13,CLEAN EARTH,877-406-5295,,,
3458,SUP,Whitehall,MI,90,,29,,CLEAN EARTH,877-406-5295,,,
3459,SUP,BLOOMINGTON,IL,90,4,,,CLEAN EARTH,877-406-5295,,,
3460,SUP,PEORIA,IL,90,,,20,CLEAN EARTH,877-406-5295,,,
3465,SUP,GLENDALE,AZ,90,,8,,CLEAN EARTH,877-406-5295,,,
3472,SUP,POST FALLS,ID,180,,,6,CLEAN EARTH,877-406-5295,,,
3473,SUP,LAS VEGAS,NV,90,,22,,CLEAN EARTH,877-406-5295,,,
3476,SUP,Canton,MI,90,,22,,CLEAN EARTH,877-406-5295,,,
3478,WMT,Honolulu,HI,90,,1,,CLEAN EARTH,877-406-5295,,,
3482,SUP,PLANO,TX,90,,15,,CLEAN EARTH,877-406-5295,,,
3483,SUP,Houma,LA,90,,22,,CLEAN EARTH,877-406-5295,,,
3486,SUP,Athens,OH,60,,22,,CLEAN EARTH,877-406-5295,,,
3487,SUP,SHELBY TOWNSHIP,MI,90,,29,,CLEAN EARTH,877-406-5295,,,
3492,SUP,WICHITA,KS,90,,8,,CLEAN EARTH,877-406-5295,,,
3495,SUP,Clarksville,TN,90,,29,,CLEAN EARTH,877-406-5295,,,
3500,SUP,HOUSTON,TX,90,4,,,CLEAN EARTH,877-406-5295,,,
3502,SUP,Hamilton,OH,60,,8,,CLEAN EARTH,877-406-5295,,,
3508,NHM,BROKEN ARROW (N),OK,90,,,20,CLEAN EARTH,877-406-5295,,,
3509,NHM,HOUSTON,TX,90,,,20,CLEAN EARTH,877-406-5295,,,
3510,SUP,PEARLAND,TX,90,,29,,CLEAN EARTH,877-406-5295,,,
3511,SUP,HAYDEN,ID,180,,,6,CLEAN EARTH,877-406-5295,,,
3515,SUP,Hillsboro,OH,60,18,,6,CLEAN EARTH,877-406-5295,,,
3518,SUP,LAREDO,TX,90,11,,,CLEAN EARTH,877-406-5295,,,
3521,WNM,SHERMAN,TX,90,,,13,CLEAN EARTH,877-406-5295,,,
3529,SUP,INDIANAPOLIS,IN,90,,8,,CLEAN EARTH,877-406-5295,,,
3530,NHM,ROCKWALL,TX,180,25,,,CLEAN EARTH,877-406-5295,,,
3542,NHM,HOUSTON,TX,90,,,6,CLEAN EARTH,877-406-5295,,,
3567,SUP,HIDALGO,TX,90,,15,,CLEAN EARTH,877-406-5295,,,
3568,SUP,WEST VALLEY CITY,UT,90,,,20,CLEAN EARTH,877-406-5295,,,
3569,SUP,AUSTIN,TX,90,,29,,CLEAN EARTH,877-406-5295,,,
3571,SUP,Middletown,OH,60,11,,13,CLEAN EARTH,877-406-5295,,,
3572,SUP,PEARLAND,TX,90,,29,,CLEAN EARTH,877-406-5295,,,
3574,NHM,ALLEN,TX,90,,15,,CLEAN EARTH,877-406-5295,,,
3579,NHM,KINGWOOD,TX,90,,,6,CLEAN EARTH,877-406-5295,,,
3580,SUP,Newark,OH,60,18,,6,CLEAN EARTH,877-406-5295,,,
3581,SUP,Zanesville,OH,60,18,,6,CLEAN EARTH,877-406-5295,,,
3584,SUP,HOUSTON,TX,90,,15,,CLEAN EARTH,877-406-5295,,,
3585,SUP,SPRING,TX,90,11,,,CLEAN EARTH,877-406-5295,,,
3589,SUP,SALT LAKE CITY,UT,90,,,6,CLEAN EARTH,877-406-5295,,,
3591,SUP,CONROE,TX,90,,22,,CLEAN EARTH,877-406-5295,,,
3594,NHM,PANTEGO,TX,90,,22,,CLEAN EARTH,877-406-5295,,,
3597,SUP,BELVIDERE,IL,90,18,,,CLEAN EARTH,877-406-5295,,,
3599,NHM,Bartlett,TN,90,,,6,CLEAN EARTH,877-406-5295,,,
3601,SUP,CRESTWOOD,IL,90,25,,,CLEAN EARTH,877-406-5295,,,
3602,SUP,SPRINGFIELD,IL,90,4,,,CLEAN EARTH,877-406-5295,,,
3604,NHM,GOODYEAR,AZ,90,,,6,CLEAN EARTH,877-406-5295,,,
3608,SUP,MADISON,OH,60,,15,,CLEAN EARTH,877-406-5295,,,
3615,NHM,OKLAHOMA CITY (23RD),OK,90,,,6,CLEAN EARTH,877-406-5295,,,
3616,SUP,Amite,LA,90,,22,,CLEAN EARTH,877-406-5295,,,
3619,NHM,Chattanooga,TN,90,,,20,CLEAN EARTH,877-406-5295,,,
3620,SUP,RIVERTON,UT,90,,,20,CLEAN EARTH,877-406-5295,,,
3623,SUP,LAREDO ( SOUTH ),TX,180,,,6,CLEAN EARTH,877-406-5295,,,
3631,WMT,CROWLEY,TX,90,,22,,CLEAN EARTH,877-406-5295,,,
3632,SUP,Sandusky,MI,180,,,13,CLEAN EARTH,877-406-5295,,,
3637,NHM,Yukon,OK,90,,,6,CLEAN EARTH,877-406-5295,,,
3640,SUP,HOUSTON,TX,90,4,,,CLEAN EARTH,877-406-5295,,,
3641,SUP,SPRINGFIELD (E),OH,60,25,,13,CLEAN EARTH,877-406-5295,,,
3645,SUP,MIDLAND,TX,180,18,,,CLEAN EARTH,877-406-5295,,,
3648,SUP,BISMARCK,ND,No Rx,,,,CLEAN EARTH,877-406-5295,,,
3653,WNM,BURLESON ,TX,90,,,6,CLEAN EARTH,877-406-5295,,,
3655,NHM,LAS VEGAS,NV,90,,,13,CLEAN EARTH,877-406-5295,,,
3659,SUP,Chattanooga,TN,90,,22,,CLEAN EARTH,877-406-5295,,,
3660,SUP,Chattanooga,TN,90,,22,,CLEAN EARTH,877-406-5295,,,
3661,NHM,EL PASO,TX,90,,,6,CLEAN EARTH,877-406-5295,,,
3703,NHM,Kenner,LA,90,,,20,CLEAN EARTH,877-406-5295,,,
3717,SUP,Nashville,TN,90,,,20,CLEAN EARTH,877-406-5295,,,
3722,SUP,Kent,OH,60,,15,,CLEAN EARTH,877-406-5295,,,
3723,NHM,Locust Grove,OK,90,,,13,CLEAN EARTH,877-406-5295,,,
3725,SUP,NILES,IL,90,,8,,CLEAN EARTH,877-406-5295,,,
3726,SUP,Grand Blanc,MI,180,,,13,CLEAN EARTH,877-406-5295,,,
3727,NHM,Alexandria,LA,90,,,13,CLEAN EARTH,877-406-5295,,,
3728,SUP,NORTH LAS VEGAS,NV,90,,22,,CLEAN EARTH,877-406-5295,,,
3729,SUP,SPARKS,NV,90,,22,,CLEAN EARTH,877-406-5295,,,
3730,SUP,PRESCOTT VALLEY,AZ,90,,22,,CLEAN EARTH,877-406-5295,,,
3734,SUP,VERMILLION,SD,180,,,6,CLEAN EARTH,877-406-5295,,,
3736,NHM,Pineville,LA,90,,,20,CLEAN EARTH,877-406-5295,,,
3739,SUP,NAMPA,ID,90,,22,,CLEAN EARTH,877-406-5295,,,
3743,NHM,West Monroe,LA,90,,,6,CLEAN EARTH,877-406-5295,,,
3745,NHM,Monroe,LA,90,,,6,CLEAN EARTH,877-406-5295,,,
3746,NHM,Shreveport,LA,90,,,6,CLEAN EARTH,877-406-5295,,,
3747,SUP,MUNCIE,IN,90,,22,,CLEAN EARTH,877-406-5295,,,
3749,SUP,Cincinnati,OH,60,,8,,CLEAN EARTH,877-406-5295,,,
3751,SUP,QUEEN CREEK,AZ,90,,29,,CLEAN EARTH,877-406-5295,,,
3752,NHM,Bossier City,LA,90,,,6,CLEAN EARTH,877-406-5295,,,
3763,SUP,EL PASO,TX,180,,,6,CLEAN EARTH,877-406-5295,,,
3764,SUP,LINDALE,TX,90,,29,,CLEAN EARTH,877-406-5295,,,
3765,SUP,Piqua,OH,60,25,,13,CLEAN EARTH,877-406-5295,,,
3771,SUP,PHOENIX,AZ,90,,15,,CLEAN EARTH,877-406-5295,,,
3773,SUP,FORT WORTH,TX,90,,22,,CLEAN EARTH,877-406-5295,,,
3777,SUP,FRISCO,TX,90,,29,,CLEAN EARTH,877-406-5295,,,
3781,SUP,INDIANAPOLIS,IN,90,,15,,CLEAN EARTH,877-406-5295,,,
3783,SUP,Dayton,OH,60,,15,,CLEAN EARTH,877-406-5295,,,
3784,SUP,Franklin,OH,90,,,20,CLEAN EARTH,877-406-5295,,,
3788,NHM,LAS VEGAS,NV,90,,,13,CLEAN EARTH,877-406-5295,,,
3789,SUP,OGDEN,UT,90,,,13,CLEAN EARTH,877-406-5295,,,
3790,SUP,LOCKPORT,IL,90,25,,,CLEAN EARTH,877-406-5295,,,
3791,SUP,Three Rivers,MI,60,18,,13,CLEAN EARTH,877-406-5295,,,
3792,SUP,Lancaster,OH,60,,22,,CLEAN EARTH,877-406-5295,,,
3799,SUP,MESA,AZ,90,,15,,CLEAN EARTH,877-406-5295,,,
3807,SUP,BENSON,AZ,180,,,6,CLEAN EARTH,877-406-5295,,,
3809,SUP,Upper Sandusky,OH,90,,,6,CLEAN EARTH,877-406-5295,,,
3812,SUP,Columbus,OH,60,,22,,CLEAN EARTH,877-406-5295,,,
3826,SUP,LUBBOCK,TX,90,,15,,CLEAN EARTH,877-406-5295,,,
3827,SUP,RICHMOND,TX,180,,,6,CLEAN EARTH,877-406-5295,,,
3828,SUP,LONGVIEW,TX,90,,8,,CLEAN EARTH,877-406-5295,,,
3829,SUP,Johnson City,TN,90,18,,,CLEAN EARTH,877-406-5295,,,
3833,SUP,MESA,AZ,180,,,6,CLEAN EARTH,877-406-5295,,,
3835,SUP,COLLEGE DALE,TN,90,,15,,CLEAN EARTH,877-406-5295,,,
3837,SUP,ROSCOE,IL,180,,,13,CLEAN EARTH,877-406-5295,,,
3840,SUP,FINDLAY (W),OH,60,4,,6,CLEAN EARTH,877-406-5295,,,
3844,NHM,GLENDALE,AZ,90,,,13,CLEAN EARTH,877-406-5295,,,
3845,NHM,GLENDALE,AZ,90,,,13,CLEAN EARTH,877-406-5295,,,
3846,NHM,MESA,AZ,90,,,20,CLEAN EARTH,877-406-5295,,,
3847,SUP,MESQUITE,NV,90,,15,,CLEAN EARTH,877-406-5295,,,
3848,SUP,SYRACUSE,UT,180,,,6,CLEAN EARTH,877-406-5295,,,
3851,SUP,LAFAYETTE,IN,90,,8,,CLEAN EARTH,877-406-5295,,,
3852,SUP,Unicoi,TN,180,18,,,CLEAN EARTH,877-406-5295,,,
3853,SUP,HURON,SD,180,,,6,CLEAN EARTH,877-406-5295,,,
3860,SUP,Youngstown,OH,60,,15,,CLEAN EARTH,877-406-5295,,,
3861,SUP,GILBERT,AZ,180,,,6,CLEAN EARTH,877-406-5295,,,
3868,SUP,Shreveport,LA,90,18,,,CLEAN EARTH,877-406-5295,,,
3870,NHM,ARLINGTON,TX,180,,,6,CLEAN EARTH,877-406-5295,,,
3872,SUP,RAPID CITY,SD,180,,,6,CLEAN EARTH,877-406-5295,,,
3875,SUP,WAHPETON,ND,No Rx,,,,CLEAN EARTH,877-406-5295,,,
3876,SUP,Roosevelt Park,MI,180,,,6,CLEAN EARTH,877-406-5295,,,
3883,WMT,KAPOLEI,HI,90,25,,,CLEAN EARTH,877-406-5295,,,
3884,SUP,TUCSON,AZ,90,,22,,CLEAN EARTH,877-406-5295,,,
3886,SUP,EDINBURG,TX,90,25,,,CLEAN EARTH,877-406-5295,,,
3888,SUP,SAN ANTONIO,TX,180,,,13,CLEAN EARTH,877-406-5295,,,
3891,SUP,WAUKEGAN,IL,90,18,,,CLEAN EARTH,877-406-5295,,,
3893,SUP,ZION,IL,180,,,13,CLEAN EARTH,877-406-5295,,,
3894,SUP,Lexington,KY,180,25,,,CLEAN EARTH,877-406-5295,,,
3896,SUP,PEORIA,AZ,90,,22,,CLEAN EARTH,877-406-5295,,,
3897,SUP,TWIN FALLS,ID,180,,,6,CLEAN EARTH,877-406-5295,,,
3959,WNM,KNOXVILLE,TN,90,,,20,CLEAN EARTH,877-406-5295,,,
3988,WNM,SPANISH FORK,UT,90,,,20,CLEAN EARTH,877-406-5295,,,
4046,NHM,GARLAND,TX,90,,,13,CLEAN EARTH,877-406-5295,,,
4048,NHM,Prairieville,LA,90,,,6,CLEAN EARTH,877-406-5295,,,
4049,SUP,Olympia Fields,IL,90,,8,,CLEAN EARTH,877-406-5295,,,
4053,WNM,INDIANAPOLIS,IN,90,,,13,CLEAN EARTH,877-406-5295,,,
4054,WNM,INDIANAPOLIS,IN,90,,,20,CLEAN EARTH,877-406-5295,,,
4055,SUP,UNIVERSAL CITY,TX,180,,,13,CLEAN EARTH,877-406-5295,,,
4056,WNM,Converse,TX,90,,,13,CLEAN EARTH,877-406-5295,,,
4057,WNM,JOPLIN,MO,90,,,6,CLEAN EARTH,877-406-5295,,,
4068,SUP,SPANISH FORK,UT,90,,,13,CLEAN EARTH,877-406-5295,,,
4100,WNM,PROVO,UT,90,,,13,CLEAN EARTH,877-406-5295,,,
4102,WMT,CASTROVILLE,TX,180,,,13,CLEAN EARTH,877-406-5295,,,
4103,SUP,DEVINE,TX,90,11,,,CLEAN EARTH,877-406-5295,,,
4104,WNM,DENTON,TX,90,,,20,CLEAN EARTH,877-406-5295,,,
4105,WNM,EL PASO,TX,90,,,20,CLEAN EARTH,877-406-5295,,,
4109,SAM,Bossier City,LA,90,,,6,CLEAN EARTH,877-406-5295,,,
4111,SUP,Richmond,TX,90,,8,,CLEAN EARTH,877-406-5295,,,
4112,SUP,BROWNSVILLE,TX,90,,15,,CLEAN EARTH,877-406-5295,,,
4114,WNM,LONGVIEW (GILMER),TX,90,,,13,CLEAN EARTH,877-406-5295,,,
4115,SUP,CIBOLO,TX,90,,8,,CLEAN EARTH,877-406-5295,,,
4118,SUP,Shepherdsville,KY,90,11,,,CLEAN EARTH,877-406-5295,,,
4129,SUP,Pochatoula,LA,90,,22,,CLEAN EARTH,877-406-5295,,,
4130,SUP,KYLE,TX,90,,29,,CLEAN EARTH,877-406-5295,,,
4131,SUP,SAN ANTONIO,TX,90,4,,,CLEAN EARTH,877-406-5295,,,
4162,SUP,SAN ANTONIO,TX,90,18,,,CLEAN EARTH,877-406-5295,,,
4163,SUP,CEDAR PARK,TX,90,25,,,CLEAN EARTH,877-406-5295,,,
4164,SUP,KAUFMAN,TX,90,,29,,CLEAN EARTH,877-406-5295,,,
4165,SUP,FT. WORTH,TX,90,,22,,CLEAN EARTH,877-406-5295,,,
4166,SUP,SWEETWATER,TN,180,11,,,CLEAN EARTH,877-406-5295,,,
4176,SUP,SHERWOOD,OR,90,,15,,CLEAN EARTH,877-406-5295,,,
4178,WNM,SPRINGFIELD,OR,90,,,20,CLEAN EARTH,877-406-5295,,,
4180,WNM,NAMPA,ID,90,,,6,CLEAN EARTH,877-406-5295,,,
4182,WNM,PLANO,TX,90,,,20,CLEAN EARTH,877-406-5295,,,
4183,SUP,BRYAN,TX,90,,22,,CLEAN EARTH,877-406-5295,,,
4193,NHM,TYLER,TX,90,,,20,CLEAN EARTH,877-406-5295,,,
4194,SUP,VICTORIA,TX,90,25,,,CLEAN EARTH,877-406-5295,,,
4195,SUP,Choctaw,OK,90,,22,,CLEAN EARTH,877-406-5295,,,
4198,WNM,OLATHE,KS,90,,,6,CLEAN EARTH,877-406-5295,,,
4203,SUP,FORT MOHAVE,AZ,180,,,20,CLEAN EARTH,877-406-5295,,,
4208,SUP,SALT LAKE CITY,UT,180,,,6,CLEAN EARTH,877-406-5295,,,
4215,SUP,QUINLAN,TX,180,4,,,CLEAN EARTH,877-406-5295,,,
4216,SUP,COLUMBUS,IN,90,,8,,CLEAN EARTH,877-406-5295,,,
4218,NHM,SURPRISE,AZ,90,,,6,CLEAN EARTH,877-406-5295,,,
4219,SUP,BUDA,TX,180,,,13,CLEAN EARTH,877-406-5295,,,
4221,SUP,CORNELIUS,OR,90,,15,,CLEAN EARTH,877-406-5295,,,
4223,SUP,Maryville,TN,90,,,20,CLEAN EARTH,877-406-5295,,,
4226,SUP,Dunlap,TN,180,11,,,CLEAN EARTH,877-406-5295,,,
4230,SUP,FORT WAYNE,IN,60,18,,13,CLEAN EARTH,877-406-5295,,,
4231,SUP,FORT WAYNE,IN,60,18,,13,CLEAN EARTH,877-406-5295,,,
4232,SUP,PHOENIX,AZ,90,,15,,CLEAN EARTH,877-406-5295,,,
4233,NHM,PHOENIX,AZ,90,,,20,CLEAN EARTH,877-406-5295,,,
4235,SUP,TERRE HAUTE,IN,90,,29,,CLEAN EARTH,877-406-5295,,,
4239,SUP,STEAD,NV,90,,22,,CLEAN EARTH,877-406-5295,,,
4240,SUP,HIGHLAND VILLAGE,TX,90,,29,,CLEAN EARTH,877-406-5295,,,
4241,SUP,Stillwater,OK,180,11,,,CLEAN EARTH,877-406-5295,,,
4243,SUP,Clio,MI,90,,15,,CLEAN EARTH,877-406-5295,,,
4247,SUP,HAVRE,MT,90,,29,,CLEAN EARTH,877-406-5295,,,
4249,SUP,SMELTERVILLE,ID,180,,,6,CLEAN EARTH,877-406-5295,,,
4252,SUP,FLAGSTAFF,AZ,90,,22,,CLEAN EARTH,877-406-5295,,,
4255,SUP,Elyria,OH,60,25,,20,CLEAN EARTH,877-406-5295,,,
4259,SUP,SHELBYVILLE,IL,90,,,6,CLEAN EARTH,877-406-5295,,,
4264,NHM,ORO VALLEY,AZ,90,,,6,CLEAN EARTH,877-406-5295,,,
4272,SUP,LOGAN,UT,90,,,6,CLEAN EARTH,877-406-5295,,,
4275,WNM,PEORIA,AZ,90,,,13,CLEAN EARTH,877-406-5295,,,
4277,SUP,Hurricane,WV,90,,22,,CLEAN EARTH,877-406-5295,,,
4278,SUP,Quincy,WV,90,,,20,CLEAN EARTH,877-406-5295,,,
4279,SUP,MIDLOTHIAN,TX,180,,,6,CLEAN EARTH,877-406-5295,,,
4285,SUP,Cleveland,OH,60,,15,,CLEAN EARTH,877-406-5295,,,
4286,SUP,MONTGOMERY,IL,180,4,,,CLEAN EARTH,877-406-5295,,,
4293,NHM,PHOENIX,AZ,90,,,13,CLEAN EARTH,877-406-5295,,,
4295,SUP,Alexandria,LA,90,25,,,CLEAN EARTH,877-406-5295,,,
4298,SUP,HUMBLE,TX,90,,8,,CLEAN EARTH,877-406-5295,,,
4299,SUP,LUBBOCK,TX,180,11,,,CLEAN EARTH,877-406-5295,,,
4321,SUP,WICHITA,KS,180,25,,,CLEAN EARTH,877-406-5295,,,
4323,SUP,KANKAKEE,IL,180,,,13,CLEAN EARTH,877-406-5295,,,
4324,WNM,CHANDLER,AZ,90,,,20,CLEAN EARTH,877-406-5295,,,
4325,SUP,YUMA,AZ,180,,,13,CLEAN EARTH,877-406-5295,,,
4336,SUP,EL MIRAGE,AZ,90,,8,,CLEAN EARTH,877-406-5295,,,
4337,SUP,SAN LUIS,AZ,90,,,20,CLEAN EARTH,877-406-5295,,,
4339,NHM,NORTH LAS VEGAS,NV,90,,,13,CLEAN EARTH,877-406-5295,,,
4352,SUP,FARGO,ND,No Rx,,,,CLEAN EARTH,877-406-5295,,,
4355,WNM,TAYLOR ,AZ ,90,,8,,CLEAN EARTH,877-406-5295,,,
4356,SUP,LAS VEGAS,NV,90,,15,,CLEAN EARTH,877-406-5295,,,
4359,SUP,ANCHORAGE,AK,90,,8,,CLEAN EARTH,877-406-5295,,,
4366,NHM,EL PASO,TX,180,,,6,CLEAN EARTH,877-406-5295,,,
4367,WNM,TEXARKANA,TX,90,,,20,CLEAN EARTH,877-406-5295,,,
4370,SUP,FERNLEY,NV,180,,,6,CLEAN EARTH,877-406-5295,,,
4371,WNM,TEXARKANA,TX,90,,,20,CLEAN EARTH,877-406-5295,,,
4372,SUP,Kingwood,WV,180,,,6,CLEAN EARTH,877-406-5295,,,
4373,WNM,WAKE VILLAGE ,TX,90,,,20,CLEAN EARTH,877-406-5295,,,
4381,SUP,BRANSON,MO,90,,29,,CLEAN EARTH,877-406-5295,,,
4383,SUP,Dearborn,MI,90,,29,,CLEAN EARTH,877-406-5295,,,
4390,NHM,Enid,OK,90,,,6,CLEAN EARTH,877-406-5295,,,
4395,SUP,POST FALLS,ID,180,,,6,CLEAN EARTH,877-406-5295,,,
4399,SUP,ELKHART,IN,60,18,,13,CLEAN EARTH,877-406-5295,,,
4405,SUP,AURORA,IL,90,,15,,CLEAN EARTH,877-406-5295,,,
