Region,Market,Division,Total Five Star,# of Stores 4 or Better,W+ Paid Member Goal %,AES,Sales Comp,Controllable Profit,Presub,Shrink,OPD Growth
64,541,NHM BU,4.68,11,97.2%,76,10.6%,11.7%,95.0%,-2.0%,17.4%
3,27,SOUTHEAST BU,4.48,2,91.0%,69,5.3%,14.8%,92.2%,-2.7%,22.5%
4,36,EAST BU,4.41,0,93.0%,66,4.8%,15.0%,89.7%,-3.6%,56.7%
4,294,EAST BU,4.52,3,101.9%,67,5.9%,16.5%,93.1%,-2.5%,37.0%
6,60,SOUTHWEST BU,4.58,3,91.9%,70,2.5%,15.3%,94.5%,-2.6%,27.2%
72,545,NHM BU,4.63,7,94.9%,75,7.0%,13.1%,95.8%,-1.7%,2.8%
26,304,EAST BU,4.61,7,98.9%,66,6.5%,16.3%,94.3%,-1.5%,30.0%
41,482,NORTH BU,4.47,1,89.6%,67,4.1%,15.3%,90.3%,-2.4%,37.6%
22,178,EAST BU,4.56,4,98.5%,68,10.2%,16.4%,90.1%,-2.2%,55.9%
59,496,NHM BU,4.63,10,97.7%,71,6.2%,14.1%,95.1%,-2.2%,9.2%
64,526,NHM BU,4.72,12,95.3%,76,8.4%,13.8%,96.6%,-1.0%,-6.3%
57,449,WEST BU,4.62,7,91.7%,66,7.2%,14.9%,93.5%,-2.6%,30.5%
72,559,NHM BU,4.68,13,96.6%,77,8.5%,13.3%,95.9%,-1.7%,5.1%
61,552,NHM BU,4.64,12,92.4%,70,5.5%,12.6%,93.8%,-2.1%,7.6%
60,477,WEST BU,4.49,1,96.8%,62,4.0%,13.7%,91.3%,-4.3%,28.8%
59,509,NHM BU,4.63,9,94.8%,68,8.5%,12.8%,95.7%,-2.0%,4.9%
26,305,EAST BU,4.48,0,95.8%,66,6.8%,14.7%,92.6%,-1.9%,35.5%
17,162,EAST BU,4.54,2,102.2%,66,6.8%,15.8%,92.1%,-2.8%,61.2%
3,89,SOUTHEAST BU,4.52,0,95.6%,70,6.8%,16.3%,92.3%,-2.7%,43.6%
4,41,EAST BU,4.48,1,93.4%,66,6.6%,16.1%,91.9%,-2.6%,40.8%
57,446,WEST BU,4.63,7,96.9%,69,8.3%,14.0%,93.5%,-3.8%,106.2%
60,472,WEST BU,4.51,1,102.6%,65,3.7%,15.3%,93.8%,-2.1%,22.2%
41,249,NORTH BU,4.52,1,87.6%,68,5.4%,15.1%,91.5%,-3.2%,44.0%
52,422,WEST BU,4.54,1,116.8%,68,13.4%,13.5%,93.0%,-2.5%,58.0%
72,549,NHM BU,4.69,13,97.3%,79,9.1%,12.6%,96.4%,-1.7%,2.0%
72,102,NHM BU,4.66,13,98.8%,77,10.1%,13.7%,94.9%,-1.8%,6.9%
3,93,SOUTHEAST BU,4.49,1,93.3%,69,7.8%,17.0%,94.8%,-2.2%,30.0%
59,499,NHM BU,4.65,9,95.7%,74,8.5%,11.7%,95.7%,-2.1%,13.6%
60,471,WEST BU,4.58,3,102.3%,66,7.9%,15.0%,92.9%,-3.0%,26.2%
22,234,EAST BU,4.55,3,95.6%,63,7.9%,17.6%,94.1%,-1.5%,32.9%
2,22,SOUTHEAST BU,4.51,0,95.6%,68,5.7%,15.0%,92.6%,-2.5%,43.1%
9,553,SOUTHEAST BU,4.62,6,96.8%,75,4.4%,12.9%,87.9%,-3.4%,47.5%
4,29,EAST BU,4.49,2,90.0%,68,4.9%,13.8%,89.3%,-3.8%,41.7%
22,168,EAST BU,4.57,3,94.2%,65,7.6%,16.0%,92.7%,-2.5%,35.6%
20,214,NORTH BU,4.48,0,97.9%,65,8.5%,14.2%,91.7%,-3.8%,74.4%
3,111,SOUTHEAST BU,4.48,0,96.2%,66,5.3%,15.9%,92.3%,-2.2%,38.4%
3,104,SOUTHEAST BU,4.54,3,96.8%,69,9.4%,17.4%,94.2%,-1.7%,39.8%
9,115,SOUTHEAST BU,4.58,5,104.4%,70,5.4%,15.3%,92.4%,-1.9%,29.6%
5,44,SOUTHWEST BU,4.53,1,87.8%,70,5.6%,14.1%,92.6%,-3.8%,35.3%
57,396,WEST BU,4.58,3,91.0%,67,4.4%,14.4%,92.8%,-3.4%,34.9%
61,490,NHM BU,4.58,5,96.3%,70,6.4%,11.0%,93.5%,-2.8%,-7.2%
72,548,NHM BU,4.66,12,96.6%,76,11.7%,13.3%,95.8%,-2.2%,8.6%
12,151,SOUTHEAST BU,4.55,1,95.2%,65,8.2%,17.0%,94.7%,-1.8%,40.7%
22,284,EAST BU,4.60,6,94.7%,64,6.9%,15.7%,90.8%,-3.2%,47.9%
26,296,EAST BU,4.50,1,93.8%,65,4.2%,14.4%,92.5%,-2.5%,30.6%
20,235,NORTH BU,4.52,1,105.1%,59,7.4%,15.9%,93.8%,-2.1%,44.2%
57,447,WEST BU,4.62,7,92.1%,66,5.6%,15.7%,92.0%,-3.4%,32.9%
16,188,EAST BU,4.50,0,98.9%,67,8.4%,14.7%,93.5%,-3.1%,53.5%
9,92,SOUTHEAST BU,4.48,1,92.5%,68,6.5%,16.5%,92.0%,-2.1%,28.5%
12,5,SOUTHEAST BU,4.52,1,93.6%,66,7.2%,16.7%,93.9%,-1.5%,35.0%
17,174,EAST BU,4.55,4,96.4%,65,7.6%,15.8%,91.9%,-2.3%,47.2%
40,362,NORTH BU,4.49,1,93.5%,66,9.8%,14.9%,92.0%,-2.6%,48.2%
16,160,EAST BU,4.47,1,100.5%,64,8.0%,16.1%,92.0%,-1.4%,57.7%
16,183,EAST BU,4.44,1,96.7%,65,6.7%,16.6%,93.2%,-1.9%,27.2%
9,110,SOUTHEAST BU,4.69,9,99.1%,85,7.9%,15.0%,93.8%,-3.1%,62.7%
16,154,EAST BU,4.52,4,100.3%,64,5.5%,15.3%,92.1%,-2.0%,48.6%
53,444,NORTH BU,4.52,1,97.0%,64,7.2%,14.2%,93.6%,-2.9%,31.2%
14,16,SOUTHEAST BU,4.43,0,91.8%,70,3.9%,15.0%,92.4%,-2.4%,37.2%
61,397,NHM BU,4.67,11,95.0%,70,10.1%,12.5%,94.5%,-2.3%,6.7%
20,227,NORTH BU,4.53,2,104.6%,59,7.5%,17.7%,93.8%,-1.1%,52.8%
75,291,EAST BU,4.49,1,94.9%,63,6.1%,15.8%,93.3%,-2.8%,28.6%
11,144,SOUTHEAST BU,4.50,1,90.0%,72,5.4%,14.0%,89.8%,-2.6%,49.0%
26,298,EAST BU,4.49,1,95.6%,67,6.1%,15.2%,93.2%,-2.6%,36.1%
13,132,SOUTHWEST BU,4.56,3,97.6%,73,7.2%,15.0%,95.2%,-1.8%,37.7%
58,458,WEST BU,4.67,9,88.1%,71,5.6%,15.5%,93.4%,-2.7%,32.6%
21,221,NORTH BU,4.53,2,90.2%,66,6.5%,15.0%,93.8%,-2.1%,27.4%
25,269,NORTH BU,4.53,1,87.6%,69,6.8%,13.9%,94.4%,-2.5%,18.7%
56,452,WEST BU,4.53,0,92.8%,69,4.2%,13.2%,92.7%,-4.0%,39.3%
14,15,SOUTHEAST BU,4.51,1,98.7%,67,4.1%,17.1%,92.8%,-1.7%,45.7%
76,191,EAST BU,4.47,0,100.1%,63,8.3%,15.4%,93.4%,-2.1%,47.1%
14,8,SOUTHEAST BU,4.45,0,93.7%,70,7.2%,14.6%,92.4%,-2.4%,36.7%
17,161,EAST BU,4.55,3,100.2%,63,6.5%,16.1%,92.9%,-1.9%,41.8%
75,288,EAST BU,4.44,0,92.3%,61,4.8%,16.0%,90.6%,-2.9%,30.8%
3,112,SOUTHEAST BU,4.58,5,94.9%,74,7.1%,15.5%,95.0%,-2.1%,34.6%
76,195,EAST BU,4.44,0,100.1%,64,8.8%,14.2%,91.7%,-2.8%,53.4%
25,270,NORTH BU,4.50,0,94.1%,63,5.5%,14.8%,95.6%,-1.9%,17.1%
2,19,SOUTHEAST BU,4.54,1,92.0%,68,2.8%,12.9%,90.1%,-3.2%,34.2%
14,13,SOUTHEAST BU,4.49,2,89.2%,72,2.9%,14.9%,91.1%,-2.4%,32.6%
54,380,WEST BU,4.54,0,95.6%,70,4.1%,12.3%,92.5%,-3.2%,33.5%
9,105,SOUTHEAST BU,4.57,4,95.9%,81,5.2%,15.4%,93.8%,-2.5%,42.0%
5,52,SOUTHWEST BU,4.52,0,97.9%,70,7.9%,16.6%,92.8%,-2.1%,30.3%
61,550,NHM BU,4.59,7,98.4%,66,10.7%,11.5%,94.4%,-2.6%,17.7%
56,451,WEST BU,4.57,3,88.7%,76,6.6%,12.3%,92.1%,-3.9%,35.5%
58,461,WEST BU,4.67,8,91.8%,65,3.4%,13.1%,93.3%,-4.1%,43.4%
21,225,NORTH BU,4.44,0,90.6%,63,5.9%,13.9%,91.8%,-3.0%,42.5%
3,114,SOUTHEAST BU,4.46,3,91.8%,67,5.0%,15.6%,90.7%,-2.6%,31.3%
6,82,SOUTHWEST BU,4.49,0,94.5%,69,3.0%,14.2%,92.5%,-4.1%,29.6%
58,463,WEST BU,4.66,9,90.8%,73,6.8%,14.5%,94.4%,-2.6%,16.6%
13,130,SOUTHWEST BU,4.52,0,97.4%,72,5.8%,12.6%,90.7%,-3.4%,58.0%
21,223,NORTH BU,4.43,0,91.5%,63,7.5%,15.2%,93.1%,-2.9%,32.4%
42,323,SOUTHEAST BU,4.42,0,90.5%,66,8.8%,17.1%,95.4%,-1.1%,52.0%
54,403,WEST BU,4.56,3,93.2%,67,6.8%,16.1%,93.3%,-2.0%,34.8%
5,56,SOUTHWEST BU,4.55,2,95.5%,73,3.5%,14.1%,92.9%,-3.2%,28.3%
56,468,WEST BU,4.52,1,98.2%,59,2.3%,14.7%,93.4%,-3.7%,22.3%
14,1,SOUTHEAST BU,4.46,0,90.7%,68,6.7%,16.1%,92.5%,-2.2%,53.4%
17,163,EAST BU,4.55,2,100.7%,74,8.6%,15.4%,91.4%,-2.6%,84.1%
40,340,NORTH BU,4.39,0,97.7%,63,8.5%,14.4%,92.6%,-3.2%,49.8%
41,242,NORTH BU,4.50,1,90.3%,71,5.2%,13.9%,91.3%,-3.4%,22.4%
20,215,NORTH BU,4.49,1,94.9%,58,6.7%,16.6%,93.4%,-2.5%,58.0%
57,448,WEST BU,4.62,6,92.2%,68,3.3%,12.6%,93.3%,-4.3%,33.4%
20,208,NORTH BU,4.49,1,99.5%,63,5.9%,17.0%,94.1%,-1.5%,53.0%
56,511,WEST BU,4.56,1,102.3%,76,3.2%,12.7%,93.1%,-3.7%,45.3%
46,370,SOUTHWEST BU,4.57,3,93.6%,74,4.3%,14.6%,94.3%,-2.7%,42.9%
5,53,SOUTHWEST BU,4.56,3,92.4%,71,5.0%,13.5%,92.7%,-3.8%,33.2%
54,401,WEST BU,4.51,1,90.9%,59,2.4%,16.4%,93.4%,-1.8%,18.2%
22,233,EAST BU,4.53,3,96.1%,62,5.6%,17.3%,92.0%,-1.9%,33.6%
26,308,EAST BU,4.55,2,91.2%,63,5.4%,15.4%,94.4%,-2.5%,47.5%
58,445,WEST BU,4.66,9,90.6%,67,3.7%,12.4%,92.3%,-4.5%,35.4%
75,290,EAST BU,4.54,0,88.8%,61,5.6%,15.8%,93.2%,-2.3%,39.6%
17,171,EAST BU,4.63,6,110.5%,72,13.9%,15.5%,92.2%,-2.5%,131.9%
75,293,EAST BU,4.50,0,84.6%,66,5.6%,14.6%,91.0%,-3.3%,59.5%
17,176,EAST BU,4.59,3,108.2%,70,11.4%,13.3%,89.8%,-3.9%,130.5%
25,266,NORTH BU,4.53,0,106.7%,68,13.4%,12.2%,90.4%,-3.4%,72.6%
56,454,WEST BU,4.58,5,89.6%,69,3.4%,11.6%,91.9%,-5.0%,45.0%
16,156,EAST BU,4.56,4,95.7%,68,6.8%,15.7%,93.3%,-1.5%,37.1%
58,460,WEST BU,4.64,8,93.3%,67,1.8%,14.5%,92.8%,-3.5%,21.0%
56,399,WEST BU,4.50,1,90.2%,60,4.7%,17.1%,94.6%,-1.5%,31.2%
4,35,EAST BU,4.54,3,94.0%,67,7.1%,16.0%,93.1%,-2.8%,40.3%
56,455,WEST BU,4.58,5,89.9%,67,4.0%,14.1%,92.8%,-4.0%,35.5%
58,459,WEST BU,4.65,9,94.4%,70,5.2%,15.0%,93.0%,-3.2%,48.2%
19,238,NORTH BU,4.49,1,90.1%,62,8.5%,14.4%,92.7%,-2.3%,39.8%
22,167,EAST BU,4.56,3,98.4%,68,8.6%,15.3%,92.1%,-2.4%,52.2%
58,462,WEST BU,4.67,8,89.1%,67,2.6%,13.7%,93.0%,-3.6%,39.1%
13,68,SOUTHWEST BU,4.61,5,95.1%,71,3.0%,16.5%,94.5%,-1.3%,28.3%
25,264,NORTH BU,4.56,2,94.5%,69,5.6%,14.2%,93.4%,-2.5%,26.3%
5,51,SOUTHWEST BU,4.53,0,91.3%,75,3.4%,14.2%,93.4%,-2.8%,26.7%
58,466,WEST BU,4.66,7,96.1%,67,3.3%,14.5%,92.8%,-3.3%,34.5%
7,505,SOUTHWEST BU,4.64,9,91.9%,72,7.2%,18.1%,95.0%,-1.5%,35.5%
16,157,EAST BU,4.58,3,101.5%,72,7.9%,17.7%,93.0%,-1.7%,88.0%
75,282,EAST BU,4.51,1,97.7%,67,5.3%,15.4%,89.2%,-3.6%,61.7%
9,107,SOUTHEAST BU,4.52,1,96.3%,71,7.3%,15.6%,92.2%,-2.8%,45.3%
76,280,EAST BU,4.49,1,97.1%,65,6.6%,16.6%,92.0%,-2.5%,42.3%
22,558,EAST BU,4.62,6,95.0%,66,8.2%,13.4%,90.5%,-3.1%,68.8%
26,299,EAST BU,4.51,1,95.5%,64,5.5%,15.5%,93.0%,-2.8%,24.4%
2,20,SOUTHEAST BU,4.49,0,94.2%,69,6.5%,13.8%,92.5%,-3.1%,55.2%
9,109,SOUTHEAST BU,4.58,5,93.0%,75,6.5%,15.1%,91.5%,-3.1%,49.6%
2,24,SOUTHEAST BU,4.58,3,94.2%,73,6.6%,14.9%,94.2%,-2.8%,45.2%
54,379,WEST BU,4.61,5,94.2%,64,2.2%,14.0%,92.2%,-2.6%,23.7%
16,189,EAST BU,4.49,0,94.2%,69,7.0%,14.3%,93.6%,-2.4%,38.2%
19,197,NORTH BU,4.48,1,85.8%,67,7.1%,13.3%,91.6%,-1.7%,53.2%
16,159,EAST BU,4.51,1,99.5%,69,6.8%,15.9%,93.1%,-2.0%,56.7%
25,268,NORTH BU,4.53,1,113.4%,71,11.0%,14.1%,91.5%,-3.0%,76.6%
17,577,EAST BU,4.64,6,103.6%,80,12.1%,12.4%,91.6%,-3.5%,83.6%
75,281,EAST BU,4.51,1,93.4%,66,5.7%,14.0%,90.0%,-3.6%,46.3%
5,49,SOUTHWEST BU,4.47,0,90.9%,70,6.5%,13.6%,91.8%,-3.7%,24.9%
76,292,EAST BU,4.64,7,89.0%,84,9.9%,16.2%,95.1%,-2.1%,37.6%
53,435,NORTH BU,4.49,0,91.1%,66,4.7%,14.0%,92.2%,-3.5%,30.7%
6,59,SOUTHWEST BU,4.56,1,87.6%,69,2.8%,15.2%,93.8%,-2.3%,30.0%
13,125,SOUTHWEST BU,4.57,3,96.4%,70,4.2%,12.3%,91.8%,-3.7%,50.4%
76,283,EAST BU,4.51,2,100.0%,81,13.5%,14.6%,92.5%,-2.9%,112.6%
25,267,NORTH BU,4.53,1,143.8%,71,10.2%,13.1%,90.9%,-3.5%,104.7%
19,206,NORTH BU,4.51,1,91.4%,69,9.1%,12.8%,92.6%,-2.0%,47.7%
2,25,SOUTHEAST BU,4.51,1,92.5%,67,6.7%,16.2%,92.7%,-2.6%,38.1%
21,219,NORTH BU,4.44,0,92.3%,68,7.6%,14.5%,92.0%,-3.7%,52.4%
5,50,SOUTHWEST BU,4.54,2,91.8%,73,4.7%,15.1%,92.7%,-3.3%,32.2%
46,368,SOUTHWEST BU,4.48,0,90.7%,70,7.5%,15.4%,94.4%,-2.6%,40.8%
5,583,SOUTHWEST BU,4.51,1,91.5%,79,6.8%,15.2%,93.2%,-2.7%,46.4%
42,324,SOUTHEAST BU,4.45,0,92.4%,69,9.7%,14.8%,93.4%,-2.6%,32.5%
2,26,SOUTHEAST BU,4.55,2,93.2%,69,8.3%,16.0%,93.0%,-2.3%,47.3%
60,514,WEST BU,4.50,1,96.6%,68,6.8%,12.7%,92.8%,-4.2%,37.2%
25,265,NORTH BU,4.54,1,98.6%,68,11.2%,13.6%,92.9%,-2.6%,48.3%
6,62,SOUTHWEST BU,4.56,3,90.3%,73,3.8%,14.1%,93.3%,-2.4%,24.4%
2,23,SOUTHEAST BU,4.47,0,98.8%,71,7.3%,12.9%,90.9%,-4.4%,50.2%
60,467,WEST BU,4.50,0,96.3%,61,3.9%,14.4%,92.6%,-2.6%,33.2%
17,172,EAST BU,4.54,0,107.6%,74,9.8%,12.5%,84.2%,-4.6%,128.9%
9,90,SOUTHEAST BU,4.58,2,97.0%,73,6.8%,16.0%,93.3%,-2.7%,48.8%
57,465,WEST BU,4.65,8,92.0%,69,4.4%,11.4%,93.1%,-3.9%,60.0%
12,122,SOUTHEAST BU,4.54,1,94.9%,65,8.5%,17.7%,93.6%,-1.9%,32.9%
6,63,SOUTHWEST BU,4.59,3,92.2%,73,4.8%,13.7%,94.1%,-3.4%,30.7%
12,153,SOUTHEAST BU,4.53,1,95.6%,73,9.7%,13.7%,93.0%,-2.5%,52.0%
3,94,SOUTHEAST BU,4.49,1,94.8%,71,5.9%,16.0%,92.7%,-2.4%,37.7%
17,175,EAST BU,4.61,5,98.2%,75,11.4%,14.4%,90.3%,-3.9%,80.1%
46,371,SOUTHWEST BU,4.50,1,94.8%,72,5.0%,13.4%,92.6%,-3.8%,34.7%
6,67,SOUTHWEST BU,4.58,2,91.1%,73,3.2%,14.8%,93.6%,-2.7%,29.7%
46,369,SOUTHWEST BU,4.56,2,88.1%,72,5.3%,14.7%,94.5%,-2.8%,45.3%
9,108,SOUTHEAST BU,4.59,7,95.4%,81,5.8%,14.5%,93.3%,-2.7%,46.3%
22,170,EAST BU,4.53,2,96.4%,66,12.0%,15.5%,91.8%,-2.3%,52.2%
57,484,WEST BU,4.64,6,88.6%,68,4.1%,12.6%,93.5%,-3.6%,35.7%
