Primary,Business Domain,"Data Group 
(Sub-Domain)","Data Sub-Group 
(Business Process)",Data Classification,Data Category,Scope
English,Finance,Financial Information,Intercompany Transactions,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Invoices (GFR),Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Invoices (GNFR),Sensitive,Business Information,Global
English,Finance,Financial Information,Journal Entries,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Legal Entities,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Liabilities and Debt,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Location and Profit Center/Cost Center,Sensitive,Business Information,Global
English,Finance,Financial Information,Operating Expenses,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Operating Units / Reporting Segments,Sensitive,Business Information,Global
English,Finance,Financial Information,Payments and Disbursements,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Tender and Payments (Cash credit cards WIC etc.),Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Trading Partners,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Treasury,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Returns,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Sensitive financial data that has not been publicly released and cannot be aggregated to show total company performance prior to an earnings report,Sensitive,Business Information,Global
English,Finance,Financial Information,Financial data (e.g. account balance payment overdraft history and credit/debit card purchases),Sensitive,Personal Information,South Africa
English,Finance,Financial Information,Other account number not previously listed,Sensitive,Personal Information,South Africa
English,Finance,Global Tax,Published Tax Obligation (e.g. Federal Tax International Tax etc.),Non-Sensitive,Business Information,Global
English,Finance,Global Tax,Unpublished Tax Obligation (e.g. Federal Tax International Tax etc.),Highly Sensitive,Business Information,Global
English,Finance,Global Tax,State Income Tax Compliance,Sensitive,Business Information,Global
English,Finance,Global Tax,Sales and Use Tax Refunds,Sensitive,Business Information,Global
English,Finance,Global Tax,Sales Tax - Planning and Store Ops,Sensitive,Business Information,Global
English,Finance,Global Tax,Sales Tax Audit Defense,Highly Sensitive,Business Information,Global
English,Finance,Global Tax,Sales Tax Compliance,Highly Sensitive,Business Information,Global
English,Finance,Global Treasury,Global Treasure,Highly Sensitive,Business Information,Global
English,Finance,Global Treasury,Treasury Operations,Highly Sensitive,Business Information,Global
English,Finance,Global Treasury,Capital Markets,Highly Sensitive,Business Information,Global
English,Finance,Institutional Information,Data†analytics or insights†,Highly Sensitive,Business Information,Global
English,Finance,Institutional Information,Company sales volume or†data†by channel or market,Highly Sensitive,Business Information,Global
English,Finance,Institutional Information,Information used to prepare Annual Reports or Financial Reports†,Highly Sensitive,Business Information,Global
English,Finance,Institutional Information,Internal Audit Reports††,Highly Sensitive,Business Information,Global
English,Finance,Institutional Information,Publicly disclosed Legal Entity Organization charts†,Non-Sensitive,Business Information,Global
English,Finance,Institutional Information,Internal Legal Entity Organization charts†,Highly Sensitive,Business Information,Global
English,Finance,Investor Relations,Investor and Public Relations,Highly Sensitive,Business Information,Global
English,Finance,Investor Relations,Quarterly Reporting,Highly Sensitive,Business Information,Global
English,Finance,M&A Integration & Domestic Planning,Domestic Planning,Highly Sensitive,Business Information,Global
English,Finance,M&A Integration & Domestic Planning,Integrations,Highly Sensitive,Business Information,Global
English,Finance,M&A Integration & Domestic Planning,Tax Policy,Sensitive,Business Information,Global
English,Finance,Proprietary Institutional Information,Accounting details or†data†,Highly Sensitive,Business Information,Global
English,Finance,Proprietary Institutional Information,Planned or considered Mergers & Acquisitions Purchase/Acquisitions or Divesture/Sales or Closures†,Highly Sensitive,Business Information,Global
English,Health and Wellness,Employment information,Medical notes and other associate health information,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Alcohol and drug test results†,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Health Products,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Health Equipment,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Exercise data†,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Family Health or morbidity history,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Genetic test results or information†,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Health insurance identification or account number,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Personal / household insurance information,Sensitive,Personal information,South Africa
English,Health and Wellness,Health and Health Insurance Information,Healthcare payment information,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Patient demographic information,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Medical History,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,De-identified Medical History,Highly Sensitive,Business Information,Global
English,Health and Wellness,Health and Health Insurance Information,De-identified Medical Diagnosis,Highly Sensitive,Business Information,Global
English,Health and Wellness,Health and Health Insurance Information,Medical Diagnosis,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Medical treatment†,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Medical Imaging/Radiology and metadata,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Behavioral Health history,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Behavioral Health†Diagnosis,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Behavioral Health treatment,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Dental history,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,De-identified Dental History,Sensitive,Business Information,Global
English,Health and Wellness,Health and Health Insurance Information,Dental diagnosis,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Dental treatment,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Dental Imaging/Radiology and metadata,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Optometry/Optical History,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Optometry/Optical Diagnosis,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Optometry/Optical Treatment,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Optometry Imaging/Radiology and metadata,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Rx/Prescription number or information†,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Sleep data,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Appointment Data,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Laboratory Test Results,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Laboratory equipment and QC,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Quality Control,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Telehealth data,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,External referral,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Immunization History†,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Radiology Imaging,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Clinical/Medical Records from other source/providers,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Communicable Diseases,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Medications Prescriptions and Drugs ,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Treatment Mental Health ,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Diagnostic Testing,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Diagnostic Equipment,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Hospitalization History,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Medical History,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Reportable Events/Diseases,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Records for certain populations - vulnerable populations,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Sexual and Reproductive Health,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Special Personal Information Attributes,Pregnancy status ,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Special Personal Information Attributes,Pregnancy status ,Sensitive,Personal Information,South Africa
English,Information Security,Audio Visual and Other Sensory Information,Photographs,Highly Sensitive,Personal Information,Global
English,Information Security,Audio Visual and Other Sensory Information,Photographs Video Tapes & Audio Recordings,Sensitive,Personal Information,South Africa
English,Information Security,eDiscovery & Forensic Services Laboratory,Structured/Unstructured PI data collected from multiple data sources for use in litigation investigations and claims.,Highly Sensitive,Personal Information,Global
English,Information Security,eDiscovery & Forensic Services Laboratory,Structured/Unstructured Non-PI data collected from multiple data sources for use in litigation investigations and claims.,Highly Sensitive,Business Information,Global
English,Information Security,Forensics & eDiscovery†,eDiscovery: Litigation Data,Highly Sensitive,Business Information,Global
English,Information Security,Governance & Compliance Data†,PCI - encryption keys gift cards,Highly Sensitive,Business Information,Global
English,Information Security,Governance & Compliance Data†,PCI - crypto gift cards (CAM),Sensitive,Business Information,CAM
English,All Domains,Institutional Information,Store or Ecommerce transactional†data,Highly Sensitive,Business Information,Global
English,Information Security,Institutional Information,Internal Policies Procedures or Processes except for People Policies available to Associates,Highly Sensitive,Business Information,Global
English,Information Security,Institutional Information,Operations or†business†plans†,Highly Sensitive,Business Information,Global
English,Information Security,Institutional Information,Other Institutional Information,Highly Sensitive,Business Information,Global
English,Information Security,Institutional Information,Presentations containing company or department metrics†††,Highly Sensitive,Business Information,Global
English,Information Security,Institutional Information,Training materials or internal technical documents†,Highly Sensitive,Business Information,Global
English,Information Security,Institutional Information,Publicly available facility maps,Non-Sensitive,Business Information,Global
English,Information Security,Institutional Information,Internal Facility Maps Plans or Assets,Sensitive,Business Information,Global
English,Information Security,Institutional Information,Restricted Facility Maps Plans or Assets,Highly Sensitive,Business Information,Global
English,Information Security,Institutional Information,Network Maps (Printer Server Map Network Topology etc.),Sensitive,Business Information,Global
English,Information Security,Risk Management†,Risk-related metrics (e.g. Risk Rating  Issue Name Isse Description Severity etc.),Highly Sensitive,Business Information,Global
English,Information Security,Risk Management†,InfoSec compliance specific output reports for any OSI layer (application presentation session transport network) (e.g. compliance score)†,Highly Sensitive,Business Information,Global
English,Information Security,Risk Management†,Vulnerability report/scoring for any† OSI layer (application presentation session transport network)† e.g. Port specific details (source and target information) Exploitability metrics CVSS Description of exploits Priority etc.,Highly Sensitive,Business Information,Global
English,Information Security,Risk Management†,Network Intrusion Detection system (NIDS)† and Host Intrusion Detection (HIDS) metrics,Highly Sensitive,Business Information,Global
English,Information Security,Security Engineering†,RBAC: business PI data related,Highly Sensitive,Business Information,Global
English,Information Security,Security Engineering†,Metadata for Active Directory,Sensitive,Business Information,Global
English,Information Security,Security Engineering†,Role Based Access Control (RBAC)and Rule Based Access Control (RuBAC) details,Highly Sensitive,Business Information,Global
English,Information Security,Security Engineering†,Access Control Matrix (Authorization),Highly Sensitive,Business Information,Global
English,Information Security,Security Operations†(Threat Detection)†,Private Keys (With Cloud Credentials),Highly Sensitive,Business Information,Global
English,Information Security,Security Operations†(Threat Detection)†,Private Keys (Without Cloud Credentials),Highly Sensitive,Business Information,Global
English,Information Security,Security Operations†(Threat Detection)†,SOC specific data,Highly Sensitive,Personal Information,Global
English,Information Security,Security Operations†(Threat Detection)†,Firewall details (IP addresses related metadata to and from destination),Highly Sensitive,Business Information,Global
English,Information Security,Security Operations†(Threat Detection)†,Personal Firewall details (BYOD IP addresses related metadata to and from destination),Highly Sensitive,Personal Information,Global
English,Information Security,Security Operations†(Threat Detection)†,Back end secured logs e.g. application stateful logs etc. Basic events details (timing and connection details) against NIST 800-53 and other standards. General Heuristics Information.,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations†(Threat Detection)†,Network access controls: Encryption methodology network location network details time stamps,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations†(Threat Detection)†,Authentication types: Transport and Session layer details (e.g. session-based data Windows Session Key etc.)†,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations†(Threat Detection)†,Public Keys,Non-Sensitive,Business Information,Global
English,Information Security,Security Operations†(Threat Detection)†,Electronic monitoring logs,Highly Sensitive,Business Information,Global
English,Legal,Proprietary Institutional Information,Information held for law enforcement purposes†,Highly Sensitive,Business Information,Global
English,Marketing,Proprietary Institutional Information,New Store Product to Market†data†,Highly Sensitive,Business Information,Global
English,Merchandising,Assortment & Space,Assortment/Space data and KPIs,Sensitive,Business Information,Global
English,Merchandising,Biometric Information,Owners/vendors health information,Highly Sensitive,Business Information,Global
English,Merchandising,Compliance,Legal information trade secrets,Highly Sensitive,Business Information,Global
English,Merchandising,Internal,System generated unique identifiers/codes warehouse/ channels/departments information,Sensitive,Business Information,Global
English,Merchandising,Inventory,Inbound/Outbound numbers KPIs,Sensitive,Business Information,Global
English,Merchandising,Item/Catalog ,Item/Catalog KPIs,Sensitive,Business Information,Global
English,Merchandising,Merch Financial Information,Unpublished financials financial plans,Highly Sensitive,Business Information,Global
English,Merchandising,Merch Financial Information,Quantities amounts (other than cost),Sensitive,Business Information,Global
English,Merchandising,Pricing,Pricing calculations/conditions/strategies future pricing price gaps price performance all pricing KPIs,Highly Sensitive,Business Information,Global
English,Real Estate,Proprietary Institutional Information,Commercial or real estate valuation†data†,Highly Sensitive,Business Information,Global
English,Supply Chain,Advanced Shipment Notification,Application Catalog Electronic Data Interchange System Data,Sensitive,Business Information,Global
English,Supply Chain,Automatic Inbound Scheduling,Application Catalog AIS Data,Sensitive,Business Information,Global
English,Supply Chain,CDI Laminar Data,Non-Catalog/Raw Laminar Data (by source system),Sensitive,Business Information,Global
English,Supply Chain,CDI Laminar Secure,Secure Non-Catalog/Raw Laminar Data (by source system),Sensitive,Business Information,Global
English,Supply Chain,Enterprise Catalog,Enterprise Consumption Data,Sensitive,Business Information,Global
English,Supply Chain,Enterprise Secure Catalog,Secure Enterprise Consumption Data,Sensitive,Business Information,Global
English,Supply Chain,Executive Score Card,Application Catalog Executive Score Card Data,Sensitive,Business Information,Global
English,Supply Chain,Executive Score Card Secure,Secure Application Catalog Executive Score Card Data,Sensitive,Business Information,Global
English,Supply Chain,Integrated Planning Enablement,Application Catalog BMS Data,Sensitive,Business Information,Global
English,Supply Chain,Inventory Management,Application Catalog Wakanda System Data,Sensitive,Business Information,Global
English,Supply Chain,Omni Digital Service,Application Catalog ODS Data,Sensitive,Business Information,Global
English,Supply Chain,On Time in Full,Application Catalog OTIF Data,Sensitive,Business Information,Global
English,Supply Chain,Outbound Service Level,Application Catalog OBSL Data,Sensitive,Business Information,Global
English,Supply Chain,Quantum,Application Catalog Quantum Cost to Serve Data,Highly Sensitive,Business Information,Global
English,Supply Chain,Replenishment,Enterprise Replenishment Data,Sensitive,Business Information,Global
English,Supply Chain,Supplier Quality Excellence Program,Application Catalog SQEP Data,Sensitive,Business Information,Global
English,Supply Chain,Supply Chain Tracker Canonical Model,Supply Chain Tracker Data,Sensitive,Business Information,Global
English,Supply Chain,Supply Chain Tracker Canonical Secure Model,Supply Chain Tracker Secure Data,Sensitive,Business Information,Global
English,Supply Chain,Transportation Insights,Application Catalog WTMS and BYTMS system Data,Sensitive,Business Information,Global
English,Walmart Connect,Advertiser and Advertising Partners,Advertising performance and overall performance metrics (GMV category penetration etc.),Sensitive,Business Information,US
English,Walmart Connect,Advertising Platforms,Campaign and Media management (planning setup execution optimization),Sensitive,Business Information,US
English,Walmart Connect,Advertising Platforms,Campaign performance metrics and reporting and insights,Sensitive,Business Information,US
English,Walmart Connect,Customer Interactions,Walmart app and website User interactions on Walmart digital properties (i.e. type of activities from Walmart digital properties ñ Search Browse Page View session and event logs),Sensitive,Business Information,US
English,Walmart Connect,Customer Interactions ,Ad impressions and clicks events logs including IVT Walmart DSP and 3P ,Sensitive,Business Information,US
English,Walmart Connect,Data Governance - Data Sharing,Review of Media Planning Creatives Campaigns Advertiser Items Audience Ids Targeting tactics metrics and models,Highly Sensitive,Business Information,US
English,Walmart Connect,Financial Information,Advertiser and Advertising Partner Billing and related accounting,Highly Sensitive,Business Information,US
English,Walmart Connect,Group Demographics,Aggregated insights (e.g. gender shopper distribution and category-level demographics),Sensitive,Business Information,US
English,Walmart Connect,Individual and household Preferences and Characteristics,Individual-and household level preferences data,Highly Sensitive,Personal Information,US
English,Walmart Connect,Institutional Information,Operational and Business plans (AOP) business performance metrics,Highly Sensitive,Business Information,US
English,Walmart Connect,Legal,Advertising / Partnership  Contracts product licenses legal agreements and addendums,Highly Sensitive,Business Information,US
English,Walmart Connect,Online tracking technology,Cookies Tags iframes Ad server beacon events,Sensitive,Personal Information,US
English,Walmart Connect,Personal Identifiers,ID graphs / cross walks for audience segments for targeting (Walmart Identifiers and 3P identifiers such as RampID Trade Desk ID/TAPAD LUID),Sensitive,Personal Information,US
English,Walmart Connect,Sales,Advertiser and Advertising Partner accounts business contacts advertising budgets billing and payment preferences,Highly Sensitive,Business Information,US
English,Information Security,Security Operations†(Threat Detection)†,Private Keys (e.g. RSA DSA ECC EdDSA AES SSH PGP/GPG),Highly Sensitive,Business Information,Global
English,Information Security,Security Operations†(Threat Detection)†,General Webhook,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations†(Threat Detection)†,Slack Webhook,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations†(Threat Detection)†,Microsoft Teams Webhook (Slack Microsoft Teams),Highly Sensitive,Business Information,Global
English,Information Security,Security Operations†(Threat Detection)†,Credentials in ODBC Connection String,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations†(Threat Detection)†,Azure Connection String,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations†(Threat Detection)†,Azure App Configuration Connection String,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations†(Threat Detection)†,Generic API Key,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations†(Threat Detection)†,Google API Key,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations†(Threat Detection)†,Sauce Token,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations†(Threat Detection)†,GitHub Personal Access Token,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations†(Threat Detection)†,Jenkins Token or Crumb,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations†(Threat Detection)†,SonarQube Token,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations†(Threat Detection)†,Google OAuth Access Token,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations†(Threat Detection)†,Salesforce Access Token,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations†(Threat Detection)†,Grafana API Token,Highly Sensitive,Business Information,Global
English,All Domains,Collaboration Tools,Jira (Platform-stores Sensitive to Highly Sensitive data),Highly Sensitive,Business Information,Global
English,All Domains,Collaboration Tools,Confluence (Platform - stores Sensitive to Highly Sensitive data),Highly Sensitive,Business Information,Global
English,All Domains,Collaboration Tools,SharePoint  (Platform - stores Sensitive to Highly Sensitive data),Highly Sensitive,Business Information,Global
English,All Domains,Collaboration Tools,Teams  (Platform - stores Sensitive to Highly Sensitive data),Highly Sensitive,Business Information,Global
English,All Domains,Collaboration Tools,Zoom  (Platform - stores Sensitive to Highly Sensitive data),Highly Sensitive,Business Information,Global
