Market,Region,Store #,Cat #,Cat Desc,Current Footage,New Footage,Footage Change,Comments
65,6,1409,221,Chromebook,16 feet,4 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
65,6,1409,233,Tablets,,,4 feet,Moved tablets to the table
65,6,3226,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
65,6,3226,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
65,6,3226,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
65,6,3226,233,Tablets,,,4 feet,Moved tablets to the table
65,6,3640,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
65,6,3640,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
65,6,3640,233,Tablets,,,4 feet,Moved tablets to the table
65,6,3640,267,Tonies,,,4 feet,Repurposed tablet – footage
65,6,3640,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
65,6,4111,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
65,6,4111,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
65,6,4111,221,Chromebook,16 feet,8 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
65,6,4111,233,Tablets,,,4 feet,Moved tablets to the table
65,6,4512,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
66,13,331,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
66,13,331,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
66,13,331,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
66,13,383,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
66,13,383,221,Chromebook,8 feet,4 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
66,13,384,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
66,13,384,221,Chromebook,8 feet,4 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
66,13,408,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
66,13,408,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
66,13,408,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
66,13,408,233,Tablets,,,4 feet,Moved tablets to the table
66,13,408,267,Tonies,,,4 feet,Repurposed tablet – footage
66,13,408,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
66,13,457,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
66,13,457,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
66,13,457,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
66,13,469,100,Laptops,32 feet,44,12 feet,Increasing laptop footage
66,13,469,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
66,13,469,233,Tablets,,,8 feet,Moved tablets to the table
66,13,469,267,Tonies,,,8 feet,Repurposed tablet – footage
66,13,469,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
66,13,521,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
66,13,521,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
66,13,521,126,PC Components,,,8 feet,Repurposed tablet – fixtures/footage
66,13,521,221,Chromebook,24 feet,8 feet,-16 feet,Reduced Chromebook footage and moved to laptops category
66,13,521,233,Tablets,,,8 feet,Moved tablets to the table
66,13,651,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
66,13,651,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
66,13,651,233,Tablets,,,4 feet,Moved tablets to the table
66,13,651,267,Tonies,,,4 feet,Repurposed tablet – footage
66,13,651,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
66,13,777,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
66,13,777,221,Chromebook,12 feet,8 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
66,13,1204,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
66,13,1204,126,PC Components,,,8 feet,Repurposed tablet – fixtures/footage
66,13,1204,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
66,13,1204,233,Tablets,,,8 feet,Moved tablets to the table
67,6,703,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
67,6,703,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
67,6,703,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
67,6,703,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
67,6,703,233,Tablets,,,4 feet,Moved tablets to the table
67,6,2257,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
67,6,2257,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
67,6,2257,233,Tablets,,,4 feet,Moved tablets to the table
67,6,2257,267,Tonies,,,4 feet,Repurposed tablet – footage
67,6,2257,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
67,6,3297,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
67,6,3297,104,Samsung Ecosystem,,,4 feet,Repurposed tablet – fixtures/footage
67,6,3297,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
67,6,3297,233,Tablets,,,4 feet,Moved tablets to the table
67,6,4416,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
67,6,4538,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
67,6,4538,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
67,6,4538,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
67,6,4538,233,Tablets,,,4 feet,Moved tablets to the table
67,6,5045,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
67,6,5045,126,PC Components,,,8 feet,Repurposed tablet – fixtures/footage
67,6,5045,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
67,6,5045,233,Tablets,,,8 feet,Moved tablets to the table
67,6,5091,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
67,6,5091,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
67,6,5091,233,Tablets,,,4 feet,Moved tablets to the table
67,6,5091,267,Tonies,,,4 feet,Repurposed tablet – footage
67,6,5091,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
68,13,351,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
68,13,351,100,Laptops,24 feet,40,16 feet,Increasing laptop footage
68,13,351,221,Chromebook,16 feet,4 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
68,13,400,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
68,13,400,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
68,13,400,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
68,13,400,233,Tablets,,,4 feet,Moved tablets to the table
68,13,3213,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
68,13,3213,104,Samsung Ecosystem,,,4 feet,Repurposed tablet – fixtures/footage
68,13,3213,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
68,13,3213,233,Tablets,,,4 feet,Moved tablets to the table
68,13,3390,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
68,13,3390,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
68,13,3390,126,PC Components,,,8 feet,Repurposed tablet – fixtures/footage
68,13,3390,221,Chromebook,24 feet,8 feet,-16 feet,Reduced Chromebook footage and moved to laptops category
68,13,3390,233,Tablets,,,8 feet,Moved tablets to the table
68,13,3585,100,Laptops,24 feet,40,16 feet,Increasing laptop footage
68,13,3585,221,Chromebook,16 feet,8 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
68,13,3591,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
68,13,3591,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
68,13,3591,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
68,13,3591,233,Tablets,,,4 feet,Moved tablets to the table
68,13,5287,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
68,13,5287,104,Samsung Ecosystem,,,4 feet,Repurposed tablet – fixtures/footage
68,13,5287,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
68,13,5287,233,Tablets,,,4 feet,Moved tablets to the table
70,7,600,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
70,7,600,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
70,7,600,221,Chromebook,12 feet,0 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
70,7,755,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
70,7,755,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
70,7,755,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
70,7,755,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
70,7,755,233,Tablets,,,4 feet,Moved tablets to the table
70,7,793,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
70,7,793,221,Chromebook,8 feet,4 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
70,7,812,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
70,7,812,221,Chromebook,12 feet,8 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
70,7,822,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
70,7,822,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
70,7,822,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
70,7,1516,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
70,7,1516,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
70,7,1516,221,Chromebook,12 feet,0 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
70,7,3383,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
70,7,3383,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
70,7,3383,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
70,7,3383,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
70,7,3383,233,Tablets,,,4 feet,Moved tablets to the table
70,7,3384,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
70,7,5216,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
70,7,5216,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
70,7,5216,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
70,7,5216,233,Tablets,,,4 feet,Moved tablets to the table
71,7,549,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
71,7,549,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
71,7,549,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
71,7,549,221,Chromebook,20 feet,4 feet,-16 feet,Reduced Chromebook footage and moved to laptops category
71,7,549,233,Tablets,,,4 feet,Moved tablets to the table
71,7,821,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
71,7,821,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
71,7,821,221,Chromebook,20 feet,4 feet,-16 feet,Reduced Chromebook footage and moved to laptops category
71,7,821,233,Tablets,,,4 feet,Moved tablets to the table
71,7,821,267,Tonies,,,4 feet,Repurposed tablet – footage
71,7,821,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
71,7,861,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
71,7,861,221,Chromebook,8 feet,12 feet,4 feet,Reduced Chromebook footage and moved to laptops category
71,7,927,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
71,7,927,217,Refurbished Hardware,,,4 feet,Repurposed tablet – fixtures/footage
71,7,927,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
71,7,927,233,Tablets,,,4 feet,Moved tablets to the table
71,7,945,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
71,7,2653,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
71,7,3826,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
71,7,3826,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
71,7,3826,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
71,7,3826,233,Tablets,,,4 feet,Moved tablets to the table
71,7,4299,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
71,7,4299,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
71,7,4299,233,Tablets,,,4 feet,Moved tablets to the table
71,7,4299,267,Tonies,,,4 feet,Repurposed tablet – footage
71,7,4299,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
71,7,6898,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
73,7,513,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
73,7,513,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
73,7,513,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
73,7,513,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
73,7,513,233,Tablets,,,4 feet,Moved tablets to the table
73,7,537,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
73,7,608,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
73,7,608,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
73,7,608,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
73,7,608,233,Tablets,,,4 feet,Moved tablets to the table
73,7,897,100,Gaming Laptops,,,4 feet,Moved gaming laptops to table
73,7,897,100,Laptops,16 feet,28,12 feet,Increasing laptop footage
73,7,897,221,Chromebook,12 feet,8 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
73,7,2891,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
73,7,2891,104,Samsung Ecosystem,,,4 feet,Repurposed tablet – fixtures/footage
73,7,2891,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
73,7,2891,233,Tablets,,,4 feet,Moved tablets to the table
73,7,3645,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
73,7,3645,104,Samsung Ecosystem,,,4 feet,Repurposed tablet – fixtures/footage
73,7,3645,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
73,7,3645,233,Tablets,,,4 feet,Moved tablets to the table
74,7,535,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
74,7,535,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
74,7,535,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
74,7,536,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
74,7,536,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
74,7,536,126,PC Components,,,8 feet,Repurposed tablet – fixtures/footage
74,7,536,221,Chromebook,24 feet,8 feet,-16 feet,Reduced Chromebook footage and moved to laptops category
74,7,536,233,Tablets,,,8 feet,Moved tablets to the table
74,7,601,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
74,7,601,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
74,7,601,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
74,7,1249,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
74,7,1249,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
74,7,1249,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
74,7,1249,233,Tablets,,,4 feet,Moved tablets to the table
76,5,248,100,Laptops,16 feet,28,12 feet,Increasing laptop footage
76,5,248,221,Chromebook,12 feet,8 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
76,5,610,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
76,5,610,221,Chromebook,8 feet,4 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
76,5,746,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
76,5,746,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
76,5,746,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
76,5,746,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
76,5,746,233,Tablets,,,4 feet,Moved tablets to the table
76,5,939,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
76,5,939,126,PC Components,,,8 feet,Repurposed tablet – fixtures/footage
76,5,939,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
76,5,939,233,Tablets,,,8 feet,Moved tablets to the table
76,5,1254,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
76,5,1254,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
76,5,1254,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
76,5,5389,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
76,5,5389,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
76,5,5389,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
76,5,6929,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
76,5,6929,221,Chromebook,8 feet,4 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
76,5,7156,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
76,5,7156,217,Refurbished Hardware,,,4 feet,Repurposed tablet – fixtures/footage
76,5,7156,221,Chromebook,16 feet,12 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
76,5,7156,233,Tablets,,,4 feet,Moved tablets to the table
77,7,290,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
77,7,465,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
77,7,465,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
77,7,465,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
77,7,757,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
77,7,757,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
77,7,757,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
77,7,757,233,Tablets,,,4 feet,Moved tablets to the table
77,7,757,267,Tonies,,,4 feet,Repurposed tablet – footage
77,7,757,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
77,7,901,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
77,7,901,221,Chromebook,12 feet,8 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
77,7,3279,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
77,7,3279,126,PC Components,,,8 feet,Repurposed tablet – fixtures/footage
77,7,3279,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
77,7,3279,233,Tablets,,,8 feet,Moved tablets to the table
77,7,5144,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
77,7,5144,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
77,7,5144,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
77,7,5144,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
77,7,5144,233,Tablets,,,4 feet,Moved tablets to the table
77,7,5245,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
77,7,5245,217,Refurbished Hardware,,,4 feet,Repurposed tablet – fixtures/footage
77,7,5245,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
77,7,5245,233,Tablets,,,4 feet,Moved tablets to the table
78,7,440,100,Gaming Laptops,,,4 feet,Moved gaming laptops to table
78,7,440,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
78,7,440,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
78,7,442,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
78,7,442,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
78,7,442,104,Samsung Ecosystem,,,4 feet,Repurposed tablet – fixtures/footage
78,7,442,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
78,7,442,233,Tablets,,,4 feet,Moved tablets to the table
78,7,458,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
78,7,458,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
78,7,458,221,Chromebook,12 feet,0 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
78,7,464,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
78,7,464,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
78,7,464,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
78,7,464,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
78,7,464,233,Tablets,,,4 feet,Moved tablets to the table
78,7,470,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
78,7,470,217,Refurbished Hardware,,,4 feet,Repurposed tablet – fixtures/footage
78,7,470,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
78,7,470,233,Tablets,,,4 feet,Moved tablets to the table
78,7,490,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
78,7,490,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
78,7,490,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
78,7,490,221,Chromebook,16 feet,4 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
78,7,490,233,Tablets,,,4 feet,Moved tablets to the table
78,7,791,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
78,7,791,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
78,7,791,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
78,7,791,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
78,7,791,233,Tablets,,,4 feet,Moved tablets to the table
78,7,1494,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
78,7,5460,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
78,7,5460,221,Chromebook,8 feet,4 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
78,7,5898,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
80,7,395,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
80,7,395,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
80,7,395,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
80,7,397,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
80,7,452,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
80,7,452,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
80,7,452,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
80,7,452,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
80,7,452,233,Tablets,,,4 feet,Moved tablets to the table
80,7,1958,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
80,7,1958,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
80,7,1958,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
80,7,1958,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
80,7,1958,233,Tablets,,,4 feet,Moved tablets to the table
80,7,3320,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
80,7,3320,104,Samsung Ecosystem,,,4 feet,Repurposed tablet – fixtures/footage
80,7,3320,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
80,7,3320,233,Tablets,,,4 feet,Moved tablets to the table
80,7,4508,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
80,7,4508,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
80,7,4508,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
80,7,4508,233,Tablets,,,4 feet,Moved tablets to the table
80,7,5165,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
80,7,5165,104,Samsung Ecosystem,,,4 feet,Repurposed tablet – fixtures/footage
80,7,5165,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
80,7,5165,233,Tablets,,,4 feet,Moved tablets to the table
81,7,381,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
81,7,381,221,Chromebook,8 feet,4 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
81,7,407,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
81,7,407,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
81,7,407,217,Refurbished Hardware,,,4 feet,Repurposed tablet – fixtures/footage
81,7,407,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
81,7,407,233,Tablets,,,4 feet,Moved tablets to the table
81,7,476,100,Laptops,16 feet,32 feet,16 feet,Increasing laptop footage
81,7,476,221,Chromebook,8 feet,4 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
81,7,781,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
81,7,781,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
81,7,781,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
81,7,781,221,Chromebook,20 feet,4 feet,-16 feet,Reduced Chromebook footage and moved to laptops category
81,7,781,233,Tablets,,,4 feet,Moved tablets to the table
81,7,813,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
81,7,813,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
81,7,813,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
81,7,813,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
81,7,813,233,Tablets,,,4 feet,Moved tablets to the table
81,7,1232,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
81,7,1232,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
81,7,1232,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
81,7,1232,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
81,7,1232,233,Tablets,,,4 feet,Moved tablets to the table
81,7,1303,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
81,7,1303,104,Samsung Ecosystem,,,4 feet,Repurposed tablet – fixtures/footage
81,7,1303,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
81,7,1303,233,Tablets,,,4 feet,Moved tablets to the table
81,7,3319,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
81,7,3319,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
81,7,3319,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
81,7,3319,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
81,7,3319,233,Tablets,,,4 feet,Moved tablets to the table
81,7,6286,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
81,7,6286,221,Chromebook,8 feet,4 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
82,6,1129,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
82,6,1129,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
82,6,1129,104,Samsung Ecosystem,,,4 feet,Repurposed tablet – fixtures/footage
82,6,1129,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
82,6,1129,233,Tablets,,,4 feet,Moved tablets to the table
82,6,1253,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
82,6,1253,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
82,6,1253,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
82,6,1253,233,Tablets,,,4 feet,Moved tablets to the table
82,6,2133,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
82,6,2133,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
82,6,2133,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
