Store Info,FY24 Assemblers ,Supplier Status ,Tabletop/Quick Assembly  ,Charcoal / Griddles / Smokers ,Gas / Wood / Pellet,Duel Fuel ,Level 1 Grill Repair ,Level 2 Grill Repair ,Level 3 Grill Repair 
542,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
542,"National Assemblers, Inc.",Secondary,17.03,27.51,38.5,46.97,12.47,16.47,24.95
543,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
543,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
543,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
544,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
544,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
544,"National Assemblers, Inc.",Preferred,15.48,25.01,35,42.69,11.34,14.97,22.69
545,TROC,Preferred,18.74,33.33,34.54,51.51,18.18,33.33,54.54
545,M&C Assembly,Secondary,16.5,37.95,46.2,49.5,9.9,19.8,23.1
545,"National Assemblers, Inc.",Secondary,17.03,27.51,38.5,46.97,12.47,16.47,24.95
546,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
546,INSTALLER PRO,Secondary,15.4,24.5,24.5,42.5,10,15,20
546,"National Assemblers, Inc.",Preferred,15.48,25.01,35,42.69,11.34,14.97,22.69
547,Obscure Rides,Secondary,11,20.5,20.5,20.5,6.53,8.71,10.88
547,PRO SERV ASSEMBLY SERVICE INC,Preferred,16,20,25,30,5,10,20
547,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
548,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
5482,ADVANCED RETAIL SYSTEMS LLC,Secondary,18.5,30,45,65,8,10,12
548,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
548,"National Assemblers, Inc.",Preferred,15.48,25.01,35,42.69,11.34,14.97,22.69
549,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
549,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
549,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
550,ALLIED ASSEMBLY INC,Secondary,11,23.5,38,53,7.07,10.89,22
550,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
550,"National Assemblers, Inc.",Preferred,19.35,31.26,43.75,53.37,14.18,18.71,28.35
551,Zeb's Assembly LLC,Secondary,9.87,24.87,29.87,34.87,2.87,3.87,4.87
551,TROC,Preferred,18.98,33.77,35,52.19,18.42,33.77,55.26
551,"National Assemblers, Inc.",Secondary,14.71,23.75,33.25,40.56,10.77,14.22,21.56
552,TROC,Preferred,18.74,33.33,34.54,51.51,18.18,33.33,54.54
552,M&C Assembly,Secondary,16.5,37.95,46.2,49.5,9.9,19.8,23.1
552,"National Assemblers, Inc.",Secondary,17.03,27.51,38.5,46.97,12.47,16.47,24.95
553,M&C Assembly,Preferred,11,25.3,30.8,33,6.6,13.2,15.4
553,Economy Care Services,Secondary,17.47,28.14,38.5,38.5,13.98,17.18,25.16
553,"National Assemblers, Inc.",Secondary,17.03,27.51,38.5,46.97,12.47,16.47,24.95
554,TROC,Preferred,20.59,36.63,37.96,56.61,19.98,36.63,59.94
554,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
554,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
555,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
555,ADVANCED RETAIL SYSTEMS LLC,Secondary,18.5,30,45,65,8,10,12
555,"Backpedal Co, LLC",Preferred,11,21,28,37,8,10,16
556,Coretech,Secondary,10,24,28,35,5,10,15
556,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
556,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
557,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
557,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
558,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
558,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
559,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
559,Tec Assembly Inc,Preferred,10,30,35,40,1,5,10
559,"National Assemblers, Inc.",Secondary,19.35,31.26,43.75,53.37,14.18,18.71,28.35
560,ALL STAR ASSEMBLY LLC,Preferred,13.25,22.25,28.25,46.99,5.25,7.5,10.5
560,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
560,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
561,"Backpedal Co, LLC",Preferred,11,21,28,37,8,10,16
561,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
561,"National Assemblers, Inc.",Secondary,14.71,23.75,33.25,40.56,10.77,14.22,21.56
562,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
562,M&C Assembly,Preferred,11,25.3,30.8,33,6.6,13.2,15.4
562,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
563,Zeb's Assembly LLC,Secondary,9.87,24.87,29.87,34.87,2.87,3.87,4.87
563,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
563,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
564,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
564,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
564,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
565,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
565,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
565,"National Assemblers, Inc.",Preferred,15.48,25.01,35,42.69,11.34,14.97,22.69
566,ALL STAR ASSEMBLY LLC,Preferred,14.25,22.25,29.25,47.99,5.25,7.5,10.5
566,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
566,"National Assemblers, Inc.",Secondary,19.35,31.26,43.75,53.37,14.18,18.71,28.35
567,"Backpedal Co, LLC",Preferred,11,21,28,37,8,10,16
567,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
567,"National Assemblers, Inc.",Secondary,14.71,23.75,33.25,40.56,10.77,14.22,21.56
568,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,8.5,26,38,50,3,6,10
568,M&C Assembly,Secondary,16.5,37.95,46.2,49.5,9.9,19.8,23.1
568,"National Assemblers, Inc.",Secondary,18.12,29.26,40.95,49.95,13.27,17.52,26.54
569,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
569,M&C Assembly,Secondary,16.5,37.95,46.2,49.5,9.9,19.8,23.1
569,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
571,Coretech,Secondary,10,24,28,35,5,10,15
571,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
571,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
572,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
572,Economy Care Services,Secondary,17.47,28.14,38.5,38.5,13.98,17.18,25.16
572,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
573,ALL STAR ASSEMBLY LLC,Secondary,13.25,22.25,28.25,46.99,5.25,7.5,10.5
573,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
573,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
574,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
574,M&C Assembly,Secondary,16.5,37.95,46.2,49.5,9.9,19.8,23.1
574,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
575,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
575,"Backpedal Co, LLC",Preferred,11,21,28,37,8,10,16
575,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
576,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
576,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
576,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
577,ALL STAR ASSEMBLY LLC,Preferred,13.25,22.25,28.25,46.99,5.25,7.5,10.5
577,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
577,"National Assemblers, Inc.",Secondary,17.03,27.51,38.5,46.97,12.47,16.47,24.95
578,Turf Masters Property Management LLC,Secondary,10,35,40,45,10,15,15
578,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
578,"National Assemblers, Inc.",Preferred,18.12,29.26,40.95,49.95,13.27,17.52,26.54
579,Zeb's Assembly LLC,Secondary,9.87,24.87,29.87,34.87,2.87,3.87,4.87
579,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
579,"National Assemblers, Inc.",Preferred,15.48,25.01,35,42.69,11.34,14.97,22.69
580,PRO SERV ASSEMBLY SERVICE INC,Preferred,16,20,25,30,5,10,20
580,Obscure Rides,Secondary,11,20.5,20.5,20.5,6.53,8.71,10.88
580,"National Assemblers, Inc.",Secondary,14.71,23.75,33.25,40.56,10.77,14.22,21.56
581,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
581,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
581,"National Assemblers, Inc.",Preferred,18.12,29.26,40.95,49.95,13.27,17.52,26.54
582,Zeb's Assembly LLC,Secondary,9.87,24.87,29.87,34.87,2.87,3.87,4.87
582,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
582,"National Assemblers, Inc.",Preferred,15.48,25.01,35,42.69,11.34,14.97,22.69
583,TROC,Preferred,18.74,33.33,34.54,51.51,18.18,33.33,54.54
583,M&C Assembly,Secondary,16.5,37.95,46.2,49.5,9.9,19.8,23.1
583,"National Assemblers, Inc.",Secondary,17.03,27.51,38.5,46.97,12.47,16.47,24.95
584,Coretech,Secondary,10,24,28,35,5,10,15
584,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
584,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
585,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
585,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
585,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
586,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
586,M&C Assembly,Secondary,16.5,37.95,46.2,49.5,9.9,19.8,23.1
586,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
587,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,8.5,26,38,50,3,6,10
587,M&C Assembly,Secondary,16.5,37.95,46.2,49.5,9.9,19.8,23.1
587,"National Assemblers, Inc.",Secondary,18.12,29.26,40.95,49.95,13.27,17.52,26.54
588,Zeb's Assembly LLC,Secondary,9.87,24.87,29.87,34.87,2.87,3.87,4.87
588,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
588,ADVANCED RETAIL SYSTEMS LLC,Preferred,18.5,30,45,65,8,10,12
589,TROC,Secondary,18.89,33.6,34.82,51.92,18.33,33.6,54.98
589,M&C Assembly,Secondary,16.5,37.95,46.2,49.5,9.9,19.8,23.1
589,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
590,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
590,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
590,"National Assemblers, Inc.",Preferred,15.48,25.01,35,42.69,11.34,14.97,22.69
591,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
591,M&C Assembly,Secondary,16.5,37.95,46.2,49.5,9.9,19.8,23.1
591,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
592,ALL STAR ASSEMBLY LLC,Secondary,13.25,22.25,28.25,46.99,5.25,7.5,10.5
592,TROC,Preferred,20.16,35.86,37.16,55.42,19.56,35.86,58.68
592,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
593,Coretech,Secondary,10,24,28,35,5,10,15
593,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
593,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
594,"Backpedal Co, LLC",Preferred,11,21,28,37,8,10,16
594,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
594,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
595,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
595,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
595,"National Assemblers, Inc.",Preferred,15.48,25.01,35,42.69,11.34,14.97,22.69
596,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
596,"National Assemblers, Inc.",Preferred,19.35,31.26,43.75,53.37,14.18,18.71,28.35
598,"NW Service Enterprises, Inc",Preferred,8.5,26.65,28.75,39.95,5.35,8,8
598,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
598,"National Assemblers, Inc.",Secondary,18.12,29.26,40.95,49.95,13.27,17.52,26.54
599,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
599,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
599,"National Assemblers, Inc.",Preferred,18.12,29.26,40.95,49.95,13.27,17.52,26.54
600,TROC,Preferred,18.74,33.33,34.54,51.51,18.18,33.33,54.54
600,M&C Assembly,Secondary,16.5,37.95,46.2,49.5,9.9,19.8,23.1
600,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
601,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
601,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
601,"National Assemblers, Inc.",Preferred,15.48,25.01,35,42.69,11.34,14.97,22.69
602,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
602,INSTALLER PRO,Secondary,15.4,24.5,24.5,42.5,10,15,20
602,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
603,"ULTIMATE ASSEMBLY, LLC",Secondary,15.5,25,35,42.5,8.5,12,15.5
603,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
603,"National Assemblers, Inc.",Preferred,19.35,31.26,43.75,53.37,14.18,18.71,28.35
604,TROC,Preferred,20.59,36.63,37.96,56.61,19.98,36.63,59.94
604,ADVANCED RETAIL SYSTEMS LLC,Secondary,18.5,30,45,65,8,10,12
604,"National Assemblers, Inc.",Secondary,17.03,27.51,38.5,46.97,12.47,16.47,24.95
605,Coretech,Secondary,10,24,28,35,5,10,15
605,M&C Assembly,Preferred,11,25.3,30.8,33,6.6,13.2,15.4
605,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
606,Coretech,Secondary,10,24,28,35,5,10,15
606,M&C Assembly,Preferred,11,25.3,30.8,33,6.6,13.2,15.4
606,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
607,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
607,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
607,"National Assemblers, Inc.",Secondary,18.12,29.26,40.95,49.95,13.27,17.52,26.54
608,TROC,Secondary,18.9,33.61,34.84,51.95,18.34,33.61,55.01
608,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
608,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
609,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
609,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
610,"Backpedal Co, LLC",Preferred,11,21,28,37,8,10,16
610,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
610,"National Assemblers, Inc.",Secondary,14.71,23.75,33.25,40.56,10.77,14.22,21.56
611,SOUND ASSEMBLY SERVICES,Secondary,10,15,25,35,5,10,15
611,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
611,"National Assemblers, Inc.",Preferred,18.12,29.26,40.95,49.95,13.27,17.52,26.54
612,ALLIED ASSEMBLY INC,Secondary,11,23.5,38,53,7.07,10.89,22
612,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
612,"National Assemblers, Inc.",Preferred,19.35,31.26,43.75,53.37,14.18,18.71,28.35
613,Zeb's Assembly LLC,Secondary,9.87,24.87,29.87,34.87,2.87,3.87,4.87
613,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
613,"National Assemblers, Inc.",Preferred,15.48,25.01,35,42.69,11.34,14.97,22.69
614,"Backpedal Co, LLC",Preferred,11,21,28,37,8,10,16
614,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
614,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
615,"Backpedal Co, LLC",Secondary,11,21,28,37,8,10,16
615,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
615,"National Assemblers, Inc.",Preferred,15.48,25.01,35,42.69,11.34,14.97,22.69
616,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
616,M&C Assembly,Secondary,16.5,37.95,46.2,49.5,9.9,19.8,23.1
616,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
617,ALL STAR ASSEMBLY LLC,Preferred,14.25,22.25,29.25,47.99,5.25,7.5,10.5
617,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
617,"National Assemblers, Inc.",Secondary,19.35,31.26,43.75,53.37,14.18,18.71,28.35
618,"Backpedal Co, LLC",Secondary,11,21,28,37,8,10,16
618,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
618,"National Assemblers, Inc.",Preferred,15.48,25.01,35,42.69,11.34,14.97,22.69
619,Turf Masters Property Management LLC,Secondary,10,35,40,45,10,15,15
619,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
619,M&C Assembly,Preferred,11,25.3,30.8,33,6.6,13.2,15.4
620,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
620,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
620,"National Assemblers, Inc.",Preferred,18.12,29.26,40.95,49.95,13.27,17.52,26.54
621,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
621,M&C Assembly,Secondary,16.5,37.95,46.2,49.5,9.9,19.8,23.1
621,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
622,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
622,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
622,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
623,Obscure Rides,Secondary,11,20.5,20.5,20.5,6.53,8.71,10.88
623,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
623,"National Assemblers, Inc.",Preferred,14.71,23.75,33.25,40.56,10.77,14.22,21.56
624,TROC,Preferred,19.05,33.88,35.11,52.36,18.48,33.88,55.44
624,"Backpedal Co, LLC",Secondary,11,21,28,37,8,10,16
624,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
625,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
625,M&C Assembly,Secondary,16.5,37.95,46.2,49.5,9.9,19.8,23.1
625,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
626,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
626,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
626,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
627,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
627,M&C Assembly,Secondary,16.5,37.95,46.2,49.5,9.9,19.8,23.1
627,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
628,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
628,M&C Assembly,Preferred,11,25.3,30.8,33,6.6,13.2,15.4
628,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
629,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
629,M&C Assembly,Secondary,19.25,44.28,53.9,57.75,11.55,23.1,26.95
629,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
630,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
630,M&C Assembly,Secondary,16.5,37.95,46.2,49.5,9.9,19.8,23.1
630,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
631,TROC,Preferred,18.74,33.33,34.54,51.51,18.18,33.33,54.54
631,M&C Assembly,Secondary,16.5,37.95,46.2,49.5,9.9,19.8,23.1
631,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
632,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
632,M&C Assembly,Preferred,11,25.3,30.8,33,6.6,13.2,15.4
632,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
633,"ULTIMATE ASSEMBLY, LLC",Secondary,15,25,35,42.5,8.5,12,15.5
633,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
633,"National Assemblers, Inc.",Preferred,18.12,29.26,40.95,49.95,13.27,17.52,26.54
634,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
634,M&C Assembly,Secondary,16.5,37.95,46.2,49.5,9.9,19.8,23.1
634,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
635,Coretech,Secondary,10,24,28,35,5,10,15
635,M&C Assembly,Preferred,11,25.3,30.8,33,6.6,13.2,15.4
635,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
636,"ULTIMATE ASSEMBLY, LLC",Secondary,15.5,25,35,42.5,8.5,12,15.5
636,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
636,"National Assemblers, Inc.",Preferred,18.12,29.26,40.95,49.95,13.27,17.52,26.54
637,"NW Service Enterprises, Inc",Preferred,8.5,26.65,28.75,39.95,5.35,8,8
637,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
637,"National Assemblers, Inc.",Secondary,19.35,31.26,43.75,53.37,14.18,18.71,28.35
638,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
638,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
638,"National Assemblers, Inc.",Preferred,15.48,25.01,35,42.69,11.34,14.97,22.69
639,Coretech,Secondary,10,24,28,35,5,10,15
639,M&C Assembly,Secondary,16.5,37.95,46.2,49.5,9.9,19.8,23.1
639,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
640,TROC,Preferred,18.74,33.33,34.54,51.51,18.18,33.33,54.54
640,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
640,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
641,TROC,Preferred,18.74,33.33,34.54,51.51,18.18,33.33,54.54
641,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
641,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
642,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
642,M&C Assembly,Secondary,16.5,37.95,46.2,49.5,9.9,19.8,23.1
642,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
643,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
643,M&C Assembly,Secondary,16.5,37.95,46.2,49.5,9.9,19.8,23.1
643,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
644,TROC,Preferred,19.05,33.88,35.11,52.36,18.48,33.88,55.44
644,"Backpedal Co, LLC",Secondary,11,21,28,37,8,10,16
644,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
645,"NW Service Enterprises, Inc",Preferred,8.5,26.65,28.75,37.25,5.35,8,8
645,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
645,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
646,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
646,Tec Assembly Inc,Secondary,10,30,35,40,1,5,10
646,"National Assemblers, Inc.",Preferred,18.12,29.26,40.95,49.95,13.27,17.52,26.54
647,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
647,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
647,"National Assemblers, Inc.",Preferred,18.12,29.26,40.95,49.95,13.27,17.52,26.54
648,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
648,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
648,"National Assemblers, Inc.",Preferred,15.48,25.01,35,42.69,11.34,14.97,22.69
649,PRO SERV ASSEMBLY SERVICE INC,Secondary,16,20,25,30,5,10,20
649,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
649,"National Assemblers, Inc.",Preferred,15.48,25.01,35,42.69,11.34,14.97,22.69
651,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
651,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
651,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
652,ALL STAR ASSEMBLY LLC,Secondary,13.25,22.25,28.25,46.99,5.25,7.5,10.5
652,TROC,Preferred,20.16,35.86,37.16,55.42,19.56,35.86,58.68
652,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
653,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,8.5,26,38,50,3,6,10
653,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
653,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
655,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,8.5,26,38,50,3,6,10
655,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
655,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
