Facility,Facility Type,Location,BU/Network,Region,Market/Type,Facility Manager,Academy #,Academy Address,Phone Number,Academy Leader,Academy Coordinator,Academy Sr. Manager,Academy Director,Academy location
2507,WAL-MART,2220 S BRADLEY RD SANTA MARIA CA,WEST BU - JAY CORDRAY,57 - ANNAMARIE DIAMOND,447 - JANINE JORDAN,NICOLE GILMORE,3523,26471 CARL BOYER DR SANTA CLARITA CA 91350,(661) 666-9498,Mathew Sheldon,DAVEE RENEAUX,Waylon Waldron,Keri Peck,Through the double doors by bakery
2508,WM SUPERCENTER,8300 W OVERLAND RD BOISE ID,WEST BU - JAY CORDRAY,56 - N/A,399 - TIM BARNHART,BENJAMIN WILSON,2508,8300 W OVERLAND RD BOISE ID 83709,(208) 375-4266,Kimberly Knight,Brittany Howard,Benjamin Mattheisen,Sherry Brown,Academy is located in the grocery backroom continue to walk through the doors and straight back to the end of the backroom.
2509,WM SUPERCENTER,810 S IRISH RD CHILTON WI,NORTH BU - GLENDA FLEMING WILLIS,53 - SHANE JOHN BOURK,439 - SCOTT BAUS,NICOLE VAN ROOY,1828,250 CROSSROADS DR PLOVER WI 54467,(715) 303-6994,Tiffany Burroughs,Nich Gorski,Viet Van Dong,Sherry Brown,"Academy is located in the general merchandise backroom via the door by the sporting goods department, then to the left."
2510,WM SUPERCENTER,8760 NORTHRIDGE WAY MINOCQUA WI,NORTH BU - GLENDA FLEMING WILLIS,53 - SHANE JOHN BOURK,440 - LEE SPUDE,KRISTEN OLINSKE,1828,250 CROSSROADS DR PLOVER WI 54467,(715) 303-6994,Tiffany Burroughs,Nich Gorski,Viet Van Dong,Sherry Brown,"Academy is located in the general merchandise backroom via the door by the sporting goods department, then to the left."
2511,WM SUPERCENTER,949 W GRASSLAND DR AMERICAN FORK UT,WEST BU - JAY CORDRAY,54 - COLT BENSON,582 - MATTHEW SIMPLEMAN,TERRENCE LANTZ,2511,949 W GRASSLAND DR AMERICAN FORK UT 84003,(801) 216-3094,Matthew Evans,Karina Searle,Monte Summerlin,Keri Peck,Academy is located on the Grocery side of store in a modular building outside of the building. 
2512,WM SUPERCENTER,1825 W BELL RD PHOENIX AZ,SOUTHWEST BU - PAUL LEWELLEN,46 - RHONDA GRAHAM,369 - WILLIAM BROWN,JOSHUA LAUDERDALE,1533,7975 W PEORIA AVE PEORIA AZ 85345,(623) 255-3422,Debbie Sanchez,Martha Juarez,Waylon Waldron,Keri Peck,Academy is located in the backroom through Sporting Good.
2513,WM SUPERCENTER,270 WALMART WAY DAHLONEGA GA,SOUTHEAST BU - NICK BERKELEY,2 - SEAN REAL,18 - CODY HURLEY,BERI ORLANDO,4436,5455 ATLANTA HWY ALPHARETTA GA 30004,(470) 219-6638,Leah Sampson,Erin Joyce,Kimberly Austin,Sherry Brown,Free standing Brick building beside Lawn & Garden Dept.
2514,WM SUPERCENTER,2132 OLD SNOW HILL RD POCOMOKE CITY MD,EAST BU - ANNIE WALKER,22 - ANN L ALMEIDA,285 - ALLAND ANDERSON,EARNESTINE PALMER,3644,201 HILLCREST PKWY CHESAPEAKE VA 23322,(757) 296-3004,Jennifer Spencer,Andrea Walker,Julie Stevens,Sherry Brown,Academy is located in the backroom near electronics department.
2515,WM SUPERCENTER,3721 E THOMAS RD PHOENIX AZ,SOUTHWEST BU - PAUL LEWELLEN,46 - RHONDA GRAHAM,370 - SCOTT DILYARD,TERESINA PRASAD,2482,857 N DOBSON RD MESA AZ 85201,(480) 477-4373,Amy Taylor,Rhonda White,Waylon Waldron,Keri Peck,Academy is located in the GM backroom through Sporting Good.
2516,WM SUPERCENTER,743 RAINIER AVENUE SOUTH RENTON WA,WEST BU - ,60 - RISSA PITTMAN,514 - DAVID FULLER,DAVID KLEIN,5041,19205 STATE ROUTE 410 E BONNEY LAKE WA 98391,(253) 862-4688,Katie Wilkinson,Becky Munson,Benjamin Mattheisen,Sherry Brown,BR GM side next to Sporting Goods
2517,WM SUPERCENTER,3600 W MCFADDEN AVE SANTA ANA CA,WEST BU - JAY CORDRAY,58 - FRANCISCO AHUMADA,466 - LESTER STOKER,GLORIA LUJAN,2218,26502 TOWNE CENTRE DR FOOTHILL RANCH CA 92610,(949) 382-3276,Ramiro Lopez,Jimmy Nguyen,Waylon Waldron,Keri Peck,Through the double doors by bakery
2518,WAL-MART,700 MARKETPLACE BLVD HAMILTON NJ,EAST BU - ANNIE WALKER,22 - ANN L ALMEIDA,178 - BRIDGET CONNELL,THOMAS PARSONS,4153,2825 STATE ROUTE 18 OLD BRIDGE NJ 8857,(732) 353-4454,JESSE SZPILA,AMIE DESOUZA,Lisa Lafreniere,Keri Peck,Academy is located in the backroom near Electronics Department
2519,WM SUPERCENTER,698 SHREWSBURY COMMONS AVE SHREWSBURY PA,EAST BU - ANNIE WALKER,22 - ANN L ALMEIDA,233 - RANDALL MUMMERT,RENEE LAUTHERS,1529,2801 E MARKET ST BLDG B YORK PA 17402,(717) 781-8349,Chad Roeting,Miriam Waltimyer,Shane Neilson,Keri Peck,"Academy is located on the 2nd floor.  Utilize the stairs near Electronics Department. You may also use the Academy elevator located through the doors at the shoe department and to the left, by claims."
2520,WM SUPERCENTER,125 WASHINGTON SQUARE PLZ FREDERICKSBURG VA,EAST BU - ANNIE WALKER,75 - ALBERT BOSTIC,291 - KIRK CHRISTIAN,N/A,1833,1800 CARL D SILVER PKWY FREDERICKSBURG VA 22401,(540) 736-6156,Afanwi D Brian,Karen Bergquist,Shane Neilson,Keri Peck,Academy is located in a modular building behind the store near the ACC parking lot.
2521,WAL-MART,RECLAIMED TBA BENTONVILLE AR,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
2522,WM SUPERCENTER,601 N LINCOLN RD ESCANABA MI,NORTH BU - GLENDA FLEMING WILLIS,53 - SHANE JOHN BOURK,196 - GARIN GRIEBEL,CHRISTINE BAUER,1542,950 EDELWEISS PARKWAY GAYLORD MI 49735,(989) 217-3019,Carmen Bowers,Dorothy Hibernig,Keith Leardon,Sherry Brown,Academy is a modular building located next to ACC in parking lot.
2523,WAL-MART,2595 E IMPERIAL HWY BREA CA,WEST BU - JAY CORDRAY,58 - FRANCISCO AHUMADA,464 - N/A,DAVID WHITE,2218,26502 TOWNE CENTRE DR FOOTHILL RANCH CA 92610,(949) 382-3276,Ramiro Lopez,Jimmy Nguyen,Waylon Waldron,Keri Peck,Through the double doors by bakery
2524,WAL-MART,5502 MONTEREY HWY SAN JOSE CA,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
2525,WALMART NEIGHBORHOOD MARKET,TBA 2525 CREEDMOOR NC,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
2526,WM SUPERCENTER,19821 RINALDI ST PORTER RANCH CA,WEST BU - JAY CORDRAY,57 - ANNAMARIE DIAMOND,446 - BE KIM,EDWARD RAMIREZ,3523,26471 CARL BOYER DR SANTA CLARITA CA 91350,(661) 666-9498,Mathew Sheldon,DAVEE RENEAUX,Waylon Waldron,Keri Peck,Through the double doors by bakery
2527,WAL-MART,951 AVENIDA PICO SAN CLEMENTE CA,WEST BU - JAY CORDRAY,58 - FRANCISCO AHUMADA,460 - RYAN BRANDENBURG,ANDREA NAVARRETTE,2218,26502 TOWNE CENTRE DR FOOTHILL RANCH CA 92610,(949) 382-3276,Ramiro Lopez,Jimmy Nguyen,Waylon Waldron,Keri Peck,Through the double doors by bakery
2528,WM SUPERCENTER,167 HOGAN BLVD MILL HALL PA,EAST BU - ANNIE WALKER,22 - ANN L ALMEIDA,232 - ADAM KERSTETTER,JUSTIN SWINEHART,2230,373 BENNER PIKE STATE COLLEGE PA 16801,(814) 308-5120,Curtis Preston,Janine Newman,Shane Neilson,Keri Peck,Academy is located in the backroom by Toys
2529,WM SUPERCENTER,2021 LYNNHAVEN PKWY VIRGINIA BEACH VA,EAST BU - ANNIE WALKER,75 - ALBERT BOSTIC,289 - MARTIN DISLA,CHRISTINA HANEY,3644,201 HILLCREST PKWY CHESAPEAKE VA 23322,(757) 296-3004,Jennifer Spencer,Andrea Walker,Julie Stevens,Sherry Brown,Academy is located in the backroom near electronics department.
2530,WAL-MART,90 SHOPPING PLAZA RD RUTLAND VT,EAST BU - ANNIE WALKER,16 - JESSICA HUNTSMAN,181 - CHRISTINA FOGG,BEAU SIZEMORE,2056,16 OLD GICK RD SARATOGA SPRINGS NY 12866,(518) 581-4074,Dwayne Nadeau,Bonnie Aldi,Lisa Lafreniere,Keri Peck,Academy is located in the backroom by bakery
2531,WAL-MART,3133 E MAIN ST MOHEGAN LAKE NY,EAST BU - ANNIE WALKER,17 - NICO VASSOL,164 - AARON KLEIN,CARMEN GARCIA,3795,2100 88TH ST NORTH BERGEN NJ 7047,(201) 305-7136,JUSTIN WRIGHT,Chaitali Gandhi,Lisa Lafreniere,Keri Peck,Academy is located on the Frontend between Subway & Vision Center
2532,WM SUPERCENTER,2785 MILWAUKEE RD BELOIT WI,NORTH BU - GLENDA FLEMING WILLIS,53 - SHANE JOHN BOURK,263 - GINNY MARQUARDT,LUZ GARCIA,3857,2151 ROYAL AVE MONONA WI 53713,(608) 800-5001,Sandra Patterson,Heather Peters,Viet Van Dong,Sherry Brown,"Academy is located in the general merchandise backroom via the door by the sporting goods department, then to the left."
2533,WM SUPERCENTER,3767 GULF BREEZE PKWY GULF BREEZE FL,SOUTHEAST BU - NICK BERKELEY,14 - ANTHONY WILLIAMS,14 - DON WIGGINS,WILLIAM HULLETT JR.,3439,9360 NAVARRE PKWY NAVARRE FL 32566,(850) 684-6003,Charlie Edmondson,Lorrie Martin,Kimberly Austin,Sherry Brown,GM Backroom near Sporting Goods.
2534,WM SUPERCENTER,3300 S OATES ST DOTHAN AL,SOUTHEAST BU - NICK BERKELEY,14 - ANTHONY WILLIAMS,7 - PORSHA MEANS,MATTHEW PERRY,1408,4400 W TENNESSEE ST TALLAHASSEE FL 32304,(850) 895-8216,Anthony Bianco,Edward Berk,Kimberly Austin,Sherry Brown,"Academy is located in modular unit locatated outside, on GM side across from OGP parking. "
2535,WM SUPERCENTER,500 TERRY RICH BLVD SAINT CLAIR PA,EAST BU - ANNIE WALKER,22 - ANN L ALMEIDA,232 - ADAM KERSTETTER,BRADLEY WHITNEY,1884,900 COMMERCE BLVD DICKSON CITY PA 18519,(570) 383-1340,Brad Clark,Alicia Alunni,Lisa Lafreniere,Keri Peck,Academy is located in the backroom by Dairy
2536,WAL-MART,1110 E PROSPERITY AVE TULARE CA,WEST BU - JAY CORDRAY,57 - ANNAMARIE DIAMOND,581 - N/A,MARISSA NUNES,5394,770 W EL MONTE WAY DINUBA CA 93618,(559) 315-7091,Aaron Adams,Elia Rico,Benjamin Mattheisen,Sherry Brown,Academy is located in a seperate (modular) building of the Grocery parking lot.
2537,WM SUPERCENTER,1515 DANA DR REDDING CA,WEST BU - JAY CORDRAY,56 - CHRISTOPHER NELSON,457 - ROBIN FEATHERS,JOSE AYALA,2048,2701 N TEXAS ST FAIRFIELD CA 94533,(707) 639-4743,Martha Atkinson Cortez,GABRIEL BURNS,Benjamin Mattheisen,Sherry Brown,Academy is located adjacent to the automotive department in the near the back of the store.
2538,WAL-MART,1040 GREEN ACRES RD EUGENE OR,WEST BU - JAY CORDRAY,60 - RISSA PITTMAN,478 - JEREMY SMITH,N/A,3239,2659 OLYMPIC ST SPRINGFIELD OR 97477,(541) 746-7529,Kyle Hoyt,Amie Allen,Benjamin Mattheisen,Sherry Brown,Modular building next to GC left side of building
2539,WM SUPERCENTER,15727 E BROADWAY AVE SPOKANE VALLEY WA,WEST BU - JAY CORDRAY,60 - RISSA PITTMAN,474 - CLINTON SLOVARP,ANGELA POWELL,4394,1221 S HAYFORD RD SPOKANE WA 99224,(509) 795-3002,Roy Powell,Michelle Lemery,Benjamin Mattheisen,Sherry Brown,Modular building next to GC left side of building
2540,WM SUPERCENTER,63 PERKINS RD CLARION PA,NORTH BU - GLENDA FLEMING WILLIS,20 - MICHAEL DICKERSON,229 - DONALD HENRY,RODNEY CIECIERSKI,1568,1275 N HERMITAGE RD HERMITAGE PA 16148,(724) 718-9031,Kyle Korchak,Stephanie Rhoades,Shane Neilson,Keri Peck,Academy is located in the backroom near Sporting Goods
2541,WM SUPERCENTER,2700 W STATE ST ALLIANCE OH,NORTH BU - GLENDA FLEMING WILLIS,20 - MICHAEL DICKERSON,208 - JANDI PALOZZI,SARAH MCDONALD,5410,4004 TUSCARAWAS ST W CANTON OH 44708,(330) 956-7316,Grant Wenger,Joanne Mariol,Shane Neilson,Keri Peck,Academy is located in the backroom by Hardware
2542,WM SUPERCENTER,1720 N PERRY ST OTTAWA OH,NORTH BU - GLENDA FLEMING WILLIS,21 - N/A,222 - RAYMOND CLIFTON,CORREL BIBLER,3840,1161 TRENTON AVE FINDLAY OH 45840,(567) 525-7253,Michael Ruff,Niki Cramer,Keith Leardon,Sherry Brown,Academy is located in the backroom by Sporting Goods
2543,WM SUPERCENTER,390 ROUTE 315 HWY PITTSTON PA,EAST BU - ANNIE WALKER,17 - NICO VASSOL,226 - WILLIAM TAPIA,BRIANNA TIERNEY,1884,900 COMMERCE BLVD DICKSON CITY PA 18519,(570) 383-1340,Brad Clark,Alicia Alunni,Lisa Lafreniere,Keri Peck,Academy is located in the backroom by Dairy
2544,WM SUPERCENTER,6087 US HIGHWAY 6 PORTAGE IN,NORTH BU - GLENDA FLEMING WILLIS,19 - JACOB GAILEY,238 - CRAIG WILSEY,DARIUS-JORDAN KENDALL,1556,9265 159TH ST ORLAND HILLS IL 60487,(708) 645-5015,Jamie Higgins,CHRISTIANA WILLIS,Viet Van Dong,Sherry Brown,The Orland Hills Academy is located on the GM side of the store on the back wall of the automotive department.
2545,WM SUPERCENTER,2900 ROOSEVELT RD MARINETTE WI,NORTH BU - GLENDA FLEMING WILLIS,53 - SHANE JOHN BOURK,196 - GARIN GRIEBEL,ALISHA YARRINGTON,1828,250 CROSSROADS DR PLOVER WI 54467,(715) 303-6994,Tiffany Burroughs,Nich Gorski,Viet Van Dong,Sherry Brown,"Academy is located in the general merchandise backroom via the door by the sporting goods department, then to the left."
2546,WAL-MART,2300 N TUSTIN ST ORANGE CA,WEST BU - JAY CORDRAY,58 - FRANCISCO AHUMADA,464 - N/A,TYLER MOORE,2218,26502 TOWNE CENTRE DR FOOTHILL RANCH CA 92610,(949) 382-3276,Ramiro Lopez,Jimmy Nguyen,Waylon Waldron,Keri Peck,Through the double doors by bakery
2547,WM SUPERCENTER,41 ANAWANA LAKE RD MONTICELLO NY,EAST BU - ANNIE WALKER,17 - NICO VASSOL,164 - AARON KLEIN,JUANA HERNANDEZ,1884,900 COMMERCE BLVD DICKSON CITY PA 18519,(570) 383-1340,Brad Clark,Alicia Alunni,Lisa Lafreniere,Keri Peck,Academy is located in the backroom by Dairy
2548,WM SUPERCENTER,28402 US HIGHWAY 119 SOUTH WILLIAMSON KY,NORTH BU - GLENDA FLEMING WILLIS,20 - MICHAEL DICKERSON,316 - CHRISTOPHER ROCKENSTEIN,TIMOTHY BOROWSKI,5296,25 NICHOLS DR BARBOURSVILLE WV 25504,(304) 948-4106,Kimberly Bray,Teresa Thompson,Shane Neilson,Keri Peck,Academy is located in a separate (modular) building to the left of the store.
2549,WM SUPERCENTER,9212 N COLTON ST SPOKANE WA,WEST BU - JAY CORDRAY,60 - RISSA PITTMAN,474 - CLINTON SLOVARP,JOSEPH ALWINE,4394,1221 S HAYFORD RD SPOKANE WA 99224,(509) 795-3002,Roy Powell,Michelle Lemery,Benjamin Mattheisen,Sherry Brown,Modular building next to GC left side of building
2550,WM SUPERCENTER,221E NE 104TH AVE VANCOUVER WA,WEST BU - JAY CORDRAY,60 - RISSA PITTMAN,476 - NATHAN PHAN,RUSSEL LENGYEL,2550,221E NE 104TH AVE VANCOUVER WA 98664,(360) 254-8565,Rachel Harris,Jessy Dove,Benjamin Mattheisen,Sherry Brown,Modular building in back of Walmart next to ACC
2551,WAL-MART,209 E RIDGEVILLE BLVD MOUNT AIRY MD,EAST BU - ANNIE WALKER,76 - WAYNE MCFARLAND JR.,280 - N/A,JOSHUA FAZENBAKER,3639,24635 DULLES LANDING DR DULLES VA 20166,(703) 574-6861,Roshni Naik,Judy Anderson,Shane Neilson,Keri Peck,Academy is located in the grocery backroom near infants department.
2552,WM SUPERCENTER,4200 SE 82ND AVE PORTLAND OR,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
2553,WAL-MART,6650 HEMBREE LN WINDSOR CA,WEST BU - JAY CORDRAY,56 - CHRISTOPHER NELSON,457 - ROBIN FEATHERS,KEELY THURMAN,2048,2701 N TEXAS ST FAIRFIELD CA 94533,(707) 639-4743,Martha Atkinson Cortez,GABRIEL BURNS,Benjamin Mattheisen,Sherry Brown,Academy is located adjacent to the automotive department in the near the back of the store.
2554,WM SUPERCENTER,13055 W RANCHO SANTA FE BLVD AVONDALE AZ,SOUTHWEST BU - PAUL LEWELLEN,46 - RHONDA GRAHAM,368 - HEATHER CARTER,KEELAN MCLAURIN,1533,7975 W PEORIA AVE PEORIA AZ 85345,(623) 255-3422,Debbie Sanchez,Martha Juarez,Waylon Waldron,Keri Peck,Academy is located in the backroom through Sporting Good.
2555,WAL-MART,117 WILTON BLVD NEW CASTLE DE,EAST BU - ANNIE WALKER,22 - ANN L ALMEIDA,284 - HERBERT GRAINER,DANIEL HARRIS,1860,1000 E PULASKI HWY ELKTON MD 21921,(410) 441-3004,Mike Marine,Kelly Sparks,Shane Neilson,Keri Peck,Academy is a free-standing building at the front of the parking lot across from Chic-fil-a.
2556,WAL-MART,1168 W BRANCH ST ARROYO GRANDE CA,WEST BU - JAY CORDRAY,57 - ANNAMARIE DIAMOND,447 - JANINE JORDAN,JAMIE ROCHA,5394,770 W EL MONTE WAY DINUBA CA 93618,(559) 315-7091,Aaron Adams,Elia Rico,Benjamin Mattheisen,Sherry Brown,Academy is located in a seperate (modular) building of the Grocery parking lot.
2557,WM SUPERCENTER,8400 ROSEDALE HWY BAKERSFIELD CA,WEST BU - JAY CORDRAY,57 - ANNAMARIE DIAMOND,447 - JANINE JORDAN,KATHRYN CHAVEZ,5394,770 W EL MONTE WAY DINUBA CA 93618,(559) 315-7091,Aaron Adams,Elia Rico,Benjamin Mattheisen,Sherry Brown,Academy is located in a seperate (modular) building of the Grocery parking lot.
2558,WAL-MART,44575 MOUND RD STERLING HEIGHTS MI,NORTH BU - GLENDA FLEMING WILLIS,19 - JACOB GAILEY,206 - BRIAN REID,GRETA JUNCAJ,4660,18400 HALL RD CLINTON TOWNSHIP MI 48038,(586) 840-0731,Tanya Reyes,Tabitha Cargill,Keith Leardon,Sherry Brown,Academy located in center of backroom.
2559,WM SUPERCENTER,33201 VAN DYKE AVE STERLING HEIGHTS MI,NORTH BU - GLENDA FLEMING WILLIS,19 - JACOB GAILEY,206 - BRIAN REID,DAVID BUSHROE II,4660,18400 HALL RD CLINTON TOWNSHIP MI 48038,(586) 840-0731,Tanya Reyes,Tabitha Cargill,Keith Leardon,Sherry Brown,Academy located in center of backroom.
2560,WM SUPERCENTER,11416 OCEAN GTWY BERLIN MD,EAST BU - ANNIE WALKER,22 - ANN L ALMEIDA,285 - ALLAND ANDERSON,MICHAEL QUILLEN,1860,1000 E PULASKI HWY ELKTON MD 21921,(410) 441-3004,Mike Marine,Kelly Sparks,Shane Neilson,Keri Peck,Academy is a free-standing building at the front of the parking lot across from Chic-fil-a.
2561,WM SUPERCENTER,5350 W RIDGE RD ERIE PA,EAST BU - ANNIE WALKER,76 - WAYNE MCFARLAND JR.,228 - BENJAMIN PFEUFER,PETER BURNS III,1568,1275 N HERMITAGE RD HERMITAGE PA 16148,(724) 718-9031,Kyle Korchak,Stephanie Rhoades,Shane Neilson,Keri Peck,Academy is located in the backroom near Sporting Goods
2562,WM SUPERCENTER,2160 COMMERCE RD GOODLAND KS,WEST BU - JAY CORDRAY,47 - MICHAEL CANUP,406 - CHAD ROHR,CHRISTIAN JOHNSON,5137,6101 S AURORA PKWY AURORA CO 80016,(303) 927-4171,John Genova,KASEY CRUZ VELEZ,Monte Summerlin,Keri Peck,Academy is located on General Merchandise side of store near toys. Go through the door in the toy department and the Academy is on the left. 
2563,WM SUPERCENTER,735 N GOSPEL ST PAOLI IN,NORTH BU - GLENDA FLEMING WILLIS,41 - JAMES VALENTI,580 - SAMUEL SCHARBROUGH,N/A,7290,6501 VETERANS MEMORIAL PKWY CRESTWOOD KY 40014,(502) 243-9769,Jeana Lancaster,Juliette Tinebra,Beth Wiseman,Sherry Brown,"Academy is located through aisle I25, past the OPD backroom area"
2564,WM SUPERCENTER,1036 US HIGHWAY 211 W LURAY VA,EAST BU - ANNIE WALKER,76 - WAYNE MCFARLAND JR.,286 - LARRY JACKSON II,KEVEN BAUTISTA,1406,2350 S PLEASANT VALLEY RD WINCHESTER VA 22601,(540) 773-6158,Heather Dribelbis,Margaret Webber,Shane Neilson,Keri Peck,Academy is located in a white modular building in the parking lot in front of the Garden Center. Enter on the side with the ramp.
2565,WM SUPERCENTER,197 MADISON HEIGHTS SQ MADISON HEIGHTS VA,EAST BU - ANNIE WALKER,75 - ALBERT BOSTIC,315 - JAMES HORNSBY,ARIC NOWLIN,2312,4807 VALLEY VIEW BLVD NW ROANOKE VA 24012,(540) 265-2419,PHILIP HOLCOMB,Diann King,Shane Neilson,Keri Peck,Academy is located in the backroom near the receiving area. 
2566,WM SUPERCENTER,96 PATRICK HENRY WAY CHARLES TOWN WV,EAST BU - ANNIE WALKER,76 - WAYNE MCFARLAND JR.,280 - N/A,ADAN ROQUE,1406,2350 S PLEASANT VALLEY RD WINCHESTER VA 22601,(540) 773-6158,Heather Dribelbis,Margaret Webber,Shane Neilson,Keri Peck,Academy is located in a white modular building in the parking lot in front of the Garden Center. Enter on the side with the ramp.
2567,WM SUPERCENTER,4542 KENOWA AVE SW GRANDVILLE MI,NORTH BU - GLENDA FLEMING WILLIS,19 - JACOB GAILEY,200 - JAMAIAH STEWART,JOSHUA BOYD,5065,501 N 9TH ST KALAMAZOO MI 49009,(269) 544-0445,Haylee Willden,Corinne Straka,Keith Leardon,Sherry Brown,Academy is a modular building located across from GM side of building
2568,WAL-MART,8333 VAN NUYS BLVD PANORAMA CITY CA,WEST BU - JAY CORDRAY,57 - ANNAMARIE DIAMOND,446 - BE KIM,PRISCILLA MEYER,3523,26471 CARL BOYER DR SANTA CLARITA CA 91350,(661) 666-9498,Mathew Sheldon,DAVEE RENEAUX,Waylon Waldron,Keri Peck,Through the double doors by bakery
2569,WAL-MART,2569 TO 461 RT 10 SUITE 29 LEDGEWOOD NJ,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
2570,WAL-MART,655 FARMINGTON AVE NEW BRITAIN CT,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
2571,WAL-MART,1900 S 314TH ST FEDERAL WAY WA,WEST BU - JAY CORDRAY,60 - RISSA PITTMAN,514 - DAVID FULLER,MANUEL ARCHULETA III,5041,19205 STATE ROUTE 410 E BONNEY LAKE WA 98391,(253) 862-4688,Katie Wilkinson,Becky Munson,Benjamin Mattheisen,Sherry Brown,BR GM side next to Sporting Goods
2572,WM SUPERCENTER,990 W EMMITT AVE WAVERLY OH,NORTH BU - GLENDA FLEMING WILLIS,21 - IBRAHIM SULEIMAN,218 - DARREN PAUL,STEPHANIE SPEAKMAN,1427,1470 S COURT ST CIRCLEVILLE OH 43113,(740) 500-5015,Devan Vanmeter,Leeann Herron,Keith Leardon,Sherry Brown,Academy is located in the backroom by Sporting Goods
2573,ECOMM WHSE LOGISTICS,3880 SOUTHWEST BLVD GROVE CITY OH,US eCommerce Retail WH/DC SubDiv C - ,25 - N/A,25 - N/A,N/A,,,,,,,,
2574,WM SUPERCENTER,60 NOBLE BLVD CARLISLE PA,EAST BU - ANNIE WALKER,22 - ANN L ALMEIDA,234 - TIMOTHY PETERSON,NATHAN SMITH,1529,2801 E MARKET ST BLDG B YORK PA 17402,(717) 781-8349,Chad Roeting,Miriam Waltimyer,Shane Neilson,Keri Peck,"Academy is located on the 2nd floor.  Utilize the stairs near Electronics Department. You may also use the Academy elevator located through the doors at the shoe department and to the left, by claims."
2575,WM SUPERCENTER,3900 DAVE WARD DR CONWAY AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,326 - HAROLD REYNOLDS,GARY NASON,318,109 WP MALONE DR ARKADELPHIA AR 71923,(870) 210-7311,Florie Murray,Myesha Dixon,Rob Gray,Keri Peck,Academy is located in a seperate (modular) building on the right hand side (east side) of the Grocery parking lot.  
2576,WM SUPERCENTER,100 NITRO MARKET PL CROSS LANES WV,NORTH BU - GLENDA FLEMING WILLIS,20 - MICHAEL DICKERSON,316 - CHRISTOPHER ROCKENSTEIN,JASON WALLACE,5296,25 NICHOLS DR BARBOURSVILLE WV 25504,(304) 948-4106,Kimberly Bray,Teresa Thompson,Shane Neilson,Keri Peck,Academy is located in a separate (modular) building to the left of the store.
2577,WM SUPERCENTER,1 FRANKEL WAY COCKEYSVILLE MD,EAST BU - ANNIE WALKER,75 - ALBERT BOSTIC,281 - GAGE ANDERSON,CAMELLIA BERNARDEZ,2279,6721 CHESAPEAKE CENTER DR GLEN BURNIE MD 21060,(410) 487-0285,Chawdell Shipley,Nicole Anderson,Shane Neilson,Keri Peck,Academy is located in the grocery merchandise backroom near the 97 deli wall.
2578,WALMART.COM,5150 E MARIPOSA RD STOCKTON CA,ECOMMERCE - RETAIL SUBDIVISION S - ,0 - N/A,0 - N/A,N/A,,,,,,,,
2579,WM SUPERCENTER,510 LINDEN ST CHADRON NE,WEST BU - JAY CORDRAY,47 - MICHAEL CANUP,429 - CYLAS HALL,ADAM GARDNER,1315,2032 DELL RANGE BLVD CHEYENNE WY 82009,(307) 757-9024,Andrew Kochis,Becca Alvarado,Monte Summerlin,Keri Peck,Academy is located on General Merchandise side of store in the backroom; go through the toy department backroom doors and Academy is on the left. 
2580,WM SUPERCENTER,1415 SUNSET AVE CLINTON NC,EAST BU - ANNIE WALKER,4 - JASON LEISENRING,300 - RACHEL STENSON,JUSTIN FETZER,1261,4601 RAMSEY ST FAYETTEVILLE NC 28311,(910) 364-0318,Maurice Robinson,Tiffany Locklear,Julie Stevens,Sherry Brown,Academy is located in the backroom by Sporting Goods
2581,WM SUPERCENTER,5399 W GENESEE ST CAMILLUS NY,EAST BU - ANNIE WALKER,76 - WAYNE MCFARLAND JR.,191 - MICHAEL LAUX,JAMES BREED,3332,1818 STATE ROUTE 3 FULTON NY 13069,(315) 887-6004,Heather Dribelbis,Jacqui Nichols,Lisa Lafreniere,Keri Peck,Academy is located in the backroom by Sporting Goods
2582,WAL-MART,ROUTE 513 AND I78 CLINTON NJ,EAST BU - ANNIE WALKER,17 - NICO VASSOL,174 - AIRFONZIA PETERSON JR.,JENNIFER FUENTES,2445,1515 BETHLEHEM PIKE HATFIELD PA 19440,(215) 716-7457,Stan Tilton,Brian Thomson,Lisa Lafreniere,Keri Peck,Academy is located in the backroom near the Chemical Department
2583,WAL-MART,1123 JERUSALEM AVE UNIONDALE NY,EAST BU - ANNIE WALKER,17 - NICO VASSOL,172 - ADAM GRATZ,KIESHA PRINCE,2583,1123 JERUSALEM AVE UNIONDALE NY 11553,(516) 247-6425,Amanda Smith,Donaltha Semple,Lisa Lafreniere,Keri Peck,Academy is located on the 2nd floor.  Utilize backroom stairs near Electronics Department
