Last Published By,Last Published Date,Last Modified Date,Last Modified By,Published Status,Name,Parent Path,Page Link,Author Link
vn50j13,9/25/2020,9/25/2020,vn50j13,Active,Never Published,Never Published,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/documents/D5C%20Refresher%20Training%20FAQs_(Includes%200909,%200916%20and%200923%20sessions).pdf"">Page Link</a>","<a href=""Never Published/Never Published"">Author Link</a>"
vn50j13,9/25/2020,9/25/2020,vn50j13,Active,Never Published,Never Published,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/documents/Printing%20termination%20details%20for%20an%20associate%20-%20One%20Pager.pdf"">Page Link</a>","<a href=""Never Published/Never Published"">Author Link</a>"
vn50j13,8/25/2020,8/25/2020,vn50j13,Active,Never Published,Never Published,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/documents/Scheduling%20Critical%20Reports.pdf"">Page Link</a>","<a href=""Never Published/Never Published"">Author Link</a>"
vn50j13,9/25/2020,9/25/2020,vn50j13,Active,Never Published,Never Published,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/documents/D5C%20-%20One%20Pager%20-%20Complete%20Rehire_Reinstatement_File%20Changes_09232020.pdf"">Page Link</a>","<a href=""Never Published/Never Published"">Author Link</a>"
vn50j13,9/9/2020,9/9/2020,vn50j13,Active,Never Published,Never Published,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/documents/D5B%20-%20One%20Pager%20-%20Workday%20and%20Career%20Preference_Recruiting_0903.pdf"">Page Link</a>","<a href=""Never Published/Never Published"">Author Link</a>"
tpeetoo,8/11/2020,8/11/2020,tpeetoo,Active,The Workday Nugget - Changing Your Government IDs - 8-7-2020.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20-%20Changing%20Your%20Government%20IDs%20-%208-7-2020.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget - Changing Your Government IDs - 8-7-2020.pdf"">Author Link</a>"
tpeetoo,8/11/2020,8/11/2020,tpeetoo,Active,The Workday Nugget - Notify Me Later.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20-%20Notify%20Me%20Later.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget - Notify Me Later.pdf"">Author Link</a>"
tpeetoo,8/11/2020,8/11/2020,tpeetoo,Active,The Workday Nugget - Top Termination Reports.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20-%20Top%20Termination%20Reports.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget - Top Termination Reports.pdf"">Author Link</a>"
tpeetoo,8/11/2020,8/11/2020,tpeetoo,Active,The Workday Nugget (TM) - Requesting Compensation Changes.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20(TM)%20-%20Requesting%20Compensation%20Changes.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget (TM) - Requesting Compensation Changes.pdf"">Author Link</a>"
tpeetoo,8/11/2020,8/11/2020,tpeetoo,Active,The Workday Nugget (TM) - Adding Start Job Change to Delegates.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20(TM)%20-%20Adding%20Start%20Job%20Change%20to%20Delegates.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget (TM) - Adding Start Job Change to Delegates.pdf"">Author Link</a>"
tpeetoo,8/14/2020,8/14/2020,tpeetoo,Active,The Workday Nugget - Terminations Canceled by ATPS.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20-%20Terminations%20Canceled%20by%20ATPS.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget - Terminations Canceled by ATPS.pdf"">Author Link</a>"
tpeetoo,8/11/2020,8/11/2020,tpeetoo,Active,The Workday Nugget - Editing Feedback.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20-%20Editing%20Feedback.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget - Editing Feedback.pdf"">Author Link</a>"
tpeetoo,8/11/2020,8/11/2020,tpeetoo,Active,The Workday Nugget - Outstanding Actions.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20-%20Outstanding%20Actions.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget - Outstanding Actions.pdf"">Author Link</a>"
tpeetoo,10/26/2020,10/26/2020,tpeetoo,Active,The Workday Nugget - How to Use Position Overlap (Revisited).pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20-%20How%20to%20Use%20Position%20Overlap%20(Revisited).pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget - How to Use Position Overlap (Revisited).pdf"">Author Link</a>"
tpeetoo,10/26/2020,10/5/2020,tpeetoo,Active,Memo Style.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/Memo%20Style.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/Memo Style.pdf"">Author Link</a>"
tpeetoo,8/21/2020,8/21/2020,tpeetoo,Active,The Workday Nugget - Watch Out! Workday Best Practices.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20-%20Watch%20Out!%20Workday%20Best%20Practices.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget - Watch Out! Workday Best Practices.pdf"">Author Link</a>"
tpeetoo,8/11/2020,8/11/2020,tpeetoo,Active,The Workday Nugget - Getting Feedback on Self.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20-%20Getting%20Feedback%20on%20Self.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget - Getting Feedback on Self.pdf"">Author Link</a>"
tpeetoo,9/11/2020,9/11/2020,tpeetoo,Active,Using Associate Movement.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/Using%20Associate%20Movement.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/Using Associate Movement.pdf"">Author Link</a>"
tpeetoo,8/11/2020,8/11/2020,tpeetoo,Active,The Workday Nugget - Using Favorites.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20-%20Using%20Favorites.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget - Using Favorites.pdf"">Author Link</a>"
tpeetoo,8/11/2020,8/11/2020,tpeetoo,Active,The Workday Nugget - Source Effectiveness.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20-%20Source%20Effectiveness.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget - Source Effectiveness.pdf"">Author Link</a>"
tpeetoo,8/11/2020,8/11/2020,tpeetoo,Active,The Workday Nugget - OTP Guide.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20-%20OTP%20Guide.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget - OTP Guide.pdf"">Author Link</a>"
tpeetoo,8/11/2020,8/11/2020,tpeetoo,Active,The Workday Nugget - Changing Preferred Language - 3-6-2020.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20-%20Changing%20Preferred%20Language%20-%203-6-2020.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget - Changing Preferred Language - 3-6-2020.pdf"">Author Link</a>"
tpeetoo,8/11/2020,8/11/2020,tpeetoo,Active,The Workday Nugget - Assessing Potential - 4-17-2020.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20-%20Assessing%20Potential%20-%204-17-2020.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget - Assessing Potential - 4-17-2020.pdf"">Author Link</a>"
tpeetoo,8/14/2020,8/11/2020,tpeetoo,Active,The Workday Nugget - Using Job Interests.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20-%20Using%20Job%20Interests.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget - Using Job Interests.pdf"">Author Link</a>"
tpeetoo,8/11/2020,8/11/2020,tpeetoo,Active,The Workday Nugget - Worker Detail.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20-%20Worker%20Detail.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget - Worker Detail.pdf"">Author Link</a>"
tpeetoo,8/11/2020,8/11/2020,tpeetoo,Active,The Workday Nugget - Support Materials.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20-%20Support%20Materials.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget - Support Materials.pdf"">Author Link</a>"
tpeetoo,8/11/2020,8/11/2020,tpeetoo,Active,The Workday Nugget - Updating Associate Review Dates - 10-4-2019.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20-%20Updating%20Associate%20Review%20Dates%20-%2010-4-2019.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget - Updating Associate Review Dates - 10-4-2019.pdf"">Author Link</a>"
tpeetoo,8/14/2020,8/14/2020,tpeetoo,Active,The Workday Nugget - Emergency Contact Information.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20-%20Emergency%20Contact%20Information.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget - Emergency Contact Information.pdf"">Author Link</a>"
tpeetoo,8/11/2020,8/11/2020,tpeetoo,Active,The Workday Nugget - Using Worker History.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20-%20Using%20Worker%20History.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget - Using Worker History.pdf"">Author Link</a>"
tpeetoo,8/11/2020,8/11/2020,tpeetoo,Active,The Workday Nugget - Using My Delegation.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20-%20Using%20My%20Delegation.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget - Using My Delegation.pdf"">Author Link</a>"
tpeetoo,8/11/2020,8/11/2020,tpeetoo,Active,The Workday Nugget - Using Overlap.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20-%20Using%20Overlap.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget - Using Overlap.pdf"">Author Link</a>"
tpeetoo,8/11/2020,8/11/2020,tpeetoo,Active,The Workday Nugget (TM) - Using Find Workers in Workday.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20(TM)%20-%20Using%20Find%20Workers%20in%20Workday.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget (TM) - Using Find Workers in Workday.pdf"">Author Link</a>"
tpeetoo,11/5/2020,11/5/2020,tpeetoo,Active,The Workday Nugget - Navigate Using Search Filters.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20-%20Navigate%20Using%20Search%20Filters.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget - Navigate Using Search Filters.pdf"">Author Link</a>"
tpeetoo,8/11/2020,8/11/2020,tpeetoo,Active,The Workday Nugget - Deleting an Incomplete Process.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20-%20Deleting%20an%20Incomplete%20Process.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget - Deleting an Incomplete Process.pdf"">Author Link</a>"
tpeetoo,8/11/2020,8/11/2020,tpeetoo,Active,The Workday Nugget - Disciplinary Actions Less Than a Year.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20-%20Disciplinary%20Actions%20Less%20Than%20a%20Year.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget - Disciplinary Actions Less Than a Year.pdf"">Author Link</a>"
tpeetoo,8/11/2020,8/11/2020,tpeetoo,Active,The Workday Nugget - Opportunity Graph.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20-%20Opportunity%20Graph.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget - Opportunity Graph.pdf"">Author Link</a>"
tpeetoo,8/14/2020,8/11/2020,tpeetoo,Active,The Workday Nugget - Rescind Disciplinary Actions.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20-%20Rescind%20Disciplinary%20Actions.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget - Rescind Disciplinary Actions.pdf"">Author Link</a>"
tpeetoo,8/11/2020,8/11/2020,tpeetoo,Active,The Workday Nugget (TM) - Using the ServiceNow People Hub.pdf,/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The%20Workday%20Nugget%20(TM)%20-%20Using%20the%20ServiceNow%20People%20Hub.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/supportmaterials/workday-nuggets/documents/The Workday Nugget (TM) - Using the ServiceNow People Hub.pdf"">Author Link</a>"
abperez,4/2/2020,4/2/2020,abperez,Active,Never Published,Never Published,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/campaign/special-bonus/Special_Bonus_for_Hourly_Associates.pdf"">Page Link</a>","<a href=""Never Published/Never Published"">Author Link</a>"
abperez,4/2/2020,4/2/2020,abperez,Active,Never Published,Never Published,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/campaign/special-bonus/FAQs_Hourly_Special%20Bonus_04012020.pdf"">Page Link</a>","<a href=""Never Published/Never Published"">Author Link</a>"
swbell,11/12/2020,11/12/2020,swbell,Active,New Req Help Guide.pdf,/content/dam/us-wire-wm1/documents/me@/money/compensation/comms-support,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/money/compensation/comms-support/New%20Req%20Help%20Guide.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/money/compensation/comms-support/New Req Help Guide.pdf"">Author Link</a>"
swbell,10/23/2020,10/23/2020,swbell,Active,FY21 HPC pay matrix_10.2020 (1).pdf,/content/dam/us-wire-wm1/documents/me@/money/compensation/comms-support,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/money/compensation/comms-support/FY21%20HPC%20pay%20matrix_10.2020%20(1).pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/money/compensation/comms-support/FY21 HPC pay matrix_10.2020 (1).pdf"">Author Link</a>"
swbell,11/12/2020,11/12/2020,swbell,Active,How to update job code in a req before approval.pdf,/content/dam/us-wire-wm1/documents/me@/money/compensation/comms-support,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/money/compensation/comms-support/How%20to%20update%20job%20code%20in%20a%20req%20before%20approval.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/money/compensation/comms-support/How to update job code in a req before approval.pdf"">Author Link</a>"
swbell,11/13/2020,11/13/2020,swbell,Active,tech req FAQS.pdf,/content/dam/us-wire-wm1/documents/me@/money/compensation/comms-support,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/money/compensation/comms-support/tech%20req%20FAQS.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/money/compensation/comms-support/tech req FAQS.pdf"">Author Link</a>"
swbell,10/23/2020,10/23/2020,swbell,Active,FAQs_FY21 Equity Differentiation (1).pdf,/content/dam/us-wire-wm1/documents/me@/money/compensation/comms-support,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/money/compensation/comms-support/FAQs_FY21%20Equity%20Differentiation%20(1).pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/money/compensation/comms-support/FAQs_FY21 Equity Differentiation (1).pdf"">Author Link</a>"
swbell,10/23/2020,10/23/2020,swbell,Active,FY21 HPC pay matrix.pdf,/content/dam/us-wire-wm1/documents/me@/money/compensation/comms-support,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/money/compensation/comms-support/FY21%20HPC%20pay%20matrix.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/money/compensation/comms-support/FY21 HPC pay matrix.pdf"">Author Link</a>"
i0c00cu,6/12/2020,2/11/2019,cbahr,Active,Never Published,Never Published,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/money/compensation/pay_adjustement_admin/Distribution-Centers-and-Optical-Lab-Hourly-Quarterly-Corrections-Job-Aid.pdf"">Page Link</a>","<a href=""Never Published/Never Published"">Author Link</a>"
srountr,8/25/2020,8/25/2020,srountr,Active,div10_exempt_comp_form.pdf,/content/dam/us-wire-wm1/documents/me@/money/compensation/worksheets,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/money/compensation/worksheets/div10_exempt_comp_form.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/money/compensation/worksheets/div10_exempt_comp_form.pdf"">Author Link</a>"
swbell,10/29/2020,10/29/2020,swbell,Active,Sam's-Club-Supply-Chain-FY21-Metrics-One-pager.pdf,/content/dam/us-wire-wm1/documents/me@/money/compensation/incentiveprograms,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/money/compensation/incentiveprograms/Sam's-Club-Supply-Chain-FY21-Metrics-One-pager.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/money/compensation/incentiveprograms/Sam's-Club-Supply-Chain-FY21-Metrics-One-pager.pdf"">Author Link</a>"
i0i001i,7/9/2020,7/9/2020,i0i001i,Active,AskComp-Auto-Reply.pdf,/content/dam/us-wire-wm1/documents/me@/money/compensation/incentiveprograms,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/money/compensation/incentiveprograms/AskComp-Auto-Reply.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/money/compensation/incentiveprograms/AskComp-Auto-Reply.pdf"">Author Link</a>"
swbell,11/20/2020,11/20/2020,swbell,Active,2.46_FY21-WM_Media-Group-Sales-Incentive-Plan 11.20.20.pdf,/content/dam/us-wire-wm1/documents/me@/money/compensation/incentiveprograms,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/money/compensation/incentiveprograms/2.46_FY21-WM_Media-Group-Sales-Incentive-Plan%2011.20.20.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/money/compensation/incentiveprograms/2.46_FY21-WM_Media-Group-Sales-Incentive-Plan 11.20.20.pdf"">Author Link</a>"
swbell,11/2/2020,11/2/2020,swbell,Active,130_FY21_PR_Sam's_Club_Facility_Management_Incentive_Plan.pdf,/content/dam/us-wire-wm1/documents/me@/money/compensation/incentiveprograms,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/money/compensation/incentiveprograms/130_FY21_PR_Sam's_Club_Facility_Management_Incentive_Plan.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/money/compensation/incentiveprograms/130_FY21_PR_Sam's_Club_Facility_Management_Incentive_Plan.pdf"">Author Link</a>"
swbell,11/20/2020,11/20/2020,swbell,Active,2.48_FY21_Sam's-Club-WM-Media-Group-Sales-Incentive-Plan_11.20.20.pdf,/content/dam/us-wire-wm1/documents/me@/money/compensation/incentiveprograms,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/money/compensation/incentiveprograms/2.48_FY21_Sam's-Club-WM-Media-Group-Sales-Incentive-Plan_11.20.20.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/money/compensation/incentiveprograms/2.48_FY21_Sam's-Club-WM-Media-Group-Sales-Incentive-Plan_11.20.20.pdf"">Author Link</a>"
swbell,11/19/2020,11/19/2020,swbell,Active,2.51-FY21-Bonobos-Guide-and-Lead-Guide-Variable-Incentive-Plan-8.19.pdf,/content/dam/us-wire-wm1/documents/me@/money/compensation/incentiveprograms,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/money/compensation/incentiveprograms/2.51-FY21-Bonobos-Guide-and-Lead-Guide-Variable-Incentive-Plan-8.19.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/money/compensation/incentiveprograms/2.51-FY21-Bonobos-Guide-and-Lead-Guide-Variable-Incentive-Plan-8.19.pdf"">Author Link</a>"
swbell,9/23/2020,9/23/2020,swbell,Active,2.55-FY21-Senior-Fuel-Station-Manager-and-Fuel-Station-Manager-Incentive-Plan.pdf,/content/dam/us-wire-wm1/documents/me@/money/compensation/incentiveprograms,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/money/compensation/incentiveprograms/2.55-FY21-Senior-Fuel-Station-Manager-and-Fuel-Station-Manager-Incentive-Plan.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/me@/money/compensation/incentiveprograms/2.55-FY21-Senior-Fuel-Station-Manager-and-Fuel-Station-Manager-Incentive-Plan.pdf"">Author Link</a>"
swbell,8/5/2020,8/5/2020,swbell,Active,Never Published,Never Published,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/me@/money/compensation/incentiveprograms/FY21_MIP_Metrics"">Page Link</a>","<a href=""Never Published/Never Published"">Author Link</a>"
