Primary,Business Domain,Data Group ,,,,
English,Health and Wellness,Health and Health Insurance Information,Diagnostic Equipment,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Hospitalization History,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Medical History,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Reportable Events/Diseases,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Records for certain populations - vulnerable populations,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Health and Health Insurance Information,Sexual and Reproductive Health,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Special Personal Information Attributes,Pregnancy status ,Highly Sensitive,Personal Information,Global
English,Health and Wellness,Special Personal Information Attributes,Pregnancy status ,Sensitive,Personal Information,South Africa
English,Information Security,Audio， Visual and Other Sensory Information,Photographs,Highly Sensitive,Personal Information,Global
English,Information Security,Audio， Visual and Other Sensory Information,Photographs， Video Tapes， & Audio Recordings,Sensitive,Personal Information,South Africa
English,Information Security,eDiscovery & Forensic Services Laboratory,Structured/Unstructured PI data collected from multiple data sources for use in litigation， investigations， and claims.,Highly Sensitive,Personal Information,Global
English,Information Security,eDiscovery & Forensic Services Laboratory,Structured/Unstructured Non-PI data collected from multiple data sources for use in litigation， investigations， and claims.,Highly Sensitive,Business Information,Global
English,Information Security,Forensics & eDiscovery ,eDiscovery: Litigation Data,Highly Sensitive,Business Information,Global
English,Information Security,Governance & Compliance Data ,PCI - encryption keys， gift cards,Highly Sensitive,Business Information,Global
English,Information Security,Governance & Compliance Data ,PCI - crypto， gift cards (CAM),Sensitive,Business Information,CAM
English,All Domains,Institutional Information,Store or Ecommerce transactional data,Highly Sensitive,Business Information,Global
English,Information Security,Institutional Information,Internal Policies， Procedures or Processes， except for People Policies available to Associates,Highly Sensitive,Business Information,Global
English,Information Security,Institutional Information,Operations or business plans ,Highly Sensitive,Business Information,Global
English,Information Security,Institutional Information,Other Institutional Information,Highly Sensitive,Business Information,Global
English,Information Security,Institutional Information,Presentations containing company or department metrics   ,Highly Sensitive,Business Information,Global
English,Information Security,Institutional Information,Training materials or internal technical documents ,Highly Sensitive,Business Information,Global
English,Information Security,Institutional Information,Publicly available facility maps,Non-Sensitive,Business Information,Global
English,Information Security,Institutional Information,Internal Facility Maps， Plans， or Assets,Sensitive,Business Information,Global
English,Information Security,Institutional Information,Restricted Facility Maps， Plans， or Assets,Highly Sensitive,Business Information,Global
English,Information Security,Institutional Information,Network Maps (Printer Server Map， Network Topology， etc.),Sensitive,Business Information,Global
English,Information Security,Risk Management ,Risk-related metrics (e.g.， Risk Rating ， Issue Name， Isse Description， Severity etc.),Highly Sensitive,Business Information,Global
English,Information Security,Risk Management ,InfoSec compliance specific output reports for any OSI layer (application， presentation， session， transport， network) (e.g.， compliance score) ,Highly Sensitive,Business Information,Global
English,Information Security,Risk Management ,Vulnerability report/scoring for any  OSI layer (application， presentation， session， transport， network)  e.g. Port specific details (source and target information)， Exploitability metrics， CVSS， Description of exploits， Priority etc.,Highly Sensitive,Business Information,Global
English,Information Security,Risk Management ,Network Intrusion Detection system (NIDS)  and Host Intrusion Detection (HIDS) metrics,Highly Sensitive,Business Information,Global
English,Information Security,Security Engineering ,RBAC: business PI data related,Highly Sensitive,Business Information,Global
English,Information Security,Security Engineering ,Metadata for Active Directory,Sensitive,Business Information,Global
English,Information Security,Security Engineering ,Role Based Access Control (RBAC)and Rule Based Access Control (RuBAC) details,Highly Sensitive,Business Information,Global
English,Information Security,Security Engineering ,Access Control Matrix (Authorization),Highly Sensitive,Business Information,Global
English,Information Security,Security Operations (Threat Detection) ,Private Keys (With Cloud Credentials),Highly Sensitive,Business Information,Global
English,Information Security,Security Operations (Threat Detection) ,Private Keys (Without Cloud Credentials),Highly Sensitive,Business Information,Global
English,Information Security,Security Operations (Threat Detection) ,SOC specific data,Highly Sensitive,Personal Information,Global
English,Information Security,Security Operations (Threat Detection) ,Firewall details (IP addresses， related metadata， to and from destination),Highly Sensitive,Business Information,Global
English,Information Security,Security Operations (Threat Detection) ,Personal Firewall details (BYOD， IP addresses， related metadata， to and from destination),Highly Sensitive,Personal Information,Global
English,Information Security,Security Operations (Threat Detection) ,Back end secured logs e.g. application， stateful logs etc. Basic events details (timing and connection details) against NIST 800-53 and other standards. General Heuristics Information.,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations (Threat Detection) ,Network access controls: Encryption methodology， network location， network details， time stamps,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations (Threat Detection) ,Authentication types: Transport and Session layer details (e.g.， session-based data， Windows Session Key， etc.) ,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations (Threat Detection) ,Public Keys,Non-Sensitive,Business Information,Global
English,Information Security,Security Operations (Threat Detection) ,Electronic monitoring logs,Highly Sensitive,Business Information,Global
English,Legal,Proprietary Institutional Information,Information held for law enforcement purposes ,Highly Sensitive,Business Information,Global
English,Marketing,Proprietary Institutional Information,New Store， Product to Market data ,Highly Sensitive,Business Information,Global
English,Merchandising,Assortment & Space,Assortment/Space data and KPIs,Sensitive,Business Information,Global
English,Merchandising,Biometric Information,Owners/vendors health information,Highly Sensitive,Business Information,Global
English,Merchandising,Compliance,Legal information， trade secrets,Highly Sensitive,Business Information,Global
English,Merchandising,Internal,System generated unique identifiers/codes， warehouse/ channels/departments information,Sensitive,Business Information,Global
English,Merchandising,Inventory,Inbound/Outbound numbers， KPIs,Sensitive,Business Information,Global
English,Merchandising,Item/Catalog ,Item/Catalog KPIs,Sensitive,Business Information,Global
English,Merchandising,Merch Financial Information,Unpublished financials， financial plans,Highly Sensitive,Business Information,Global
English,Merchandising,Merch Financial Information,Quantities， amounts (other than cost),Sensitive,Business Information,Global
English,Merchandising,Pricing,Pricing calculations/conditions/strategies， future pricing， price gaps， price performance， all pricing KPIs,Highly Sensitive,Business Information,Global
English,Real Estate,Proprietary Institutional Information,Commercial or real estate valuation data ,Highly Sensitive,Business Information,Global
English,Supply Chain,Advanced Shipment Notification,Application Catalog Electronic Data Interchange System Data,Sensitive,Business Information,Global
English,Supply Chain,Automatic Inbound Scheduling,Application Catalog AIS Data,Sensitive,Business Information,Global
English,Supply Chain,CDI Laminar Data,Non-Catalog/Raw Laminar Data (by source system),Sensitive,Business Information,Global
English,Supply Chain,CDI Laminar Secure,Secure Non-Catalog/Raw Laminar Data (by source system),Sensitive,Business Information,Global
English,Supply Chain,Enterprise Catalog,Enterprise Consumption Data,Sensitive,Business Information,Global
English,Supply Chain,Enterprise Secure Catalog,Secure Enterprise Consumption Data,Sensitive,Business Information,Global
English,Supply Chain,Executive Score Card,Application Catalog Executive Score Card Data,Sensitive,Business Information,Global
English,Supply Chain,Executive Score Card Secure,Secure Application Catalog Executive Score Card Data,Sensitive,Business Information,Global
English,Supply Chain,Integrated Planning Enablement,Application Catalog BMS Data,Sensitive,Business Information,Global
English,Supply Chain,Inventory Management,Application Catalog Wakanda System Data,Sensitive,Business Information,Global
English,Supply Chain,Omni Digital Service,Application Catalog ODS Data,Sensitive,Business Information,Global
English,Supply Chain,On Time in Full,Application Catalog OTIF Data,Sensitive,Business Information,Global
English,Supply Chain,Outbound Service Level,Application Catalog OBSL Data,Sensitive,Business Information,Global
English,Supply Chain,Quantum,Application Catalog Quantum Cost to Serve Data,Highly Sensitive,Business Information,Global
English,Supply Chain,Replenishment,Enterprise Replenishment Data,Sensitive,Business Information,Global
English,Supply Chain,Supplier Quality Excellence Program,Application Catalog SQEP Data,Sensitive,Business Information,Global
English,Supply Chain,Supply Chain Tracker Canonical Model,Supply Chain Tracker Data,Sensitive,Business Information,Global
English,Supply Chain,Supply Chain Tracker Canonical Secure Model,Supply Chain Tracker Secure Data,Sensitive,Business Information,Global
English,Supply Chain,Transportation Insights,Application Catalog WTMS and BYTMS system Data,Sensitive,Business Information,Global
English,Walmart Connect,Advertiser and Advertising Partners,Advertising performance and overall performance metrics (GMV， category penetration etc.),Sensitive,Business Information,US
English,Walmart Connect,Advertising Platforms,Campaign and Media management (planning， setup， execution， optimization),Sensitive,Business Information,US
English,Walmart Connect,Advertising Platforms,Campaign performance metrics and reporting and insights,Sensitive,Business Information,US
English,Walmart Connect,Customer Interactions,Walmart app and website User interactions on Walmart digital properties (i.e. type of activities from Walmart digital properties – Search， Browse， Page View session and event logs),Sensitive,Business Information,US
English,Walmart Connect,Customer Interactions ,Ad impressions and clicks events， logs， including IVT， Walmart DSP and 3P ,Sensitive,Business Information,US
English,Walmart Connect,Data Governance - Data Sharing,Review of Media Planning， Creatives， Campaigns， Advertiser Items， Audience Ids， Targeting tactics， metrics and models,Highly Sensitive,Business Information,US
English,Walmart Connect,Financial Information,Advertiser and Advertising Partner Billing and related accounting,Highly Sensitive,Business Information,US
English,Walmart Connect,Group Demographics,Aggregated insights (e.g. gender， shopper distribution， and category-level demographics),Sensitive,Business Information,US
English,Walmart Connect,Individual and household Preferences and Characteristics,Individual-and household level preferences data,Highly Sensitive,Personal Information,US
English,Walmart Connect,Institutional Information,Operational and Business plans (AOP)， business performance metrics,Highly Sensitive,Business Information,US
English,Walmart Connect,Legal,Advertising / Partnership  Contracts， product licenses， legal agreements and addendums,Highly Sensitive,Business Information,US
English,Walmart Connect,Online tracking technology,Cookies， Tags， iframes， Ad server beacon events,Sensitive,Personal Information,US
English,Walmart Connect,Personal Identifiers,ID graphs / cross walks for audience segments for targeting (Walmart Identifiers and 3P identifiers such as RampID， Trade Desk ID/TAPAD， LUID),Sensitive,Personal Information,US
English,Walmart Connect,Sales,Advertiser and Advertising Partner accounts， business contacts， advertising budgets， billing and payment preferences,Highly Sensitive,Business Information,US
English,Information Security,Security Operations (Threat Detection) ,Private Keys (e.g. RSA， DSA， ECC， EdDSA， AES， SSH， PGP/GPG),Highly Sensitive,Business Information,Global
English,Information Security,Security Operations (Threat Detection) ,General Webhook,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations (Threat Detection) ,Slack Webhook,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations (Threat Detection) ,Microsoft Teams Webhook (Slack， Microsoft Teams),Highly Sensitive,Business Information,Global
English,Information Security,Security Operations (Threat Detection) ,Credentials in ODBC Connection String,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations (Threat Detection) ,Azure Connection String,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations (Threat Detection) ,Azure App Configuration Connection String,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations (Threat Detection) ,Generic API Key,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations (Threat Detection) ,Google API Key,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations (Threat Detection) ,Sauce Token,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations (Threat Detection) ,GitHub Personal Access Token,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations (Threat Detection) ,Jenkins Token or Crumb,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations (Threat Detection) ,SonarQube Token,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations (Threat Detection) ,Google OAuth Access Token,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations (Threat Detection) ,Salesforce Access Token,Highly Sensitive,Business Information,Global
English,Information Security,Security Operations (Threat Detection) ,Grafana API Token,Highly Sensitive,Business Information,Global
English,All Domains,Collaboration Tools,Jira (Platform-stores Sensitive to Highly Sensitive data),Highly Sensitive,Business Information,Global
English,All Domains,Collaboration Tools,Confluence (Platform - stores Sensitive to Highly Sensitive data),Highly Sensitive,Business Information,Global
English,All Domains,Collaboration Tools,SharePoint  (Platform - stores Sensitive to Highly Sensitive data),Highly Sensitive,Business Information,Global
English,All Domains,Collaboration Tools,Teams  (Platform - stores Sensitive to Highly Sensitive data),Highly Sensitive,Business Information,Global
English,All Domains,Collaboration Tools,Zoom  (Platform - stores Sensitive to Highly Sensitive data),Highly Sensitive,Business Information,Global
Chinese,所有域,所有子域,尽职调查或风险评估结果（Anti-Money Laundering（反洗钱，AML）/Anti-Corruption（反腐败，AC）/其他合规领域）,高度敏感,业务信息,全球
Chinese,所有域,背景和犯罪信息,刑事定罪和犯罪,高度敏感,个人信息,全球
Chinese,所有域,生物识别信息,生物特征识别标识（用于识别目的的面部/声音生物特征数据）,高度敏感,个人信息,全球
Chinese,所有域,生物识别信息,步态模式或节奏,高度敏感,个人信息,全球
Chinese,所有域,生物识别信息,面部图像,高度敏感,个人信息,全球
Chinese,所有域,生物识别信息,指纹图像,高度敏感,个人信息,全球
Chinese,所有域,生物识别信息,虹膜图像,高度敏感,个人信息,全球
Chinese,所有域,生物识别信息,手掌图像,高度敏感,个人信息,全球
Chinese,所有域,生物识别信息,视网膜图像,高度敏感,个人信息,全球
Chinese,所有域,生物识别信息,击键模式或节奏,高度敏感,个人信息,全球
Chinese,所有域,生物识别信息,静脉特征,高度敏感,个人信息,全球
Chinese,所有域,生物识别信息,外耳,高度敏感,个人信息,全球
Chinese,所有域,生物识别信息,耳廓,高度敏感,个人信息,全球
Chinese,所有域,生物识别信息,心率,高度敏感,个人信息,全球
Chinese,所有域,生物识别信息,声音/语音识别,高度敏感,个人信息,全球
Chinese,所有域,生物识别信息,血压,高度敏感,个人信息,全球
Chinese,所有域,生物识别信息,体温,高度敏感,个人信息,全球
Chinese,所有域,生物识别信息,会议录音（Zoom、Teams 等）,敏感,个人信息,全球
Chinese,所有域,生物识别信息,经处理的录音,高度敏感,个人信息,美国
Chinese,所有域,生物识别信息,录音,高度敏感,个人信息,全球
Chinese,所有域,生物识别信息,原始录音,敏感,个人信息,美国
Chinese,所有域,生物识别信息,CCTV 和其他视频监控记录（原始）,敏感,个人信息,美国
Chinese,所有域,生物识别信息,CCTV 和其他视频监控记录（经处理）,高度敏感,个人信息,美国
Chinese,所有域,生物识别信息,CCTV 和其他视频监控记录（原始或经处理）,高度敏感,个人信息,全球
Chinese,所有域,财务管理,主数据,高度敏感,业务信息,全球
Chinese,所有域,费用,成本信息 (GFR),高度敏感,业务信息,全球
Chinese,所有域,费用,成本信息 (GNFR),敏感,业务信息,全球
Chinese,所有域,人口统计信息,年龄,高度敏感,个人信息,加拿大
Chinese,所有域,人口统计信息,年龄,敏感,个人信息,全球
Chinese,所有域,人口统计信息,出生日期,高度敏感,个人信息,全球
Chinese,所有域,人口统计信息,出生日期,敏感,个人信息,南非
Chinese,所有域,人口统计信息,成立日期,高度敏感,业务信息,加拿大
Chinese,所有域,人口统计信息,成立日期,敏感,个人信息,全球
Chinese,所有域,人口统计信息,人口统计类别/细分,高度敏感,个人信息,加拿大
Chinese,所有域,人口统计信息,人口统计类别/细分,敏感,个人信息,全球
Chinese,所有域,人口统计信息,家庭成员及相关信息,高度敏感,个人信息,加拿大
Chinese,所有域,人口统计信息,家庭成员及相关信息,敏感,个人信息,全球
Chinese,所有域,人口统计信息,家庭状况和家庭信息,高度敏感,个人信息,加拿大
Chinese,所有域,人口统计信息,家庭状况和家庭信息,敏感,个人信息,全球
Chinese,所有域,人口统计信息,身高和/或体重,高度敏感,个人信息,加拿大
Chinese,所有域,人口统计信息,身高和/或体重,敏感,个人信息,全球
Chinese,所有域,人口统计信息,家庭收入数据,高度敏感,个人信息,全球
Chinese,所有域,人口统计信息,语言技能,高度敏感,个人信息,加拿大
Chinese,所有域,人口统计信息,语言技能,敏感,个人信息,全球
Chinese,所有域,人口统计信息,子女人数,高度敏感,个人信息,加拿大
Chinese,所有域,人口统计信息,子女人数,敏感,个人信息,全球
Chinese,所有域,设备和在线标识符,公司成员网站/Uniform Resource Locator（统一资源定位器，URL）,非敏感,业务信息,全球
Chinese,所有域,设备和在线标识符,日历信息,敏感,个人信息,全球
Chinese,所有域,设备和在线标识符,通话记录,敏感,个人信息,全球
Chinese,所有域,设备和在线标识符,手机/传呼机号码,敏感,个人信息,全球
Chinese,所有域,设备和在线标识符,公司/成员邮箱,敏感,个人信息,全球
Chinese,所有域,设备和在线标识符,联系/地址簿,敏感,个人信息,全球
Chinese,所有域,设备和在线标识符,移动设备标识符（Media Access Control（媒体访问控制地址，MAC）地址、International Mobile Equipment Identity（国际移动设备身份，IMEI）、Subscriber Identification Module（用户身份识别模块，SIM）等）,高度敏感,个人信息,全球
Chinese,所有域,设备和在线标识符,在线标识符（IP 地址、机器 ID 等）,敏感,个人信息,全球
Chinese,所有域,设备和在线标识符,私人邮箱地址,敏感,个人信息,全球
Chinese,所有域,设备和在线标识符,聊天地址 ,敏感,个人信息,全球
Chinese,所有域,设备和在线标识符,个人手机号码,敏感,个人信息,全球
Chinese,所有域,设备和在线标识符,个人社交媒体用户名,高度敏感,个人信息,全球
Chinese,所有域,设备和在线标识符,社交媒体个人档案,高度敏感,个人信息,全球
Chinese,所有域,设备和在线标识符,个人国际移动设备身份 (IMEI) 编号,高度敏感,个人信息,全球
Chinese,所有域,设备和在线标识符,商务国际移动设备身份 (IMEI) 编号,敏感,业务信息,全球
Chinese,所有域,设备和在线标识符,唯一设备标识符,敏感,个人信息,全球
Chinese,所有域,教育信息,学业成绩,敏感,个人信息,全球
Chinese,所有域,教育信息,学位和学校教育,敏感,个人信息,全球
Chinese,所有域,教育信息,教育和资格,敏感,个人信息,全球
Chinese,所有域,就业信息,公司持有的信用卡或借记卡号码,高度敏感,个人信息,全球
Chinese,所有域,就业信息,申诉、纪律处分和索赔相关信息,高度敏感,个人信息,全球
Chinese,所有域,就业信息,医疗调查问卷,高度敏感,个人信息,全球
Chinese,所有域,就业信息,工作许可证,高度敏感,个人信息,全球
Chinese,所有域,就业信息,工作许可证,敏感,个人信息,中美洲
Chinese,所有域,就业信息,证明人和背景调查,高度敏感,个人信息,全球
Chinese,所有域,就业信息,税务数据,高度敏感,个人信息,全球
Chinese,所有域,就业信息,税务数据,敏感,个人信息,中美洲
Chinese,所有域,就业信息,纳税人识别号,高度敏感,个人信息,全球
Chinese,所有域,就业信息,纳税人识别号,敏感,个人信息,中美洲
Chinese,所有域,就业信息,工作签证状态/工作授权详细信息,高度敏感,个人信息,全球
Chinese,所有域,就业信息,工作签证状态/工作授权详细信息,敏感,个人信息,中美洲
Chinese,所有域,就业信息,职务代码,非敏感,业务信息,全球
Chinese,所有域,就业信息,职业/职衔,敏感,个人信息,全球
Chinese,所有域,就业信息,专业会员资格,敏感,个人信息,全球
Chinese,所有域,就业信息,老板/主管,敏感,个人信息,全球
Chinese,所有域,就业信息,员工折扣卡使用数据,高度敏感,个人信息,全球
Chinese,所有域,就业信息,员工调查回复（匿名）,敏感,个人信息,全球
Chinese,所有域,就业信息,员工调查回复（可识别身份）,高度敏感,个人信息,全球
Chinese,所有域,就业信息,与行动有关但与个人无关的沟通日志,敏感,个人信息,全球
Chinese,所有域,就业信息,公司名称,敏感,个人信息,全球
Chinese,所有域,就业信息,强制性员工薪资扣除,高度敏感,个人信息,全球
Chinese,所有域,就业信息,费用信息,高度敏感,个人信息,全球
Chinese,所有域,就业信息,健康与安全相关信息和事故报告,高度敏感,个人信息,全球
Chinese,所有域,就业信息,收入/薪资/服务费/其他报酬,高度敏感,个人信息,全球
Chinese,所有域,就业信息,与受抚养人或受益人有关的信息,高度敏感,个人信息,全球
Chinese,所有域,就业信息,家人、受抚养人或受益人信息,敏感,个人信息,南非
Chinese,所有域,就业信息,在职教育与培训,敏感,个人信息,全球
Chinese,所有域,就业信息,员工工作经历、评核和纪律处分,敏感,个人信息,南非
Chinese,所有域,就业信息,面试对象评估和雇佣决定,高度敏感,个人信息,全球
Chinese,所有域,就业信息,休假信息,敏感,个人信息,全球
Chinese,所有域,就业信息,休假原因,高度敏感,个人信息,全球
Chinese,所有域,就业信息,持有的许可证及相关信息,敏感,个人信息,全球
Chinese,所有域,就业信息,许可证和专业会员资格,敏感,个人信息,全球
Chinese,所有域,就业信息,办公室/地点信息,敏感,个人信息,全球
Chinese,所有域,就业信息,所有者联系方式,敏感,个人信息,全球
Chinese,所有域,就业信息,所有权百分比（对于关键人员）,非敏感,个人信息,全球
Chinese,所有域,就业信息,绩效相关信息,高度敏感,个人信息,全球
Chinese,所有域,就业信息,工作地点、职衔、角色、级别、职责、汇报关系,敏感,个人信息,全球
Chinese,所有域,就业信息,证明人,高度敏感,个人信息,全球
Chinese,所有域,就业信息,离职日期和离职原因,高度敏感,个人信息,全球
Chinese,所有域,就业信息,技能和成就,敏感,个人信息,全球
Chinese,所有域,就业信息,旅行信息,敏感,个人信息,全球
Chinese,所有域,就业信息,访客日志,敏感,个人信息,全球
Chinese,所有域,就业信息,自愿员工薪资扣除,高度敏感,个人信息,全球
Chinese,所有域,就业信息,工作开始日期和结束日期,敏感,个人信息,全球
Chinese,所有域,就业信息,工伤索赔,高度敏感,个人信息,全球
Chinese,所有域,就业信息,工作时间,敏感,个人信息,全球
Chinese,所有域,就业信息,就业记录（包括工资、出勤率、福利）,高度敏感,个人信息,全球
Chinese,所有域,就业信息,工资和福利信息,高度敏感,个人信息,全球
Chinese,所有域,就业信息,工资数据,高度敏感,个人信息,全球
Chinese,所有域,就业信息,工资数据（中国）,敏感,个人信息,中国
Chinese,所有域,就业信息,新冠肺炎和其他流行病相关记录,高度敏感,个人信息,全球
Chinese,所有域,就业信息,组织结构图,敏感,业务信息,全球
Chinese,所有域,道德,道德问题和调查信息 ,高度敏感,业务信息,全球
Chinese,所有域,财务信息,完整或部分跟踪数据（如 Card Verification Value（卡验证值，CVV）、Personal Identification Number（个人身份识别号码，PIN）/PIN 块或服务代码）；10 位以上的信用卡或借记卡号码 ,高度敏感,个人信息,全球
Chinese,所有域,财务信息,部分的信用卡或借记卡号码或财务机构账户号码,敏感,个人信息,南非
Chinese,所有域,财务信息,不带有卡品牌徽标的礼品卡 Primary Account Number（主账号，PAN）,非敏感,业务信息,全球
Chinese,所有域,财务信息,库存,敏感,业务信息,全球
Chinese,所有域,财务信息,销售额、应收款、津贴、其他收入,敏感,业务信息,全球
Chinese,所有域,预测,销售额、广告销售额、库存、需求、供应,高度敏感,业务信息,全球
Chinese,所有域,全球税务,燃料管理,敏感,业务信息,全球
Chinese,所有域,政府标识符,外国人注册登记号,高度敏感,个人信息,全球
Chinese,所有域,政府标识符,驾驶执照或经营执照号码,高度敏感,个人信息,全球
Chinese,所有域,政府标识符,驾驶执照或经营执照号码,敏感,个人信息,中美洲
Chinese,所有域,政府标识符,驾驶执照或经营执照号码,敏感,个人信息,南非
Chinese,所有域,政府标识符,Employer Identification Number（雇主识别号，EIN）（针对位于美国的公司） ,高度敏感,业务信息,全球
Chinese,所有域,政府标识符,政府识别类型、签发机构和号码（National Insurance（国家保险，NI）号码、护照号码、驾驶证号码、National Health Service（英国国民医疗服务体系，NHS）号码、Social Security Number（美国社会保障号码，SSN）、Social Insurance Number（社会保险号码，SIN））,高度敏感,个人信息,全球
Chinese,所有域,政府标识符,政府识别类型、签发机构和号码（NI 号码、护照号码、驾驶证号码、公共健康服务号码）,敏感,个人信息,中美洲
Chinese,所有域,政府标识符,政府识别类型、签发机构和号码（NI 号码、护照号码、驾驶证号码、公共健康服务号码）,敏感,个人信息,墨西哥
Chinese,所有域,政府标识符,政府赞助的健康或食品计划标识符,高度敏感,个人信息,全球
Chinese,所有域,政府标识符,居民身份证号,高度敏感,个人信息,全球
Chinese,所有域,政府标识符,居民身份证号,敏感,个人信息,中美洲
Chinese,所有域,政府标识符,专业执照的国家标识符,敏感,个人信息,全球
Chinese,所有域,政府标识符,NHS 号码,高度敏感,个人信息,全球
Chinese,所有域,政府标识符,其他政府签发的证件号码,高度敏感,个人信息,全球
Chinese,所有域,政府标识符,其他政府签发的证件号码,敏感,个人信息,中美洲
Chinese,所有域,政府标识符,护照和签证详细信息,高度敏感,个人信息,全球
Chinese,所有域,政府标识符,护照和签证详细信息,敏感,个人信息,中美洲
Chinese,所有域,政府标识符,Revenue and Social Insurance（收入和社会保险，RSI）号码（爱尔兰税务 ID）,高度敏感,个人信息,爱尔兰
Chinese,所有域,政府标识符,Social Security Number（社保号码，SSN）,高度敏感,个人信息,美国
Chinese,所有域,政府标识符,Número de Seguridad Social（社会保障号，NSS）,敏感,个人信息,墨西哥
Chinese,所有域,政府标识符,印度唯一身份识别号码 (Aadhar),高度敏感,个人信息,印度
Chinese,所有域,政府标识符,智利的 Tax Identification Number（税务识别号，TIN）即 Rol Único Tributario（国税编号，RUT）,高度敏感,个人信息,智利
Chinese,所有域,政府标识符,报税号码的编号,高度敏感,个人信息,全球
Chinese,所有域,政府标识符,车辆注册登记号,敏感,个人信息,全球
Chinese,所有域,健康和医疗保险信息,所使用的药物、疗法或医疗产品或设备,高度敏感,个人信息,全球
Chinese,所有域,个人偏好和特征,心理趋势,高度敏感,个人信息,全球
Chinese,所有域,个人偏好和特征,测试活动和行为,高度敏感,个人信息,全球
Chinese,所有域,个人偏好和特征,测试个人特质,高度敏感,个人信息,全球
Chinese,所有域,个人偏好和特征,指定市场区域代码,敏感,个人信息,全球
Chinese,所有域,个人偏好和特征,网络导航习惯,敏感,个人信息,南非
Chinese,所有域,个人偏好和特征,专业能力,敏感,个人信息,全球
Chinese,所有域,个人偏好和特征,与客户行为和购物偏好相关的分析数据，用以创建客户个人档案 ,高度敏感,个人信息,全球
Chinese,所有域,个人偏好和特征,与客户行为和购物偏好相关的分析数据，用以创建客户个人档案 ,敏感,个人信息,南非
Chinese,所有域,个人偏好和特征,资质,高度敏感,个人信息,加拿大
Chinese,所有域,个人偏好和特征,资质,敏感,个人信息,全球
Chinese,所有域,个人偏好和特征,从数据分析中得出的假设、预测、分数和评级,高度敏感,个人信息,全球
Chinese,所有域,个人偏好和特征,行为,高度敏感,个人信息,全球
Chinese,所有域,个人偏好和特征,衣服/鞋子尺码,高度敏感,个人信息,加拿大
Chinese,所有域,个人偏好和特征,衣服/鞋子尺码,敏感,个人信息,全球
Chinese,所有域,个人偏好和特征,大学教育,敏感,个人信息,全球
Chinese,所有域,个人偏好和特征,消费者特征,高度敏感,个人信息,全球
Chinese,所有域,个人偏好和特征,消费者偏好,高度敏感,个人信息,加拿大
Chinese,所有域,个人偏好和特征,消费者偏好,敏感,个人信息,全球
Chinese,所有域,个人偏好和特征,膳食要求,高度敏感,个人信息,全球
Chinese,所有域,个人偏好和特征,住宅类型,敏感,个人信息,全球
Chinese,所有域,个人偏好和特征,已确定的估计收入,高度敏感,个人信息,全球
Chinese,所有域,个人偏好和特征,家庭年龄指标,敏感,个人信息,全球
Chinese,所有域,个人偏好和特征,兴趣及消遣,敏感,个人信息,全球
Chinese,所有域,个人偏好和特征,生活方式、兴趣、活动、好恶,敏感,个人信息,全球
Chinese,所有域,个人偏好和特征,拥有的汽车数量,敏感,个人信息,全球
Chinese,所有域,个人偏好和特征,家中的人数,敏感,个人信息,全球
Chinese,所有域,个人偏好和特征,倾向,高度敏感,个人信息,全球
Chinese,所有域,机构信息,包含高度敏感信息的 Statement Of Work（工作说明书，SOW）/Master Service Agreement（主服务协议，MSA）/Non-disclosure Agreement（保密协议，NDA）/International Services Agreement（国际服务协议，ISA）（合同）,高度敏感,业务信息,全球
Chinese,所有域,机构信息,不包含高度敏感信息的 SOW/MSA/NDA/ISA（合同）,敏感,业务信息,全球
Chinese,所有域,机构信息,供应商或供货商名单,敏感,业务信息,全球
Chinese,所有域,机构信息,业务合作伙伴和供应商名称信息,敏感,业务信息,南非
Chinese,所有域,机构信息,按渠道或市场分类的产品销售信息 ,高度敏感,业务信息,全球
Chinese,所有域,机构信息,可公开获得的 Massmart 信息和数据主体故意公开的信息,非敏感,业务信息,南非
Chinese,所有域,机构信息,非公开 Massmart/Massmart 信息,敏感,业务信息,南非
Chinese,所有域,机构信息,来自业务合作伙伴的非公开信息,敏感,业务信息,南非
