Market,Region,Division,Total Five Star,4 Star Score & Better Avg,W+ Paid Member Goal %,AES,Sales Comp,Controllable Profit,Presub,Shrink,OPD Growth
64,6 - South Texas,SOUTHWEST BU,4.59,4,98.4%,78,1.5%,12.4%,93.7%,-3.8%,31.9%
231,"76 - West NY, PA, VA & DC",EAST BU,4.55,5,100.4%,62,7.5%,18.3%,95.3%,-1.2%,31.4%
58,64 - SOUTHWEST,NHM BU,4.64,12,94.5%,72,8.7%,12.7%,95.9%,-2.1%,-4.9%
120,12 - Nashville,SOUTHEAST BU,4.57,3,92.6%,69,7.4%,16.6%,94.4%,-1.6%,32.4%
164,"17 - NYC Metro, CT, RI",EAST BU,4.60,5,98.2%,70,6.7%,16.1%,91.3%,-2.5%,43.9%
515,61 - WEST,NHM BU,4.68,12,94.0%,73,7.5%,12.5%,95.2%,-2.2%,5.6%
316,"20 - VA, OH, PA, WV",NORTH BU,4.54,4,98.1%,66,8.9%,16.3%,95.1%,-1.4%,46.4%
339,40 - Missouri,NORTH BU,4.44,1,98.2%,64,10.6%,14.7%,91.9%,-2.6%,55.7%
561,64 - SOUTHWEST,NHM BU,4.67,13,92.1%,78,7.1%,11.5%,96.0%,-2.1%,-5.9%
488,72 - SOUTHEAST,NHM BU,4.68,13,96.4%,76,7.7%,12.5%,95.2%,-2.4%,4.3%
506,7 - W TX / N NM,SOUTHWEST BU,4.65,11,92.3%,68,3.1%,16.7%,94.8%,-1.7%,31.2%
213,"19 - Michigan, OH",NORTH BU,4.50,2,101.4%,61,7.2%,17.1%,95.1%,-1.0%,31.5%
542,64 - SOUTHWEST,NHM BU,4.68,16,95.5%,75,10.9%,13.4%,95.8%,-1.1%,10.2%
315,"75 - VA, MD",EAST BU,4.57,5,93.4%,62,6.0%,16.1%,94.5%,-2.1%,25.4%
91,9 - S. Florida,SOUTHEAST BU,4.54,3,92.8%,69,8.8%,14.8%,92.5%,-2.8%,66.0%
557,61 - WEST,NHM BU,4.68,12,94.7%,69,8.6%,13.2%,96.0%,-1.0%,-5.4%
118,9 - S. Florida,SOUTHEAST BU,4.59,7,97.1%,69,11.2%,16.4%,94.2%,-1.9%,50.2%
400,56 - N CA N NV,WEST BU,4.51,1,101.1%,61,6.5%,18.4%,95.2%,-1.3%,27.2%
203,"19 - Michigan, OH",NORTH BU,4.58,4,90.5%,64,6.3%,14.6%,95.1%,-1.5%,18.2%
562,64 - SOUTHWEST,NHM BU,4.71,15,96.9%,76,9.9%,11.3%,96.1%,-1.6%,1.8%
464,58 - S CA W AZ,WEST BU,4.67,8,90.0%,70,4.4%,14.0%,94.5%,-2.7%,36.7%
424,52 - MN IA,WEST BU,4.52,1,96.0%,63,8.3%,16.3%,95.4%,-1.4%,49.9%
48,5 - Dallas,SOUTHWEST BU,4.49,0,94.5%,66,5.9%,17.3%,93.6%,-1.9%,22.3%
453,56 - N CA N NV,WEST BU,4.55,1,91.4%,69,6.7%,13.8%,92.6%,-3.4%,40.4%
201,"19 - Michigan, OH",NORTH BU,4.52,0,98.7%,66,6.8%,13.7%,94.1%,-2.2%,28.2%
385,46 - Phoenix,SOUTHWEST BU,4.44,0,92.9%,65,9.2%,17.0%,92.2%,-3.4%,33.8%
485,59 - ATLANTIC COAST,NHM BU,4.59,5,117.7%,71,13.5%,12.4%,93.8%,-2.5%,13.3%
569,7 - W TX / N NM,SOUTHWEST BU,4.67,10,87.8%,79,8.2%,16.0%,95.5%,-1.6%,32.8%
581,57 - LA Vegas HI,WEST BU,4.62,6,95.8%,68,7.7%,14.3%,93.9%,-2.9%,42.6%
502,59 - ATLANTIC COAST,NHM BU,4.63,11,96.0%,69,9.7%,12.6%,93.5%,-2.1%,6.6%
512,61 - WEST,NHM BU,4.60,6,91.1%,72,6.7%,12.6%,93.4%,-2.4%,12.6%
297,26 - North Carolina,EAST BU,4.49,2,93.1%,64,3.2%,13.2%,91.3%,-3.5%,38.1%
97,"14 - AL, FL",SOUTHEAST BU,4.53,2,95.4%,71,7.0%,14.9%,93.8%,-2.0%,35.9%
217,21 - OH/IN,NORTH BU,4.50,1,92.3%,66,7.5%,13.0%,93.1%,-2.7%,43.7%
510,61 - WEST,NHM BU,4.71,14,92.4%,72,7.8%,11.3%,95.1%,-1.7%,-9.0%
409,"44 - Oklahoma, N TX",SOUTHWEST BU,4.50,1,94.7%,67,6.6%,16.5%,95.4%,-2.5%,33.4%
423,52 - MN IA,WEST BU,4.51,1,96.1%,70,8.7%,13.4%,93.1%,-2.5%,23.5%
391,54 - Rocky Mountain,WEST BU,4.55,4,94.4%,63,4.1%,16.0%,92.8%,-2.6%,37.1%
543,64 - SOUTHWEST,NHM BU,4.66,16,96.4%,75,9.3%,13.8%,94.9%,-1.3%,7.7%
541,64 - SOUTHWEST,NHM BU,4.68,11,97.2%,76,10.6%,11.7%,95.0%,-2.0%,17.4%
27,"3 - GA, FL",SOUTHEAST BU,4.48,2,91.0%,69,5.3%,14.8%,92.2%,-2.7%,22.5%
36,4 - South Carolina,EAST BU,4.41,0,93.0%,66,4.8%,15.0%,89.7%,-3.6%,56.7%
294,4 - South Carolina,EAST BU,4.52,3,101.9%,67,5.9%,16.5%,93.1%,-2.5%,37.0%
60,6 - South Texas,SOUTHWEST BU,4.58,3,91.9%,70,2.5%,15.3%,94.5%,-2.6%,27.2%
545,72 - SOUTHEAST,NHM BU,4.63,7,94.9%,75,7.0%,13.1%,95.8%,-1.7%,2.8%
304,26 - North Carolina,EAST BU,4.61,7,98.9%,66,6.5%,16.3%,94.3%,-1.5%,30.0%
482,41 - Indy / KY,NORTH BU,4.47,1,89.6%,67,4.1%,15.3%,90.3%,-2.4%,37.6%
178,"22 - PA, NJ",EAST BU,4.56,4,98.5%,68,10.2%,16.4%,90.1%,-2.2%,55.9%
496,59 - ATLANTIC COAST,NHM BU,4.63,10,97.7%,71,6.2%,14.1%,95.1%,-2.2%,9.2%
526,64 - SOUTHWEST,NHM BU,4.72,12,95.3%,76,8.4%,13.8%,96.6%,-1.0%,-6.3%
449,57 - LA Vegas HI,WEST BU,4.62,7,91.7%,66,7.2%,14.9%,93.5%,-2.6%,30.5%
559,72 - SOUTHEAST,NHM BU,4.68,13,96.6%,77,8.5%,13.3%,95.9%,-1.7%,5.1%
552,61 - WEST,NHM BU,4.64,12,92.4%,70,5.5%,12.6%,93.8%,-2.1%,7.6%
477,60 - OR WA AK,WEST BU,4.49,1,96.8%,62,4.0%,13.7%,91.3%,-4.3%,28.8%
509,59 - ATLANTIC COAST,NHM BU,4.63,9,94.8%,68,8.5%,12.8%,95.7%,-2.0%,4.9%
305,26 - North Carolina,EAST BU,4.48,0,95.8%,66,6.8%,14.7%,92.6%,-1.9%,35.5%
162,"17 - NYC Metro, CT, RI",EAST BU,4.54,2,102.2%,66,6.8%,15.8%,92.1%,-2.8%,61.2%
89,"3 - GA, FL",SOUTHEAST BU,4.52,0,95.6%,70,6.8%,16.3%,92.3%,-2.7%,43.6%
41,4 - South Carolina,EAST BU,4.48,1,93.4%,66,6.6%,16.1%,91.9%,-2.6%,40.8%
446,57 - LA Vegas HI,WEST BU,4.63,7,96.9%,69,8.3%,14.0%,93.5%,-3.8%,106.2%
472,60 - OR WA AK,WEST BU,4.51,1,102.6%,65,3.7%,15.3%,93.8%,-2.1%,22.2%
249,41 - Indy / KY,NORTH BU,4.52,1,87.6%,68,5.4%,15.1%,91.5%,-3.2%,44.0%
422,52 - MN IA,WEST BU,4.54,1,116.8%,68,13.4%,13.5%,93.0%,-2.5%,58.0%
549,72 - SOUTHEAST,NHM BU,4.69,13,97.3%,79,9.1%,12.6%,96.4%,-1.7%,2.0%
102,72 - SOUTHEAST,NHM BU,4.66,13,98.8%,77,10.1%,13.7%,94.9%,-1.8%,6.9%
93,"3 - GA, FL",SOUTHEAST BU,4.49,1,93.3%,69,7.8%,17.0%,94.8%,-2.2%,30.0%
499,59 - ATLANTIC COAST,NHM BU,4.65,9,95.7%,74,8.5%,11.7%,95.7%,-2.1%,13.6%
471,60 - OR WA AK,WEST BU,4.58,3,102.3%,66,7.9%,15.0%,92.9%,-3.0%,26.2%
234,"22 - PA, NJ",EAST BU,4.55,3,95.6%,63,7.9%,17.6%,94.1%,-1.5%,32.9%
22,2 - Atlanta GA,SOUTHEAST BU,4.51,0,95.6%,68,5.7%,15.0%,92.6%,-2.5%,43.1%
553,9 - S. Florida,SOUTHEAST BU,4.62,6,96.8%,75,4.4%,12.9%,87.9%,-3.4%,47.5%
29,4 - South Carolina,EAST BU,4.49,2,90.0%,68,4.9%,13.8%,89.3%,-3.8%,41.7%
168,"22 - PA, NJ",EAST BU,4.57,3,94.2%,65,7.6%,16.0%,92.7%,-2.5%,35.6%
214,"20 - VA, OH, PA, WV",NORTH BU,4.48,0,97.9%,65,8.5%,14.2%,91.7%,-3.8%,74.4%
111,"3 - GA, FL",SOUTHEAST BU,4.48,0,96.2%,66,5.3%,15.9%,92.3%,-2.2%,38.4%
104,"3 - GA, FL",SOUTHEAST BU,4.54,3,96.8%,69,9.4%,17.4%,94.2%,-1.7%,39.8%
115,9 - S. Florida,SOUTHEAST BU,4.58,5,104.4%,70,5.4%,15.3%,92.4%,-1.9%,29.6%
44,5 - Dallas,SOUTHWEST BU,4.53,1,87.8%,70,5.6%,14.1%,92.6%,-3.8%,35.3%
396,57 - LA Vegas HI,WEST BU,4.58,3,91.0%,67,4.4%,14.4%,92.8%,-3.4%,34.9%
490,61 - WEST,NHM BU,4.58,5,96.3%,70,6.4%,11.0%,93.5%,-2.8%,-7.2%
548,72 - SOUTHEAST,NHM BU,4.66,12,96.6%,76,11.7%,13.3%,95.8%,-2.2%,8.6%
151,12 - Nashville,SOUTHEAST BU,4.55,1,95.2%,65,8.2%,17.0%,94.7%,-1.8%,40.7%
284,"22 - PA, NJ",EAST BU,4.60,6,94.7%,64,6.9%,15.7%,90.8%,-3.2%,47.9%
296,26 - North Carolina,EAST BU,4.50,1,93.8%,65,4.2%,14.4%,92.5%,-2.5%,30.6%
235,"20 - VA, OH, PA, WV",NORTH BU,4.52,1,105.1%,59,7.4%,15.9%,93.8%,-2.1%,44.2%
447,57 - LA Vegas HI,WEST BU,4.62,7,92.1%,66,5.6%,15.7%,92.0%,-3.4%,32.9%
188,16 - New England,EAST BU,4.50,0,98.9%,67,8.4%,14.7%,93.5%,-3.1%,53.5%
92,9 - S. Florida,SOUTHEAST BU,4.48,1,92.5%,68,6.5%,16.5%,92.0%,-2.1%,28.5%
5,12 - Nashville,SOUTHEAST BU,4.52,1,93.6%,66,7.2%,16.7%,93.9%,-1.5%,35.0%
174,"17 - NYC Metro, CT, RI",EAST BU,4.55,4,96.4%,65,7.6%,15.8%,91.9%,-2.3%,47.2%
362,40 - Missouri,NORTH BU,4.49,1,93.5%,66,9.8%,14.9%,92.0%,-2.6%,48.2%
160,16 - New England,EAST BU,4.47,1,100.5%,64,8.0%,16.1%,92.0%,-1.4%,57.7%
183,16 - New England,EAST BU,4.44,1,96.7%,65,6.7%,16.6%,93.2%,-1.9%,27.2%
110,9 - S. Florida,SOUTHEAST BU,4.69,9,99.1%,85,7.9%,15.0%,93.8%,-3.1%,62.7%
154,16 - New England,EAST BU,4.52,4,100.3%,64,5.5%,15.3%,92.1%,-2.0%,48.6%
444,53 - WISCONSIN,NORTH BU,4.52,1,97.0%,64,7.2%,14.2%,93.6%,-2.9%,31.2%
16,"14 - AL, FL",SOUTHEAST BU,4.43,0,91.8%,70,3.9%,15.0%,92.4%,-2.4%,37.2%
397,61 - WEST,NHM BU,4.67,11,95.0%,70,10.1%,12.5%,94.5%,-2.3%,6.7%
227,"20 - VA, OH, PA, WV",NORTH BU,4.53,2,104.6%,59,7.5%,17.7%,93.8%,-1.1%,52.8%
291,"75 - VA, MD",EAST BU,4.49,1,94.9%,63,6.1%,15.8%,93.3%,-2.8%,28.6%
144,11 - Memphis,SOUTHEAST BU,4.50,1,90.0%,72,5.4%,14.0%,89.8%,-2.6%,49.0%
298,26 - North Carolina,EAST BU,4.49,1,95.6%,67,6.1%,15.2%,93.2%,-2.6%,36.1%
132,"13 - LA, MS",SOUTHWEST BU,4.56,3,97.6%,73,7.2%,15.0%,95.2%,-1.8%,37.7%
458,58 - S CA W AZ,WEST BU,4.67,9,88.1%,71,5.6%,15.5%,93.4%,-2.7%,32.6%
221,21 - OH/IN,NORTH BU,4.53,2,90.2%,66,6.5%,15.0%,93.8%,-2.1%,27.4%
269,25 - Chicago / IL,NORTH BU,4.53,1,87.6%,69,6.8%,13.9%,94.4%,-2.5%,18.7%
452,56 - N CA N NV,WEST BU,4.53,0,92.8%,69,4.2%,13.2%,92.7%,-4.0%,39.3%
15,"14 - AL, FL",SOUTHEAST BU,4.51,1,98.7%,67,4.1%,17.1%,92.8%,-1.7%,45.7%
191,"76 - West NY, PA, VA & DC",EAST BU,4.47,0,100.1%,63,8.3%,15.4%,93.4%,-2.1%,47.1%
8,"14 - AL, FL",SOUTHEAST BU,4.45,0,93.7%,70,7.2%,14.6%,92.4%,-2.4%,36.7%
161,"17 - NYC Metro, CT, RI",EAST BU,4.55,3,100.2%,63,6.5%,16.1%,92.9%,-1.9%,41.8%
288,"75 - VA, MD",EAST BU,4.44,0,92.3%,61,4.8%,16.0%,90.6%,-2.9%,30.8%
112,"3 - GA, FL",SOUTHEAST BU,4.58,5,94.9%,74,7.1%,15.5%,95.0%,-2.1%,34.6%
195,"76 - West NY, PA, VA & DC",EAST BU,4.44,0,100.1%,64,8.8%,14.2%,91.7%,-2.8%,53.4%
270,25 - Chicago / IL,NORTH BU,4.50,0,94.1%,63,5.5%,14.8%,95.6%,-1.9%,17.1%
19,2 - Atlanta GA,SOUTHEAST BU,4.54,1,92.0%,68,2.8%,12.9%,90.1%,-3.2%,34.2%
13,"14 - AL, FL",SOUTHEAST BU,4.49,2,89.2%,72,2.9%,14.9%,91.1%,-2.4%,32.6%
380,54 - Rocky Mountain,WEST BU,4.54,0,95.6%,70,4.1%,12.3%,92.5%,-3.2%,33.5%
105,9 - S. Florida,SOUTHEAST BU,4.57,4,95.9%,81,5.2%,15.4%,93.8%,-2.5%,42.0%
52,5 - Dallas,SOUTHWEST BU,4.52,0,97.9%,70,7.9%,16.6%,92.8%,-2.1%,30.3%
550,61 - WEST,NHM BU,4.59,7,98.4%,66,10.7%,11.5%,94.4%,-2.6%,17.7%
451,56 - N CA N NV,WEST BU,4.57,3,88.7%,76,6.6%,12.3%,92.1%,-3.9%,35.5%
461,58 - S CA W AZ,WEST BU,4.67,8,91.8%,65,3.4%,13.1%,93.3%,-4.1%,43.4%
225,21 - OH/IN,NORTH BU,4.44,0,90.6%,63,5.9%,13.9%,91.8%,-3.0%,42.5%
114,"3 - GA, FL",SOUTHEAST BU,4.46,3,91.8%,67,5.0%,15.6%,90.7%,-2.6%,31.3%
82,6 - South Texas,SOUTHWEST BU,4.49,0,94.5%,69,3.0%,14.2%,92.5%,-4.1%,29.6%
463,58 - S CA W AZ,WEST BU,4.66,9,90.8%,73,6.8%,14.5%,94.4%,-2.6%,16.6%
130,"13 - LA, MS",SOUTHWEST BU,4.52,0,97.4%,72,5.8%,12.6%,90.7%,-3.4%,58.0%
223,21 - OH/IN,NORTH BU,4.43,0,91.5%,63,7.5%,15.2%,93.1%,-2.9%,32.4%
323,"42 - AR, MO, LA",SOUTHEAST BU,4.42,0,90.5%,66,8.8%,17.1%,95.4%,-1.1%,52.0%
403,54 - Rocky Mountain,WEST BU,4.56,3,93.2%,67,6.8%,16.1%,93.3%,-2.0%,34.8%
56,5 - Dallas,SOUTHWEST BU,4.55,2,95.5%,73,3.5%,14.1%,92.9%,-3.2%,28.3%
468,56 - N CA N NV,WEST BU,4.52,1,98.2%,59,2.3%,14.7%,93.4%,-3.7%,22.3%
1,"14 - AL, FL",SOUTHEAST BU,4.46,0,90.7%,68,6.7%,16.1%,92.5%,-2.2%,53.4%
163,"17 - NYC Metro, CT, RI",EAST BU,4.55,2,100.7%,74,8.6%,15.4%,91.4%,-2.6%,84.1%
340,40 - Missouri,NORTH BU,4.39,0,97.7%,63,8.5%,14.4%,92.6%,-3.2%,49.8%
242,41 - Indy / KY,NORTH BU,4.50,1,90.3%,71,5.2%,13.9%,91.3%,-3.4%,22.4%
215,"20 - VA, OH, PA, WV",NORTH BU,4.49,1,94.9%,58,6.7%,16.6%,93.4%,-2.5%,58.0%
448,57 - LA Vegas HI,WEST BU,4.62,6,92.2%,68,3.3%,12.6%,93.3%,-4.3%,33.4%
208,"20 - VA, OH, PA, WV",NORTH BU,4.49,1,99.5%,63,5.9%,17.0%,94.1%,-1.5%,53.0%
511,56 - N CA N NV,WEST BU,4.56,1,102.3%,76,3.2%,12.7%,93.1%,-3.7%,45.3%
370,46 - Phoenix,SOUTHWEST BU,4.57,3,93.6%,74,4.3%,14.6%,94.3%,-2.7%,42.9%
53,5 - Dallas,SOUTHWEST BU,4.56,3,92.4%,71,5.0%,13.5%,92.7%,-3.8%,33.2%
401,54 - Rocky Mountain,WEST BU,4.51,1,90.9%,59,2.4%,16.4%,93.4%,-1.8%,18.2%
233,"22 - PA, NJ",EAST BU,4.53,3,96.1%,62,5.6%,17.3%,92.0%,-1.9%,33.6%
308,26 - North Carolina,EAST BU,4.55,2,91.2%,63,5.4%,15.4%,94.4%,-2.5%,47.5%
445,58 - S CA W AZ,WEST BU,4.66,9,90.6%,67,3.7%,12.4%,92.3%,-4.5%,35.4%
290,"75 - VA, MD",EAST BU,4.54,0,88.8%,61,5.6%,15.8%,93.2%,-2.3%,39.6%
171,"17 - NYC Metro, CT, RI",EAST BU,4.63,6,110.5%,72,13.9%,15.5%,92.2%,-2.5%,131.9%
293,"75 - VA, MD",EAST BU,4.50,0,84.6%,66,5.6%,14.6%,91.0%,-3.3%,59.5%
176,"17 - NYC Metro, CT, RI",EAST BU,4.59,3,108.2%,70,11.4%,13.3%,89.8%,-3.9%,130.5%
266,25 - Chicago / IL,NORTH BU,4.53,0,106.7%,68,13.4%,12.2%,90.4%,-3.4%,72.6%
454,56 - N CA N NV,WEST BU,4.58,5,89.6%,69,3.4%,11.6%,91.9%,-5.0%,45.0%
156,16 - New England,EAST BU,4.56,4,95.7%,68,6.8%,15.7%,93.3%,-1.5%,37.1%
460,58 - S CA W AZ,WEST BU,4.64,8,93.3%,67,1.8%,14.5%,92.8%,-3.5%,21.0%
399,56 - N CA N NV,WEST BU,4.50,1,90.2%,60,4.7%,17.1%,94.6%,-1.5%,31.2%
35,4 - South Carolina,EAST BU,4.54,3,94.0%,67,7.1%,16.0%,93.1%,-2.8%,40.3%
455,56 - N CA N NV,WEST BU,4.58,5,89.9%,67,4.0%,14.1%,92.8%,-4.0%,35.5%
459,58 - S CA W AZ,WEST BU,4.65,9,94.4%,70,5.2%,15.0%,93.0%,-3.2%,48.2%
238,"19 - Michigan, OH",NORTH BU,4.49,1,90.1%,62,8.5%,14.4%,92.7%,-2.3%,39.8%
167,"22 - PA, NJ",EAST BU,4.56,3,98.4%,68,8.6%,15.3%,92.1%,-2.4%,52.2%
462,58 - S CA W AZ,WEST BU,4.67,8,89.1%,67,2.6%,13.7%,93.0%,-3.6%,39.1%
68,"13 - LA, MS",SOUTHWEST BU,4.61,5,95.1%,71,3.0%,16.5%,94.5%,-1.3%,28.3%
264,25 - Chicago / IL,NORTH BU,4.56,2,94.5%,69,5.6%,14.2%,93.4%,-2.5%,26.3%
51,5 - Dallas,SOUTHWEST BU,4.53,0,91.3%,75,3.4%,14.2%,93.4%,-2.8%,26.7%
466,58 - S CA W AZ,WEST BU,4.66,7,96.1%,67,3.3%,14.5%,92.8%,-3.3%,34.5%
505,7 - W TX / N NM,SOUTHWEST BU,4.64,9,91.9%,72,7.2%,18.1%,95.0%,-1.5%,35.5%
157,16 - New England,EAST BU,4.58,3,101.5%,72,7.9%,17.7%,93.0%,-1.7%,88.0%
282,"75 - VA, MD",EAST BU,4.51,1,97.7%,67,5.3%,15.4%,89.2%,-3.6%,61.7%
107,9 - S. Florida,SOUTHEAST BU,4.52,1,96.3%,71,7.3%,15.6%,92.2%,-2.8%,45.3%
280,"76 - West NY, PA, VA & DC",EAST BU,4.49,1,97.1%,65,6.6%,16.6%,92.0%,-2.5%,42.3%
558,"22 - PA, NJ",EAST BU,4.62,6,95.0%,66,8.2%,13.4%,90.5%,-3.1%,68.8%
299,26 - North Carolina,EAST BU,4.51,1,95.5%,64,5.5%,15.5%,93.0%,-2.8%,24.4%
20,2 - Atlanta GA,SOUTHEAST BU,4.49,0,94.2%,69,6.5%,13.8%,92.5%,-3.1%,55.2%
109,9 - S. Florida,SOUTHEAST BU,4.58,5,93.0%,75,6.5%,15.1%,91.5%,-3.1%,49.6%
24,2 - Atlanta GA,SOUTHEAST BU,4.58,3,94.2%,73,6.6%,14.9%,94.2%,-2.8%,45.2%
379,54 - Rocky Mountain,WEST BU,4.61,5,94.2%,64,2.2%,14.0%,92.2%,-2.6%,23.7%
189,16 - New England,EAST BU,4.49,0,94.2%,69,7.0%,14.3%,93.6%,-2.4%,38.2%
197,"19 - Michigan, OH",NORTH BU,4.48,1,85.8%,67,7.1%,13.3%,91.6%,-1.7%,53.2%
159,16 - New England,EAST BU,4.51,1,99.5%,69,6.8%,15.9%,93.1%,-2.0%,56.7%
268,25 - Chicago / IL,NORTH BU,4.53,1,113.4%,71,11.0%,14.1%,91.5%,-3.0%,76.6%
577,"17 - NYC Metro, CT, RI",EAST BU,4.64,6,103.6%,80,12.1%,12.4%,91.6%,-3.5%,83.6%
281,"75 - VA, MD",EAST BU,4.51,1,93.4%,66,5.7%,14.0%,90.0%,-3.6%,46.3%
49,5 - Dallas,SOUTHWEST BU,4.47,0,90.9%,70,6.5%,13.6%,91.8%,-3.7%,24.9%
292,"76 - West NY, PA, VA & DC",EAST BU,4.64,7,89.0%,84,9.9%,16.2%,95.1%,-2.1%,37.6%
435,53 - WISCONSIN,NORTH BU,4.49,0,91.1%,66,4.7%,14.0%,92.2%,-3.5%,30.7%
59,6 - South Texas,SOUTHWEST BU,4.56,1,87.6%,69,2.8%,15.2%,93.8%,-2.3%,30.0%
125,"13 - LA, MS",SOUTHWEST BU,4.57,3,96.4%,70,4.2%,12.3%,91.8%,-3.7%,50.4%
283,"76 - West NY, PA, VA & DC",EAST BU,4.51,2,100.0%,81,13.5%,14.6%,92.5%,-2.9%,112.6%
267,25 - Chicago / IL,NORTH BU,4.53,1,143.8%,71,10.2%,13.1%,90.9%,-3.5%,104.7%
206,"19 - Michigan, OH",NORTH BU,4.51,1,91.4%,69,9.1%,12.8%,92.6%,-2.0%,47.7%
25,2 - Atlanta GA,SOUTHEAST BU,4.51,1,92.5%,67,6.7%,16.2%,92.7%,-2.6%,38.1%
219,21 - OH/IN,NORTH BU,4.44,0,92.3%,68,7.6%,14.5%,92.0%,-3.7%,52.4%
50,5 - Dallas,SOUTHWEST BU,4.54,2,91.8%,73,4.7%,15.1%,92.7%,-3.3%,32.2%
368,46 - Phoenix,SOUTHWEST BU,4.48,0,90.7%,70,7.5%,15.4%,94.4%,-2.6%,40.8%
583,5 - Dallas,SOUTHWEST BU,4.51,1,91.5%,79,6.8%,15.2%,93.2%,-2.7%,46.4%
324,"42 - AR, MO, LA",SOUTHEAST BU,4.45,0,92.4%,69,9.7%,14.8%,93.4%,-2.6%,32.5%
26,2 - Atlanta GA,SOUTHEAST BU,4.55,2,93.2%,69,8.3%,16.0%,93.0%,-2.3%,47.3%
514,60 - OR WA AK,WEST BU,4.50,1,96.6%,68,6.8%,12.7%,92.8%,-4.2%,37.2%
265,25 - Chicago / IL,NORTH BU,4.54,1,98.6%,68,11.2%,13.6%,92.9%,-2.6%,48.3%
62,6 - South Texas,SOUTHWEST BU,4.56,3,90.3%,73,3.8%,14.1%,93.3%,-2.4%,24.4%
23,2 - Atlanta GA,SOUTHEAST BU,4.47,0,98.8%,71,7.3%,12.9%,90.9%,-4.4%,50.2%
467,60 - OR WA AK,WEST BU,4.50,0,96.3%,61,3.9%,14.4%,92.6%,-2.6%,33.2%
172,"17 - NYC Metro, CT, RI",EAST BU,4.54,0,107.6%,74,9.8%,12.5%,84.2%,-4.6%,128.9%
90,9 - S. Florida,SOUTHEAST BU,4.58,2,97.0%,73,6.8%,16.0%,93.3%,-2.7%,48.8%
465,57 - LA Vegas HI,WEST BU,4.65,8,92.0%,69,4.4%,11.4%,93.1%,-3.9%,60.0%
122,12 - Nashville,SOUTHEAST BU,4.54,1,94.9%,65,8.5%,17.7%,93.6%,-1.9%,32.9%
63,6 - South Texas,SOUTHWEST BU,4.59,3,92.2%,73,4.8%,13.7%,94.1%,-3.4%,30.7%
153,12 - Nashville,SOUTHEAST BU,4.53,1,95.6%,73,9.7%,13.7%,93.0%,-2.5%,52.0%
94,"3 - GA, FL",SOUTHEAST BU,4.49,1,94.8%,71,5.9%,16.0%,92.7%,-2.4%,37.7%
175,"17 - NYC Metro, CT, RI",EAST BU,4.61,5,98.2%,75,11.4%,14.4%,90.3%,-3.9%,80.1%
371,46 - Phoenix,SOUTHWEST BU,4.50,1,94.8%,72,5.0%,13.4%,92.6%,-3.8%,34.7%
67,6 - South Texas,SOUTHWEST BU,4.58,2,91.1%,73,3.2%,14.8%,93.6%,-2.7%,29.7%
369,46 - Phoenix,SOUTHWEST BU,4.56,2,88.1%,72,5.3%,14.7%,94.5%,-2.8%,45.3%
108,9 - S. Florida,SOUTHEAST BU,4.59,7,95.4%,81,5.8%,14.5%,93.3%,-2.7%,46.3%
170,"22 - PA, NJ",EAST BU,4.53,2,96.4%,66,12.0%,15.5%,91.8%,-2.3%,52.2%
484,57 - LA Vegas HI,WEST BU,4.64,6,88.6%,68,4.1%,12.6%,93.5%,-3.6%,35.7%
