Sub Division,Region,Market,Store Nbr,ACC POS$ Apr,ACC POS$ YTD,Car Count  Apr,Car Count YTD,  VIT   Apr,VIT YTD,Tire Bay Time   Apr,Tire Bay Time YTD,Oil Bay Time   Apr,Oil Bay Time YTD,Appt. Success Rate   Apr,Appt. Success Rate YTD,Other Services   Apr,Other Services YTD,Tire Units   Apr,Tire Units YTD,Oil Units   Apr,Oil Units YTD,Overall Ranking   Apr,Overall Ranking YTD
NORTH BU,41 - Indy / KY,251,902,5.2%,1.9%,11.3%,3.1%,0:28:22,0:30:35,0:41:12,0:38:26,0:41:15,0:35:42,55.2%,53.6%,-13.4%,32.0%,0.2%,-4.3%,10.7%,4.8%,"1,668","1,855"
SOUTHEAST BU,11 - Memphis,140,903,6.7%,-5.0%,10.2%,-0.8%,0:19:48,0:23:03,0:16:12,0:15:38,0:16:41,0:15:32,38.7%,52.6%,9.4%,11.4%,-2.3%,-9.6%,22.3%,7.4%,"1,613","2,024"
SOUTHEAST BU,"14 - AL, FL",1,904,-0.4%,-5.5%,-2.4%,-4.1%,0:26:17,0:25:57,0:30:47,0:28:53,0:20:43,0:20:27,55.6%,52.1%,247.8%,60.6%,-2.2%,-8.6%,10.4%,8.8%,"1,586","1,895"
SOUTHWEST BU,46 - Phoenix,384,906,1.5%,5.5%,0.2%,-0.3%,0:46:24,0:45:42,0:31:16,0:34:05,0:10:35,0:10:53,51.9%,54.3%,11.9%,-8.5%,7.6%,8.6%,0.1%,1.2%,"1,134",933
SOUTHEAST BU,09 - S. Florida,90,908,9.9%,5.0%,12.5%,1.0%,0:40:01,0:38:19,0:10:47,0:10:00,0:06:19,0:06:08,11.8%,12.5%,-63.0%,-44.1%,20.5%,15.1%,8.1%,-0.8%,669,889
NORTH BU,53 - WISCONSIN,442,910,18.9%,4.3%,5.2%,1.6%,0:27:53,0:27:21,0:36:33,0:39:47,0:22:55,0:24:30,35.3%,35.6%,-54.7%,17.8%,54.7%,3.9%,2.3%,2.9%,"1,176","1,956"
SOUTHWEST BU,"13 - LA, MS",128,911,0.5%,6.1%,-6.3%,-3.8%,0:21:20,0:25:42,0:21:09,0:18:10,0:22:12,0:19:46,54.1%,50.6%,-10.2%,-22.7%,1.5%,6.0%,3.0%,-1.4%,"1,171",888
NORTH BU,53 - WISCONSIN,425,913,6.5%,8.3%,2.4%,3.7%,0:15:54,0:18:43,0:37:35,0:39:30,0:22:08,0:23:55,71.0%,76.2%,-12.4%,-12.8%,22.1%,8.8%,6.3%,1.8%,"1,913","1,910"
SOUTHEAST BU,"42 - AR, MO, LA",322,914,8.6%,3.3%,6.8%,5.1%,0:08:00,0:08:00,0:24:43,0:22:38,0:16:06,0:16:08,100.0%,98.7%,65.7%,21.0%,5.9%,-1.5%,6.3%,3.8%,399,543
SOUTHWEST BU,06 - South Texas,62,915,-3.1%,-4.1%,-4.3%,3.0%,0:37:32,0:34:19,0:39:22,0:31:52,0:30:09,0:26:58,85.0%,84.6%,-26.4%,-40.6%,-9.7%,-8.5%,1.2%,6.2%,"1,750","1,628"
SOUTHWEST BU,"13 - LA, MS",141,916,9.4%,-0.4%,7.5%,3.4%,0:15:16,0:17:50,0:30:14,0:33:59,0:21:35,0:21:38,86.3%,84.0%,-32.1%,-23.2%,8.4%,-3.7%,7.1%,6.7%,139,526
SOUTHWEST BU,"13 - LA, MS",46,918,-1.1%,-7.5%,-8.5%,-11.0%,0:36:26,0:38:22,0:47:11,0:50:15,0:28:14,0:27:39,50.7%,53.4%,-55.6%,-65.9%,-10.3%,-12.0%,-8.5%,-5.1%,"2,497","2,559"
SOUTHEAST BU,"14 - AL, FL",15,919,6.6%,12.8%,7.2%,6.4%,0:16:19,0:20:30,0:32:02,0:31:47,0:19:31,0:20:07,81.3%,70.6%,8.8%,51.9%,13.3%,23.1%,7.6%,1.0%,111,145
NORTH BU,41 - Indy / KY,243,922,21.3%,13.8%,15.3%,5.5%,0:34:13,0:29:19,0:34:38,0:32:03,0:33:41,0:28:58,34.1%,52.1%,-59.0%,-43.2%,20.5%,17.5%,6.7%,2.6%,"1,829","1,646"
NORTH BU,41 - Indy / KY,482,923,22.1%,3.4%,0.2%,5.1%,0:48:44,0:40:46,0:37:59,0:34:46,0:28:58,0:27:37,17.0%,26.5%,212.4%,191.9%,24.9%,0.4%,-0.8%,2.2%,"2,370","2,481"
WEST BU,54 - Rocky Mountain,378,924,2.3%,-3.6%,7.6%,-0.2%,0:21:54,0:25:49,0:40:49,0:40:37,0:25:47,0:27:01,61.8%,54.8%,-6.3%,-46.0%,4.0%,-8.4%,10.1%,0.5%,"2,142","2,479"
SOUTHWEST BU,07 - W TX / N NM,71,927,2.8%,5.0%,-1.9%,2.9%,0:15:26,0:19:40,0:29:16,0:33:31,0:22:39,0:24:56,70.4%,61.9%,50.4%,1.5%,-1.3%,1.7%,-6.3%,2.1%,"1,069","1,134"
SOUTHEAST BU,"03 - GA, FL",98,928,-12.9%,-15.1%,-35.3%,-28.4%,0:33:54,0:26:10,0:53:08,0:39:30,0:38:41,0:35:13,40.8%,48.7%,-17.8%,-31.2%,-13.6%,-14.1%,-38.0%,-37.1%,"2,386","2,137"
SOUTHEAST BU,09 - S. Florida,107,929,5.5%,5.6%,12.4%,12.2%,0:25:03,0:22:56,0:38:05,0:34:54,0:26:30,0:24:32,43.4%,44.8%,-45.1%,-9.3%,11.4%,6.4%,34.3%,25.3%,958,413
SOUTHEAST BU,"14 - AL, FL",8,930,-10.7%,-9.8%,-9.6%,-11.0%,0:19:33,0:22:22,0:36:22,0:37:58,0:23:21,0:24:12,57.4%,54.5%,-36.5%,-60.8%,-16.8%,-12.1%,6.2%,4.3%,"2,542","2,569"
SOUTHEAST BU,09 - S. Florida,92,931,-0.6%,-7.4%,-18.5%,-22.5%,0:28:05,0:26:46,0:18:32,0:18:50,0:19:48,0:20:24,33.2%,36.4%,-88.1%,-72.3%,9.4%,-4.5%,-25.8%,-29.2%,"1,488","1,660"
SOUTHEAST BU,"14 - AL, FL",16,932,0.9%,-3.9%,-3.6%,-7.1%,0:14:36,0:15:50,0:07:54,0:10:43,0:11:21,0:12:01,55.6%,54.1%,14.4%,-43.9%,13.1%,1.5%,0.6%,3.0%,517,992
SOUTHEAST BU,"14 - AL, FL",1,934,21.1%,3.7%,21.5%,14.9%,0:32:21,0:31:13,0:40:19,0:35:23,0:29:37,0:27:44,43.9%,40.7%,15.3%,17.5%,18.3%,-0.2%,7.3%,12.4%,"1,535","2,096"
SOUTHWEST BU,"13 - LA, MS",130,935,-12.6%,-14.1%,-27.1%,-6.0%,0:26:16,0:32:08,0:37:43,0:35:31,0:35:42,0:32:56,60.0%,43.4%,-73.2%,-54.1%,-12.4%,-16.2%,-55.2%,-7.5%,"2,554","2,573"
NORTH BU,25 - Chicago / IL,272,936,-14.6%,-15.1%,-32.2%,-22.7%,0:17:20,0:18:58,0:27:38,0:30:29,0:23:37,0:23:43,63.6%,61.2%,-43.2%,-39.3%,-6.6%,-11.1%,-39.2%,-30.1%,"2,393","2,430"
SOUTHEAST BU,02 - Atlanta GA,26,937,5.6%,2.7%,12.7%,12.1%,0:34:22,0:37:32,0:39:54,0:40:20,0:27:29,0:26:30,36.7%,30.6%,58.1%,50.1%,7.2%,3.0%,18.1%,19.0%,"2,143","2,272"
SOUTHEAST BU,"14 - AL, FL",8,938,38.8%,33.6%,20.3%,38.6%,0:16:51,0:15:20,0:18:30,0:19:01,0:18:13,0:18:36,50.9%,59.8%,-62.0%,-42.7%,60.5%,35.9%,1.2%,22.1%,926,626
SOUTHWEST BU,05 - Dallas,76,939,10.0%,5.8%,12.1%,4.1%,0:24:31,0:32:54,0:30:04,0:33:52,0:21:11,0:23:04,60.6%,55.0%,-13.1%,-45.0%,-4.0%,-2.6%,12.0%,5.0%,"1,014","1,868"
SOUTHWEST BU,05 - Dallas,479,940,8.5%,1.6%,11.1%,0.9%,0:28:54,0:38:02,0:39:56,0:42:51,0:20:53,0:21:48,62.2%,42.3%,-60.8%,-66.2%,14.0%,2.3%,14.5%,4.7%,"1,560","2,339"
SOUTHEAST BU,"03 - GA, FL",89,942,-8.6%,-9.9%,-8.0%,-16.2%,0:44:29,0:47:43,0:39:07,0:34:15,0:16:20,0:14:19,32.9%,31.1%,-40.6%,-47.8%,-5.6%,-10.4%,-7.8%,-13.2%,"1,635","1,638"
SOUTHEAST BU,09 - S. Florida,91,943,4.6%,6.1%,14.4%,12.8%,0:35:04,0:35:18,0:24:32,0:27:04,0:19:11,0:19:52,41.2%,42.2%,58.1%,78.8%,-1.3%,2.4%,13.6%,14.8%,203,164
SOUTHEAST BU,"14 - AL, FL",15,944,7.8%,6.4%,15.3%,10.8%,0:50:30,0:43:46,0:40:27,0:38:07,0:31:49,0:29:32,35.7%,40.3%,32.1%,52.2%,8.3%,4.4%,17.8%,14.5%,"1,373","1,245"
SOUTHWEST BU,07 - W TX / N NM,71,945,6.2%,1.6%,1.4%,-2.2%,0:08:27,0:11:04,0:30:59,0:28:52,0:29:18,0:27:16,68.3%,72.6%,-45.1%,-19.5%,6.3%,-3.8%,-4.9%,-0.6%,"1,840","1,823"
SOUTHWEST BU,"44 - Oklahoma, N TX",350,947,24.0%,22.9%,35.8%,28.7%,0:13:25,0:16:20,0:30:35,0:32:12,0:25:30,0:27:39,78.4%,75.5%,81.8%,175.1%,18.7%,19.2%,29.3%,22.8%,29,34
SOUTHEAST BU,11 - Memphis,145,950,0.7%,-9.4%,-9.5%,-15.1%,0:34:07,0:38:45,0:22:33,0:23:22,0:20:35,0:20:42,33.1%,26.4%,-71.7%,-59.5%,1.4%,-11.6%,-8.3%,-9.6%,"2,312","2,483"
SOUTHEAST BU,"03 - GA, FL",27,952,3.8%,9.9%,15.1%,13.5%,0:29:39,0:30:58,0:38:42,0:38:56,0:26:17,0:26:23,49.1%,48.1%,11.4%,76.0%,14.4%,15.2%,7.3%,12.1%,"2,159","1,828"
WEST BU,54 - Rocky Mountain,378,953,-6.6%,2.7%,-16.5%,-7.5%,0:21:48,0:22:34,0:40:14,0:36:59,0:26:36,0:26:06,55.3%,57.6%,-53.5%,-42.4%,0.8%,17.4%,-21.6%,-17.0%,"2,516","2,333"
SOUTHWEST BU,"13 - LA, MS",141,954,14.0%,4.6%,14.1%,9.8%,0:17:07,0:16:18,0:07:56,0:08:18,0:13:34,0:14:02,45.5%,49.2%,-100.0%,-82.0%,24.8%,13.7%,10.2%,10.7%,"1,594","1,781"
SOUTHEAST BU,09 - S. Florida,91,955,10.5%,6.6%,9.7%,12.9%,0:28:29,0:32:12,0:12:05,0:13:22,0:10:43,0:09:55,44.1%,38.2%,-56.7%,-1.1%,14.9%,0.9%,7.4%,11.9%,187,228
NORTH BU,53 - WISCONSIN,263,958,-4.5%,10.6%,0.9%,7.1%,0:09:37,0:10:09,0:26:28,0:26:03,0:20:50,0:21:11,85.3%,85.8%,5.8%,-28.3%,-13.2%,9.3%,4.4%,3.8%,"1,142",258
SOUTHEAST BU,"03 - GA, FL",95,959,-5.7%,-7.1%,-4.1%,-7.2%,0:27:12,0:26:12,0:31:52,0:31:18,0:24:53,0:22:36,57.7%,51.5%,-60.1%,-39.2%,-3.2%,-6.8%,-5.5%,-6.3%,"1,482","1,668"
SOUTHEAST BU,"03 - GA, FL",93,960,5.2%,7.6%,4.2%,11.8%,0:36:48,0:32:30,0:28:46,0:28:04,0:18:18,0:17:36,42.4%,48.0%,-75.7%,-54.5%,5.4%,8.7%,9.4%,9.8%,903,414
SOUTHWEST BU,"13 - LA, MS",129,961,26.2%,18.2%,13.0%,20.8%,0:31:09,0:30:28,0:11:26,0:13:01,0:12:08,0:17:19,25.5%,38.5%,334.7%,28.2%,31.4%,19.2%,12.7%,20.7%,"1,212","1,102"
WEST BU,54 - Rocky Mountain,389,962,8.3%,9.6%,-3.6%,7.9%,0:28:02,0:27:39,0:37:11,0:38:51,0:28:17,0:29:31,50.0%,50.0%,-10.5%,16.4%,9.5%,15.0%,-7.8%,6.7%,"2,418","2,263"
SOUTHWEST BU,05 - Dallas,48,963,12.0%,4.6%,3.0%,6.2%,0:16:57,0:16:38,0:25:56,0:28:34,0:19:35,0:18:55,72.0%,77.2%,-27.1%,-38.9%,7.4%,5.2%,12.1%,12.6%,503,610
SOUTHWEST BU,07 - W TX / N NM,505,964,5.4%,6.7%,9.1%,5.7%,0:31:15,0:29:22,0:33:40,0:33:47,0:26:17,0:25:49,70.5%,77.8%,-36.4%,-50.8%,8.3%,4.8%,3.9%,3.7%,573,240
NORTH BU,53 - WISCONSIN,438,965,16.0%,14.1%,10.7%,11.4%,0:09:53,0:11:34,0:31:43,0:34:52,0:23:57,0:25:42,80.4%,77.1%,109.1%,88.0%,25.4%,11.2%,-5.6%,3.8%,288,354
SOUTHWEST BU,46 - Phoenix,375,966,12.5%,13.6%,13.1%,10.0%,0:35:22,0:38:53,0:34:17,0:31:58,0:21:21,0:21:52,63.5%,52.1%,-57.5%,-60.0%,6.5%,9.8%,19.1%,10.9%,"1,155","1,514"
SOUTHEAST BU,"03 - GA, FL",104,967,18.2%,14.5%,14.2%,14.7%,0:16:41,0:17:54,0:28:34,0:28:26,0:17:01,0:17:03,71.3%,70.0%,-6.6%,-19.6%,27.8%,17.9%,7.4%,11.0%,16,16
SOUTHWEST BU,"13 - LA, MS",143,969,22.8%,12.5%,18.2%,20.0%,0:26:12,0:31:23,0:40:31,0:42:18,0:26:26,0:22:18,65.5%,65.3%,-22.5%,-19.3%,22.4%,15.0%,18.4%,20.6%,138,127
SOUTHWEST BU,"13 - LA, MS",143,970,7.3%,4.0%,8.1%,4.5%,0:37:56,0:39:02,0:39:52,0:38:08,0:19:41,0:19:23,69.2%,66.8%,-35.1%,-44.4%,2.5%,2.5%,7.9%,3.0%,585,761
SOUTHWEST BU,05 - Dallas,479,972,-9.7%,-10.1%,-19.8%,-19.0%,0:31:04,0:25:52,0:27:44,0:27:31,0:09:48,0:13:16,39.0%,58.9%,-43.5%,-40.5%,-14.7%,-7.4%,-27.4%,-24.9%,"2,428","2,143"
SOUTHEAST BU,09 - S. Florida,92,973,12.4%,-3.7%,14.8%,-6.6%,0:21:02,0:21:45,0:32:12,0:30:22,0:28:52,0:29:29,40.7%,37.2%,2.1%,-41.5%,-2.5%,-11.3%,29.8%,-2.9%,935,"1,698"
SOUTHEAST BU,09 - S. Florida,92,974,13.6%,4.8%,50.4%,35.1%,0:17:33,0:22:27,0:34:05,0:33:45,0:35:53,0:33:09,45.0%,38.7%,234.6%,64.2%,-8.4%,-12.3%,170.7%,184.5%,256,795
SOUTHWEST BU,"44 - Oklahoma, N TX",350,975,5.6%,3.0%,0.5%,5.1%,0:18:56,0:17:42,0:25:57,0:28:56,0:25:41,0:27:03,73.9%,74.0%,20.5%,-14.1%,3.6%,-3.8%,-2.3%,15.2%,647,542
SOUTHEAST BU,"42 - AR, MO, LA",135,976,0.6%,-2.7%,-0.5%,5.7%,0:13:10,0:11:57,0:14:23,0:14:07,0:11:43,0:11:30,41.7%,61.3%,-80.5%,-83.0%,-10.2%,-9.8%,6.5%,9.5%,"1,928","1,465"
WEST BU,47 - Frontier,406,978,0.0%,-8.2%,-1.8%,-2.0%,0:20:27,0:20:12,0:30:32,0:31:37,0:19:24,0:20:11,77.3%,72.0%,-57.1%,-49.6%,10.1%,-13.7%,4.6%,7.7%,"1,904","2,095"
NORTH BU,53 - WISCONSIN,438,979,-7.4%,-11.4%,-16.3%,-24.7%,0:10:32,0:12:27,0:39:55,0:39:20,0:28:58,0:29:48,75.7%,75.7%,-56.1%,-52.4%,-10.3%,-10.1%,-24.8%,-35.6%,"2,417","2,492"
WEST BU,54 - Rocky Mountain,378,980,7.9%,6.6%,5.8%,8.3%,0:11:49,0:14:07,0:40:34,0:42:25,0:31:44,0:31:01,81.0%,76.7%,-2.2%,38.1%,-7.9%,0.4%,12.5%,7.9%,"1,338","1,388"
SOUTHEAST BU,11 - Memphis,138,981,-3.3%,-0.2%,-1.4%,-3.9%,0:26:43,0:30:01,0:30:51,0:32:14,0:18:51,0:19:52,63.3%,52.9%,-59.1%,-57.8%,-14.9%,-7.8%,1.9%,4.4%,"1,873","2,088"
NORTH BU,53 - WISCONSIN,425,982,9.4%,12.2%,18.5%,15.4%,0:10:07,0:12:25,0:23:24,0:27:49,0:19:51,0:20:40,87.5%,82.5%,-21.3%,27.2%,1.6%,8.7%,25.3%,19.4%,932,686
WEST BU,54 - Rocky Mountain,376,984,4.8%,2.3%,-1.2%,6.4%,0:16:50,0:18:16,0:35:48,0:39:51,0:25:53,0:25:14,97.1%,97.3%,-3.3%,-29.1%,-3.1%,-8.2%,9.0%,9.8%,818,823
SOUTHEAST BU,09 - S. Florida,105,987,0.9%,0.3%,3.3%,2.8%,0:22:55,0:23:02,0:40:40,0:37:57,0:29:51,0:29:54,45.5%,48.3%,-56.4%,-37.1%,-2.5%,-0.2%,4.0%,8.4%,"1,053",963
SOUTHEAST BU,"14 - AL, FL",14,990,12.1%,6.5%,-0.3%,-1.6%,0:38:34,0:33:24,0:35:24,0:35:18,0:28:51,0:28:02,51.1%,51.8%,-6.3%,-6.7%,11.2%,6.1%,0.6%,-1.1%,"1,133","1,265"
SOUTHEAST BU,"14 - AL, FL",1,991,19.1%,19.1%,23.8%,20.8%,0:15:19,0:16:25,0:16:41,0:18:42,0:13:53,0:15:16,72.6%,71.5%,6.5%,16.2%,29.3%,22.2%,26.7%,25.8%,52,97
SOUTHWEST BU,"44 - Oklahoma, N TX",356,992,11.6%,9.3%,18.6%,12.1%,0:23:53,0:24:02,0:26:22,0:25:18,0:15:42,0:15:50,50.0%,54.9%,-58.7%,-45.1%,26.1%,3.2%,18.7%,16.6%,"1,312","1,126"
WEST BU,47 - Frontier,407,993,34.1%,20.7%,41.5%,35.3%,0:37:14,0:32:45,0:41:48,0:35:30,0:26:57,0:24:21,80.6%,82.3%,-38.8%,-39.8%,34.6%,16.8%,63.8%,46.1%,553,568
SOUTHEAST BU,"03 - GA, FL",104,994,-21.9%,-17.4%,-16.6%,-20.3%,0:27:23,0:28:12,0:36:44,0:31:36,0:32:35,0:32:41,34.8%,40.8%,-43.5%,-39.5%,-35.7%,-23.9%,-0.4%,-12.6%,"1,886","1,744"
NORTH BU,41 - Indy / KY,251,995,3.3%,2.6%,5.5%,2.7%,0:32:25,0:29:32,0:42:33,0:41:52,0:31:07,0:31:09,46.7%,52.0%,3.8%,-20.1%,7.6%,4.5%,4.7%,0.6%,"2,496","2,464"
SOUTHWEST BU,07 - W TX / N NM,86,999,8.2%,15.7%,9.3%,2.9%,0:54:16,0:53:00,0:35:32,0:34:30,0:24:17,0:21:30,50.6%,59.6%,-32.9%,-27.1%,4.1%,20.9%,5.5%,-0.1%,"1,947","1,051"
SOUTHWEST BU,06 - South Texas,569,1000,-3.6%,-1.6%,4.9%,4.2%,0:41:06,0:36:49,0:36:09,0:36:02,0:25:35,0:25:02,39.8%,44.6%,-78.8%,-78.8%,-9.3%,-11.9%,11.9%,8.1%,"1,727","1,170"
WEST BU,54 - Rocky Mountain,389,1001,21.7%,10.8%,10.8%,3.6%,0:20:49,0:23:16,0:28:30,0:30:22,0:21:13,0:21:23,74.7%,63.4%,-65.6%,-54.9%,54.7%,20.0%,3.3%,2.7%,"1,039","1,506"
NORTH BU,41 - Indy / KY,580,1002,2.2%,1.2%,-5.1%,1.2%,0:33:26,0:30:11,0:31:17,0:30:46,0:24:41,0:23:00,56.8%,59.5%,-73.4%,-52.0%,-13.5%,-7.2%,0.9%,5.3%,"2,275","1,958"
NORTH BU,25 - Chicago / IL,262,1003,17.2%,14.2%,13.0%,10.1%,0:15:38,0:15:36,0:28:25,0:30:08,0:17:07,0:16:55,64.7%,65.4%,86.4%,92.1%,19.2%,12.2%,10.5%,11.2%,934,806
SOUTHEAST BU,09 - S. Florida,115,1004,-1.4%,-8.7%,23.6%,6.7%,0:29:46,0:31:16,0:47:45,0:44:58,0:28:21,0:28:00,39.4%,38.4%,109.1%,37.0%,-9.0%,-15.6%,69.2%,17.2%,"1,847","1,924"
WEST BU,52 - MN IA,426,1005,13.3%,18.3%,9.7%,17.3%,0:08:04,0:08:57,0:35:30,0:34:43,0:18:05,0:18:17,94.5%,94.4%,21.7%,35.6%,32.0%,18.9%,10.3%,14.0%,324,166
SOUTHEAST BU,"03 - GA, FL",27,1006,12.2%,7.4%,30.0%,13.7%,0:15:47,0:17:59,0:21:58,0:25:18,0:18:41,0:19:02,72.7%,65.3%,-8.4%,0.0%,4.3%,0.3%,19.4%,10.0%,"1,177","1,696"
NORTH BU,53 - WISCONSIN,438,1007,9.4%,4.6%,20.0%,15.2%,0:11:53,0:12:06,0:33:53,0:34:33,0:21:42,0:22:48,79.1%,80.3%,-25.0%,-0.6%,12.4%,-2.6%,20.6%,18.8%,"1,201","1,432"
WEST BU,54 - Rocky Mountain,378,1008,18.9%,13.3%,20.7%,20.4%,0:20:30,0:21:46,0:39:23,0:42:18,0:28:02,0:29:29,69.8%,67.3%,11.5%,-3.9%,16.7%,9.1%,28.9%,23.5%,418,573
NORTH BU,40 - Missouri,333,1009,25.4%,13.2%,17.2%,10.4%,0:22:01,0:23:56,0:39:21,0:40:43,0:27:25,0:28:14,53.5%,51.6%,11.5%,26.2%,28.7%,6.9%,12.4%,13.1%,381,871
EAST BU,26 - North Carolina,309,1010,7.7%,4.6%,36.6%,19.8%,0:14:37,0:17:21,0:29:26,0:28:53,0:30:20,0:30:10,58.3%,49.8%,-4.0%,-39.0%,4.1%,2.4%,40.0%,21.8%,"1,232","1,645"
EAST BU,04 - South Carolina,29,1011,19.9%,14.5%,26.6%,19.7%,0:16:10,0:15:45,0:24:50,0:25:01,0:19:35,0:21:12,69.4%,71.9%,551.4%,204.1%,22.9%,10.6%,38.9%,33.7%,14,23
NORTH BU,53 - WISCONSIN,444,1012,9.9%,16.3%,41.5%,40.8%,0:19:25,0:20:57,0:45:25,0:46:16,0:32:48,0:34:45,72.9%,69.7%,258.8%,115.3%,-0.3%,13.3%,47.8%,34.0%,"1,627","1,510"
NORTH BU,40 - Missouri,361,1014,2.4%,0.4%,-2.5%,-4.5%,0:30:16,0:29:40,0:37:35,0:37:33,0:30:23,0:28:40,47.1%,45.1%,63.2%,9.4%,7.0%,-2.8%,-10.0%,-6.7%,"2,035","2,182"
SOUTHWEST BU,"13 - LA, MS",129,1016,-9.5%,-5.2%,-1.0%,-3.8%,0:30:11,0:35:44,0:25:37,0:27:34,0:17:37,0:17:54,74.0%,78.7%,-6.2%,-23.7%,-9.7%,-0.2%,-1.2%,-6.7%,"2,110","1,943"
EAST BU,04 - South Carolina,36,1017,0.1%,7.2%,-26.7%,-2.9%,0:19:00,0:20:06,0:16:38,0:19:33,0:19:03,0:19:09,66.0%,57.8%,107.5%,136.9%,18.5%,16.0%,-54.2%,-8.7%,"1,348",708
SOUTHEAST BU,"03 - GA, FL",28,1018,34.4%,21.2%,8.3%,10.6%,0:27:17,0:28:01,0:18:23,0:21:34,0:23:03,0:25:10,31.5%,42.7%,-98.5%,-83.9%,37.6%,21.1%,4.8%,11.0%,"1,942","2,016"
NORTH BU,53 - WISCONSIN,425,1020,-0.6%,4.9%,4.4%,0.1%,0:26:54,0:29:13,0:29:48,0:35:17,0:23:06,0:23:58,51.6%,49.0%,-35.0%,-32.8%,13.9%,6.7%,0.0%,-1.2%,"2,303","2,261"
NORTH BU,40 - Missouri,339,1021,-7.5%,5.4%,-3.7%,4.6%,0:41:12,0:35:51,0:27:13,0:27:54,0:28:10,0:27:00,42.2%,48.2%,-78.6%,-71.5%,-7.2%,7.2%,-8.6%,7.7%,"2,546","2,276"
SOUTHWEST BU,05 - Dallas,45,1022,2.5%,-0.8%,-6.7%,-2.0%,0:23:56,0:20:30,0:22:49,0:27:09,0:14:50,0:14:06,48.1%,61.8%,-49.2%,-40.5%,-3.3%,-2.6%,-1.2%,-1.0%,"2,102","1,716"
NORTH BU,"20 - VA, OH, PA, WV",311,1023,-0.7%,-1.8%,3.7%,1.2%,0:23:21,0:29:04,0:29:20,0:32:21,0:12:16,0:13:00,68.7%,71.2%,153.8%,37.2%,-9.0%,-5.0%,-1.3%,-1.1%,542,890
SOUTHEAST BU,02 - Atlanta GA,30,1024,7.7%,5.6%,-1.7%,-0.4%,0:49:02,0:47:06,0:17:04,0:15:27,0:19:58,0:16:18,15.4%,18.3%,-93.8%,-61.9%,11.8%,4.2%,0.5%,-3.0%,"2,255","2,215"
SOUTHWEST BU,"13 - LA, MS",141,1025,3.1%,-2.5%,-12.7%,-7.2%,0:52:54,0:48:55,0:45:11,0:33:09,0:29:42,0:24:27,33.9%,35.7%,261.7%,-5.2%,-4.3%,-5.5%,-10.7%,-3.6%,"2,362","2,330"
NORTH BU,41 - Indy / KY,580,1026,6.6%,2.3%,-4.5%,2.1%,0:34:25,0:30:30,0:19:15,0:22:24,0:10:34,0:11:44,38.4%,42.4%,11.1%,51.4%,13.8%,-1.0%,-15.5%,-1.9%,"1,122",995
EAST BU,26 - North Carolina,306,1027,6.0%,1.9%,13.7%,0.4%,0:11:20,0:12:28,0:24:07,0:23:44,0:18:49,0:19:07,72.3%,67.9%,-47.0%,-54.8%,-0.9%,3.8%,20.7%,0.1%,192,480
NORTH BU,25 - Chicago / IL,278,1028,-27.9%,-8.3%,-33.8%,-11.8%,0:32:48,0:30:07,0:29:41,0:30:36,0:21:07,0:23:12,39.1%,42.0%,-52.6%,-51.4%,-18.0%,-3.5%,-31.7%,-9.5%,"2,570","2,566"
EAST BU,04 - South Carolina,42,1030,-1.5%,-2.3%,-9.9%,-3.7%,0:33:33,0:33:01,0:41:15,0:34:51,0:23:17,0:21:14,50.0%,55.6%,-53.4%,9.3%,5.9%,-2.4%,-3.4%,-0.4%,"2,299","1,920"
NORTH BU,41 - Indy / KY,243,1033,7.3%,8.5%,9.2%,7.5%,0:13:33,0:14:17,0:24:01,0:25:12,0:20:33,0:20:34,76.1%,72.1%,15.5%,44.6%,5.3%,9.2%,2.5%,6.3%,251,180
EAST BU,26 - North Carolina,305,1034,7.2%,3.5%,5.5%,0.6%,0:24:51,0:24:43,0:29:04,0:27:18,0:20:10,0:18:56,59.7%,51.8%,-18.0%,-7.4%,6.5%,7.1%,-1.3%,-4.0%,"1,251","1,524"
EAST BU,04 - South Carolina,42,1035,-8.9%,-10.0%,-30.0%,-27.0%,0:20:38,0:22:13,0:46:01,0:40:22,0:23:20,0:21:23,65.5%,63.7%,-60.7%,-21.8%,0.5%,-8.5%,-34.4%,-32.2%,"2,169","2,030"
EAST BU,04 - South Carolina,294,1036,-0.8%,2.4%,0.4%,-1.3%,0:13:52,0:14:58,0:16:07,0:16:50,0:14:02,0:14:37,62.9%,64.3%,-71.5%,-57.7%,-8.4%,-1.6%,-3.2%,-1.6%,883,709
EAST BU,04 - South Carolina,33,1037,20.0%,0.4%,37.6%,-6.7%,0:44:44,0:40:42,0:12:22,0:11:55,0:18:54,0:18:44,29.0%,30.3%,-37.6%,-29.3%,35.8%,8.7%,15.0%,-6.3%,645,"1,954"
EAST BU,26 - North Carolina,304,1039,0.1%,-3.8%,1.0%,0.2%,0:24:10,0:29:01,0:37:39,0:39:04,0:25:10,0:25:28,54.5%,50.6%,1.7%,-18.6%,5.0%,-3.9%,0.0%,-2.7%,"1,210","1,715"
SOUTHWEST BU,06 - South Texas,65,1040,16.0%,15.4%,20.8%,16.2%,0:16:37,0:21:30,0:25:09,0:26:36,0:16:30,0:17:51,73.3%,64.3%,-64.6%,-49.7%,12.2%,10.0%,25.4%,20.2%,26,75
