Store Info,FY24 Assemblers ,Supplier Status ,Furniture <$150 ,Furniture $150-$350,Furniture $350-$500,Furniture >$500
661,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
662,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,26,36,46,60
662,M&C Assembly,Preferred,27.5,38.5,49.5,71.5
662,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
663,Turf Masters Property Management LLC,Secondary,10,20,35,45
663,TROC,Secondary,24.24,33.33,42.42,57.57
663,M&C Assembly,Preferred,27.5,38.5,49.5,71.5
664,ALL STAR ASSEMBLY LLC,Secondary,19.5,26.5,36.5,46.99
664,TROC,Preferred,26.08,35.86,45.64,61.94
664,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
665,TROC,Secondary,24.24,33.33,42.42,57.57
665,M&C Assembly,Secondary,41.25,57.75,74.25,107.25
665,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
666,Obscure Rides,Secondary,16.5,19.5,23.5,26.5
666,PRO SERV ASSEMBLY SERVICE INC,Preferred,25,40,55,75
666,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
667,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,26,36,46,60
667,M&C Assembly,Secondary,41.25,57.75,74.25,107.25
667,"National Assemblers, Inc.",Preferred,23.88,36.12,38.9,52.79
668,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,26,36,46,60
668,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
668,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
669,Turf Masters Property Management LLC,Secondary,10,20,35,45
669,TROC,Secondary,24.24,33.33,42.42,57.57
669,M&C Assembly,Preferred,27.5,38.5,49.5,71.5
670,TROC,Secondary,24.24,33.33,42.42,57.57
670,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
670,"National Assemblers, Inc.",Preferred,20.4,30.85,33.23,45.09
671,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,26,36,46,60
671,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
671,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
672,Turf Masters Property Management LLC,Secondary,10,20,35,45
672,TROC,Secondary,24.24,33.33,42.42,57.57
672,"National Assemblers, Inc.",Preferred,22.45,33.96,36.57,49.63
673,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,26,36,46,60
673,M&C Assembly,Secondary,41.25,57.75,74.25,107.25
673,"National Assemblers, Inc.",Preferred,22.45,33.96,36.57,49.63
674,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,26,36,46,60
674,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
674,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
675,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,26,36,46,60
675,TROC,Secondary,24.24,33.33,42.42,57.57
675,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
676,TROC,Preferred,24.24,33.33,42.42,57.57
676,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
676,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
677,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,26,36,46,60
677,TROC,Secondary,24.24,33.33,42.42,57.57
677,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
678,Turf Masters Property Management LLC,Secondary,10,20,35,45
678,TROC,Secondary,24.24,33.33,42.42,57.57
678,"National Assemblers, Inc.",Preferred,23.88,36.12,38.9,52.79
680,Turf Masters Property Management LLC,Secondary,10,20,35,45
680,TROC,Secondary,24.24,33.33,42.42,57.57
680,"National Assemblers, Inc.",Preferred,24.49,37.05,39.89,54.14
681,TROC,Secondary,24.24,33.33,42.42,57.57
681,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
681,"National Assemblers, Inc.",Preferred,20.4,30.85,33.23,45.09
682,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,26,36,46,60
682,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
682,"National Assemblers, Inc.",Preferred,23.88,36.12,38.9,52.79
683,TROC,Secondary,24.24,33.33,42.42,57.57
683,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,26,36,46,60
683,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
684,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,26,36,46,60
684,TROC,Secondary,24.24,33.33,42.42,57.57
684,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
685,Turf Masters Property Management LLC,Secondary,10,20,35,45
685,TROC,Secondary,24.24,33.33,42.42,57.57
685,"National Assemblers, Inc.",Preferred,23.88,36.12,38.9,52.79
686,Coretech,Secondary,25,35,45,70
686,M&C Assembly,Secondary,41.25,57.75,74.25,107.25
686,"National Assemblers, Inc.",Preferred,22.45,33.96,36.57,49.63
687,TROC,Preferred,24.24,33.33,42.42,57.57
687,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
687,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
688,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,26,36,46,60
688,M&C Assembly,Secondary,41.25,57.75,74.25,107.25
688,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
689,TROC,Preferred,24.24,33.33,42.42,57.57
689,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
689,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
690,TROC,Secondary,24.24,33.33,42.42,57.57
690,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
690,"National Assemblers, Inc.",Preferred,23.88,36.12,38.9,52.79
691,TROC,Secondary,24.24,33.33,42.42,57.57
691,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
691,"National Assemblers, Inc.",Preferred,20.4,30.85,33.23,45.09
692,Coretech,Secondary,25,35,45,70
692,TROC,Secondary,24.24,33.33,42.42,57.57
692,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
693,TROC,Secondary,24.24,33.33,42.42,57.57
693,M&C Assembly,Secondary,41.25,57.75,74.25,107.25
693,"National Assemblers, Inc.",Preferred,22.45,33.96,36.57,49.63
694,TROC,Secondary,24.24,33.33,42.42,57.57
694,M&C Assembly,Secondary,41.25,57.75,74.25,107.25
694,"National Assemblers, Inc.",Preferred,25.52,38.59,41.56,56.4
695,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,26,36,46,60
695,M&C Assembly,Secondary,41.25,57.75,74.25,107.25
695,"National Assemblers, Inc.",Preferred,22.45,33.96,36.57,49.63
696,TROC,Preferred,24.24,33.33,42.42,57.57
696,M&C Assembly,Secondary,41.25,57.75,74.25,107.25
696,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
697,Zeb's Assembly LLC,Secondary,14.17,24.17,34.17,44.17
697,TROC,Preferred,24.56,33.77,42.98,58.33
697,"National Assemblers, Inc.",Secondary,19.38,29.31,31.57,42.84
698,Turf Masters Property Management LLC,Secondary,10,20,35,45
698,TROC,Secondary,24.24,33.33,42.42,57.57
698,M&C Assembly,Preferred,27.5,38.5,49.5,71.5
699,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,26,36,46,60
699,TROC,Secondary,24.24,33.33,42.42,57.57
699,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
700,TROC,Secondary,24.24,33.33,42.42,57.57
700,M&C Assembly,Preferred,27.5,38.5,49.5,71.5
700,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
701,TROC,Secondary,24.24,33.33,42.42,57.57
701,M&C Assembly,Secondary,41.25,57.75,74.25,107.25
701,"National Assemblers, Inc.",Preferred,25.52,38.59,41.56,56.4
702,TROC,Secondary,24.24,33.33,42.42,57.57
702,M&C Assembly,Secondary,41.25,57.75,74.25,107.25
702,"National Assemblers, Inc.",Preferred,22.45,33.96,36.57,49.63
703,TROC,Secondary,24.24,33.33,42.42,57.57
703,Economy Care Services,Secondary,22.98,28.01,37.5,56
703,"National Assemblers, Inc.",Preferred,22.45,33.96,36.57,49.63
705,Obscure Rides,Secondary,16.5,19.5,23.5,26.5
705,PRO SERV ASSEMBLY SERVICE INC,Preferred,25,40,55,75
705,"National Assemblers, Inc.",Secondary,19.38,29.31,31.57,42.84
706,Obscure Rides,Secondary,16.5,19.5,23.5,26.5
706,PRO SERV ASSEMBLY SERVICE INC,Preferred,25,40,55,75
706,TROC,Secondary,24.24,33.33,42.42,57.57
707,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,26,36,46,60
707,TROC,Secondary,24.24,33.33,42.42,57.57
707,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
708,TROC,Secondary,24.24,33.33,42.42,57.57
708,M&C Assembly,Preferred,27.5,38.5,49.5,71.5
708,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
709,TROC,Secondary,24.24,33.33,42.42,57.57
709,M&C Assembly,Secondary,41.25,57.75,74.25,107.25
709,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
710,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,26,36,46,60
710,M&C Assembly,Secondary,41.25,57.75,74.25,107.25
710,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
711,TROC,Secondary,24.24,33.33,42.42,57.57
711,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
711,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
712,Coretech,Secondary,25,35,45,70
712,M&C Assembly,Preferred,27.5,38.5,49.5,71.5
712,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
713,Obscure Rides,Secondary,16.5,19.5,23.5,26.5
713,PRO SERV ASSEMBLY SERVICE INC,Preferred,25,40,55,75
713,TROC,Secondary,24.24,33.33,42.42,57.57
714,TROC,Secondary,24.24,33.33,42.42,57.57
714,Economy Care Services,Preferred,22.98,28.01,37.5,48
714,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
715,TROC,Secondary,24.24,33.33,42.42,57.57
715,M&C Assembly,Preferred,27.5,38.5,49.5,71.5
715,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
716,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,26,36,46,60
716,TROC,Secondary,24.24,33.33,42.42,57.57
716,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
718,PRO SERV ASSEMBLY SERVICE INC,Preferred,25,40,55,75
718,Obscure Rides,Secondary,16.5,19.5,23.5,26.5
718,"National Assemblers, Inc.",Secondary,19.38,29.31,31.57,42.84
719,Coretech,Secondary,25,35,45,70
719,TROC,Secondary,24.24,33.33,42.42,57.57
719,"National Assemblers, Inc.",Preferred,22.45,33.96,36.57,49.63
720,Coretech,Secondary,25,35,45,70
720,TROC,Secondary,24.24,33.33,42.42,57.57
720,"National Assemblers, Inc.",Preferred,22.45,33.96,36.57,49.63
721,Obscure Rides,Secondary,16.5,19.5,23.5,26.5
721,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
721,"National Assemblers, Inc.",Preferred,19.38,29.31,31.57,42.84
722,"Backpedal Co, LLC",Preferred,28,30,40,60
722,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
722,"National Assemblers, Inc.",Secondary,20.4,30.85,33.23,45.09
723,TROC,Preferred,26.64,36.63,46.62,63.27
723,ADVANCED RETAIL SYSTEMS LLC,Secondary,35,45,65,85
723,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
724,Turf Masters Property Management LLC,Secondary,10,20,35,45
724,TROC,Secondary,24.24,33.33,42.42,57.57
724,"National Assemblers, Inc.",Preferred,24.49,37.05,39.89,54.14
725,PRO SERV ASSEMBLY SERVICE INC,Preferred,25,40,55,75
725,Obscure Rides,Secondary,16.5,19.5,23.5,26.5
725,"National Assemblers, Inc.",Secondary,19.38,29.31,31.57,42.84
726,TROC,Secondary,24.24,33.33,42.42,57.57
726,M&C Assembly,Preferred,27.5,38.5,49.5,71.5
726,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
727,"Backpedal Co, LLC",Preferred,28,30,40,60
727,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
727,"National Assemblers, Inc.",Secondary,20.4,30.85,33.23,45.09
728,Coretech,Secondary,25,35,45,70
728,M&C Assembly,Preferred,41.25,57.75,74.25,107.25
728,"National Assemblers, Inc.",Secondary,20.4,30.85,33.23,45.09
729,TROC,Secondary,24.24,33.33,42.42,57.57
729,M&C Assembly,Secondary,41.25,57.75,74.25,107.25
729,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
730,TROC,Secondary,24.24,33.33,42.42,57.57
730,M&C Assembly,Preferred,27.5,38.5,49.5,71.5
730,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
731,TROC,Secondary,24.24,33.33,42.42,57.57
731,M&C Assembly,Preferred,27.5,38.5,49.5,71.5
731,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
733,TROC,Secondary,24.24,33.33,42.42,57.57
733,M&C Assembly,Preferred,27.5,38.5,49.5,71.5
733,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
734,TROC,Preferred,26.64,36.63,46.62,63.27
734,ADVANCED RETAIL SYSTEMS LLC,Secondary,35,45,65,85
734,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
735,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,26,36,46,60
735,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
735,"National Assemblers, Inc.",Preferred,23.88,36.12,38.9,52.79
736,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,26,36,46,60
736,TROC,Secondary,24.24,33.33,42.42,57.57
736,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
737,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,26,36,46,60
737,M&C Assembly,Secondary,41.25,57.75,74.25,107.25
737,"National Assemblers, Inc.",Preferred,23.88,36.12,38.9,52.79
738,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,26,36,46,60
738,TROC,Secondary,24.24,33.33,42.42,57.57
738,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
739,TROC,Preferred,24.24,33.33,42.42,57.57
739,M&C Assembly,Secondary,41.25,57.75,74.25,107.25
739,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
740,TROC,Preferred,26.64,36.63,46.62,63.27
740,ADVANCED RETAIL SYSTEMS LLC,Secondary,35,45,65,85
740,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
741,TROC,Preferred,24.24,33.33,42.42,57.57
741,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
741,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
742,TROC,Secondary,24.24,33.33,42.42,57.57
742,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
742,"National Assemblers, Inc.",Preferred,23.88,36.12,38.9,52.79
743,Economy Care Services,Secondary,22.98,28.01,37.5,56
743,TROC,Secondary,24.24,33.33,42.42,57.57
743,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
744,TROC,Secondary,24.24,33.33,42.42,57.57
744,Economy Care Services,Secondary,22.98,28.01,37.5,56
744,"National Assemblers, Inc.",Preferred,20.4,30.85,33.23,45.09
745,"Backpedal Co, LLC",Preferred,28,30,40,60
745,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
745,"National Assemblers, Inc.",Secondary,19.38,29.31,31.57,42.84
746,"Backpedal Co, LLC",Preferred,28,30,40,60
746,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
746,"National Assemblers, Inc.",Secondary,19.38,29.31,31.57,42.84
747,TROC,Secondary,24.24,33.33,42.42,57.57
747,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
747,"National Assemblers, Inc.",Preferred,25.52,38.59,41.56,56.4
748,TROC,Secondary,24.24,33.33,42.42,57.57
748,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
748,"National Assemblers, Inc.",Preferred,23.88,36.12,38.9,52.79
749,TROC,Secondary,24.24,33.33,42.42,57.57
749,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
749,"National Assemblers, Inc.",Preferred,23.88,36.12,38.9,52.79
750,TROC,Secondary,24.24,33.33,42.42,57.57
750,Tec Assembly Inc,Secondary,25,30,40,50
750,"National Assemblers, Inc.",Preferred,23.88,36.12,38.9,52.79
751,TROC,Secondary,24.24,33.33,42.42,57.57
751,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
751,"National Assemblers, Inc.",Preferred,23.88,36.12,38.9,52.79
752,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
752,INSTALLER PRO,Secondary,25,32,45,60
752,"National Assemblers, Inc.",Preferred,20.4,30.85,33.23,45.09
753,TROC,Secondary,24.24,33.33,42.42,57.57
753,Tec Assembly Inc,Secondary,25,30,40,50
753,"National Assemblers, Inc.",Preferred,23.88,36.12,38.9,52.79
754,TROC,Preferred,24.24,33.33,42.42,57.57
754,"Backpedal Co, LLC",Secondary,28,30,40,60
754,"National Assemblers, Inc.",Secondary,20.4,30.85,33.23,45.09
755,TROC,Preferred,24.24,33.33,42.42,57.57
755,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
755,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
756,Turf Masters Property Management LLC,Secondary,10,20,35,45
756,TROC,Secondary,24.24,33.33,42.42,57.57
756,M&C Assembly,Preferred,27.5,38.5,49.5,71.5
757,TROC,Secondary,24.24,33.33,42.42,57.57
757,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
757,"National Assemblers, Inc.",Preferred,20.4,30.85,33.23,45.09
758,TROC,Secondary,24.24,33.33,42.42,57.57
758,ADVANCED RETAIL SYSTEMS LLC,Secondary,35,45,65,85
758,"Backpedal Co, LLC",Preferred,28,30,40,60
759,PRO SERV ASSEMBLY SERVICE INC,Preferred,25,40,55,75
759,Obscure Rides,Secondary,16.5,19.5,23.5,26.5
759,"National Assemblers, Inc.",Secondary,19.38,29.31,31.57,42.84
760,TROC,Secondary,24.24,33.33,42.42,57.57
760,M&C Assembly,Secondary,41.25,57.75,74.25,107.25
760,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
761,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
761,Economy Care Services,Preferred,22.98,28.01,37.5,48
761,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
762,TROC,Secondary,24.24,33.33,42.42,57.57
762,M&C Assembly,Preferred,27.5,38.5,49.5,71.5
762,"National Assemblers, Inc.",Secondary,20.4,30.85,33.23,45.09
764,TROC,Secondary,24.24,33.33,42.42,57.57
764,M&C Assembly,Preferred,27.5,38.5,49.5,71.5
764,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
765,"Backpedal Co, LLC",Secondary,28,30,40,60
765,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
765,"National Assemblers, Inc.",Preferred,20.4,30.85,33.23,45.09
766,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,26,36,46,60
766,M&C Assembly,Preferred,27.5,38.5,49.5,71.5
766,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
767,Zeb's Assembly LLC,Secondary,14.17,24.17,34.17,44.17
767,M&C Assembly,Preferred,27.5,38.5,49.5,71.5
767,"National Assemblers, Inc.",Secondary,19.38,29.31,31.57,42.84
768,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
768,INSTALLER PRO,Secondary,25,32,45,60
768,"National Assemblers, Inc.",Preferred,20.4,30.85,33.23,45.09
769,Obscure Rides,Secondary,16.5,19.5,23.5,26.5
769,PRO SERV ASSEMBLY SERVICE INC,Preferred,25,40,55,75
769,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
770,ALL STAR ASSEMBLY LLC,Secondary,19.5,26.5,36.5,46.99
770,TROC,Preferred,26.08,35.86,45.64,61.94
770,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
771,PRO SERV ASSEMBLY SERVICE INC,Secondary,25,40,55,75
771,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
771,"National Assemblers, Inc.",Preferred,20.4,30.85,33.23,45.09
772,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
772,INSTALLER PRO,Secondary,25,32,45,60
772,"National Assemblers, Inc.",Preferred,22.45,33.96,36.57,49.63
773,SOUND ASSEMBLY SERVICES,Preferred,15,35,55,85
773,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
773,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
774,"NW Service Enterprises, Inc",Preferred,16,37.25,50.55,71.3
774,TROC,Secondary,24.24,33.33,42.42,57.57
774,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
775,"ULTIMATE ASSEMBLY, LLC",Secondary,25,32.5,43.5,55
775,TROC,Secondary,24.24,33.33,42.42,57.57
775,"National Assemblers, Inc.",Preferred,23.88,36.12,38.9,52.79
776,"NW Service Enterprises, Inc",Preferred,16,37.25,50.55,71.3
776,TROC,Secondary,24.24,33.33,42.42,57.57
776,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
777,TROC,Secondary,24.24,33.33,42.42,57.57
777,Economy Care Services,Preferred,22.98,28.01,37.5,56
777,"National Assemblers, Inc.",Secondary,20.4,30.85,33.23,45.09
778,Obscure Rides,Secondary,16.5,19.5,23.5,26.5
778,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
778,"National Assemblers, Inc.",Preferred,19.38,29.31,31.57,42.84
779,PRO SERV ASSEMBLY SERVICE INC,Preferred,25,40,55,75
779,Obscure Rides,Secondary,16.5,19.5,23.5,26.5
779,"National Assemblers, Inc.",Secondary,19.38,29.31,31.57,42.84
780,TROC,Secondary,24.24,33.33,42.42,57.57
780,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
780,"National Assemblers, Inc.",Preferred,20.4,30.85,33.23,45.09
781,"Backpedal Co, LLC",Preferred,28,30,40,60
781,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
781,"National Assemblers, Inc.",Secondary,19.38,29.31,31.57,42.84
782,TROC,Preferred,26.64,36.63,46.62,63.27
782,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
782,"National Assemblers, Inc.",Secondary,20.4,30.85,33.23,45.09
783,TROC,Preferred,24.24,33.33,42.42,57.57
783,"National Assemblers, Inc.",Secondary,25.52,38.59,41.56,56.4
784,TROC,Secondary,24.24,33.33,42.42,57.57
784,Tec Assembly Inc,Preferred,25,30,40,50
784,"National Assemblers, Inc.",Secondary,25.52,38.59,41.56,56.4
785,TROC,Secondary,24.24,33.33,42.42,57.57
785,M&C Assembly,Preferred,27.5,38.5,49.5,71.5
785,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
786,TROC,Secondary,24.24,33.33,42.42,57.57
786,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
786,"National Assemblers, Inc.",Preferred,25.52,38.59,41.56,56.4
787,"Backpedal Co, LLC",Preferred,28,30,40,60
787,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
787,"National Assemblers, Inc.",Secondary,20.4,30.85,33.23,45.09
788,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,26,36,46,60
788,Economy Care Services,Preferred,22.98,28.01,37.5,48
788,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
789,TROC,Secondary,24.24,33.33,42.42,57.57
789,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
789,"National Assemblers, Inc.",Preferred,20.4,30.85,33.23,45.09
790,"NW Service Enterprises, Inc",Preferred,16,37.25,63.85,71.3
790,TROC,Secondary,24.24,33.33,42.42,57.57
790,"National Assemblers, Inc.",Secondary,25.52,38.59,41.56,56.4
791,TROC,Secondary,24.24,33.33,42.42,57.57
791,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
791,"National Assemblers, Inc.",Preferred,20.4,30.85,33.23,45.09
792,"ULTIMATE ASSEMBLY, LLC",Secondary,25,32.5,43.5,55
792,TROC,Secondary,24.24,33.33,42.42,57.57
792,"National Assemblers, Inc.",Preferred,23.88,36.12,38.9,52.79
793,TROC,Preferred,24.24,33.33,42.42,57.57
793,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
793,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
794,ALL STAR ASSEMBLY LLC,Preferred,19.5,26.5,36.5,46.99
794,TROC,Secondary,24.24,33.33,42.42,57.57
794,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
795,TROC,Preferred,24.64,33.88,43.12,58.52
795,"Backpedal Co, LLC",Secondary,28,30,40,60
795,"National Assemblers, Inc.",Secondary,20.4,30.85,33.23,45.09
796,"ULTIMATE ASSEMBLY, LLC",Secondary,25,32.5,43.5,55
796,TROC,Secondary,24.24,33.33,42.42,57.57
796,"National Assemblers, Inc.",Preferred,23.88,36.12,38.9,52.79
797,TROC,Secondary,24.24,33.33,42.42,57.57
797,Tec Assembly Inc,Preferred,25,30,40,50
797,"National Assemblers, Inc.",Secondary,25.52,38.59,41.56,56.4
798,ALLIED ASSEMBLY INC,Secondary,17.45,28.3,56.52,79
798,TROC,Secondary,24.24,33.33,42.42,57.57
798,"National Assemblers, Inc.",Preferred,25.52,38.59,41.56,56.4
799,ALL STAR ASSEMBLY LLC,Secondary,19.5,26.5,36.5,46.99
799,TROC,Preferred,26.08,35.86,45.64,61.94
799,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
800,Obscure Rides,Secondary,16.5,19.5,23.5,26.5
800,PRO SERV ASSEMBLY SERVICE INC,Preferred,25,40,55,75
800,"National Assemblers, Inc.",Secondary,19.38,29.31,31.57,42.84
801,ALL STAR ASSEMBLY LLC,Preferred,19.5,26.5,36.5,46.99
801,TROC,Secondary,24.24,33.33,42.42,57.57
801,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
802,TROC,Secondary,24.24,33.33,42.42,57.57
802,Tec Assembly Inc,Secondary,25,30,40,50
802,"National Assemblers, Inc.",Preferred,24.49,37.05,39.89,54.14
803,TROC,Secondary,24.24,33.33,42.42,57.57
803,M&C Assembly,Preferred,27.5,38.5,49.5,71.5
803,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
804,TROC,Secondary,24.24,33.33,42.42,57.57
804,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
804,"National Assemblers, Inc.",Preferred,20.4,30.85,33.23,45.09
805,TROC,Secondary,24.94,34.29,43.65,59.23
805,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
805,"National Assemblers, Inc.",Preferred,23.88,36.12,38.9,52.79
806,SOUND ASSEMBLY SERVICES,Secondary,15,35,55,85
806,TROC,Secondary,24.24,33.33,42.42,57.57
806,"National Assemblers, Inc.",Preferred,23.88,36.12,38.9,52.79
807,TROC,Secondary,24.24,33.33,42.42,57.57
807,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
807,"National Assemblers, Inc.",Preferred,20.4,30.85,33.23,45.09
808,INSTALLER PRO,Secondary,25,32,45,60
808,Economy Care Services,Secondary,22.98,28.01,37.5,56
808,"National Assemblers, Inc.",Preferred,20.4,30.85,33.23,45.09
809,TROC,Secondary,24.24,33.33,42.42,57.57
809,M&C Assembly,Preferred,27.5,38.5,49.5,71.5
809,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
810,"NW Service Enterprises, Inc",Secondary,16,37.25,63.85,71.3
