Store Number,Serial Number,SIM Status,SIM Last Update,Acquisition Date,Manufacturer name,Model,Caliber,Firearm type,Notes,UPC
432,20S21007436,Backroom Available,3/9/2022 7:20:38 PM,2022-03-09T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004911
442,001991773,Backroom Available,6/20/2022 4:15:59 PM,2022-06-20T12:00:00,RUGER,10/22,.22 LR,RIFLE,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",736676011032
443,12A21-010021,Do Not Sell,4/12/2022 12:47:32 AM,2021-11-26T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004805
443,K606338,Do Not Sell,12/9/2020 9:22:12 PM,2017-10-19T12:00:00,SAVAGE ARMS,14,223 REM,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356177711
444,20P4101531,Do Not Sell,5/4/2021 4:44:51 PM,2020-09-29T12:00:00,KRAL (TURKEY)/TRISTAR,COBRA II,410,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986456
447,6205211,Backroom Available,11/27/2020 10:42:24 PM,2007-09-10T12:00:00,AKKAR/CHIPPA,FIELD HUNTER,20 GA,SHOTGUN,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",092786731728
451,H756828,Display Available,2/23/2021 8:58:23 PM,2012-11-13T12:00:00,SAVAGE ARMS INC./SAVAGE ARMS INC.,10,308 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",011356186782
451,V1371971,Do Not Sell,1/2/2022 9:25:35 PM,2021-11-04T12:00:00,MOSSBERG,500,410 BORE,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813501040
452,690-60778,Reserved,12/28/2021 6:48:12 PM,2012-11-14T12:00:00,Ruger,AMERICAN,270 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",736676069026
452,96802,Backroom Available,2/9/2022 3:51:26 PM,2022-02-09T12:00:00,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,93R17,17 HMR,RIFLE,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",062654968020
452,H558953,Display Available,6/15/2021 9:26:58 PM,2012-09-06T12:00:00,SAVAGE ARMS INC./SAVAGE ARMS INC.,110,270 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",011356174635
452,H581332,Backroom Available,10/20/2018 11:23:15 AM,2012-09-06T12:00:00,SAVAGE ARMS INC.,110,30-06,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",011356174642
452,NZ608057,Backroom Available,10/20/2018 1:02:39 PM,2012-04-03T12:00:00,"HAWK INDUSTRIES CO. LTD./H&R 1871, LLC",PARDNER PUMP,12 GA,SHOTGUN,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",010633051287
459,19PB3996,Do Not Sell,3/23/2020 1:44:29 PM,2020-03-03T12:00:00,ARMSAN (TURKEY)/TRISTAR,COBRA II,410,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986401
459,205472E,Do Not Sell,7/24/2020 4:30:06 PM,2020-07-24T12:00:00,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356194930
459,H70006649,Do Not Sell,8/24/2020 9:22:46 AM,2017-12-22T12:00:00,"REMINGTON ARMS COMPANY, INC.",770,7MM REM MAG,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",047700856353
459,M72060056,Do Not Sell,8/24/2020 9:23:59 AM,2014-10-01T12:00:00,"REMINGTON ARMS COMPANY, INC.",770,270 WIN,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",047700856322
459,M72125768,Do Not Sell,8/24/2020 9:22:20 AM,2015-12-22T12:00:00,REMINGTON ARMS COMPANY,770,243 WIN,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",047700856377
459,MV0482474,Do Not Sell,7/10/2020 4:26:19 PM,2020-07-10T12:00:00,MAVERICK ARMS,88,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",049533322029
459,N003267,Do Not Sell,8/24/2020 9:20:39 AM,2018-07-23T12:00:00,SAVAGE ARMS INC.,AXIS,308 WIN,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356571519
459,N614836,Do Not Sell,6/19/2020 5:09:09 PM,2020-06-19T12:00:00,SAVAGE ARMS INC./&NBSP;,AXIS,22-250 REM,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356221452
459,N635317,Do Not Sell,7/1/2020 4:25:48 PM,2020-06-29T12:00:00,SAVAGE ARMS INC./&NBSP;,AXIS,22-250 REM,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356221452
459,RR66131J,Do Not Sell,8/24/2020 9:26:16 AM,2017-11-30T12:00:00,REMINGTON ARMS COMPANY INC.,700,243 WIN,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",047700270920
459,RS20150P,Do Not Sell,8/24/2020 9:25:54 AM,2013-12-12T12:00:00,REMINGTON ARMS CO./.,870 SUPER MAG,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",047700250984
459,TL047275,Do Not Sell,8/24/2020 9:26:55 AM,2007-12-14T12:00:00,REMINGTON ARMS COMPANY,11-87,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",047700299174
459,U913662,Do Not Sell,8/24/2020 9:24:42 AM,2014-01-16T12:00:00,Mossberg,500,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813501361
459,UM962855,Do Not Sell,8/24/2020 9:25:00 AM,2014-03-24T12:00:00,Mossberg,835 ULTI-MAG,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813622356
462,12S18-006545,Do Not Sell,3/10/2019 11:19:15 PM,2018-12-24T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,12,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004928
462,200706B,Do Not Sell,12/12/2020 9:35:10 PM,2020-05-05T12:00:00,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356194930
462,20P4100330,Do Not Sell,2/7/2022 12:56:48 AM,2020-07-29T12:00:00,KRAL (TURKEY)/TRISTAR,COBRA II,410,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986456
462,20P4100332,Do Not Sell,12/12/2020 9:33:56 PM,2020-07-29T12:00:00,KRAL (TURKEY)/TRISTAR,COBRA II,410,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986456
462,21PA20V-1983,Do Not Sell,2/6/2022 12:48:49 AM,2021-12-17T12:00:00,MERAK/CHIAPPA FIREARMS USA,301,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",860007252129
462,MV0406310,Do Not Sell,3/20/2020 4:39:36 PM,2019-10-05T12:00:00,MAVERICK ARMS,88,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",049533322029
462,V1253573,Do Not Sell,12/12/2020 8:38:26 PM,2020-12-11T12:00:00,MOSSBERG,500,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813541329
464,203496P,Do Not Sell,5/12/2021 4:42:12 PM,2020-12-22T12:00:00,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356232588
464,ATR028519,Do Not Sell,10/13/2018 1:53:20 AM,2013-07-16T12:00:00,MOSSBERG & SONS INC,ATR,30-06 SPRINGFIELD,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813271783
464,KRA005411,Do Not Sell,10/13/2018 1:52:25 AM,2012-08-09T12:00:00,KRAL/TRISTAR ARMS,RAPTOR,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780201283
464,M72101436,Do Not Sell,5/12/2021 4:41:50 PM,2019-02-03T22:38:17.727,"REMINGTON ARMS COMPANY, INC.",770,7MM REM MAG,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",047700856353
464,M72124122,Do Not Sell,4/18/2020 7:04:02 PM,2017-09-11T12:00:00,"REMINGTON ARMS COMPANY, INC.",770,243 WIN,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",047700856308
464,MN40853A,Do Not Sell,10/13/2018 1:53:00 AM,2018-03-26T12:00:00,THE MARLIN FIREARMS CO./MARLIN,60SB,22 LR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",026495076450
464,N846980,Do Not Sell,5/12/2021 4:42:02 PM,2020-12-03T12:00:00,SAVAGE ARMS USA,AXIS,6.5 CREEDMOOR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356225153
467,20S21004269,Display Available,11/30/2021 9:12:35 PM,2021-11-23T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004911
469,20720,Display Available,4/8/2022 10:26:58 PM,2022-04-07T12:00:00,SAVAGE ARMS (CANADA)/SAVAGE ARMS USA,MARK II,22 LR,RIFLE,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",062654207204
469,40027,Display Available,4/8/2022 9:55:55 PM,2022-04-07T12:00:00,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",062654400278
472,NZ867624,Do Not Sell,1/17/2021 5:17:16 PM,2017-11-06T12:00:00,"HAWK INDUSTRIES CO. LTD./H&R 1871, LLC",PARDNER PUMP,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",010633015180
476,12A21011170,Display Available,12/9/2021 9:26:39 PM,2021-11-16T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004805
476,410S21008830,Display Available,2/13/2022 9:40:17 PM,2022-01-27T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,410 BORE,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004904
481,12S21-001450,Do Not Sell,5/16/2021 5:59:37 PM,2021-04-28T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,12,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004928
491,12S20005552,Backroom Available,11/14/2021 8:01:30 PM,2021-02-01T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004928
494,N211273,Backroom Available,4/23/2021 7:37:11 PM,2019-02-17T12:00:00,REMINGTON ARMS CO./.,870,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",047700811741
495,690-33034,Display Available,9/24/2021 8:49:38 PM,2012-08-15T12:00:00,Ruger,AMERICAN,270 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",736676069026
495,CBA351731,Do Not Sell,3/17/2020 6:58:33 PM,2012-08-15T12:00:00,"H&R 1871, LLC",BUFFALO CLASSIC,45-70 GOVERNMENT,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",736008018715
495,H019289,Backroom Available,10/16/2018 3:08:49 PM,2011-02-08T12:00:00,SAVAGE ARMS INC.,110,30-06,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",011356174642
495,H195647,Backroom Available,8/20/2021 5:07:03 PM,2011-07-05T12:00:00,SAVAGE ARMS INC./SAVAGE ARMS INC.,10,243 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",011356174536
495,H252445,Backroom Available,10/16/2018 3:09:38 PM,2011-07-05T12:00:00,SAVAGE ARMS INC.,10,243 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",011356174536
495,H441542,Backroom Available,10/16/2018 3:01:09 PM,2012-01-04T12:00:00,SAVAGE ARMS INC.,110,270 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",011356174635
495,H442116,Backroom Available,10/16/2018 3:03:41 PM,2011-12-28T12:00:00,SAVAGE ARMS INC.,110,270 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",011356174635
495,H681283,Backroom Available,10/16/2018 4:04:49 PM,2012-09-14T12:00:00,SAVAGE ARMS INC.,42,22 LR/410 GA,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",011356196668
495,H681284,Backroom Available,5/27/2020 10:07:49 PM,2012-09-14T12:00:00,SAVAGE ARMS,42,22 LR/410 GA,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",011356196668
499,201386P,Do Not Sell,1/2/2021 5:08:09 PM,2020-12-18T12:00:00,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356232588
499,MV0446007,Do Not Sell,11/11/2020 2:28:02 AM,2020-04-01T12:00:00,MAVERICK ARMS,88,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",049533322029
499,N668366,Do Not Sell,12/29/2020 9:10:05 PM,2020-06-25T12:00:00,SAVAGE ARMS INC.,AXIS,6.5 CREEDMOOR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356221490
500,690-55160,Backroom Available,5/3/2022 12:26:15 AM,2012-11-14T12:00:00,Ruger,AMERICAN,270 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",736676069026
500,820-57216,Backroom Available,4/26/2019 8:20:28 PM,2012-09-19T12:00:00,RUGER,10/22,22 LR,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",736676011032
500,G825938,Backroom Available,10/20/2018 7:14:51 PM,2008-10-15T12:00:00,SAVAGE ARMS INC.,110,270 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",011356174635
500,M71687579,Backroom Available,10/20/2018 7:15:44 PM,2011-08-04T12:00:00,"REMINGTON ARMS COMPANY, INC.",770,270 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",047700856322
500,TL080516,Backroom Available,10/20/2018 7:17:18 PM,2010-10-13T12:00:00,REMINGTON FIREARMS,1187,20 GAUGE,SHOTGUN,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",047700298252
505,203212D,Do Not Sell,7/17/2020 7:46:04 PM,2020-07-17T12:00:00,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356194930
505,20A16-105280,Do Not Sell,8/1/2019 9:47:25 PM,2018-03-27T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004836
505,21P4105610,Invalid,12/28/2021 10:08:11 PM,--,--,--,--,--,"See ""Section E - Deleted Valid Serial Number""",713780986456
505,3246812,Do Not Sell,8/1/2019 9:45:37 PM,2018-12-17T12:00:00,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",062654402029
508,161804F,Do Not Sell,10/20/2018 1:14:20 AM,2016-08-29T12:00:00,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356194947
510,ATR010662,Backroom Available,10/9/2018 8:57:28 PM,2012-12-10T12:00:00,MOSSBERG & SONS INC,ATR,30-06 SPRINGFIELD,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",015813271783
510,MV0430013,Do Not Sell,12/31/2021 5:42:45 PM,2020-01-30T12:00:00,MAVERICK ARMS,88,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",049533322029
511,20P4102509,Do Not Sell,11/30/2020 9:09:19 PM,2020-10-14T12:00:00,KRAL (TURKEY)/TRISTAR,COBRA II,410,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986456
514,20A21_004740,Backroom Available,9/7/2021 3:44:12 PM,2021-09-07T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004836
519,12A21010907,Backroom Available,12/2/2021 3:25:51 PM,2021-11-26T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004805
519,12S21007722,Backroom Available,4/14/2022 3:02:44 PM,2022-04-14T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004928
519,20S21006515,Display Available,6/3/2022 4:25:55 PM,2022-04-25T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004911
519,20S21006516,Backroom Available,4/25/2022 3:01:29 PM,2022-04-25T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004911
519,211572T,Invalid,6/5/2022 5:21:20 PM,--,--,--,--,--,"See ""Section E - Deleted Valid Serial Number""",011356194947
519,P161011,Invalid,6/5/2022 5:23:12 PM,--,--,--,--,--,"See ""Section E - Deleted Valid Serial Number""",011356221490
520,12S21007026,Backroom Available,3/9/2022 5:04:40 PM,2022-03-09T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004928
520,12S21007037,Backroom Available,3/9/2022 5:06:15 PM,2022-03-09T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004928
520,MN49423B,Do Not Sell,11/16/2020 12:54:44 PM,2020-08-27T12:00:00,THE MARLIN FIREARMS CO./MARLIN,60SB,22 LR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",026495076450
520,N707462,Do Not Sell,9/30/2020 3:13:12 PM,2020-08-18T12:00:00,SAVAGE ARMS INC.,AXIS,30/06 SPRG,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356571533
524,AT175793,Do Not Sell,8/14/2019 5:04:38 PM,2013-09-18T12:00:00,Mossberg,535,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813450003
527,Ba269539,Do Not Sell,12/15/2020 8:22:16 PM,2011-02-25T12:00:00,MOSSBERG,ATR,270 WIN,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813260312
536,12P21003717,Backroom Available,8/7/2021 7:43:57 PM,2021-08-07T12:00:00,HATFIELD (TURKEY)/UTAS-USA,PAS,12 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004539
536,20A21002652,Backroom Available,6/14/2021 8:04:00 PM,2021-06-14T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004836
536,20S20-00480,Backroom Available,10/26/2021 8:07:30 PM,2021-02-01T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004911
536,H921975,Do Not Sell,5/7/2020 3:24:56 PM,2013-05-30T12:00:00,SAVAGE ARMS,11,223 REM,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356184573
536,H937134,Do Not Sell,5/7/2020 3:17:29 PM,2013-05-30T12:00:00,SAVAGE ARMS,12,223 REMINGTON,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356012821
537,12A16-119443,Do Not Sell,10/25/2018 3:45:57 PM,2017-03-10T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004805
537,MV0445556,Do Not Sell,9/29/2020 6:01:24 PM,2020-04-01T12:00:00,MAVERICK ARMS,88,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",049533322029
543,48A4935CFB9A,Backroom Available,11/2/2021 7:12:30 PM,2021-11-02T12:00:00,K.S.A. LLC,CRICKETT,22,RIFLE,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",611613002338
543,57-H21PT-033923,Backroom Available,10/29/2021 10:25:34 PM,2021-10-29T12:00:00,REMINGTON ARMS COMPANY INC.,700,270 WIN,RIFLE,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",047700270944
545,3997106,Do Not Sell,1/31/2022 9:55:49 PM,2022-01-27T12:00:00,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,MARK II,22 LR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",062654270000
552,MV0762052,Do Not Sell,3/2/2022 9:21:59 PM,2022-02-11T12:00:00,MAVERICK ARMS,88,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",049533310057
555,US69131,Backroom Available,10/16/2018 8:33:30 PM,2007-10-30T12:00:00,HENRY REPEATING ARMS,SURVIVAL RIFLE,.22 LR,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",619835009005
555,VS83001,Backroom Available,10/16/2018 8:41:20 PM,2001-11-07T12:00:00,HOWA/WEATHERBY,VANGUARD,30-06,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",747115596379
556,20P4100277,Do Not Sell,12/10/2020 6:05:00 PM,2020-07-29T12:00:00,KRAL (TURKEY)/TRISTAR,COBRA II,410,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986456
562,20S21006063,Backroom Available,2/10/2022 5:33:57 PM,2022-02-10T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004911
569,Rs50145u,Do Not Sell,10/16/2018 9:09:50 PM,2015-03-13T12:00:00,REMINGTON ARMS COMPANY,870,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",047700255682
571,M72112715,Do Not Sell,8/27/2019 3:48:29 PM,2015-10-30T12:00:00,REMINGTON ARMS COMPANY,770,300 WIN MAG,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",047700856360
