Store Nbr,Dept Subcategory Description,Week 34 Forecast,Week 35 Forecast,Week 36 Forecast,Week 37 Forecast,Week 38 Forecast,Week 39 Forecast,Week 40 Forecast,Week 41 Forecast,Week 42 Forecast,Week 43 Forecast,Week 44 Forecast,Week 45 Forecast,Week 46 Forecast,Week 47 Forecast,Week 48 Forecast,Week 49 Forecast,Week 50 Forecast,Week 51 Forecast,Week 52 Forecast,Week 01 Forecast
180,16IN BIKES,3,4,4,4,4,3,4,5,6,7,12,18,27,21,27,4,2,2,2,2
180,18IN BIKES,1,1,1,1,1,1,1,1,1,1,3,3,6,3,10,2,1,1,1,1
180,20IN BIKES,4,3,4,4,4,3,3,6,6,7,16,30,47,38,35,4,2,1,1,2
180,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0
180,MOUNTAIN BIKES,2,2,2,2,2,1,1,2,1,2,3,5,11,5,8,1,1,1,1,1
181,12IN BIKES,1,1,1,1,1,1,1,2,2,3,5,10,11,9,11,1,0,0,0,0
181,16IN BIKES,1,1,1,1,1,1,1,1,2,2,4,6,9,10,11,1,0,0,0,0
181,18IN BIKES,0,0,0,0,0,0,0,0,0,1,1,2,2,2,4,0,0,0,0,0
181,20IN BIKES,4,4,4,3,3,3,3,3,3,4,12,18,25,27,37,4,2,1,1,2
181,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,MOUNTAIN BIKES,1,1,2,1,1,1,1,1,1,1,2,2,2,4,3,1,1,0,0,1
182,12IN BIKES,3,3,4,3,3,3,3,5,6,7,11,16,26,25,30,2,1,1,1,1
182,16IN BIKES,4,4,4,4,3,3,4,6,7,8,15,26,41,41,36,4,2,1,1,2
182,18IN BIKES,1,1,1,2,1,1,1,2,2,3,8,14,30,36,28,1,0,0,0,1
182,20IN BIKES,4,4,4,3,3,3,3,5,7,13,16,28,67,50,40,3,2,1,2,2
182,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
182,MOUNTAIN BIKES,2,2,2,2,1,1,1,1,1,2,3,4,5,8,9,1,1,1,1,1
182,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
183,12IN BIKES,2,2,2,2,2,2,2,2,3,3,4,6,9,11,12,2,1,1,1,1
183,16IN BIKES,1,1,1,1,1,1,1,2,2,2,4,8,10,13,12,1,0,0,0,0
183,18IN BIKES,1,1,1,1,1,1,1,1,1,2,1,2,2,6,4,1,0,0,0,0
183,20IN BIKES,1,1,1,1,1,1,1,2,3,4,6,10,15,16,15,1,1,1,0,1
183,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
183,MOUNTAIN BIKES,1,1,1,1,1,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0
184,12IN BIKES,4,4,3,3,3,3,3,5,5,7,7,9,11,16,13,3,2,2,2,2
184,16IN BIKES,4,4,4,4,3,3,3,4,4,5,7,13,15,20,20,3,2,2,2,2
184,18IN BIKES,6,6,6,5,5,4,4,5,6,8,12,14,25,23,30,5,3,3,2,3
184,20IN BIKES,15,15,16,14,12,12,11,16,17,18,27,33,51,56,54,12,7,6,7,8
184,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,2,4,2,6,1,1,1,1,1
184,ELECTRIC BIKES,2,2,2,2,2,2,2,2,2,3,4,4,5,6,4,1,1,1,1,1
184,MOUNTAIN BIKES,4,4,4,4,3,3,2,3,3,3,4,5,6,6,8,3,2,2,2,2
184,MULTI USE BIKES,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1
185,12IN BIKES,3,3,3,3,3,3,3,5,5,6,10,12,20,18,20,3,2,1,1,2
185,16IN BIKES,3,3,3,3,3,2,3,3,4,5,8,14,23,24,22,3,2,1,1,2
185,18IN BIKES,2,2,2,2,2,2,2,2,2,3,4,5,7,10,12,2,1,1,1,1
185,20IN BIKES,8,8,8,8,7,7,7,8,10,12,14,22,34,42,38,8,5,4,5,5
185,BEACH CRUISERS,1,1,1,0,0,0,0,0,0,0,0,1,2,3,4,0,0,0,0,0
185,MOUNTAIN BIKES,3,2,3,2,2,2,1,2,2,2,2,3,4,6,6,2,1,1,1,1
185,MULTI USE BIKES,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
186,12IN BIKES,1,1,1,1,1,1,1,2,2,2,4,5,6,7,9,1,1,1,1,1
186,16IN BIKES,2,2,2,1,1,1,1,2,2,4,5,7,9,10,11,2,1,1,1,1
186,18IN BIKES,1,1,1,1,1,1,1,1,1,1,2,2,3,4,4,1,0,0,0,1
186,20IN BIKES,4,4,4,4,3,3,3,4,4,5,8,10,16,20,21,3,2,2,2,2
186,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0
186,MOUNTAIN BIKES,2,2,2,2,2,1,1,2,2,2,2,3,3,4,4,1,1,1,1,1
186,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,12IN BIKES,6,6,6,5,5,5,5,7,8,9,15,18,23,22,29,4,3,2,3,3
188,16IN BIKES,7,6,6,6,5,5,5,6,6,7,14,15,24,28,30,5,3,3,3,4
188,18IN BIKES,3,3,3,2,2,2,2,2,2,3,4,6,9,12,12,2,1,1,1,1
188,20IN BIKES,9,8,8,7,6,6,5,10,10,12,20,25,39,39,38,6,4,3,3,4
188,BEACH CRUISERS,2,1,1,1,1,1,1,1,1,1,1,1,3,4,3,1,1,1,1,1
188,MOUNTAIN BIKES,3,3,3,3,2,2,2,2,2,2,3,4,4,5,6,2,1,1,1,1
188,MULTI USE BIKES,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
189,12IN BIKES,3,3,3,3,3,2,3,3,3,3,5,6,9,10,11,3,2,1,2,2
189,16IN BIKES,5,5,5,5,4,4,4,5,5,6,8,10,14,16,16,4,3,2,2,3
189,18IN BIKES,2,2,2,2,2,2,2,2,2,2,3,3,4,4,6,2,1,1,1,1
189,20IN BIKES,6,6,6,5,4,4,4,5,6,8,10,13,21,21,21,4,3,3,3,3
189,BEACH CRUISERS,1,1,1,1,1,1,1,1,0,1,1,1,1,2,2,1,0,0,0,1
189,MOUNTAIN BIKES,2,3,3,2,2,2,1,2,2,2,2,3,3,4,5,2,1,1,1,1
189,MULTI USE BIKES,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
190,12IN BIKES,3,3,2,2,2,2,2,3,3,5,5,7,13,9,16,2,1,1,1,1
190,16IN BIKES,2,2,2,2,2,2,2,3,3,4,6,10,17,11,14,2,1,1,1,1
190,18IN BIKES,1,1,1,1,1,1,1,2,2,3,3,6,10,8,7,1,1,0,0,1
190,20IN BIKES,4,4,4,4,3,3,4,5,6,6,10,19,31,21,24,3,2,2,2,2
190,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
190,MOUNTAIN BIKES,1,1,3,1,1,1,1,1,1,1,2,4,6,2,5,1,1,0,1,1
192,12IN BIKES,6,6,6,6,5,5,6,9,9,8,15,17,22,24,23,5,3,3,3,4
192,16IN BIKES,6,6,6,6,5,5,6,8,9,12,16,20,27,30,29,5,3,3,3,4
192,18IN BIKES,3,3,3,3,2,2,2,4,5,7,10,13,20,29,22,2,1,1,1,1
192,20IN BIKES,9,9,10,8,7,7,7,9,9,14,19,26,44,49,44,7,4,3,3,4
192,BEACH CRUISERS,1,1,1,1,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0
192,MOUNTAIN BIKES,3,2,3,2,2,2,1,2,2,2,3,4,7,6,8,2,1,1,1,1
192,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,12IN BIKES,5,5,5,6,5,5,5,8,10,8,19,34,45,58,59,7,3,2,2,3
194,16IN BIKES,7,7,7,7,7,6,7,11,11,13,22,34,54,61,66,11,4,3,3,4
194,18IN BIKES,4,4,4,4,4,4,4,5,5,7,9,15,25,29,35,6,2,2,2,2
194,20IN BIKES,6,6,6,6,6,5,6,8,8,7,21,50,76,67,53,8,3,3,3,4
194,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,1,0,0,0,1
194,MOUNTAIN BIKES,3,3,3,3,3,3,2,2,2,2,4,7,7,10,9,2,1,1,1,1
194,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,12IN BIKES,2,2,2,2,2,1,2,2,2,3,3,4,5,9,7,1,1,1,1,1
195,16IN BIKES,2,2,2,2,2,1,2,3,3,4,5,6,9,9,8,2,1,1,1,1
195,18IN BIKES,1,1,1,1,1,1,1,1,1,1,4,3,8,8,10,1,0,0,0,0
195,20IN BIKES,4,4,4,3,3,3,2,3,4,4,7,10,15,19,16,2,2,2,2,2
195,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1
195,ELECTRIC BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,MOUNTAIN BIKES,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1
195,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,12IN BIKES,2,1,1,1,1,1,1,2,2,3,4,4,6,8,7,1,1,0,0,1
196,16IN BIKES,1,1,1,1,1,1,1,2,2,2,7,7,8,12,12,1,0,0,0,0
196,18IN BIKES,2,2,2,1,1,1,1,1,1,2,4,4,6,8,8,1,1,1,1,1
196,20IN BIKES,6,5,5,5,5,4,4,5,5,5,11,15,23,28,24,4,2,2,2,2
196,BEACH CRUISERS,1,1,1,1,0,1,0,0,0,0,0,1,1,1,2,0,0,0,0,0
196,ELECTRIC BIKES,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0
196,MOUNTAIN BIKES,5,4,5,4,3,3,3,3,3,3,4,6,6,7,9,3,2,2,2,2
196,MULTI USE BIKES,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0
197,12IN BIKES,1,1,1,1,1,1,1,2,2,2,2,3,3,4,4,1,0,0,0,0
197,16IN BIKES,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,1,0,0,0,0
197,18IN BIKES,1,1,1,1,1,1,1,1,1,1,2,3,5,7,6,1,1,1,1,1
197,20IN BIKES,7,7,7,7,6,6,5,7,7,8,10,11,16,18,18,6,4,4,3,4
197,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,0,0,1
197,MOUNTAIN BIKES,2,2,2,2,1,1,1,1,1,2,2,2,2,2,3,1,1,1,1,1
197,MULTI USE BIKES,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
198,12IN BIKES,2,2,2,1,1,1,1,2,2,2,3,4,6,5,7,1,1,1,1,1
198,16IN BIKES,2,2,2,2,2,1,2,2,2,2,4,6,6,7,9,2,1,1,1,1
198,18IN BIKES,1,1,1,1,1,1,1,1,1,2,2,2,4,4,4,1,1,1,1,1
198,20IN BIKES,4,4,4,4,3,3,2,4,4,4,7,9,13,13,11,3,2,1,2,2
198,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
198,MOUNTAIN BIKES,3,3,3,3,2,2,2,2,2,2,3,4,4,4,6,2,2,1,1,2
198,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,12IN BIKES,1,1,1,1,1,1,1,1,1,1,2,2,3,4,4,1,1,1,1,1
199,16IN BIKES,2,2,1,1,1,1,1,2,1,1,3,3,4,6,5,1,1,1,1,1
199,18IN BIKES,2,2,2,2,2,1,1,1,1,2,3,3,6,8,8,2,1,1,1,1
199,20IN BIKES,6,4,4,4,4,3,3,4,4,5,7,8,12,12,16,4,2,2,2,2
199,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0
199,ELECTRIC BIKES,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
199,MOUNTAIN BIKES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,1
199,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,12IN BIKES,2,2,2,2,2,2,2,2,2,3,3,5,7,10,8,2,1,1,1,2
200,16IN BIKES,2,2,2,2,1,1,2,2,2,2,4,5,7,11,9,2,1,1,1,1
200,18IN BIKES,3,3,3,3,3,2,2,2,3,3,5,6,11,14,13,3,2,2,1,2
200,20IN BIKES,9,10,9,8,7,7,7,8,9,10,14,17,22,31,29,7,4,4,4,5
200,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1
200,MOUNTAIN BIKES,2,2,2,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1
200,MULTI USE BIKES,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
201,12IN BIKES,1,1,1,1,1,1,1,1,1,1,5,5,7,7,11,1,0,0,0,1
201,16IN BIKES,4,3,4,3,3,3,3,4,3,4,8,9,15,12,15,3,2,2,1,2
201,18IN BIKES,4,4,4,3,3,3,3,3,4,5,9,10,19,18,22,3,2,1,1,2
201,20IN BIKES,9,8,8,7,6,7,6,9,9,10,16,21,34,36,34,8,4,4,4,4
201,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,1,1,1,0,1
201,ELECTRIC BIKES,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,1,1,1,1,1
201,MOUNTAIN BIKES,4,4,4,3,3,3,2,2,3,3,3,4,6,5,6,2,2,1,1,2
201,MULTI USE BIKES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,1
202,12IN BIKES,2,1,1,1,1,1,1,2,3,3,4,9,11,10,17,2,1,1,1,1
202,16IN BIKES,2,2,2,2,2,2,2,3,3,4,6,11,12,10,13,3,1,1,1,1
202,18IN BIKES,4,4,4,4,3,3,3,4,5,7,7,10,14,15,19,4,2,2,2,3
202,20IN BIKES,9,9,9,9,7,7,7,9,10,11,16,25,33,26,30,9,5,4,5,5
202,BEACH CRUISERS,1,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0
202,MOUNTAIN BIKES,4,4,4,4,3,3,3,3,3,3,5,5,6,7,8,3,2,2,2,2
203,12IN BIKES,1,1,2,1,1,1,1,2,2,2,3,4,5,4,5,1,1,1,1,1
203,16IN BIKES,1,1,1,1,1,1,1,1,1,1,2,2,4,4,5,1,1,0,0,1
203,18IN BIKES,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1
203,20IN BIKES,3,2,2,2,2,2,2,3,3,4,4,5,8,10,9,2,2,1,1,2
203,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
203,MOUNTAIN BIKES,1,1,1,1,1,1,0,1,1,1,1,1,1,2,2,1,0,0,0,0
203,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,12IN BIKES,2,2,2,1,1,1,1,2,2,8,5,4,8,12,9,1,1,0,1,1
204,16IN BIKES,4,3,3,3,3,2,3,4,5,6,8,11,13,18,17,3,2,1,1,2
204,18IN BIKES,1,1,2,1,1,1,1,1,1,2,3,4,8,9,11,1,1,1,0,1
204,20IN BIKES,5,4,5,4,4,4,4,5,5,6,10,14,18,20,16,4,2,2,2,2
204,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
204,MOUNTAIN BIKES,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,1,0,0,0,1
204,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,12IN BIKES,3,4,4,3,3,3,3,4,4,5,7,12,21,20,23,3,1,1,1,1
205,16IN BIKES,3,3,3,3,3,3,4,5,5,12,10,17,17,19,27,3,2,1,1,2
205,18IN BIKES,2,2,2,2,1,1,1,1,2,3,4,5,10,9,10,2,1,1,1,1
205,20IN BIKES,5,4,5,4,4,4,4,6,7,9,13,23,35,35,30,4,2,2,2,2
205,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,MOUNTAIN BIKES,1,1,1,1,1,1,1,1,1,1,3,4,6,6,7,1,1,0,0,1
206,12IN BIKES,2,2,2,2,2,2,2,3,3,3,6,11,15,18,21,3,1,1,1,1
206,16IN BIKES,3,3,3,3,2,2,2,3,4,4,7,10,13,12,15,3,2,2,2,2
206,18IN BIKES,5,4,5,4,4,4,4,5,5,7,10,17,21,23,28,5,2,2,2,3
206,20IN BIKES,10,9,9,9,8,7,7,8,11,12,19,27,46,45,44,9,5,4,5,5
206,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,2,2,3,5,1,1,1,1,1
206,MOUNTAIN BIKES,7,6,6,6,5,5,4,4,4,5,7,10,8,11,13,5,3,2,2,3
206,MULTI USE BIKES,2,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1
207,12IN BIKES,1,0,1,0,0,0,0,1,1,1,2,3,4,6,5,1,0,0,0,0
207,16IN BIKES,1,1,1,1,1,1,1,1,1,2,3,4,4,7,5,1,0,0,0,0
207,18IN BIKES,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0
207,20IN BIKES,1,1,1,1,1,1,1,1,1,2,4,6,11,13,10,1,1,1,1,1
207,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,MOUNTAIN BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
210,12IN BIKES,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0
210,16IN BIKES,0,0,0,0,0,0,0,1,0,1,1,2,4,2,3,0,0,0,0,0
210,18IN BIKES,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
210,20IN BIKES,1,0,0,0,0,0,0,0,0,0,2,4,4,3,3,1,0,0,0,0
210,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,MOUNTAIN BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
211,12IN BIKES,2,2,2,2,2,1,2,3,3,3,4,8,10,13,14,2,1,1,1,1
211,16IN BIKES,1,1,2,1,1,1,1,3,3,3,5,11,13,17,15,2,1,1,1,1
211,18IN BIKES,1,1,1,1,1,0,1,0,1,1,2,3,3,4,5,1,0,0,0,0
211,20IN BIKES,3,3,4,3,3,3,2,3,4,3,8,17,26,31,27,4,2,2,2,2
211,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
211,MOUNTAIN BIKES,1,1,1,1,1,1,1,1,1,1,1,2,3,4,3,1,0,0,0,0
212,12IN BIKES,2,2,2,2,1,1,2,2,3,3,6,9,13,18,17,2,1,1,1,1
212,16IN BIKES,3,3,3,3,3,2,3,4,5,5,10,14,19,27,23,3,2,1,1,2
212,18IN BIKES,1,1,1,1,1,0,0,1,1,1,2,3,6,6,9,1,0,0,0,0
212,20IN BIKES,5,5,5,5,5,4,4,6,6,8,11,13,21,28,22,5,3,3,3,3
212,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
212,ELECTRIC BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,MOUNTAIN BIKES,4,4,4,3,3,3,2,3,3,3,4,5,6,7,7,3,2,2,2,2
212,MULTI USE BIKES,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0
213,12IN BIKES,2,2,2,2,2,2,2,2,2,3,5,5,7,6,9,1,1,1,1,1
213,16IN BIKES,3,2,2,2,2,2,2,4,4,6,6,8,10,8,11,2,1,1,1,1
213,18IN BIKES,1,2,1,1,1,1,1,1,1,2,3,4,6,6,8,1,1,1,1,1
213,20IN BIKES,7,7,6,6,5,5,4,6,6,7,10,13,17,15,17,4,3,3,3,3
213,BEACH CRUISERS,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
213,MOUNTAIN BIKES,3,4,4,3,3,2,2,2,2,2,3,4,5,5,6,2,2,1,1,2
214,12IN BIKES,2,2,2,2,2,1,2,4,5,7,7,13,16,14,15,2,1,1,1,1
214,16IN BIKES,2,2,2,2,2,2,3,4,4,5,10,15,24,22,27,3,1,1,1,1
214,18IN BIKES,1,1,1,1,1,1,1,1,2,2,3,4,7,6,9,2,1,1,1,1
214,20IN BIKES,2,2,2,3,2,2,2,5,5,8,16,31,39,27,28,3,1,1,1,1
214,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,0,0,1
214,MOUNTAIN BIKES,2,2,2,1,2,1,1,1,1,1,3,4,4,5,7,1,1,1,1,1
216,12IN BIKES,2,2,2,1,1,1,1,1,2,3,6,5,10,12,11,1,0,0,0,0
216,16IN BIKES,3,3,3,2,2,2,2,4,4,4,9,8,10,13,14,2,1,1,1,1
216,18IN BIKES,4,3,4,3,3,2,2,4,4,6,9,10,16,20,19,2,1,1,1,2
216,20IN BIKES,10,9,9,9,8,8,7,10,10,12,19,27,38,40,42,8,4,4,4,4
216,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
216,MOUNTAIN BIKES,4,4,4,4,3,3,2,3,3,3,4,5,6,7,7,2,2,1,1,2
216,MULTI USE BIKES,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1
217,12IN BIKES,1,1,1,1,1,1,1,2,3,3,3,7,9,14,11,2,1,1,1,1
217,16IN BIKES,2,2,2,2,2,2,2,3,4,5,8,14,17,20,16,3,1,1,1,1
217,18IN BIKES,3,3,3,3,3,2,2,3,4,5,7,11,16,19,24,3,2,1,1,2
217,20IN BIKES,6,5,5,5,4,4,3,5,6,7,13,19,28,33,34,5,3,2,2,3
217,BEACH CRUISERS,1,1,0,1,0,0,0,0,0,0,1,1,1,2,3,0,0,0,0,0
217,MOUNTAIN BIKES,2,2,2,2,1,2,1,1,1,1,2,3,3,3,4,2,1,1,1,1
217,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
218,12IN BIKES,1,1,1,1,1,1,1,2,2,3,4,6,9,5,8,1,0,0,0,0
218,16IN BIKES,0,0,0,0,0,0,0,1,1,1,3,5,7,8,7,0,0,0,0,0
218,18IN BIKES,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,0,0,0,0,0
218,20IN BIKES,1,1,1,1,1,1,1,2,2,3,6,13,20,17,18,1,1,1,1,1
218,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,MOUNTAIN BIKES,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,0,0,0,0,0
218,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,12IN BIKES,4,4,4,4,4,3,4,5,5,6,9,10,13,10,15,3,2,2,2,3
219,16IN BIKES,5,5,5,4,4,4,4,6,5,6,12,13,18,20,19,4,3,2,2,3
219,18IN BIKES,4,4,4,3,3,3,3,4,5,7,9,11,19,21,22,3,2,1,1,2
219,20IN BIKES,11,11,10,9,8,8,7,9,9,9,20,25,41,39,43,7,4,4,4,5
219,BEACH CRUISERS,1,1,1,1,1,1,0,0,0,1,1,1,1,1,2,1,0,0,0,0
219,MOUNTAIN BIKES,4,4,4,3,3,2,2,3,2,2,3,4,6,5,6,2,1,1,1,2
219,MULTI USE BIKES,1,1,1,1,1,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0
220,12IN BIKES,5,4,4,4,4,4,4,7,8,11,15,27,38,42,51,6,2,2,2,2
220,16IN BIKES,9,8,9,8,8,8,8,15,18,53,30,45,52,66,59,13,5,4,4,4
220,18IN BIKES,3,3,3,3,3,2,2,3,4,6,9,14,19,27,27,3,2,1,1,1
220,20IN BIKES,12,10,11,9,9,8,7,11,19,36,44,25,52,54,59,12,5,4,5,5
220,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,0,0,0
220,MOUNTAIN BIKES,3,3,3,2,2,2,1,2,2,2,3,6,4,8,7,2,1,1,1,1
220,MULTI USE BIKES,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
221,12IN BIKES,2,2,2,2,2,2,2,3,3,4,7,7,15,18,14,2,1,1,1,1
221,16IN BIKES,3,3,3,3,3,2,3,3,4,4,8,9,13,15,15,3,2,1,1,2
221,18IN BIKES,2,2,2,2,2,1,1,2,2,2,4,6,11,19,14,3,1,1,1,1
221,20IN BIKES,8,7,7,7,6,6,6,7,8,10,17,18,31,32,30,8,4,4,4,4
221,BEACH CRUISERS,1,1,1,1,1,0,0,1,1,1,1,1,2,1,3,1,0,0,0,0
221,MOUNTAIN BIKES,2,2,2,2,2,1,1,2,2,1,2,3,3,4,4,1,1,1,1,1
222,12IN BIKES,1,1,1,1,1,1,1,1,1,2,2,2,3,5,4,1,1,1,1,1
222,16IN BIKES,1,1,1,1,1,1,1,2,2,2,4,4,5,6,6,1,1,1,1,1
222,18IN BIKES,2,1,2,1,1,1,1,1,1,3,4,4,5,6,9,1,1,1,1,1
222,20IN BIKES,3,3,3,3,3,2,2,3,4,4,6,8,11,15,12,2,1,1,1,2
222,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,MOUNTAIN BIKES,2,2,2,1,1,1,1,1,1,1,2,2,3,3,3,1,1,1,1,1
222,MULTI USE BIKES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
224,12IN BIKES,2,2,2,2,2,2,2,3,3,3,4,5,5,5,8,1,1,1,1,1
224,16IN BIKES,1,1,1,1,1,1,1,2,2,2,5,7,9,9,10,1,0,0,0,0
224,18IN BIKES,3,3,3,2,2,2,2,3,3,4,7,8,14,15,17,2,1,1,1,1
224,20IN BIKES,8,9,8,7,7,7,6,9,10,10,15,21,29,28,30,7,4,4,4,4
224,BEACH CRUISERS,1,1,1,1,1,1,0,0,0,0,0,1,1,2,2,1,0,0,0,0
224,MOUNTAIN BIKES,4,4,4,4,3,3,3,3,3,4,4,5,5,5,7,3,2,2,2,3
224,MULTI USE BIKES,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
225,12IN BIKES,1,1,1,1,1,1,1,2,2,2,3,4,6,6,7,1,1,1,1,1
225,16IN BIKES,2,1,2,1,1,1,1,3,3,4,5,8,9,11,10,2,1,1,1,1
225,18IN BIKES,2,2,2,2,1,1,2,1,1,1,2,2,4,4,8,2,1,1,1,1
225,20IN BIKES,3,2,2,2,2,2,2,2,3,4,6,7,11,15,12,2,1,1,1,1
225,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
225,MOUNTAIN BIKES,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,0,0,0,1
226,12IN BIKES,1,1,1,1,1,1,1,1,1,2,3,6,8,8,8,1,1,0,0,1
226,16IN BIKES,1,1,1,1,1,1,1,1,2,2,5,8,13,12,12,1,0,0,0,0
