Market,Store,LY Shrink %,FY23 Shrink Plan %
102,3066,-1.98%,-2.01%
102,4354,-1.46%,-1.49%
102,5321,-1.74%,-1.24%
102,5451,-1.35%,-1.39%
102,5453,-0.74%,-0.94%
102,5622,-1.53%,-1.50%
102,5826,-0.91%,-0.81%
102,6937,-0.98%,-1.01%
102,6941,-1.23%,-1.18%
102,6968,-1.53%,-1.39%
102,7221,-0.56%,-0.60%
102,7298,-1.53%,-1.56%
102,7307,-1.67%,-1.15%
103,2907,-2.15%,-2.43%
103,2930,-2.06%,-2.09%
103,3183,-2.12%,-2.05%
103,3935,-1.53%,-1.70%
103,4140,-1.20%,-1.75%
103,4498,-3.41%,-2.55%
103,4563,-1.89%,-1.91%
103,4595,-1.04%,-1.50%
103,4617,-1.97%,-2.00%
103,4826,-1.55%,-1.62%
103,5615,-1.26%,-1.50%
103,5719,-1.91%,-1.81%
103,5945,-1.65%,-1.80%
104,967,-1.53%,-1.65%
104,988,-1.97%,-2.23%
104,994,-1.29%,-1.49%
104,1029,-0.94%,-1.04%
104,1085,-2.34%,-2.57%
104,1104,-0.63%,-1.05%
104,1213,-1.18%,-1.43%
104,3415,-1.06%,-1.14%
104,3526,-1.09%,-1.43%
104,5266,-1.73%,-2.03%
104,5772,-1.22%,-1.56%
105,819,-3.22%,-2.38%
105,987,-2.82%,-2.68%
105,1119,-1.22%,-1.31%
105,1957,-1.68%,-1.80%
105,3417,-1.58%,-1.78%
105,4063,-1.27%,-1.40%
105,5034,-2.06%,-2.48%
105,5055,-2.10%,-2.31%
105,5347,-1.54%,-1.68%
105,5391,-2.14%,-2.35%
107,814,-1.04%,-1.23%
107,929,-1.74%,-1.94%
107,1087,-1.20%,-1.35%
107,1436,-1.78%,-1.82%
107,1541,-2.49%,-2.58%
107,2176,-1.52%,-1.56%
107,3348,-3.19%,-3.40%
107,3527,-2.14%,-2.23%
107,4260,-1.66%,-1.84%
107,4446,-2.39%,-2.63%
107,5301,-4.07%,-3.64%
108,1387,-1.73%,-1.91%
108,1398,-2.35%,-2.55%
108,1517,-2.78%,-2.72%
108,1589,-2.26%,-2.47%
108,1916,-1.30%,-1.46%
108,2789,-2.86%,-2.67%
108,2962,-2.23%,-2.71%
108,2963,-0.40%,-0.70%
108,3858,-1.68%,-1.80%
108,5882,-2.50%,-2.68%
108,5911,-1.50%,-1.68%
109,1349,-2.07%,-2.13%
109,1845,-0.88%,-0.99%
109,1851,-4.49%,-3.60%
109,2151,-2.69%,-2.88%
109,2591,-1.56%,-1.65%
109,2946,-2.96%,-3.17%
109,2987,-2.76%,-2.55%
109,3625,-1.42%,-1.62%
109,5325,-2.53%,-2.53%
109,5932,-2.33%,-2.48%
110,1680,-1.20%,-1.39%
110,2091,-0.86%,-1.08%
110,2727,-1.56%,-1.81%
110,2814,-1.52%,-1.94%
110,4161,-3.18%,-2.93%
110,5671,-1.51%,-2.02%
110,5854,-2.44%,-2.67%
110,5912,-2.69%,-2.67%
110,6397,#DIV/0!,-1.91%
111,1390,-1.86%,-2.24%
111,1513,-0.97%,-1.47%
111,1536,-1.25%,-1.36%
111,1712,-2.19%,-2.33%
111,2081,-0.88%,-1.34%
111,2796,-1.19%,-1.55%
111,3372,-1.68%,-1.93%
111,4690,-0.31%,-0.70%
111,5218,-1.80%,-2.25%
112,1482,-1.51%,-1.64%
112,1501,-0.72%,-0.91%
112,1960,-1.46%,-1.68%
112,2627,-1.84%,-1.91%
112,2740,-0.66%,-1.18%
112,3197,-1.15%,-1.52%
112,3418,-0.68%,-1.21%
112,4681,-1.08%,-1.34%
112,5036,-1.04%,-1.12%
112,5220,-0.81%,-1.17%
112,5964,-1.15%,-1.52%
114,547,-1.19%,-1.58%
114,706,-0.62%,-1.17%
114,713,0.08%,-0.70%
114,718,-1.36%,-1.75%
114,725,-1.25%,-1.65%
114,779,-1.37%,-1.77%
114,925,-1.51%,-1.74%
114,1245,-1.50%,-1.64%
114,2387,-1.53%,-1.70%
114,3463,-1.62%,-2.03%
115,528,-2.62%,-2.47%
115,666,-1.27%,-1.37%
115,769,-1.48%,-1.53%
115,1004,-1.84%,-1.92%
115,1171,-2.03%,-2.22%
115,2459,-1.33%,-1.51%
115,3370,-1.62%,-1.95%
115,3474,-0.88%,-1.26%
115,3887,-0.68%,-0.78%
115,5264,-1.56%,-1.70%
115,5727,-0.82%,-0.99%
116,580,-0.48%,-0.92%
116,759,-1.11%,-1.20%
116,859,-0.73%,-0.98%
116,941,-1.00%,-1.34%
116,968,-1.39%,-1.70%
116,1203,-1.19%,-1.59%
116,3347,-0.75%,-1.12%
116,5035,-0.87%,-0.98%
116,5300,-1.89%,-2.32%
118,623,-2.13%,-2.21%
118,721,-1.21%,-1.39%
118,778,-0.62%,-0.70%
118,811,-0.91%,-1.01%
118,1874,-1.59%,-1.67%
118,2237,-1.78%,-2.00%
118,2484,-1.90%,-2.11%
118,3349,-0.79%,-0.99%
118,3387,-1.17%,-1.38%
118,6190,-1.29%,-1.51%
119,477,-0.73%,-1.03%
119,619,-1.20%,-1.53%
119,663,-1.16%,-1.35%
119,698,-1.43%,-1.60%
119,1089,-1.13%,-1.47%
119,1606,-2.31%,-2.29%
119,3659,-1.53%,-1.77%
119,3835,-1.02%,-1.15%
119,4226,-1.03%,-1.20%
119,5263,-1.30%,-1.53%
120,658,-1.11%,-1.45%
120,669,-0.51%,-0.70%
120,756,-0.30%,-0.70%
120,1215,-0.55%,-1.05%
120,1458,-0.92%,-1.40%
120,1469,-2.14%,-2.46%
120,2988,-0.59%,-0.80%
120,3660,-1.44%,-1.50%
120,5151,-0.97%,-1.31%
120,5173,-0.60%,-0.94%
120,5251,-3.08%,-2.47%
121,366,-0.28%,-0.70%
121,583,-0.64%,-0.80%
121,676,-0.74%,-0.82%
121,687,-0.68%,-0.83%
121,741,-0.90%,-0.99%
121,1466,-0.99%,-1.06%
121,1467,-0.53%,-0.70%
121,4166,-0.80%,-0.99%
121,4635,-1.25%,-1.32%
122,672,-0.91%,-1.10%
122,1194,-0.72%,-0.91%
122,1318,-2.44%,-2.64%
122,1319,-1.44%,-1.66%
122,1320,-1.35%,-1.39%
122,2065,-2.33%,-2.39%
122,2932,-1.13%,-1.38%
122,4223,-1.32%,-1.40%
123,578,-1.33%,-1.60%
123,678,-1.34%,-1.46%
123,680,-1.04%,-1.10%
123,685,-1.17%,-1.29%
123,724,-0.97%,-1.13%
123,1159,-0.18%,-0.70%
123,2310,-1.92%,-2.18%
123,3234,-0.77%,-0.85%
123,6370,-0.83%,-0.90%
124,599,-0.92%,-1.05%
124,620,-0.82%,-0.99%
124,690,-1.36%,-1.40%
124,742,-0.83%,-0.99%
124,1080,-1.05%,-1.12%
124,1694,-0.95%,-1.05%
124,2496,-1.65%,-1.72%
124,2749,-1.29%,-1.32%
124,3289,-1.80%,-1.90%
124,3829,-1.22%,-1.35%
124,3852,-1.04%,-1.13%
125,553,-1.57%,-2.15%
125,909,-2.23%,-2.47%
125,912,-2.99%,-2.99%
125,1163,-2.28%,-2.75%
125,2665,-0.96%,-1.17%
125,2706,-2.25%,-2.40%
125,3167,-1.77%,-1.90%
125,5022,-3.51%,-2.99%
127,87,-1.28%,-1.43%
127,116,-1.34%,-1.41%
127,278,-1.35%,-1.52%
127,323,-1.16%,-1.36%
127,376,-1.59%,-1.85%
127,448,-2.30%,-2.49%
127,450,-2.15%,-2.23%
127,876,-2.12%,-1.91%
127,1169,-0.68%,-0.77%
127,3868,-2.58%,-2.58%
127,6932,-1.46%,-1.60%
128,489,-1.90%,-2.11%
128,541,-1.24%,-1.44%
128,803,-0.98%,-1.12%
128,911,-1.13%,-1.34%
128,989,-1.61%,-1.92%
128,1342,-1.12%,-1.49%
128,1353,-1.76%,-2.02%
128,3616,-0.85%,-1.42%
128,4129,-0.91%,-1.72%
129,311,-0.30%,-0.70%
129,485,-0.98%,-1.20%
129,502,-0.78%,-0.89%
129,540,-0.79%,-1.00%
129,542,-1.36%,-1.60%
129,761,-0.99%,-1.11%
129,961,-1.26%,-1.39%
129,1016,-1.32%,-1.54%
129,2913,-1.45%,-1.66%
129,3483,-1.42%,-1.76%
130,428,-1.98%,-2.16%
130,532,-1.64%,-1.77%
130,839,-1.68%,-1.97%
130,935,-1.79%,-1.92%
130,1102,-2.17%,-2.30%
130,1206,-2.93%,-2.80%
130,1266,-1.68%,-1.75%
130,4683,-2.39%,-2.69%
131,401,-0.85%,-0.97%
131,1136,-1.77%,-1.94%
131,1196,-1.22%,-1.38%
131,2132,-1.53%,-1.86%
131,2822,-1.27%,-1.45%
131,3288,-1.14%,-1.40%
131,4679,-1.55%,-1.79%
131,5056,-1.39%,-1.53%
132,309,-0.73%,-0.90%
132,310,-0.81%,-0.98%
132,386,-0.99%,-1.13%
132,402,-1.03%,-1.08%
132,415,-1.22%,-1.38%
132,531,-1.72%,-1.93%
132,533,-1.28%,-1.43%
132,543,-1.18%,-1.44%
132,2938,-1.39%,-1.59%
132,7301,-1.70%,-1.95%
134,75,-1.65%,-1.91%
134,170,-0.97%,-1.13%
134,312,-0.89%,-1.12%
134,405,-1.26%,-1.44%
134,498,-1.53%,-1.58%
134,505,-1.21%,-1.39%
134,539,-2.13%,-2.53%
134,773,-1.27%,-1.49%
134,1107,-0.41%,-0.70%
134,1128,-1.51%,-1.72%
134,4295,-1.53%,-1.75%
135,23,-1.40%,-1.59%
135,98,0.34%,-1.30%
135,149,-0.13%,-0.55%
135,244,-0.72%,-0.65%
135,307,-1.69%,-2.05%
135,976,-0.63%,-0.70%
135,1108,-0.15%,-0.55%
135,1109,-0.35%,-0.65%
135,1110,-0.49%,-0.55%
135,1193,-1.58%,-1.75%
136,155,-0.62%,-0.75%
136,182,-1.16%,-1.35%
136,347,-0.80%,-1.05%
136,699,-1.43%,-1.62%
136,707,-1.13%,-1.32%
136,716,-0.83%,-1.03%
136,1074,-0.39%,-0.68%
136,1468,-1.79%,-1.70%
136,1530,-1.45%,-1.53%
137,105,-2.14%,-1.89%
137,114,-0.92%,-1.16%
137,153,-0.53%,-0.70%
137,176,-0.88%,-1.02%
137,274,-0.74%,-0.79%
137,303,-0.72%,-0.89%
137,660,-0.90%,-0.96%
137,661,-1.85%,-1.98%
137,766,-1.11%,-1.21%
137,4187,-0.86%,-0.94%
138,112,-1.78%,-1.84%
138,115,-1.08%,-1.22%
138,183,-0.75%,-0.98%
138,205,-1.10%,-1.19%
138,239,-0.32%,-0.70%
138,305,-0.11%,-0.70%
138,411,-0.55%,-0.70%
138,495,-1.35%,-1.43%
138,981,-1.21%,-1.37%
138,1059,-1.31%,-1.37%
138,1069,-0.82%,-0.89%
138,1271,-0.96%,-1.13%
140,365,-0.72%,-0.85%
140,708,-0.79%,-1.20%
140,875,-2.19%,-2.41%
140,903,-0.89%,-1.35%
140,1710,-1.18%,-1.36%
140,2720,-1.15%,-1.35%
140,2755,-0.97%,-1.08%
140,2939,-1.25%,-1.50%
140,3059,-0.58%,-0.70%
140,3060,-1.30%,-1.40%
140,6469,-1.73%,-1.80%
141,501,-1.07%,-1.39%
141,785,-1.16%,-1.16%
141,816,-1.20%,-1.39%
141,874,-0.56%,-1.20%
141,887,-0.98%,-1.07%
141,916,-1.57%,-1.64%
141,954,-1.59%,-1.70%
141,1025,-1.44%,-1.44%
141,1106,-0.50%,-0.70%
141,1168,-0.41%,-0.70%
141,1192,-1.61%,-1.66%
141,2717,-1.13%,-1.39%
143,969,-2.00%,-2.23%
143,970,-0.58%,-0.70%
143,1066,-1.36%,-1.71%
143,1088,-1.51%,-1.68%
143,1195,-1.05%,-1.51%
143,1260,-0.43%,-0.70%
143,1346,-1.74%,-1.91%
143,2715,-1.14%,-1.29%
143,3528,-0.51%,-0.70%
143,5079,-1.17%,-1.28%
144,175,-0.99%,-1.06%
144,848,-1.99%,-2.09%
144,1248,-1.48%,-1.80%
144,2846,-1.27%,-1.41%
144,5196,-0.99%,-1.10%
144,5419,-1.14%,-1.50%
144,6964,-2.32%,-2.39%
145,93,-0.64%,-0.79%
145,94,-1.28%,-1.36%
145,950,-1.60%,-1.88%
145,1561,-1.58%,-1.68%
145,2322,-1.34%,-1.56%
145,4533,-0.88%,-0.98%
145,6807,-2.53%,-2.60%
146,64,-1.21%,-1.31%
146,97,-0.72%,-0.89%
146,104,-0.39%,-0.70%
146,106,-0.37%,-0.70%
146,107,-0.72%,-0.82%
146,120,-1.17%,-1.28%
146,177,-1.13%,-1.48%
146,335,-0.87%,-1.10%
146,675,-1.08%,-1.18%
146,677,-1.04%,-1.22%
147,161,-0.46%,-0.70%
147,192,-0.86%,-1.02%
147,218,-0.58%,-0.75%
147,238,-0.33%,-0.70%
147,268,-0.68%,-0.91%
147,393,-0.97%,-1.12%
147,466,-0.31%,-0.70%
147,683,-0.43%,-0.70%
147,684,-0.49%,-0.70%
147,738,-0.70%,-0.77%
147,1115,-0.43%,-0.70%
149,264,-0.38%,-0.70%
149,304,-1.13%,-1.25%
149,390,-0.68%,-0.77%
149,673,-1.01%,-1.27%
149,695,-2.23%,-2.57%
149,1075,-0.97%,-1.15%
149,1226,-0.96%,-1.04%
149,3137,-0.55%,-0.66%
149,3495,-0.87%,-0.95%
149,4435,-2.26%,-2.50%
149,4483,-0.97%,-1.06%
151,314,-0.34%,-0.70%
151,416,-0.77%,-1.07%
151,656,-0.47%,-0.70%
151,667,-0.30%,-0.70%
151,682,-1.05%,-1.45%
151,735,-0.60%,-0.88%
151,737,-0.61%,-0.74%
151,2757,-0.56%,-0.70%
151,3017,-0.56%,-0.70%
151,5057,-1.48%,-1.60%
152,308,-1.13%,-1.20%
152,568,-0.58%,-0.74%
152,587,-1.11%,-1.27%
152,657,-1.62%,-1.90%
152,668,-1.21%,-1.38%
152,671,-1.33%,-1.55%
152,674,-1.30%,-1.55%
152,879,-1.02%,-1.12%
152,1376,-1.18%,-1.56%
152,4414,-1.34%,-1.44%
152,5175,-0.86%,-1.03%
153,272,-1.52%,-1.71%
153,406,-1.33%,-1.41%
153,659,-2.13%,-2.32%
153,688,-1.34%,-1.54%
153,710,-2.28%,-2.44%
153,3717,-1.09%,-1.65%
153,4482,-0.63%,-0.79%
153,5058,-2.31%,-2.58%
153,5616,-1.55%,-1.62%
153,7020,-2.37%,-2.60%
154,1967,-3.50%,-3.30%
154,1984,-0.57%,-0.70%
154,2174,-1.10%,-1.29%
154,2228,-1.63%,-1.78%
154,2289,-1.30%,-1.48%
154,2386,-0.54%,-0.71%
154,2683,-0.72%,-0.94%
154,2797,-0.67%,-0.79%
154,2901,-0.67%,-0.87%
154,5278,-1.92%,-2.01%
156,1918,-0.71%,-0.88%
156,2012,-0.83%,-1.00%
156,2118,-1.38%,-1.50%
156,2155,-1.34%,-1.44%
156,2158,-1.07%,-1.34%
156,2267,-0.25%,-0.70%
156,2329,-0.43%,-0.70%
156,2629,-1.13%,-1.40%
156,2964,-1.08%,-1.30%
156,3409,-0.95%,-1.25%
156,4387,-3.99%,-3.02%
157,1970,-1.39%,-1.44%
157,2139,-1.64%,-1.94%
157,2180,-0.34%,-0.70%
157,2222,-1.18%,-1.45%
157,2640,-0.48%,-0.70%
157,2660,-0.96%,-1.13%
157,2902,-1.29%,-1.51%
157,2903,-0.23%,-0.70%
157,3114,-1.78%,-1.97%
159,2103,-1.92%,-2.20%
159,2122,-1.70%,-1.79%
159,2128,-0.56%,-0.70%
159,2227,-0.83%,-0.92%
159,2336,-1.41%,-1.59%
159,2341,-1.93%,-2.02%
159,2904,-0.26%,-0.70%
159,3200,-0.82%,-0.92%
160,1906,-1.04%,-1.21%
160,2021,-0.75%,-0.99%
160,2095,-0.54%,-0.70%
160,2157,-0.79%,-1.06%
160,2184,-0.79%,-1.01%
160,2366,-2.03%,-2.21%
160,2953,-0.57%,-0.76%
160,3560,-1.82%,-2.03%
160,3561,-0.70%,-1.00%
160,5448,-0.84%,-1.04%
161,1873,-1.52%,-1.68%
161,1964,-1.28%,-1.45%
161,2225,-1.93%,-2.00%
161,2261,-1.19%,-1.26%
161,2283,-1.96%,-2.31%
161,2373,-1.28%,-1.35%
161,2747,-1.23%,-1.40%
161,2885,-1.39%,-1.43%
161,3301,-3.08%,-3.08%
162,1891,-2.61%,-2.47%
162,1980,-1.51%,-1.56%
162,2022,-2.15%,-2.22%
162,2170,-3.56%,-2.69%
162,2200,-1.66%,-1.91%
162,2282,-2.94%,-2.78%
162,2331,-3.11%,-2.37%
162,2854,-2.01%,-2.19%
162,2898,-1.30%,-1.50%
162,5777,-2.38%,-2.42%
163,2232,-2.73%,-3.05%
163,2299,-2.24%,-2.15%
163,2371,-2.24%,-2.27%
163,2719,-1.75%,-2.05%
163,2899,-2.50%,-2.25%
163,2900,-1.30%,-1.35%
163,2965,-2.24%,-2.55%
163,3544,-1.25%,-1.35%
163,3545,-2.03%,-2.16%
163,5095,-4.11%,-3.33%
163,5439,-3.24%,-3.50%
164,1810,-2.44%,-2.86%
164,1959,-2.31%,-2.38%
164,2104,-2.21%,-2.26%
164,2531,-3.38%,-3.48%
164,2547,-1.66%,-1.71%
164,2637,-1.47%,-1.58%
164,4570,-0.51%,-0.70%
165,1742,-2.86%,-2.96%
165,1807,-1.56%,-1.57%
165,1869,-0.32%,-0.64%
165,2108,-2.17%,-2.37%
165,2109,-1.90%,-1.93%
165,2254,-0.98%,-1.22%
165,3339,-1.43%,-1.49%
165,3422,-2.82%,-3.00%
165,3774,-1.57%,-1.73%
165,5476,-1.72%,-1.90%
166,2141,-1.64%,-2.11%
166,2650,-1.93%,-1.99%
166,2830,-1.50%,-1.79%
166,5103,-0.79%,-1.99%
166,5130,-1.55%,-1.84%
166,5229,-1.08%,-1.25%
166,5495,-2.32%,-2.56%
166,5891,-0.16%,-1.65%
167,2167,-0.93%,-1.08%
167,2236,-0.69%,-0.84%
167,2263,-2.68%,-2.63%
167,3252,-1.35%,-1.61%
167,3475,-3.06%,-2.99%
167,3541,-1.24%,-1.40%
167,4687,-2.71%,-2.70%
167,5239,-0.94%,-1.03%
167,5881,-2.60%,-2.43%
168,1670,-0.62%,-0.74%
168,1777,-1.92%,-2.18%
168,2145,-1.98%,-2.05%
168,2252,-1.98%,-2.22%
168,2614,-2.86%,-2.73%
168,2641,-2.60%,-2.60%
168,3563,-1.02%,-1.20%
168,3810,-1.81%,-1.75%
168,4612,-1.20%,-1.28%
170,2040,-1.55%,-1.75%
170,2068,-1.76%,-2.06%
170,2096,-2.25%,-2.27%
170,2445,-1.45%,-1.80%
170,2446,-2.02%,-2.06%
170,3564,-2.29%,-2.33%
170,5012,-1.79%,-2.00%
170,5131,-2.13%,-2.20%
170,5649,-1.94%,-1.99%
171,2156,-2.25%,-2.33%
171,2286,-3.20%,-2.37%
171,2906,-1.82%,-1.93%
171,2915,-1.40%,-1.65%
171,2917,-2.15%,-2.05%
171,5202,-2.51%,-2.31%
171,8331,#DIV/0!,-2.11%
172,2583,-2.88%,-2.68%
172,2916,-2.39%,-2.47%
172,3420,-2.50%,-2.48%
172,5293,-2.50%,-3.10%
172,5295,-3.36%,-3.09%
173,2144,-1.26%,-1.35%
173,2163,-2.15%,-2.19%
173,2284,-1.41%,-1.63%
173,2585,-2.97%,-2.96%
173,2897,-0.86%,-1.13%
173,2954,-2.34%,-2.63%
173,3543,-1.11%,-1.39%
173,3546,-1.47%,-1.56%
173,3547,-3.37%,-3.44%
173,3548,-3.84%,-3.21%
173,3803,-5.35%,-4.85%
173,5294,-2.21%,-2.58%
174,2090,-1.41%,-1.48%
174,2503,-0.75%,-0.83%
174,2604,-1.14%,-1.29%
174,3291,-1.65%,-1.84%
174,3443,-2.33%,-2.42%
174,3598,-1.07%,-1.16%
174,3912,-1.23%,-1.55%
174,5077,-1.39%,-1.58%
174,5178,-0.70%,-0.83%
175,2003,-3.48%,-3.24%
175,2294,-1.56%,-1.62%
175,2497,-1.43%,-1.49%
175,2582,-1.16%,-1.35%
175,2633,-2.00%,-2.32%
175,2651,-1.40%,-1.89%
175,2825,-1.92%,-2.00%
175,3078,-2.40%,-2.46%
175,4153,-1.57%,-2.00%
176,3292,-3.16%,-3.22%
176,3469,-3.18%,-2.82%
176,5111,-1.30%,-1.40%
176,5201,-1.41%,-1.49%
176,5281,-2.58%,-2.62%
176,5447,-3.00%,-3.50%
176,5867,-2.46%,-2.60%
178,1844,-0.92%,-1.20%
178,1921,-1.64%,-1.68%
178,1977,-1.31%,-1.51%
178,2195,-1.55%,-1.76%
178,3212,-2.82%,-2.63%
178,3236,-1.49%,-1.55%
178,3337,-2.25%,-2.31%
178,3830,-1.04%,-1.22%
178,5142,-2.56%,-2.60%
178,5414,-1.44%,-1.70%
179,1797,-1.28%,-1.46%
179,1856,-0.97%,-1.32%
179,1919,-0.52%,-0.70%
179,1924,-0.59%,-0.76%
179,1932,-0.63%,-0.99%
179,1974,-0.26%,-0.70%
179,2013,-0.94%,-1.23%
179,2047,-0.55%,-0.71%
179,2143,-1.20%,-1.27%
179,2178,-0.31%,-0.70%
179,5076,-0.46%,-0.70%
180,1866,-0.51%,-0.70%
180,1868,-0.94%,-1.07%
180,1939,-0.44%,-0.84%
180,2046,-0.50%,-0.84%
180,2140,-0.55%,-0.70%
180,2183,-0.68%,-0.80%
180,2202,-0.69%,-0.87%
180,2634,-0.60%,-0.76%
180,2659,-0.44%,-0.70%
180,2681,-1.48%,-1.54%
180,3269,-0.76%,-0.92%
181,1975,-1.87%,-2.17%
181,2138,-1.31%,-1.53%
181,2224,-1.25%,-1.41%
181,2332,-1.73%,-1.94%
181,2369,-1.68%,-1.73%
181,2530,-0.75%,-1.02%
181,2639,-1.16%,-1.28%
181,2682,-1.13%,-1.34%
181,2758,-1.71%,-1.82%
181,4156,-3.72%,-3.13%
181,4389,-1.95%,-2.02%
183,1698,-1.06%,-1.23%
183,1749,-1.12%,-1.27%
183,1762,-0.91%,-0.95%
183,1788,-1.51%,-1.72%
183,1954,-0.79%,-0.91%
183,2055,-1.55%,-1.73%
183,2130,-1.53%,-1.66%
183,2153,-0.93%,-1.10%
183,2330,-0.53%,-0.71%
183,2398,-1.14%,-1.32%
183,3535,-1.13%,-1.26%
184,1753,-1.10%,-1.29%
184,1785,-2.25%,-2.33%
184,1796,-1.22%,-1.40%
184,1907,-1.70%,-1.85%
184,1930,-0.92%,-1.16%
184,2057,-1.02%,-1.16%
184,2142,-1.19%,-1.28%
184,2399,-1.35%,-1.58%
184,3491,-0.78%,-0.90%
184,3549,-1.51%,-1.72%
187,1871,-1.66%,-1.75%
187,1946,-1.87%,-1.85%
187,1994,-1.31%,-1.52%
187,2092,-0.88%,-0.88%
187,2116,-1.09%,-1.49%
187,2424,-0.65%,-0.83%
187,3329,-1.94%,-1.85%
187,3334,-0.96%,-1.02%
187,4403,-0.88%,-1.25%
187,5497,-1.30%,-1.68%
187,5498,-0.96%,-0.97%
188,1940,-1.38%,-1.68%
188,1997,-2.52%,-2.61%
188,2056,-1.44%,-1.44%
188,2097,-2.65%,-2.61%
188,2152,-3.11%,-2.50%
188,2351,-2.57%,-2.35%
188,2370,-3.58%,-3.00%
188,2504,-1.67%,-1.77%
188,2844,-2.25%,-2.00%
188,3583,-3.30%,-2.75%
189,1677,-1.68%,-1.72%
189,1806,-1.16%,-1.26%
189,2093,-1.39%,-1.66%
189,2146,-1.45%,-1.74%
189,2234,-1.53%,-1.56%
189,2264,-1.49%,-1.76%
189,2285,-0.88%,-0.99%
189,2444,-0.81%,-0.98%
189,2874,-1.65%,-1.75%
190,1781,-1.34%,-1.48%
190,1835,-2.08%,-2.24%
190,1976,-1.17%,-1.33%
190,2120,-1.25%,-1.38%
190,2135,-1.71%,-1.85%
190,2262,-1.18%,-1.21%
190,2992,-1.00%,-1.14%
190,3221,-0.41%,-0.70%
190,5240,-2.21%,-2.27%
190,5732,-1.21%,-1.33%
191,1705,-0.60%,-0.70%
191,1830,-1.45%,-1.54%
191,1831,-2.00%,-2.06%
191,1926,-2.14%,-2.18%
191,2166,-2.29%,-2.33%
191,2581,-2.74%,-2.54%
191,2911,-0.78%,-0.91%
191,3332,-0.97%,-1.06%
191,5242,-1.36%,-1.65%
192,1610,-0.54%,-0.83%
192,1619,-2.67%,-2.71%
192,1673,-1.24%,-1.31%
192,1731,-0.65%,-0.72%
192,1744,-1.76%,-2.00%
192,1813,-0.53%,-0.67%
192,2785,-0.99%,-1.15%
192,3280,-1.59%,-1.73%
192,3842,-1.60%,-1.81%
192,5282,-2.65%,-2.70%
194,1949,-1.92%,-2.00%
194,1966,-1.18%,-1.22%
194,1973,-1.07%,-1.50%
194,1993,-0.96%,-1.10%
194,2043,0.05%,-0.45%
194,2159,-1.68%,-1.81%
194,2164,-0.93%,-1.05%
194,2326,-0.99%,-1.05%
194,2859,-1.74%,-1.99%
194,3607,-1.05%,-1.10%
195,1909,-1.80%,-2.01%
195,2088,-1.68%,-1.86%
195,2107,-1.64%,-1.89%
195,2210,-2.77%,-2.99%
195,2355,-2.13%,-1.90%
195,2405,-1.75%,-1.94%
195,2586,-3.04%,-2.79%
195,4597,-1.37%,-1.37%
195,5027,-1.87%,-1.92%
196,1542,-0.76%,-0.82%
196,1936,-0.37%,-0.70%
196,2079,-0.67%,-0.90%
196,2100,-0.84%,-1.00%
196,2338,-0.40%,-0.70%
196,2358,-0.83%,-0.89%
196,2417,-0.55%,-0.72%
196,2434,-0.31%,-0.70%
196,2522,-0.67%,-0.83%
196,2545,-1.12%,-1.35%
197,1790,-0.38%,-0.70%
197,2558,-1.14%,-1.24%
197,2559,-1.58%,-1.70%
197,2912,-1.12%,-1.30%
197,2959,-2.22%,-2.65%
197,3336,-0.83%,-1.05%
197,4383,-2.46%,-2.20%
197,4424,-2.14%,-2.55%
197,5842,-1.18%,-1.44%
200,1791,-0.93%,-0.99%
200,1923,-1.59%,-1.67%
200,1942,-0.85%,-1.17%
200,2102,-0.56%,-0.70%
200,2238,-0.99%,-1.15%
200,2493,-2.04%,-2.15%
200,2567,-1.10%,-1.33%
200,3453,-1.66%,-1.72%
200,3458,-0.55%,-0.71%
200,3876,-1.14%,-1.22%
200,5386,-0.39%,-0.70%
201,1540,-0.73%,-0.89%
201,2010,-1.38%,-1.59%
201,2061,-1.41%,-1.45%
201,2062,-1.80%,-1.98%
201,2678,-1.80%,-1.83%
201,2680,-3.04%,-2.50%
201,3436,-2.77%,-2.57%
201,4439,-0.97%,-1.10%
201,5064,-2.62%,-2.62%
201,5065,-3.06%,-2.55%
201,5280,-2.08%,-2.17%
202,1593,-0.30%,-0.65%
202,1642,-0.68%,-0.68%
202,1771,-0.77%,-0.85%
202,1809,-0.60%,-0.70%
202,1836,-0.61%,-1.00%
202,2080,-0.99%,-1.01%
202,2620,-0.34%,-0.65%
202,3791,-1.24%,-0.80%
202,5160,-0.71%,-1.02%
202,5472,-1.35%,-1.29%
203,1423,-0.19%,-0.65%
203,1733,-0.83%,-0.92%
203,1754,-1.42%,-1.50%
203,2866,-0.71%,-0.93%
203,2867,-1.08%,-1.24%
203,2869,-1.50%,-1.63%
203,3328,-1.12%,-1.05%
203,4540,-0.71%,-0.90%
203,5048,-0.79%,-0.86%
203,5411,-1.62%,-1.55%
203,5893,-1.07%,-1.25%
204,1422,-0.57%,-0.72%
204,1428,-1.08%,-1.20%
204,1432,-0.88%,-1.01%
204,1719,-0.25%,-0.65%
204,1752,-0.42%,-0.65%
204,2014,-0.71%,-0.83%
204,2619,-0.32%,-0.65%
204,2644,-0.93%,-0.98%
204,5097,-0.74%,-0.85%
204,5159,-0.21%,-0.65%
204,5376,-0.48%,-0.70%
205,1592,-0.29%,-0.65%
205,1611,-0.80%,-0.87%
205,1798,-0.16%,-0.65%
205,1928,-3.09%,-2.57%
205,1987,-0.32%,-0.70%
205,2273,-1.83%,-2.02%
