Region,Market,Store Nbr,Tier,Details
14,7,740,Tier 1,ISA On in Total Store
2,121,741,Tier 2,GM Pause
4,124,742,Tier 2,GM Pause
44,353,743,Tier 1,ISA On in Total Store
6,59,744,Tier 1,ISA On in Total Store
2,19,745,Tier 2,GM Pause
5,76,746,Tier 2,GM Pause
25,341,747,Tier 1,ISA On in Total Store
52,414,748,Tier 2,GM Pause
52,414,749,Tier 2,GM Pause
52,415,750,Tier 2,GM Pause
52,413,751,Tier 3,Total Store ISA Pause
6,63,752,Tier 1,ISA On in Total Store
52,415,753,Tier 2,GM Pause
3,30,754,Tier 2,GM Pause
46,70,755,Tier 2,GM Pause
2,120,756,Tier 3,Total Store ISA Pause
6,77,757,Tier 1,ISA On in Total Store
3,32,758,Tier 1,ISA On in Total Store
9,116,759,Tier 2,GM Pause
41,256,760,Tier 2,GM Pause
13,129,761,Tier 2,GM Pause
14,2,762,Tier 2,GM Pause
14,11,764,Tier 2,GM Pause
6,87,765,Tier 1,ISA On in Total Store
12,137,766,Tier 2,GM Pause
3,101,767,Tier 2,GM Pause
6,65,768,Tier 2,GM Pause
9,115,769,Tier 3,Total Store ISA Pause
47,406,770,Tier 1,ISA On in Total Store
9,92,771,Tier 3,Total Store ISA Pause
6,64,772,Tier 1,ISA On in Total Store
13,134,773,Tier 2,GM Pause
47,433,774,Tier 1,ISA On in Total Store
25,279,775,Tier 2,GM Pause
47,432,776,Tier 2,GM Pause
13,66,777,Tier 2,GM Pause
9,118,778,Tier 2,GM Pause
9,114,779,Tier 2,GM Pause
2,25,780,Tier 1,ISA On in Total Store
5,81,781,Tier 1,ISA On in Total Store
46,88,782,Tier 2,GM Pause
40,359,783,Tier 1,ISA On in Total Store
52,418,784,Tier 2,GM Pause
13,141,785,Tier 2,GM Pause
25,264,786,Tier 1,ISA On in Total Store
2,22,787,Tier 2,GM Pause
42,328,788,Tier 2,GM Pause
5,583,789,Tier 2,GM Pause
47,429,790,Tier 1,ISA On in Total Store
6,78,791,Tier 2,GM Pause
25,279,792,Tier 1,ISA On in Total Store
46,70,793,Tier 1,ISA On in Total Store
44,409,794,Tier 1,ISA On in Total Store
2,39,795,Tier 2,GM Pause
25,279,796,Tier 1,ISA On in Total Store
52,418,797,Tier 2,GM Pause
25,273,798,Tier 2,GM Pause
47,406,799,Tier 2,GM Pause
9,89,800,Tier 1,ISA On in Total Store
40,360,801,Tier 2,GM Pause
53,263,802,Tier 3,Total Store ISA Pause
13,128,803,Tier 1,ISA On in Total Store
5,48,804,Tier 3,Total Store ISA Pause
40,340,805,Tier 2,GM Pause
46,387,806,Tier 2,GM Pause
5,50,807,Tier 2,GM Pause
6,61,808,Tier 1,ISA On in Total Store
14,10,809,Tier 2,GM Pause
52,426,810,Tier 2,GM Pause
9,118,811,Tier 2,GM Pause
46,70,812,Tier 1,ISA On in Total Store
5,81,813,Tier 1,ISA On in Total Store
9,107,814,Tier 1,ISA On in Total Store
40,336,815,Tier 1,ISA On in Total Store
13,141,816,Tier 1,ISA On in Total Store
9,90,817,Tier 2,GM Pause
14,15,818,Tier 2,GM Pause
9,105,819,Tier 1,ISA On in Total Store
40,359,820,Tier 1,ISA On in Total Store
46,71,821,Tier 3,Total Store ISA Pause
46,70,822,Tier 1,ISA On in Total Store
44,345,823,Tier 2,GM Pause
46,385,824,Tier 2,GM Pause
41,257,825,Tier 1,ISA On in Total Store
46,375,826,Tier 1,ISA On in Total Store
5,45,827,Tier 2,GM Pause
25,251,828,Tier 1,ISA On in Total Store
46,385,829,Tier 1,ISA On in Total Store
25,279,830,Tier 2,GM Pause
46,385,831,Tier 1,ISA On in Total Store
25,271,833,Tier 1,ISA On in Total Store
40,360,834,Tier 2,GM Pause
46,385,835,Tier 1,ISA On in Total Store
3,28,836,Tier 3,Total Store ISA Pause
40,333,837,Tier 2,GM Pause
44,345,838,Tier 2,GM Pause
13,130,839,Tier 1,ISA On in Total Store
59,554,840,Tier 2,GM Pause
52,415,841,Tier 1,ISA On in Total Store
47,389,842,Tier 2,GM Pause
3,27,843,Tier 2,GM Pause
25,262,844,Tier 2,GM Pause
40,357,845,Tier 3,Total Store ISA Pause
6,85,846,Tier 2,GM Pause
53,441,847,Tier 2,GM Pause
12,144,848,Tier 1,ISA On in Total Store
6,59,849,Tier 1,ISA On in Total Store
46,385,850,Tier 1,ISA On in Total Store
46,387,851,Tier 2,GM Pause
25,262,852,Tier 2,GM Pause
14,1,853,Tier 2,GM Pause
21,246,854,Tier 2,GM Pause
2,22,855,Tier 1,ISA On in Total Store
2,22,856,Tier 1,ISA On in Total Store
3,94,857,Tier 2,GM Pause
3,97,858,Tier 2,GM Pause
9,116,859,Tier 1,ISA On in Total Store
3,94,860,Tier 2,GM Pause
46,71,861,Tier 1,ISA On in Total Store
3,28,862,Tier 2,GM Pause
14,10,863,Tier 1,ISA On in Total Store
3,28,864,Tier 2,GM Pause
6,87,865,Tier 1,ISA On in Total Store
14,1,866,Tier 1,ISA On in Total Store
47,429,867,Tier 2,GM Pause
46,387,868,Tier 2,GM Pause
46,375,869,Tier 1,ISA On in Total Store
25,580,870,Tier 2,GM Pause
40,333,871,Tier 3,Total Store ISA Pause
6,62,872,Tier 2,GM Pause
46,375,873,Tier 1,ISA On in Total Store
13,141,874,Tier 1,ISA On in Total Store
13,140,875,Tier 1,ISA On in Total Store
42,127,876,Tier 2,GM Pause
26,309,877,Tier 1,ISA On in Total Store
2,24,878,Tier 1,ISA On in Total Store
41,152,879,Tier 2,GM Pause
5,50,880,Tier 1,ISA On in Total Store
4,41,881,Tier 1,ISA On in Total Store
53,425,882,Tier 2,GM Pause
25,249,884,Tier 2,GM Pause
47,433,885,Tier 3,Total Store ISA Pause
52,426,886,Tier 3,Total Store ISA Pause
13,141,887,Tier 1,ISA On in Total Store
42,334,888,Tier 1,ISA On in Total Store
3,27,889,Tier 2,GM Pause
9,91,890,Tier 2,GM Pause
25,279,891,Tier 1,ISA On in Total Store
52,414,892,Tier 3,Total Store ISA Pause
44,349,893,Tier 3,Total Store ISA Pause
44,356,894,Tier 2,GM Pause
40,336,895,Tier 1,ISA On in Total Store
5,49,896,Tier 1,ISA On in Total Store
46,73,897,Tier 2,GM Pause
46,73,898,Tier 2,GM Pause
3,27,899,Tier 1,ISA On in Total Store
46,70,900,Tier 1,ISA On in Total Store
6,77,901,Tier 2,GM Pause
25,251,902,Tier 2,GM Pause
13,140,903,Tier 2,GM Pause
14,1,904,Tier 2,GM Pause
47,379,905,Tier 1,ISA On in Total Store
46,384,906,Tier 2,GM Pause
3,32,907,Tier 1,ISA On in Total Store
9,90,908,Tier 1,ISA On in Total Store
13,125,909,Tier 1,ISA On in Total Store
53,442,910,Tier 1,ISA On in Total Store
13,125,912,Tier 1,ISA On in Total Store
53,425,913,Tier 2,GM Pause
42,322,914,Tier 2,GM Pause
6,62,915,Tier 1,ISA On in Total Store
13,141,916,Tier 1,ISA On in Total Store
5,81,917,Tier 1,ISA On in Total Store
5,46,918,Tier 1,ISA On in Total Store
14,15,919,Tier 1,ISA On in Total Store
59,554,920,Tier 1,ISA On in Total Store
54,388,921,Tier 2,GM Pause
25,243,922,Tier 2,GM Pause
25,482,923,Tier 2,GM Pause
54,378,924,Tier 1,ISA On in Total Store
9,114,925,Tier 2,GM Pause
46,71,927,Tier 1,ISA On in Total Store
3,98,928,Tier 2,GM Pause
9,107,929,Tier 1,ISA On in Total Store
14,8,930,Tier 1,ISA On in Total Store
9,92,931,Tier 1,ISA On in Total Store
3,16,932,Tier 1,ISA On in Total Store
53,263,933,Tier 1,ISA On in Total Store
14,1,934,Tier 2,GM Pause
13,130,935,Tier 1,ISA On in Total Store
25,273,936,Tier 2,GM Pause
2,26,937,Tier 1,ISA On in Total Store
14,8,938,Tier 1,ISA On in Total Store
5,76,939,Tier 2,GM Pause
5,479,940,Tier 1,ISA On in Total Store
9,116,941,Tier 1,ISA On in Total Store
9,89,942,Tier 2,GM Pause
9,91,943,Tier 1,ISA On in Total Store
14,15,944,Tier 3,Total Store ISA Pause
46,71,945,Tier 2,GM Pause
44,350,947,Tier 1,ISA On in Total Store
4,304,948,Tier 2,GM Pause
12,145,950,Tier 1,ISA On in Total Store
6,85,951,Tier 2,GM Pause
3,27,952,Tier 2,GM Pause
54,378,953,Tier 1,ISA On in Total Store
13,141,954,Tier 1,ISA On in Total Store
9,91,955,Tier 1,ISA On in Total Store
9,92,956,Tier 1,ISA On in Total Store
25,279,957,Tier 2,GM Pause
53,263,958,Tier 2,GM Pause
9,89,959,Tier 2,GM Pause
3,93,960,Tier 1,ISA On in Total Store
13,129,961,Tier 1,ISA On in Total Store
47,389,962,Tier 1,ISA On in Total Store
5,48,963,Tier 2,GM Pause
46,505,964,Tier 2,GM Pause
53,438,965,Tier 2,GM Pause
46,375,966,Tier 1,ISA On in Total Store
9,104,967,Tier 2,GM Pause
9,116,968,Tier 2,GM Pause
13,143,969,Tier 2,GM Pause
13,143,970,Tier 1,ISA On in Total Store
53,438,971,Tier 3,Total Store ISA Pause
5,479,972,Tier 1,ISA On in Total Store
9,92,973,Tier 3,Total Store ISA Pause
9,92,974,Tier 1,ISA On in Total Store
44,350,975,Tier 1,ISA On in Total Store
42,135,976,Tier 2,GM Pause
3,98,977,Tier 3,Total Store ISA Pause
47,406,978,Tier 2,GM Pause
53,438,979,Tier 3,Total Store ISA Pause
54,378,980,Tier 1,ISA On in Total Store
14,138,981,Tier 2,GM Pause
53,425,982,Tier 3,Total Store ISA Pause
47,391,984,Tier 2,GM Pause
52,418,985,Tier 2,GM Pause
54,388,986,Tier 2,GM Pause
9,105,987,Tier 1,ISA On in Total Store
9,104,988,Tier 1,ISA On in Total Store
14,14,990,Tier 2,GM Pause
14,1,991,Tier 2,GM Pause
44,356,992,Tier 2,GM Pause
47,407,993,Tier 3,Total Store ISA Pause
9,104,994,Tier 2,GM Pause
25,251,995,Tier 1,ISA On in Total Store
25,251,996,Tier 1,ISA On in Total Store
59,485,998,Tier 1,ISA On in Total Store
6,86,999,Tier 1,ISA On in Total Store
6,569,1000,Tier 2,GM Pause
47,389,1001,Tier 2,GM Pause
25,580,1002,Tier 1,ISA On in Total Store
25,262,1003,Tier 1,ISA On in Total Store
9,115,1004,Tier 2,GM Pause
52,426,1005,Tier 3,Total Store ISA Pause
3,27,1006,Tier 1,ISA On in Total Store
53,438,1007,Tier 2,GM Pause
54,378,1008,Tier 2,GM Pause
40,333,1009,Tier 2,GM Pause
26,309,1010,Tier 3,Total Store ISA Pause
4,29,1011,Tier 2,GM Pause
53,444,1012,Tier 2,GM Pause
25,251,1013,Tier 3,Total Store ISA Pause
40,361,1014,Tier 2,GM Pause
46,505,1015,Tier 2,GM Pause
13,129,1016,Tier 1,ISA On in Total Store
4,38,1017,Tier 2,GM Pause
3,28,1018,Tier 2,GM Pause
47,389,1019,Tier 2,GM Pause
53,425,1020,Tier 2,GM Pause
40,339,1021,Tier 1,ISA On in Total Store
5,45,1022,Tier 2,GM Pause
20,311,1023,Tier 2,GM Pause
3,30,1024,Tier 1,ISA On in Total Store
13,141,1025,Tier 1,ISA On in Total Store
25,580,1026,Tier 2,GM Pause
4,306,1027,Tier 1,ISA On in Total Store
25,278,1028,Tier 2,GM Pause
9,104,1029,Tier 1,ISA On in Total Store
4,38,1030,Tier 1,ISA On in Total Store
14,15,1032,Tier 1,ISA On in Total Store
25,243,1033,Tier 1,ISA On in Total Store
4,305,1034,Tier 2,GM Pause
4,42,1035,Tier 2,GM Pause
2,294,1036,Tier 1,ISA On in Total Store
4,36,1037,Tier 1,ISA On in Total Store
53,425,1038,Tier 1,ISA On in Total Store
4,304,1039,Tier 1,ISA On in Total Store
6,65,1040,Tier 2,GM Pause
6,569,1041,Tier 1,ISA On in Total Store
6,85,1042,Tier 2,GM Pause
44,350,1043,Tier 1,ISA On in Total Store
5,45,1044,Tier 1,ISA On in Total Store
47,379,1045,Tier 1,ISA On in Total Store
46,88,1046,Tier 3,Total Store ISA Pause
2,22,1047,Tier 2,GM Pause
41,257,1048,Tier 1,ISA On in Total Store
46,71,1051,Tier 1,ISA On in Total Store
14,11,1052,Tier 2,GM Pause
41,242,1053,Tier 2,GM Pause
47,411,1054,Tier 2,GM Pause
5,583,1055,Tier 2,GM Pause
44,353,1056,Tier 2,GM Pause
14,10,1057,Tier 1,ISA On in Total Store
54,388,1058,Tier 1,ISA On in Total Store
14,138,1059,Tier 2,GM Pause
4,304,1060,Tier 2,GM Pause
3,28,1061,Tier 2,GM Pause
6,63,1062,Tier 1,ISA On in Total Store
14,7,1063,Tier 2,GM Pause
4,304,1064,Tier 2,GM Pause
42,325,1065,Tier 2,GM Pause
13,143,1066,Tier 2,GM Pause
6,84,1067,Tier 1,ISA On in Total Store
9,92,1068,Tier 1,ISA On in Total Store
14,138,1069,Tier 3,Total Store ISA Pause
2,18,1070,Tier 2,GM Pause
25,341,1071,Tier 2,GM Pause
3,27,1072,Tier 1,ISA On in Total Store
5,81,1073,Tier 2,GM Pause
12,136,1074,Tier 1,ISA On in Total Store
12,149,1075,Tier 1,ISA On in Total Store
3,32,1076,Tier 2,GM Pause
3,97,1077,Tier 1,ISA On in Total Store
5,74,1078,Tier 2,GM Pause
3,94,1079,Tier 2,GM Pause
4,124,1080,Tier 2,GM Pause
3,93,1081,Tier 1,ISA On in Total Store
3,98,1082,Tier 1,ISA On in Total Store
3,101,1083,Tier 1,ISA On in Total Store
9,91,1084,Tier 3,Total Store ISA Pause
9,104,1085,Tier 1,ISA On in Total Store
9,90,1086,Tier 1,ISA On in Total Store
9,107,1087,Tier 2,GM Pause
13,143,1088,Tier 2,GM Pause
2,119,1089,Tier 2,GM Pause
3,101,1090,Tier 2,GM Pause
14,7,1091,Tier 2,GM Pause
21,246,1093,Tier 2,GM Pause
40,361,1094,Tier 1,ISA On in Total Store
54,388,1095,Tier 3,Total Store ISA Pause
4,304,1096,Tier 2,GM Pause
26,309,1097,Tier 1,ISA On in Total Store
6,84,1098,Tier 1,ISA On in Total Store
44,409,1099,Tier 2,GM Pause
12,137,1100,Tier 1,ISA On in Total Store
14,8,1101,Tier 1,ISA On in Total Store
13,130,1102,Tier 1,ISA On in Total Store
6,59,1103,Tier 1,ISA On in Total Store
9,104,1104,Tier 2,GM Pause
42,326,1105,Tier 2,GM Pause
13,141,1106,Tier 1,ISA On in Total Store
13,134,1107,Tier 2,GM Pause
42,135,1108,Tier 2,GM Pause
42,135,1109,Tier 1,ISA On in Total Store
42,135,1110,Tier 2,GM Pause
2,21,1111,Tier 2,GM Pause
3,16,1112,Tier 2,GM Pause
41,258,1113,Tier 1,ISA On in Total Store
42,328,1114,Tier 2,GM Pause
12,147,1115,Tier 2,GM Pause
44,349,1116,Tier 2,GM Pause
5,51,1117,Tier 2,GM Pause
5,55,1118,Tier 1,ISA On in Total Store
9,105,1119,Tier 3,Total Store ISA Pause
40,360,1120,Tier 2,GM Pause
2,21,1121,Tier 1,ISA On in Total Store
2,18,1122,Tier 2,GM Pause
2,35,1123,Tier 1,ISA On in Total Store
12,137,1124,Tier 2,GM Pause
25,278,1125,Tier 1,ISA On in Total Store
6,506,1126,Tier 2,GM Pause
13,134,1128,Tier 1,ISA On in Total Store
5,82,1129,Tier 2,GM Pause
2,39,1130,Tier 1,ISA On in Total Store
4,304,1131,Tier 1,ISA On in Total Store
26,298,1132,Tier 2,GM Pause
26,309,1133,Tier 1,ISA On in Total Store
14,7,1134,Tier 3,Total Store ISA Pause
4,38,1135,Tier 1,ISA On in Total Store
13,131,1136,Tier 1,ISA On in Total Store
6,60,1137,Tier 2,GM Pause
53,441,1138,Tier 2,GM Pause
41,259,1139,Tier 2,GM Pause
41,259,1140,Tier 2,GM Pause
25,249,1141,Tier 2,GM Pause
25,243,1142,Tier 1,ISA On in Total Store
3,30,1143,Tier 2,GM Pause
4,42,1144,Tier 1,ISA On in Total Store
4,36,1146,Tier 3,Total Store ISA Pause
42,328,1147,Tier 2,GM Pause
44,349,1148,Tier 1,ISA On in Total Store
46,367,1149,Tier 2,GM Pause
6,85,1150,Tier 2,GM Pause
40,362,1151,Tier 3,Total Store ISA Pause
52,426,1152,Tier 2,GM Pause
3,32,1153,Tier 1,ISA On in Total Store
6,506,1154,Tier 1,ISA On in Total Store
26,310,1155,Tier 1,ISA On in Total Store
4,306,1156,Tier 2,GM Pause
25,243,1157,Tier 2,GM Pause
14,2,1158,Tier 1,ISA On in Total Store
2,123,1159,Tier 2,GM Pause
25,243,1160,Tier 2,GM Pause
40,339,1161,Tier 2,GM Pause
25,580,1162,Tier 3,Total Store ISA Pause
13,125,1163,Tier 3,Total Store ISA Pause
4,41,1164,Tier 1,ISA On in Total Store
41,256,1165,Tier 1,ISA On in Total Store
26,300,1166,Tier 3,Total Store ISA Pause
53,435,1167,Tier 2,GM Pause
13,141,1168,Tier 1,ISA On in Total Store
42,127,1169,Tier 1,ISA On in Total Store
41,256,1170,Tier 2,GM Pause
9,115,1171,Tier 1,ISA On in Total Store
3,98,1172,Tier 3,Total Store ISA Pause
3,98,1173,Tier 1,ISA On in Total Store
14,14,1174,Tier 1,ISA On in Total Store
46,364,1175,Tier 1,ISA On in Total Store
53,441,1176,Tier 2,GM Pause
40,340,1177,Tier 2,GM Pause
5,50,1178,Tier 1,ISA On in Total Store
2,294,1179,Tier 2,GM Pause
25,243,1180,Tier 2,GM Pause
2,23,1181,Tier 2,GM Pause
3,94,1182,Tier 2,GM Pause
4,41,1183,Tier 1,ISA On in Total Store
2,20,1184,Tier 2,GM Pause
5,83,1185,Tier 1,ISA On in Total Store
6,60,1186,Tier 2,GM Pause
44,410,1187,Tier 2,GM Pause
41,258,1189,Tier 2,GM Pause
41,257,1190,Tier 1,ISA On in Total Store
26,296,1191,Tier 2,GM Pause
13,141,1192,Tier 2,GM Pause
42,135,1193,Tier 2,GM Pause
2,122,1194,Tier 1,ISA On in Total Store
13,143,1195,Tier 1,ISA On in Total Store
13,131,1196,Tier 2,GM Pause
26,301,1197,Tier 2,GM Pause
6,506,1198,Tier 1,ISA On in Total Store
54,388,1199,Tier 1,ISA On in Total Store
47,391,1200,Tier 2,GM Pause
14,3,1201,Tier 2,GM Pause
53,438,1202,Tier 3,Total Store ISA Pause
9,116,1203,Tier 1,ISA On in Total Store
13,66,1204,Tier 3,Total Store ISA Pause
3,101,1205,Tier 2,GM Pause
13,130,1206,Tier 1,ISA On in Total Store
14,15,1207,Tier 1,ISA On in Total Store
4,305,1209,Tier 1,ISA On in Total Store
41,260,1210,Tier 1,ISA On in Total Store
25,270,1211,Tier 2,GM Pause
14,1,1212,Tier 2,GM Pause
9,104,1213,Tier 2,GM Pause
47,406,1214,Tier 3,Total Store ISA Pause
2,120,1215,Tier 2,GM Pause
5,53,1216,Tier 1,ISA On in Total Store
2,294,1217,Tier 1,ISA On in Total Store
46,366,1218,Tier 1,ISA On in Total Store
3,101,1219,Tier 2,GM Pause
9,90,1220,Tier 2,GM Pause
44,409,1221,Tier 2,GM Pause
14,14,1222,Tier 1,ISA On in Total Store
3,97,1223,Tier 1,ISA On in Total Store
14,14,1224,Tier 3,Total Store ISA Pause
3,101,1225,Tier 2,GM Pause
12,149,1226,Tier 1,ISA On in Total Store
3,30,1227,Tier 2,GM Pause
25,269,1228,Tier 2,GM Pause
14,13,1229,Tier 2,GM Pause
46,364,1230,Tier 2,GM Pause
47,379,1231,Tier 1,ISA On in Total Store
5,81,1232,Tier 1,ISA On in Total Store
41,258,1233,Tier 2,GM Pause
41,257,1234,Tier 2,GM Pause
6,86,1235,Tier 1,ISA On in Total Store
26,302,1236,Tier 2,GM Pause
26,299,1237,Tier 3,Total Store ISA Pause
26,310,1238,Tier 1,ISA On in Total Store
21,217,1239,Tier 2,GM Pause
46,367,1240,Tier 1,ISA On in Total Store
52,418,1241,Tier 2,GM Pause
2,294,1242,Tier 2,GM Pause
75,312,1243,Tier 3,Total Store ISA Pause
2,35,1244,Tier 1,ISA On in Total Store
9,114,1245,Tier 2,GM Pause
41,258,1247,Tier 2,GM Pause
12,144,1248,Tier 2,GM Pause
5,74,1249,Tier 2,GM Pause
47,380,1252,Tier 2,GM Pause
5,82,1253,Tier 1,ISA On in Total Store
5,76,1254,Tier 1,ISA On in Total Store
26,309,1255,Tier 2,GM Pause
25,266,1256,Tier 1,ISA On in Total Store
5,74,1257,Tier 2,GM Pause
41,258,1259,Tier 2,GM Pause
13,143,1260,Tier 2,GM Pause
26,310,1261,Tier 2,GM Pause
41,254,1263,Tier 1,ISA On in Total Store
21,222,1264,Tier 3,Total Store ISA Pause
40,340,1265,Tier 1,ISA On in Total Store
13,130,1266,Tier 1,ISA On in Total Store
53,441,1267,Tier 2,GM Pause
26,300,1268,Tier 1,ISA On in Total Store
2,39,1270,Tier 1,ISA On in Total Store
14,138,1271,Tier 1,ISA On in Total Store
5,74,1272,Tier 1,ISA On in Total Store
47,389,1273,Tier 2,GM Pause
53,441,1274,Tier 2,GM Pause
25,482,1275,Tier 1,ISA On in Total Store
53,444,1276,Tier 1,ISA On in Total Store
53,438,1277,Tier 1,ISA On in Total Store
6,59,1279,Tier 2,GM Pause
54,388,1280,Tier 1,ISA On in Total Store
4,42,1281,Tier 2,GM Pause
47,407,1282,Tier 2,GM Pause
3,93,1283,Tier 3,Total Store ISA Pause
3,16,1284,Tier 2,GM Pause
52,418,1285,Tier 2,GM Pause
4,41,1286,Tier 1,ISA On in Total Store
26,296,1287,Tier 1,ISA On in Total Store
26,296,1288,Tier 2,GM Pause
21,221,1289,Tier 2,GM Pause
4,304,1290,Tier 2,GM Pause
46,367,1291,Tier 1,ISA On in Total Store
75,312,1292,Tier 3,Total Store ISA Pause
3,30,1293,Tier 2,GM Pause
21,247,1294,Tier 1,ISA On in Total Store
44,350,1295,Tier 1,ISA On in Total Store
6,569,1296,Tier 2,GM Pause
3,93,1297,Tier 1,ISA On in Total Store
26,302,1298,Tier 2,GM Pause
46,364,1299,Tier 1,ISA On in Total Store
26,302,1300,Tier 2,GM Pause
75,312,1301,Tier 2,GM Pause
20,311,1302,Tier 2,GM Pause
5,81,1303,Tier 1,ISA On in Total Store
21,247,1304,Tier 1,ISA On in Total Store
53,441,1305,Tier 1,ISA On in Total Store
46,387,1306,Tier 2,GM Pause
25,262,1307,Tier 1,ISA On in Total Store
47,380,1308,Tier 2,GM Pause
75,312,1309,Tier 2,GM Pause
25,251,1310,Tier 1,ISA On in Total Store
3,16,1311,Tier 2,GM Pause
26,310,1312,Tier 1,ISA On in Total Store
6,77,1313,Tier 1,ISA On in Total Store
2,24,1314,Tier 1,ISA On in Total Store
54,381,1315,Tier 1,ISA On in Total Store
53,439,1316,Tier 2,GM Pause
2,294,1317,Tier 1,ISA On in Total Store
2,122,1318,Tier 1,ISA On in Total Store
2,122,1319,Tier 2,GM Pause
2,122,1320,Tier 1,ISA On in Total Store
26,299,1321,Tier 1,ISA On in Total Store
26,308,1322,Tier 1,ISA On in Total Store
25,278,1323,Tier 2,GM Pause
46,366,1324,Tier 1,ISA On in Total Store
46,366,1325,Tier 1,ISA On in Total Store
47,429,1326,Tier 2,GM Pause
25,243,1327,Tier 2,GM Pause
46,364,1328,Tier 1,ISA On in Total Store
21,247,1329,Tier 1,ISA On in Total Store
21,222,1330,Tier 2,GM Pause
21,223,1331,Tier 2,GM Pause
52,426,1332,Tier 2,GM Pause
21,222,1333,Tier 1,ISA On in Total Store
46,372,1334,Tier 2,GM Pause
75,315,1335,Tier 2,GM Pause
20,311,1336,Tier 2,GM Pause
4,304,1337,Tier 2,GM Pause
3,16,1338,Tier 1,ISA On in Total Store
4,41,1339,Tier 2,GM Pause
2,20,1340,Tier 1,ISA On in Total Store
41,254,1341,Tier 1,ISA On in Total Store
13,128,1342,Tier 1,ISA On in Total Store
75,315,1344,Tier 3,Total Store ISA Pause
75,314,1345,Tier 3,Total Store ISA Pause
13,143,1346,Tier 3,Total Store ISA Pause
6,87,1347,Tier 1,ISA On in Total Store
26,300,1348,Tier 1,ISA On in Total Store
9,109,1349,Tier 1,ISA On in Total Store
75,315,1350,Tier 2,GM Pause
20,317,1351,Tier 2,GM Pause
26,300,1352,Tier 2,GM Pause
26,301,1354,Tier 1,ISA On in Total Store
26,302,1355,Tier 3,Total Store ISA Pause
25,251,1356,Tier 3,Total Store ISA Pause
46,387,1357,Tier 1,ISA On in Total Store
4,36,1358,Tier 3,Total Store ISA Pause
4,36,1359,Tier 1,ISA On in Total Store
20,317,1360,Tier 2,GM Pause
52,426,1361,Tier 2,GM Pause
14,15,1362,Tier 2,GM Pause
2,21,1363,Tier 2,GM Pause
57,365,1364,Tier 1,ISA On in Total Store
53,436,1365,Tier 1,ISA On in Total Store
53,440,1366,Tier 2,GM Pause
3,32,1367,Tier 2,GM Pause
21,218,1368,Tier 1,ISA On in Total Store
46,364,1369,Tier 1,ISA On in Total Store
57,365,1370,Tier 2,GM Pause
25,580,1371,Tier 3,Total Store ISA Pause
26,299,1372,Tier 1,ISA On in Total Store
2,24,1373,Tier 1,ISA On in Total Store
9,91,1374,Tier 2,GM Pause
3,97,1375,Tier 1,ISA On in Total Store
41,152,1376,Tier 2,GM Pause
25,270,1377,Tier 2,GM Pause
21,247,1378,Tier 2,GM Pause
26,301,1379,Tier 2,GM Pause
46,372,1381,Tier 1,ISA On in Total Store
2,39,1382,Tier 1,ISA On in Total Store
4,29,1383,Tier 1,ISA On in Total Store
47,389,1384,Tier 2,GM Pause
4,305,1385,Tier 2,GM Pause
25,262,1386,Tier 3,Total Store ISA Pause
9,108,1387,Tier 2,GM Pause
21,248,1388,Tier 2,GM Pause
52,414,1389,Tier 2,GM Pause
9,111,1390,Tier 1,ISA On in Total Store
3,94,1391,Tier 2,GM Pause
26,300,1392,Tier 1,ISA On in Total Store
52,413,1393,Tier 2,GM Pause
53,435,1394,Tier 2,GM Pause
25,272,1395,Tier 2,GM Pause
53,441,1396,Tier 1,ISA On in Total Store
46,384,1397,Tier 1,ISA On in Total Store
9,108,1398,Tier 2,GM Pause
75,315,1399,Tier 2,GM Pause
2,21,1400,Tier 2,GM Pause
25,265,1401,Tier 3,Total Store ISA Pause
2,18,1403,Tier 2,GM Pause
25,269,1404,Tier 2,GM Pause
6,61,1405,Tier 2,GM Pause
75,286,1406,Tier 2,GM Pause
21,221,1407,Tier 1,ISA On in Total Store
3,97,1408,Tier 1,ISA On in Total Store
6,65,1409,Tier 2,GM Pause
21,223,1410,Tier 1,ISA On in Total Store
46,366,1411,Tier 2,GM Pause
54,381,1412,Tier 2,GM Pause
25,270,1413,Tier 3,Total Store ISA Pause
46,384,1414,Tier 2,GM Pause
52,421,1415,Tier 2,GM Pause
19,207,1416,Tier 2,GM Pause
46,364,1417,Tier 1,ISA On in Total Store
25,341,1418,Tier 1,ISA On in Total Store
21,248,1419,Tier 1,ISA On in Total Store
25,264,1420,Tier 2,GM Pause
25,278,1421,Tier 2,GM Pause
19,204,1422,Tier 2,GM Pause
19,203,1423,Tier 2,GM Pause
75,290,1424,Tier 2,GM Pause
21,248,1425,Tier 2,GM Pause
41,259,1426,Tier 2,GM Pause
21,218,1427,Tier 1,ISA On in Total Store
19,204,1428,Tier 2,GM Pause
19,213,1429,Tier 2,GM Pause
53,439,1430,Tier 2,GM Pause
52,418,1431,Tier 1,ISA On in Total Store
19,204,1432,Tier 1,ISA On in Total Store
21,222,1433,Tier 1,ISA On in Total Store
47,391,1434,Tier 2,GM Pause
52,413,1435,Tier 2,GM Pause
9,107,1436,Tier 1,ISA On in Total Store
47,406,1437,Tier 1,ISA On in Total Store
46,405,1438,Tier 2,GM Pause
46,405,1439,Tier 1,ISA On in Total Store
54,403,1440,Tier 2,GM Pause
21,221,1441,Tier 2,GM Pause
46,405,1442,Tier 2,GM Pause
