Store Number,Invoice Number,Date of Invoice ,   Total Amount   ,Out of Scope,Area of Machine,Memo,Comments
US07304G,INV168084-01255A,2/21/2025,$453.69,IMPROPER HANDLING - OTHER,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/17/2024 21:02
US00988G,INV168084-01255A,2/21/2025,$300.00,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/19/2024 16:52
US00579G,INV168084-01255A,2/21/2025,$425.00,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/15/2024 10:52
US00725G,INV168084-01255A,2/21/2025,$551.35,IMPROPER HANDLING - CASSETTES,BNR,JAMS – NOTE: A note jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/23/2024 9:17
US04777G,INV168084-01255A,2/21/2025,$949.87,IMPROPER HANDLING - TOUCH SCREEN,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",1/3/2025 17:28
US04911G,INV168084-01255A,2/21/2025,$324.75,FOREIGN OBJECT - OTHER,BNR,FOREIGN OBJECT – OTHER: The unit failure or damage was due to a foreign object found in the note recycler.,12/30/2024 8:00
US06240G,INV168084-01255A,2/21/2025,$300.00,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,1/2/2025 7:33
US06244G,INV168084-01255A,2/21/2025,$324.75,IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/30/2024 10:48
US06369G,INV168084-01255A,2/21/2025,$646.58,IMPROPER HANDLING - GAS SPRING,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/27/2024 17:38
US06422G,INV168084-01255A,2/21/2025,$324.75,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/31/2024 13:42
US06624G,INV168084-01255A,2/21/2025,"$1,343.50",IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/30/2024 7:31
US06686G,INV168084-01255A,2/21/2025,$324.75,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/3/2025 10:13
US06979G,INV168084-01255A,2/21/2025,$318.00,IMPROPER HANDLING - OTHER,OTHER,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",1/3/2025 15:16
US08157G,INV168084-01255A,2/21/2025,$425.00,SITE DECLINED TROUBLESHOOTING,BCR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/29/2024 13:25
US08265G,INV168084-01255A,2/21/2025,"$5,508.84",IMPROPER HANDLING - CASSETTES,BNR,"LOSS OF COMPONENT: Site lost unit component parts through abuse, neglect, or failure to maintain the security of the equipment.",1/2/2025 15:15
US08268G,INV168084-01255A,2/21/2025,"$1,363.45",IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/30/2024 9:10
US00001G,INV168084-01255A,2/21/2025,"$2,984.95",IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/28/2024 14:45
US00001G,INV168084-01255A,2/21/2025,"$1,102.02",IMPROPER HANDLING - HOPPERS,BCR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/31/2024 7:58
US01001G,INV168084-01255A,2/21/2025,$497.69,IMPROPER HANDLING - SHUTTER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/30/2024 9:59
US01006G,INV168084-01255A,2/21/2025,$425.00,IMPROPER HANDLING - VAULT,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/28/2024 15:57
US01009G,INV168084-01255A,2/21/2025,$776.35,ACTS OF NATURE,OTHER,"ACTS OF NATURE: Damage to the system was due to an act of nature (earthquake, flood, tornado, etc.).",12/31/2024 11:17
US01025G,INV168084-01255A,2/21/2025,$321.00,IMPROPER HANDLING - OTHER,OTHER,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/30/2024 13:38
US01037G,INV168084-01255A,2/21/2025,"$2,808.07",IMPROPER HANDLING - COIN SORTER,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/31/2024 11:19
US01055G,INV168084-01255A,2/21/2025,"$1,874.54",IMPROPER HANDLING - GAS SPRING,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/30/2024 7:38
US01104G,INV168084-01255A,2/21/2025,$300.00,IMPROPER HANDLING - HOPPERS,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/31/2024 14:51
US01134G,INV168084-01255A,2/21/2025,$300.00,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/1/2025 9:38
US01224G,INV168084-01255A,2/21/2025,$300.00,SITE DECLINED TROUBLESHOOTING,OTHER,JAMS – NOTE: A note jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/31/2024 9:24
US01227G,INV168084-01255A,2/21/2025,"$1,020.71",IMPROPER HANDLING - OTHER,BNR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/30/2024 15:29
US01265G,INV168084-01255A,2/21/2025,$549.18,IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/31/2024 18:16
US01266G,INV168084-01255A,2/21/2025,$331.50,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/30/2024 16:57
US00131G,INV168084-01255A,2/21/2025,$558.16,IMPROPER HANDLING - HOPPERS,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/31/2024 12:03
US01340G,INV168084-01255A,2/21/2025,"$2,725.98",IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/28/2024 15:58
US01367G,INV168084-01255A,2/21/2025,"$1,133.00",IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/29/2024 8:42
US00014G,INV168084-01255A,2/21/2025,"$1,124.88",IMPROPER HANDLING - GAS SPRING,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/30/2024 10:38
US01438G,INV168084-01255A,2/21/2025,$747.82,IMPROPER HANDLING - CASSETTES,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/30/2024 14:41
US00148G,INV168084-01255A,2/21/2025,$460.06,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/29/2024 13:47
US01507G,INV168084-01255A,2/21/2025,$520.00,IMPROPER HANDLING - VAULT,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/30/2024 12:43
US01598G,INV168084-01255A,2/21/2025,$300.00,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,1/1/2025 9:20
US01599G,INV168084-01255A,2/21/2025,$328.06,SITE DECLINED TROUBLESHOOTING,OTHER,JAMS – NOTE: A note jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/27/2024 17:05
US01613G,INV168084-01255A,2/21/2025,$453.69,IMPROPER HANDLING - HOPPERS,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",1/1/2025 14:40
US01710G,INV168084-01255A,2/21/2025,$321.00,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/30/2024 8:17
US00175G,INV168084-01255A,2/21/2025,$668.07,IMPROPER HANDLING - SHUTTER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/28/2024 10:19
US01756G,INV168084-01255A,2/21/2025,$843.69,IMPROPER HANDLING - OTHER,BNR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/29/2024 19:27
US01805G,INV168084-01255A,2/21/2025,$300.00,FOREIGN OBJECT - OTHER,BNR,JAMS – NOTE: A note jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/30/2024 14:02
US01840G,INV168084-01255A,2/21/2025,$628.07,IMPROPER HANDLING - GAS SPRING,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/31/2024 9:48
US01881G,INV168084-01255A,2/21/2025,$425.00,FOREIGN OBJECT - OTHER,OTHER,FOREIGN OBJECT – OTHER: The unit failure or damage was due to a foreign object found in the note recycler.,12/29/2024 13:09
US02101G,INV168084-01255A,2/21/2025,$326.10,NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,12/31/2024 9:11
US02181G,INV168084-01255A,2/21/2025,$546.38,IMPROPER HANDLING - SHUTTER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/30/2024 7:45
US02196G,INV168084-01255A,2/21/2025,"$1,800.60",IMPROPER HANDLING - CASSETTES,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/19/2024 5:32
US02247G,INV168084-01255A,2/21/2025,$321.75,IMPROPER HANDLING - TILL,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/31/2024 15:26
US02249G,INV168084-01255A,2/21/2025,$324.60,REFUSED ACCESS TO DEVICE,OTHER,ACCESS: The site failed to provide access to the unit’s scheduled preventative maintenance or repair services.,12/31/2024 16:08
US00231G,INV168084-01255A,2/21/2025,"$1,628.38",IMPROPER HANDLING - CASSETTES,BNR,"LOSS OF COMPONENT: Site lost unit component parts through abuse, neglect, or failure to maintain the security of the equipment.",1/2/2025 12:25
US02475G,INV168084-01255A,2/21/2025,$425.00,SITE DECLINED TROUBLESHOOTING,OTHER,JAMS – NOTE: A note jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/29/2024 15:13
US02477G,INV168084-01255A,2/21/2025,$300.00,IMPROPER HANDLING - HOPPERS,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/31/2024 9:46
US00248G,INV168084-01255A,2/21/2025,$460.06,FOREIGN OBJECT - COIN,OTHER,FOREIGN OBJECT – COIN: The unit failure or damage was due to a coin found in the note recycler.,12/28/2024 19:37
PR02501G,INV168084-01255A,2/21/2025,$473.88,IMPROPER HANDLING - HOPPERS,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/28/2024 19:52
US02533G,INV168084-01255A,2/21/2025,$300.00,FOREIGN OBJECT - OTHER,BNR,FOREIGN OBJECT – OTHER: The unit failure or damage was due to a foreign object found in the note recycler.,12/31/2024 15:35
US02539G,INV168084-01255A,2/21/2025,$625.89,IMPROPER HANDLING - GAS SPRING,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/3/2024 15:06
US00254G,INV168084-01255A,2/21/2025,$300.00,IMPROPER HANDLING - HOPPERS,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/12/2024 11:31
US02571G,INV168084-01255A,2/21/2025,$633.37,IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/31/2024 17:10
US02584G,INV168084-01255A,2/21/2025,$483.72,IMPROPER HANDLING - SHUTTER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",1/2/2025 8:23
US00259G,INV168084-01255A,2/21/2025,$324.75,NON DEVICE RELATED ISSUES,OTHER,THIRD PARTY EQUIPMENT: Machine has lost communication due to failure of network administered by third party,12/30/2024 12:47
US02598G,INV168084-01255A,2/21/2025,$425.00,IMPROPER HANDLING - OTHER,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/28/2024 8:46
US02672G,INV168084-01255A,2/21/2025,$490.89,IMPROPER HANDLING - SHUTTER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/31/2024 12:25
US02691G,INV168084-01255A,2/21/2025,$527.97,IMPROPER HANDLING - HOPPERS,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/10/2024 11:19
US02768G,INV168084-01255A,2/21/2025,$317.33,IMPROPER HANDLING - VAULT,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/27/2024 8:30
US02804G,INV168084-01255A,2/21/2025,$576.08,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/28/2024 10:20
US02806G,INV168084-01255A,2/21/2025,$300.00,IMPROPER HANDLING - COIN SORTER,BCR,COIN AUDIT: Coin Audit,12/23/2024 13:17
US02835G,INV168084-01255A,2/21/2025,"$1,667.75",IMPROPER HANDLING - OTHER,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/27/2024 16:03
US02886G,INV168084-01255A,2/21/2025,"$1,575.52",IMPROPER HANDLING - OTHER,BNR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/19/2024 12:24
US02927G,INV168084-01255A,2/21/2025,$574.74,IMPROPER HANDLING - GAS SPRING,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/17/2024 11:11
US00300G,INV168084-01255A,2/21/2025,"$3,497.63",IMPROPER HANDLING - OTHER,BNR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/17/2024 12:35
US03050G,INV168084-01255A,2/21/2025,"$1,259.53",IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",1/1/2025 11:05
US03059G,INV168084-01255A,2/21/2025,$334.67,IMPROPER HANDLING - OTHER,OTHER,"LOSS OF COMPONENT: Site lost unit component parts through abuse, neglect, or failure to maintain the security of the equipment.",12/19/2024 14:08
US03103G,INV168084-01255A,2/21/2025,$325.50,FOREIGN OBJECT - OTHER,OTHER,FOREIGN OBJECT – OTHER: The unit failure or damage was due to a foreign object found in the note recycler.,12/31/2024 8:57
US00319G,INV168084-01255A,2/21/2025,$300.00,REFUSED ACCESS TO DEVICE,OTHER,ACCESS: The site failed to provide access to the unit’s scheduled preventative maintenance or repair services.,12/31/2024 16:06
US03192G,INV168084-01255A,2/21/2025,$621.58,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/28/2024 14:09
US03234G,INV168084-01255A,2/21/2025,$329.25,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/31/2024 10:00
US03290G,INV168084-01255A,2/21/2025,"$2,718.02",IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/11/2024 7:24
US03320G,INV168084-01255A,2/21/2025,"$1,226.47",IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/19/2024 17:58
US03360G,INV168084-01255A,2/21/2025,"$2,530.13",IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/15/2024 5:40
US03389G,INV168084-01255A,2/21/2025,$425.00,NON DEVICE RELATED ISSUES,BCR,COIN AUDIT: Coin Audit,12/28/2024 12:34
US03408G,INV168084-01255A,2/21/2025,$732.93,IMPROPER HANDLING - OTHER,OTHER,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/27/2024 17:20
US03433G,INV168084-01255A,2/21/2025,$523.63,IMPROPER HANDLING - SHUTTER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/23/2024 11:36
US03449G1,INV168084-01255A,2/21/2025,$94.63,IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",1/2/2025 15:15
US00345G,INV168084-01255A,2/21/2025,$523.63,IMPROPER HANDLING - SHUTTER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/30/2024 13:08
US03473G,INV168084-01255A,2/21/2025,$300.00,SITE DECLINED TROUBLESHOOTING,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/31/2024 6:49
US03478G,INV168084-01255A,2/21/2025,$444.13,IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/29/2024 10:31
US03493G,INV168084-01255A,2/21/2025,$425.00,IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/8/2024 17:15
US03508G,INV168084-01255A,2/21/2025,$920.51,ACTS OF NATURE,OTHER,"ACTS OF NATURE: Damage to the system was due to an act of nature (earthquake, flood, tornado, etc.).",12/28/2024 19:33
US00351G1,INV168084-01255A,2/21/2025,$460.06,ACTS OF NATURE,OTHER,"ACTS OF NATURE: Damage to the system was due to an act of nature (earthquake, flood, tornado, etc.).",12/29/2024 13:51
US00351G1,INV168084-01255A,2/21/2025,$884.08,IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/23/2024 15:29
US03528G,INV168084-01255A,2/21/2025,$321.00,FOREIGN OBJECT - OTHER,BNR,FOREIGN OBJECT – OTHER: The unit failure or damage was due to a foreign object found in the note recycler.,12/31/2024 7:00
US00361G,INV168084-01255A,2/21/2025,$653.50,IMPROPER HANDLING - HOPPERS,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/30/2024 19:13
US03631G,INV168084-01255A,2/21/2025,$402.90,IMPROPER HANDLING - CASSETTES,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/30/2024 14:27
US03635G1,INV168084-01255A,2/21/2025,$300.00,SITE DECLINED TROUBLESHOOTING,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/1/2025 11:47
US00365G,INV168084-01255A,2/21/2025,$943.78,ACTS OF NATURE,OTHER,"ACTS OF NATURE: Damage to the system was due to an act of nature (earthquake, flood, tornado, etc.).",12/29/2024 23:29
PR03716G,INV168084-01255A,2/21/2025,$473.88,IMPROPER HANDLING - OTHER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/28/2024 12:50
US03728G,INV168084-01255A,2/21/2025,$499.11,IMPROPER HANDLING - SHUTTER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/30/2024 14:55
US00374G,INV168084-01255A,2/21/2025,$300.00,NON DEVICE RELATED ISSUES,BCR,COIN AUDIT: Coin Audit,12/31/2024 12:12
US03741G,INV168084-01255A,2/21/2025,$905.87,IMPROPER HANDLING - TOUCH SCREEN,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/21/2024 14:28
US03794G,INV168084-01255A,2/21/2025,$330.60,IMPROPER HANDLING - OTHER,BNR,JAMS – NOTE: A note jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/27/2024 10:16
US03801G,INV168084-01255A,2/21/2025,$328.20,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/26/2024 16:40
US00383G,INV168084-01255A,2/21/2025,$460.06,NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,12/29/2024 16:06
US03889G,INV168084-01255A,2/21/2025,$321.75,IMPROPER HANDLING - HOPPERS,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/31/2024 13:14
US00392G,INV168084-01255A,2/21/2025,$826.55,IMPROPER HANDLING - TOUCH SCREEN,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/30/2024 15:25
US00399G,INV168084-01255A,2/21/2025,"$1,104.92",IMPROPER HANDLING - OTHER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/30/2024 12:17
US04048G,INV168084-01255A,2/21/2025,$926.14,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/29/2024 9:33
US00405G,INV168084-01255A,2/21/2025,$469.63,IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/22/2024 17:41
US04176G,INV168084-01255A,2/21/2025,$300.00,ACTS OF NATURE,OTHER,"ACTS OF NATURE: Damage to the system was due to an act of nature (earthquake, flood, tornado, etc.).",12/26/2024 8:33
US04188G,INV168084-01255A,2/21/2025,"$1,297.91",IMPROPER HANDLING - OTHER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/24/2024 8:12
US04238G,INV168084-01255A,2/21/2025,$534.43,IMPROPER HANDLING - HOPPERS,BCR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/19/2024 16:49
US04250G,INV168084-01255A,2/21/2025,$321.75,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/2/2025 14:53
US04440G,INV168084-01255A,2/21/2025,$425.00,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/29/2024 17:50
US04469G,INV168084-01255A,2/21/2025,"$2,016.19",IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/31/2024 9:44
US00461G,INV168084-01255A,2/21/2025,$558.16,NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,12/30/2024 9:58
US04618G1,INV168084-01255A,2/21/2025,$324.75,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/31/2024 15:07
US04657G,INV168084-01255A,2/21/2025,$300.00,IMPROPER HANDLING - HOPPERS,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/12/2024 8:20
US04659G,INV168084-01255A,2/21/2025,$331.50,IMPROPER HANDLING - CASSETTES,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/9/2024 8:25
US04667G,INV168084-01255A,2/21/2025,$300.00,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/31/2024 15:30
US00505G,INV168084-01255A,2/21/2025,$632.22,IMPROPER HANDLING - GAS SPRING,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/31/2024 15:57
US05062G,INV168084-01255A,2/21/2025,$300.00,CUSTOMER FAILED TO CANCEL CALL,BCR,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/30/2024 8:02
US05079G,INV168084-01255A,2/21/2025,$321.00,FOREIGN OBJECT - OTHER,BCR,FOREIGN OBJECT – OTHER: The unit failure or damage was due to a foreign object found in the note recycler.,1/1/2025 8:24
US00508G,INV168084-01255A,2/21/2025,"$2,583.23",IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/14/2024 23:22
US05094G,INV168084-01255A,2/21/2025,$460.06,IMPROPER HANDLING - HOPPERS,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/29/2024 6:42
US05113G,INV168084-01255A,2/21/2025,$300.00,IMPROPER HANDLING - OTHER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/19/2024 14:01
US05126G,INV168084-01255A,2/21/2025,"$2,818.02",IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/30/2024 19:35
US05139G,INV168084-01255A,2/21/2025,"$1,860.91",IMPROPER HANDLING - OTHER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/20/2024 5:44
